"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
4973,0.927408,23.4845,0.000189514,0.000189514,0.000189514,0.000189514,0.000189378357236098,0.000152513992616702,0.00012516668191739,0.000104412347034918,8.6879178318735e-05,7.27562605982796e-05,7.27562605982796e-05,7.27562605982796e-05,7.27562605982796e-05,7.1645559878239e-05,7.1645559878239e-05,7.1645559878239e-05,7.1645559878239e-05,7.1645559878239e-05,7.1645559878239e-05,6.95900171642344e-05,6.74611731035631e-05,0
5168,0.32786,19.4616,0.000129039,0.000129039,0.000129039,0.000129039,0.000128946641616919,0.000103845906335504,8.52252787020382e-05,7.10937706398406e-05,5.9155536219336e-05,4.95393222207404e-05,4.95393222207404e-05,4.95393222207404e-05,4.95393222207404e-05,4.87830524453501e-05,4.87830524453501e-05,4.87830524453501e-05,4.87830524453501e-05,4.87830524453501e-05,4.87830524453501e-05,4.7383445153686e-05,4.59339273938109e-05,0
5289,0.223229,7.9697,0.000124303,0.000124303,0.000124303,0.000124303,0.000124214031361897,0.000100034545332978,8.2097333507695e-05,6.84844812176482e-05,5.69844048595551e-05,4.77211259387061e-05,4.77211259387061e-05,4.77211259387061e-05,4.77211259387061e-05,4.69926128388654e-05,4.69926128388654e-05,4.69926128388654e-05,4.69926128388654e-05,4.69926128388654e-05,4.69926128388654e-05,4.56443740492303e-05,4.4248056609497e-05,0
5337,0.588689,22.546,0.000159921,0.000159921,0.000159921,0.000159921,0.000159806538132032,0.000128698619696991,0.000105621647682551,8.81081447817633e-05,7.33128163402726e-05,6.13952212033806e-05,6.13952212033806e-05,6.13952212033806e-05,6.13952212033806e-05,6.04579586800334e-05,6.04579586800334e-05,6.04579586800334e-05,6.04579586800334e-05,6.04579586800334e-05,6.04579586800334e-05,5.87233931789817e-05,5.69269724869663e-05,0
4878,0.825392,62.1836,3.02788e-05,3.02788e-05,3.02788e-05,3.02788e-05,3.02571282495243e-05,2.43672798824499e-05,1.99979786635302e-05,1.66820423472718e-05,1.38807542686942e-05,1.16243246588811e-05,1.16243246588811e-05,1.16243246588811e-05,1.16243246588811e-05,1.14468671361547e-05,1.14468671361547e-05,1.14468671361547e-05,1.14468671361547e-05,1.14468671361547e-05,1.14468671361547e-05,1.11184514690863e-05,1.07783243885315e-05,0
4823,0.599694,25.2851,5.97655e-05,5.97655e-05,5.97655e-05,5.97655e-05,5.97227234367592e-05,4.80971064181724e-05,3.94728058514609e-05,3.29276788348902e-05,2.73983849837392e-05,2.29445544539532e-05,2.29445544539532e-05,2.29445544539532e-05,2.29445544539532e-05,2.25942817359292e-05,2.25942817359292e-05,2.25942817359292e-05,2.25942817359292e-05,2.25942817359292e-05,2.25942817359292e-05,2.19460418271423e-05,2.12746854645092e-05,0
5025,0.441054,29.9561,6.12568e-05,6.12568e-05,6.12568e-05,6.12568e-05,6.12129560535906e-05,4.92972505615564e-05,4.04577519385226e-05,3.37493074909957e-05,2.80820438090858e-05,2.35170789715625e-05,2.35170789715625e-05,2.35170789715625e-05,2.35170789715625e-05,2.31580660655641e-05,2.31580660655641e-05,2.31580660655641e-05,2.31580660655641e-05,2.31580660655641e-05,2.31580660655641e-05,2.24936509356885e-05,2.18055425381257e-05,0
4863,0.197269,4.44403,0.000118849,0.000118849,0.000118849,0.000118849,0.000118763935008247,9.56453639757614e-05,7.8495177027554e-05,6.54796111778177e-05,5.44841197167667e-05,4.56272825007383e-05,4.56272825007383e-05,4.56272825007383e-05,4.56272825007383e-05,4.49307341197422e-05,4.49307341197422e-05,4.49307341197422e-05,4.49307341197422e-05,4.49307341197422e-05,4.49307341197422e-05,4.36416515400028e-05,4.23065998405678e-05,0
5504,0.157141,15.3053,0.000135312,0.000135312,0.000135312,0.000135312,0.000135215151779451,0.000108894189183655,8.93683530694611e-05,7.45498670387876e-05,6.20312767218499e-05,5.19475876931224e-05,5.19475876931224e-05,5.19475876931224e-05,5.19475876931224e-05,5.11545532163549e-05,5.11545532163549e-05,5.11545532163549e-05,5.11545532163549e-05,5.11545532163549e-05,5.11545532163549e-05,4.96869065215598e-05,4.81669230504835e-05,0
4782,0.764089,14.1848,9.21659e-05,9.21659e-05,9.21659e-05,9.21659e-05,9.20999331721479e-05,7.4171773019997e-05,6.08720194229976e-05,5.07786123219685e-05,4.22517474223894e-05,3.53833819067456e-05,3.53833819067456e-05,3.53833819067456e-05,3.53833819067456e-05,3.48432174255295e-05,3.48432174255295e-05,3.48432174255295e-05,3.48432174255295e-05,3.48432174255295e-05,3.48432174255295e-05,3.38435501491031e-05,3.28082344003382e-05,0
4613,0.282372,23.1133,6.02092e-05,6.02092e-05,6.02092e-05,6.02092e-05,6.01661058628895e-05,4.84541800830416e-05,3.97658525750103e-05,3.31721344338401e-05,2.76017910192829e-05,2.31148951824875e-05,2.31148951824875e-05,2.31148951824875e-05,2.31148951824875e-05,2.27620220343661e-05,2.27620220343661e-05,2.27620220343661e-05,2.27620220343661e-05,2.27620220343661e-05,2.27620220343661e-05,2.2108969582431e-05,2.14326290597373e-05,0
