"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1507,0.888409,7.52522,0.000150936,0.001358424,0.001358424,0.001358424,0.001358424,0.00135724603134602,0.00135724603134602,0.00135724603134602,0.00108665091616894,0.00088815972520556,0.000735830956953806,0.000614697348574042,0.000510508677436587,0.000510508677436587,0.000387886264999774,0.000303347398776029,0.000221824579176788,0.000161537048643044,0.000117361485466614,8.75028867587772e-05,8.68077331179497e-05,0
928,0.626094,33.8888,0.00011938,0.00107442,0.00107442,0.00107442,0.00107442,0.00107348830777342,0.00107348830777342,0.00107348830777342,0.000859466173558649,0.000702473286658185,0.000581991702716021,0.000486183345741037,0.000403777269255709,0.000403777269255709,0.000306791370618494,0.000239926939006482,0.000175447992938232,0.000127764700714254,9.28248670628902e-05,6.92087680955029e-05,6.86589493535064e-05,0
596,0.433219,43.1598,1.86975e-05,0.0001682775,0.0001682775,0.0001682775,0.0001682775,0.000168131576768248,0.000168131576768248,0.000168131576768248,0.0001346110636632,0.000110022568916832,9.11525369537009e-05,7.6146868043165e-05,6.32402872500303e-05,6.32402872500303e-05,4.80501897481931e-05,3.75777679852043e-05,2.74789650524593e-05,2.00107261819799e-05,1.45383896122331e-05,1.08395957569582e-05,1.07534822041982e-05,0
650,0.14442,14.3015,9.33196e-05,0.0008398764,0.0008398764,0.0008398764,0.0008398764,0.000839148094204155,0.000839148094204155,0.000839148094204155,0.000671846536522229,0.000549124862804717,0.000454944152293332,0.000380050555798419,0.000315633550477761,0.000315633550477761,0.000239819467160074,0.000187551398704216,0.000137148069373418,9.9873938388121e-05,7.25613960827784e-05,5.41006412729527e-05,5.36708467925069e-05,0
827,0.836181,28.0224,0.000136803,0.001231227,0.001231227,0.001231227,0.001231227,0.00123015933128101,0.00123015933128101,0.00123015933128101,0.000984901582688423,0.000804996255944879,0.000666930900541631,0.000557139723968932,0.000462706833355577,0.000462706833355577,0.000351566257955452,0.000274943248759455,0.000201053876511383,0.000146411411893216,0.000106372259078611,7.93094915544403e-05,7.86794291205205e-05,0
1365,0.0344713,6.97485,0.000160995,0.001448955,0.001448955,0.001448955,0.001448955,0.00144769852663747,0.00144769852663747,0.00144769852663747,0.0011590698325689,0.000947350366774455,0.00078486977867956,0.000655663325076045,0.000544531089494244,0.000544531089494244,0.000413736611766833,0.000323563725459445,0.000236607887611749,0.000172302546418925,0.00012518294080072,9.33344414435876e-05,9.2592959885808e-05,0
1159,0.257722,23.8282,0.000112589,0.001013301,0.001013301,0.001013301,0.001013301,0.00101242230762189,0.00101242230762189,0.00101242230762189,0.000810574945675949,0.000662512689492028,0.000548884769786347,0.000458526526333034,0.000380808166931069,0.000380808166931069,0.000289339366950625,0.000226278557009556,0.000165467532894309,0.000120496732188952,8.75444710817871e-05,6.52717874945935e-05,6.47532455081415e-05,0
1789,0.314892,25.4623,0.000224206,0.002017854,0.002017854,0.002017854,0.002017854,0.00201610420114463,0.00201610420114463,0.00201610420114463,0.00161415205988349,0.00131930579417394,0.00109303092393322,0.000913094515121586,0.000758328752142281,0.000758328752142281,0.000576180817899901,0.00045060361272313,0.000329506556414049,0.000239953195579997,0.000174333155844382,0.000129980072538284,0.000128947465226606,0
668,0.37822,32.5049,0.000217957,0.001961613,0.001961613,0.001961613,0.001961613,0.00195991197099489,0.00195991197099489,0.00195991197099489,0.00156916291498009,0.00128253451281754,0.00106256630548564,0.000887645028377276,0.000737192848677891,0.000737192848677891,0.000560121685088752,0.000438044528773963,0.000320322652009031,0.000233265294635422,0.000169474196267602,0.000126357308324606,0.000125353481523222,0
606,0.110165,13.4193,7.92721e-05,0.0007134489,0.0007134489,0.0007134489,0.0007134489,0.000712830226860822,0.000712830226860822,0.000712830226860822,0.000570712753031987,0.000466464505170852,0.000386460918553147,0.000322841135884721,0.000268120891825813,0.000268120891825813,0.000203719184208463,0.000159319084449788,0.00011650302262522,8.48398067640342e-05,6.16386508987782e-05,4.59568134138341e-05,4.55917163599103e-05,0
1070,0.0808021,11.6267,0.000240092,0.002160828,0.002160828,0.002160828,0.002160828,0.00215895422005306,0.00215895422005306,0.00215895422005306,0.00172852196801846,0.00141278452287097,0.00117047706390095,0.000977791354043031,0.000812059743090482,0.000812059743090482,0.000617005811312913,0.000482530898307457,0.000352853572797168,0.000256954954966381,0.000186685441303932,0.000139189743253355,0.000138083971085459,0
1005,0.898542,79.0616,4.77158e-05,0.0004294422,0.0004294422,0.0004294422,0.0004294422,0.000429069805629542,0.000429069805629542,0.000429069805629542,0.000343525850597167,0.000280776301319523,0.000232620201779671,0.000194325911280869,0.000161388468959219,0.000161388468959219,0.000122623518865454,9.58980217477423e-05,7.01259954887089e-05,5.10671377646272e-05,3.71017992276718e-05,2.76625208300502e-05,2.7442760056643e-05,0
1414,0.22163,8.06948,0.000173114,0.001558026,0.001558026,0.001558026,0.001558026,0.00155667494481393,0.00155667494481393,0.00155667494481393,0.00124631954405622,0.00101866276215903,0.00084395134548485,0.000705018794727876,0.000585521010135139,0.000585521010135139,0.000444880895738399,0.000347920188634345,0.000254418695338491,0.000185272729095722,0.000134606165494431,0.000100360250293893,9.95629532449565e-05,0
873,0.314913,18.281,0.000230424,0.002073816,0.002073816,0.002073816,0.002073816,0.00207201767323154,0.00207201767323154,0.00207201767323154,0.00165891802291907,0.00135589466078845,0.00112334441369272,0.000938417752211699,0.000779359804749351,0.000779359804749351,0.000592160284665739,0.000463100393647424,0.000338644901363705,0.000246607919227519,0.000179168011124974,0.000133584864965976,0.00013252361991818,0
1111,0.0897126,9.64165,1.49925e-05,0.0001349325,0.0001349325,0.0001349325,0.0001349325,0.000134815492161944,0.000134815492161944,0.000134815492161944,0.000107937230751198,8.82210650881457e-05,7.30902211674481e-05,6.10579980819442e-05,5.07089186573649e-05,5.07089186573649e-05,3.85288123973679e-05,3.01315516255208e-05,2.20338753068055e-05,1.60455040664973e-05,1.16575374387702e-05,8.6916774641634e-06,8.62262772811563e-06,0
941,0.0686454,20.4257,8.42751e-05,0.0007584759,0.0007584759,0.0007584759,0.0007584759,0.000757818181323801,0.000757818181323801,0.000757818181323801,0.000606731426732053,0.000495903890772719,0.000410851138763302,0.000343216201044232,0.000285042467283061,0.000285042467283061,0.000216576255972614,0.000169373988754106,0.000123855730856666,9.01941944141717e-05,6.55287732803801e-05,4.88572277778968e-05,4.84690888143884e-05,0
930,0.342034,33.7262,8.32285e-05,0.0007490565,0.0007490565,0.0007490565,0.0007490565,0.000748406949434744,0.000748406949434744,0.000748406949434744,0.000599196518897856,0.000489745333712772,0.000405748839248621,0.000338953849815781,0.000281502567048491,0.000281502567048491,0.000213886627488033,0.000167270558243432,0.000122317584857259,8.90740860562596e-05,6.47149811387482e-05,4.82504770936217e-05,4.78671583704834e-05,0
1030,0.856199,27.3015,0.000174257,0.001568313,0.001568313,0.001568313,0.001568313,0.00156695302435644,0.00156695302435644,0.00156695302435644,0.00125454847550519,0.00102538857022278,0.000849523606468301,0.000709673741655184,0.000589386962713119,0.000589386962713119,0.000447818259925172,0.000350217361454619,0.000256098516547474,0.000186496008145114,0.000135494914221629,0.000101022887435232,0.000100220326164299,0
695,0.196308,20.0178,0.000166158,0.001495422,0.001495422,0.001495422,0.001495422,0.00149412523239249,0.00149412523239249,0.00149412523239249,0.00119624041268352,0.000977731247818317,0.000810040017925018,0.000676690001353989,0.000561993830666696,0.000561993830666696,0.000427004863119683,0.000333940193763101,0.000244195741419255,0.00017782817173127,0.000129197472452971,9.63276134127372e-05,9.55623530464057e-05,0
