"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
361,0.760907,6.99819,0.000234748,0.000234748,0.000234342391625672,0.000233904316540792,0.00023361937457638,0.000233097126169766,0.000232905499666274,0.000232467054524913,0.000231451636261255,0.000230480258462818,0.000229043672143828,0.000228178501941669,0.000226721850386709,0.000222453942237908,0.000217305685807078,0.00021236825056402,0.000162730971915525,0.000126569007693477,9.93206094209199e-05,7.61072635982177e-05,5.83331351179594e-05,0
1247,0.897847,21.3148,0.000221936,0.000221936,0.000221552528787615,0.000221138362822249,0.000220868972327702,0.000220375227024781,0.000220194059050276,0.000219779543225251,0.000218819544129355,0.000217901181872493,0.000216543001094418,0.000215725049870185,0.000214347898970065,0.000210312923324213,0.000205445646758565,0.000200777685250465,0.00015384949385317,0.000119661165553953,9.38999215006785e-05,7.1953506116917e-05,5.51494482404086e-05,0
1266,0.655263,12.5195,0.000145469,0.000145469,0.000145217651981678,0.00014494618494246,0.000144769611669754,0.000144445983977668,0.000144327236572636,0.000144055540216252,0.000143426304272192,0.000142824359391039,0.000141934133381713,0.000141398003386409,0.000140495343320941,0.000137850599465837,0.000134660320039659,0.000131600682609851,0.000100841377790565,7.84324764435153e-05,6.15471472892284e-05,4.7162265614059e-05,3.6147966468189e-05,0
622,0.269861,18.4866,0.000144862,0.000144862,0.000144611700784152,0.000144341366498255,0.000144165530014669,0.0001438432527272,0.000143725000820692,0.000143454438174502,0.00014282782784977,0.000142228394710246,0.000141341883356191,0.00014080799047606,0.000139909096949578,0.000137275388844496,0.000134098421530258,0.000131051551081181,0.00010042059593107,7.810520043831e-05,6.12903288715273e-05,4.69654711408191e-05,3.59971314748489e-05,0
685,0.922871,29.1355,0.000182394,0.000182394,0.000182078851271035,0.000181738476626601,0.000181517083027264,0.000181111307574967,0.000180962418023286,0.000180621755853158,0.000179832798337943,0.000179078059289396,0.00017796186351748,0.000177289645420403,0.00017615785940427,0.000172841789240125,0.000168841707946803,0.000165005430049985,0.000126438363230188,9.83413174520931e-05,7.71699151205517e-05,5.91336592291875e-05,4.53235548192321e-05,0
662,0.707659,29.4162,6.62887e-05,6.62887e-05,6.61741633400782e-05,6.60504586530135e-05,6.59699960616544e-05,6.5822522311286e-05,6.57684103622938e-05,6.56446011777976e-05,6.53578649472262e-05,6.50835649682392e-05,6.46778982979218e-05,6.44335894732254e-05,6.40222567337292e-05,6.28170746537819e-05,6.13632977267522e-05,5.99690529894317e-05,4.59523598838612e-05,3.57408581981127e-05,2.80463905197085e-05,2.14913505737351e-05,1.64722497908134e-05,0
556,0.621709,12.3694,0.00011993,0.00011993,0.000119722779438661,0.000119498972015682,0.000119353398507954,0.000119086587922112,0.000118988688188936,0.00011876469170844,0.000118245926426689,0.000117749660902098,0.000117015725800472,0.000116573720491184,0.000115829534295832,0.000113649110078008,0.000111018926247903,0.000108496448490053,8.31373449904956e-05,6.46626215885913e-05,5.07417344891156e-05,3.88823083618784e-05,2.98017145820065e-05,0
582,0.359326,17.4634,7.04444e-05,7.04444e-05,7.03226829307832e-05,7.01912230823104e-05,7.0105716216574e-05,6.99489972002039e-05,6.98914929230106e-05,6.97599220260655e-05,6.94552100356227e-05,6.91637139368947e-05,6.87326156472841e-05,6.84729908760872e-05,6.80358713061731e-05,6.67551352453869e-05,6.52102196963046e-05,6.37285684650435e-05,4.88331558863376e-05,3.79814857019542e-05,2.98046447181277e-05,2.28386632466231e-05,1.75049103868982e-05,0
568,0.0505297,23.637,7.64065e-05,7.64065e-05,7.62744813406159e-05,7.61318953165695e-05,7.60391515308763e-05,7.58691685155581e-05,7.58067973326766e-05,7.56640908615102e-05,7.53335894064937e-05,7.50174223773549e-05,7.45498378501941e-05,7.42682395956776e-05,7.37941241738891e-05,7.24049923219823e-05,7.07293220075079e-05,6.91222704207054e-05,5.29661765197724e-05,4.11960693438564e-05,3.23271769885985e-05,2.47716258972056e-05,1.89864479714007e-05,0
494,0.262123,13.1482,8.84244e-05,8.84244e-05,8.82716162611186e-05,8.81066030276281e-05,8.79992716670285e-05,8.78025521976156e-05,8.7730370715365e-05,8.75652180897505e-05,8.7182732399934e-05,8.6816835783136e-05,8.62757053653904e-05,8.59498148103112e-05,8.54011262602218e-05,8.37934992844312e-05,8.1854264505254e-05,7.99944414230285e-05,6.12971720868639e-05,4.7675756828135e-05,3.74118854928655e-05,2.86679295215049e-05,2.19728068947318e-05,0
855,0.93995,7.4981,0.000225927,0.000225927,0.000225536632954544,0.000225115019182747,0.00022484078433008,0.000224338160172426,0.000224153734315531,0.000223731764392668,0.000222754501957829,0.000221819625103213,0.000220437020619722,0.000219604360455363,0.000218202444716539,0.000214094909468808,0.000209140106315435,0.000204388202434855,0.000156616117248959,0.000121812991808936,9.55884920196984e-05,7.32474216732603e-05,5.61411821093054e-05,0
880,0.404161,21.9256,0.000197289,0.000197289,0.000196948115006037,0.000196579944050711,0.000196340470593144,0.000195901557946849,0.000195740509498098,0.000195372027536616,0.000194518640697031,0.000193702266736547,0.000192494918097635,0.000191767804068916,0.000190543592026103,0.000186956718737432,0.000182629975323294,0.000178480412125023,0.000136763809354039,0.000106372250067469,8.34719090771545e-05,6.39627427199753e-05,4.90248517315892e-05,0
