"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
464,0.0947046,0.518745,4.83344e-05,4.82528695227311e-05,4.82498872050931e-05,4.82264175857985e-05,4.82264175857985e-05,4.82264175857985e-05,4.82264175857985e-05,4.7939503974933e-05,4.7939503974933e-05,4.76861109835054e-05,4.75491667882383e-05,4.74882271663175e-05,4.73545350098707e-05,4.64622956803548e-05,4.54341121915486e-05,4.42740287182432e-05,4.31667112887879e-05,3.29441916633993e-05,2.54821072423996e-05,2.00437751635512e-05,1.59821322765186e-05,0
444,0.772635,4.52592,3.13061e-05,3.12532928631693e-05,3.12513612216426e-05,3.1236159993354e-05,3.1236159993354e-05,3.1236159993354e-05,3.1236159993354e-05,3.10503265870612e-05,3.10503265870612e-05,3.08862044229517e-05,3.07975059251644e-05,3.07580354466271e-05,3.0671443288269e-05,3.00935415521606e-05,2.94275890396869e-05,2.86762051552557e-05,2.79589977382138e-05,2.13378909975823e-05,1.65047129485684e-05,1.29823154864372e-05,1.03515970253467e-05,0
436,0.67913,30.3886,2.53909e-05,2.53480706239182e-05,2.53465039606532e-05,2.53341749619164e-05,2.53341749619164e-05,2.53341749619164e-05,2.53341749619164e-05,2.51834542577776e-05,2.51834542577776e-05,2.505034251736e-05,2.49784033525498e-05,2.4946390710493e-05,2.48761598981703e-05,2.44074510781207e-05,2.38673284295324e-05,2.32579164276797e-05,2.26762233453293e-05,1.73061561973709e-05,1.33861936174038e-05,1.05293433000143e-05,8.39569173135191e-06,0
416,0.180615,0.698378,0.000174869,0.000174574030929741,0.000174563241204348,0.00017447833048121,0.00017447833048121,0.00017447833048121,0.00017447833048121,0.000173440305881371,0.000173440305881371,0.000172523555512732,0.00017202810518166,0.000171807631755991,0.000171323946974434,0.0001680959147797,0.000164376050283523,0.000160178984903722,0.000156172821765845,0.000119188773461282,9.21917022114928e-05,7.25163634818065e-05,5.78217478454792e-05,0
430,0.365495,26.4572,4.7517e-06,4.7436848313243e-06,4.74339164306251e-06,4.74108437142985e-06,4.74108437142985e-06,4.74108437142985e-06,4.74108437142985e-06,4.71287822001905e-06,4.71287822001905e-06,4.68796744265621e-06,4.6745046142638e-06,4.66851370920485e-06,4.65537058505748e-06,4.56765554934667e-06,4.46657599764519e-06,4.35252950818622e-06,4.24367038860384e-06,3.23870608773409e-06,2.50511703845936e-06,1.97048078479605e-06,1.571185282911e-06,0
472,0.5457,20.0182,2.54659e-05,2.54229441139006e-05,2.54213728230035e-05,2.54090074066956e-05,2.54090074066956e-05,2.54090074066956e-05,2.54090074066956e-05,2.52578415016064e-05,2.52578415016064e-05,2.51243365738449e-05,2.50521849141108e-05,2.50200777126586e-05,2.49496394515679e-05,2.44795461527679e-05,2.39378280822511e-05,2.3326615990597e-05,2.27432046949821e-05,1.73572753666325e-05,1.34257339456831e-05,1.0560445023368e-05,8.42049104448581e-06,0
461,0.267548,17.7842,1.24989e-05,1.24778168525453e-05,1.24770456483941e-05,1.24709765873402e-05,1.24709765873402e-05,1.24709765873402e-05,1.24709765873402e-05,1.23967829585614e-05,1.23967829585614e-05,1.23312575013186e-05,1.22958447972771e-05,1.22800862849044e-05,1.22455145328146e-05,1.20147883801017e-05,1.17489081248748e-05,1.1448919559288e-05,1.11625758823412e-05,8.51911179577405e-06,6.58947478839146e-06,5.18316440033826e-06,4.13285513238973e-06,0
475,0.875182,41.9716,5.7474e-06,5.73770528433051e-06,5.73735065962445e-06,5.73455990831827e-06,5.73455990831827e-06,5.73455990831827e-06,5.73455990831827e-06,5.70044326909054e-06,5.70044326909054e-06,5.67031253654951e-06,5.6540286255487e-06,5.64678234995558e-06,5.63088513596384e-06,5.52478976036262e-06,5.40252938713849e-06,5.26458490547583e-06,5.13291478659463e-06,3.91736417885028e-06,3.03005443669452e-06,2.38338726403956e-06,1.90042096407658e-06,0
438,0.358054,0.0229897,0.000165777,0.000165497367317476,0.000165487138584501,0.000165406642642113,0.000165406642642113,0.000165406642642113,0.000165406642642113,0.000164422588269482,0.000164422588269482,0.000163553502691925,0.000163083812412149,0.000162874802106794,0.000162416265647889,0.000159356069197138,0.000155829612383279,0.000151850765889805,0.000148052896018599,0.000112991766968936,8.73983600152951e-05,6.87460052320505e-05,5.48154097786343e-05,0
417,0.145589,7.3679,3.4188e-06,3.41303316735727e-06,3.41282222137385e-06,3.41116216281423e-06,3.41116216281423e-06,3.41116216281423e-06,3.41116216281423e-06,3.39086812269317e-06,3.39086812269317e-06,3.37294507080688e-06,3.36325870220028e-06,3.3589483067175e-06,3.34949196207558e-06,3.28638188271701e-06,3.21365616952867e-06,3.13160087602059e-06,3.05327784257399e-06,2.33021621161801e-06,1.80240632428076e-06,1.41774095735436e-06,1.13045188989543e-06,0
