"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
407,0.235368,13.3574,2.88279e-05,2.88196995907677e-05,2.88196995907677e-05,2.88196995907677e-05,2.88196995907677e-05,2.88196995907677e-05,2.87623792002489e-05,2.87623792002489e-05,2.87065307309199e-05,2.85665389665689e-05,2.84981034586547e-05,2.83849497039556e-05,2.81944057891077e-05,2.80993740039804e-05,2.75325563866173e-05,2.65300078996423e-05,2.54925941788993e-05,2.47833343716949e-05,2.41257282945824e-05,2.41257282945824e-05,2.41257282945824e-05,0
449,0.0209494,1.95678,0.000131283,0.000131245655124888,0.000131245655124888,0.000131245655124888,0.000131245655124888,0.000131245655124888,0.000130984616588315,0.000130984616588315,0.000130730281218797,0.000130092755113902,0.000129781098046079,0.000129265792929225,0.000128398051027353,0.000127965273827249,0.000125383971780958,0.000120818340118036,0.000116093931281447,0.000112863943829388,0.000109869188796189,0.000109869188796189,0.000109869188796189,0
289,0.528791,41.4522,3.37041e-05,3.36945125027211e-05,3.36945125027211e-05,3.36945125027211e-05,3.36945125027211e-05,3.36945125027211e-05,3.3627496446259e-05,3.3627496446259e-05,3.35622012844501e-05,3.33985301039317e-05,3.33185188231138e-05,3.31862252650068e-05,3.29634511066247e-05,3.28523448245469e-05,3.21896507796332e-05,3.10175225823017e-05,2.98046317444225e-05,2.8975401607368e-05,2.82065623584595e-05,2.82065623584595e-05,2.82065623584595e-05,0
335,0.467598,38.0711,2.14665e-05,2.14603936209441e-05,2.14603936209441e-05,2.14603936209441e-05,2.14603936209441e-05,2.14603936209441e-05,2.14177103813369e-05,2.14177103813369e-05,2.13761231978497e-05,2.12718792810385e-05,2.1220919244732e-05,2.1136660069584e-05,2.09947728371432e-05,2.09240080635928e-05,2.05019311733883e-05,1.97553902496426e-05,1.89828871662986e-05,1.84547416665796e-05,1.7965059766256e-05,1.7965059766256e-05,1.7965059766256e-05,0
316,0.916539,26.8388,2.42685e-05,2.42615965616138e-05,2.42615965616138e-05,2.42615965616138e-05,2.42615965616138e-05,2.42615965616138e-05,2.42133419229719e-05,2.42133419229719e-05,2.41663264075195e-05,2.40484756402713e-05,2.39908638432338e-05,2.38956064052687e-05,2.37351987794102e-05,2.36551971532994e-05,2.31780270040004e-05,2.2334040867093e-05,2.14607037567987e-05,2.08636199723004e-05,2.03100204009682e-05,2.03100204009682e-05,2.03100204009682e-05,0
317,0.310305,8.26071,7.34653e-05,7.34444019975658e-05,7.34444019975658e-05,7.34444019975658e-05,7.34444019975658e-05,7.34444019975658e-05,7.32983261583413e-05,7.32983261583413e-05,7.3156001377355e-05,7.27992450071171e-05,7.26248432949019e-05,7.23364811687985e-05,7.18508972078623e-05,7.16087172848047e-05,7.01642337704015e-05,6.76093294811481e-05,6.49655742919563e-05,6.31580897192261e-05,6.14822400133198e-05,6.14822400133198e-05,6.14822400133198e-05,0
544,0.438099,22.8409,6.71933e-05,6.71741861360811e-05,6.71741861360811e-05,6.71741861360811e-05,6.71741861360811e-05,6.71741861360811e-05,6.70405813228187e-05,6.70405813228187e-05,6.69104073263027e-05,6.65841085456225e-05,6.64245961422241e-05,6.6160852540171e-05,6.57167246490119e-05,6.54952205072744e-05,6.41740578069472e-05,6.18372749941214e-05,5.94192268060119e-05,5.77660537686619e-05,5.62332774505379e-05,5.62332774505379e-05,5.62332774505379e-05,0
307,0.778261,6.82726,0.000142874,0.000142833357939057,0.000142833357939057,0.000142833357939057,0.000142833357939057,0.000142833357939057,0.000142549272262508,0.000142549272262508,0.000142272481576856,0.000141578668175953,0.000141239494848804,0.000140678693349254,0.000139734338356695,0.000139263351178709,0.000136454145504236,0.000131485413389581,0.000126343885635653,0.000122828722002697,0.000119569559501738,0.000119569559501738,0.000119569559501738,0
312,0.671177,55.0705,2.1213e-06,2.12069657317722e-06,2.12069657317722e-06,2.12069657317722e-06,2.12069657317722e-06,2.12069657317722e-06,2.11647865427201e-06,2.11647865427201e-06,2.11236904663539e-06,2.10206775761615e-06,2.09703193319125e-06,2.08870551816126e-06,2.07468435093899e-06,2.0676914403978e-06,2.02598218610899e-06,1.95220969121966e-06,1.87587163933894e-06,1.82368078155802e-06,1.77529086167558e-06,1.77529086167558e-06,1.77529086167558e-06,0
433,0.165786,13.5979,6.51171e-05,6.50985767337191e-05,6.50985767337191e-05,6.50985767337191e-05,6.50985767337191e-05,6.50985767337191e-05,6.49691001640955e-05,6.49691001640955e-05,6.48429484027066e-05,6.45267318999983e-05,6.4372148256639e-05,6.41165540454714e-05,6.36861492238389e-05,6.3471489319534e-05,6.21911491119019e-05,5.99265703503133e-05,5.75832372252852e-05,5.59811454394907e-05,5.44957302450456e-05,5.44957302450456e-05,5.44957302450456e-05,0
441,0.889566,47.5529,8.24075e-05,8.23840582916616e-05,8.23840582916616e-05,8.23840582916616e-05,8.23840582916616e-05,8.23840582916616e-05,8.22202020939615e-05,8.22202020939615e-05,8.20605535334965e-05,8.16603727599834e-05,8.14647428626117e-05,8.11412812840587e-05,8.05965920190473e-05,8.03249339436107e-05,7.8704627823399e-05,7.58387404559393e-05,7.28731872525449e-05,7.08456955669837e-05,6.89658613508371e-05,6.89658613508371e-05,6.89658613508371e-05,0
344,0.0113723,0.306639,0.000152107,0.000152063731511935,0.000152063731511935,0.000152063731511935,0.000152063731511935,0.000152063731511935,0.000151761287260337,0.000151761287260337,0.000151466609426564,0.000150727959462461,0.000150366867610391,0.000149769825225548,0.000148764442826699,0.000148263018867953,0.000145272272843294,0.000139982444492692,0.00013450865386552,0.000130766328496887,0.000127296547917262,0.000127296547917262,0.000127296547917262,0
325,0.435539,6.41421,0.00015982,0.00015977453746532,0.00015977453746532,0.00015977453746532,0.00015977453746532,0.00015977453746532,0.000159456756953638,0.000159456756953638,0.000159147136677164,0.000158371031453454,0.000157991629454875,0.00015736431240868,0.000156307949355145,0.000155781099327948,0.000152638699374883,0.000147080635860428,0.000141329281760783,0.00013739719158469,0.000133751466323948,0.000133751466323948,0.000133751466323948,0
