"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
362,0.326209,33.5284,2.92752e-05,0.0134373168,0.0134281598162444,0.0134281598162444,0.0134211728992585,0.0134211728992585,0.0134211728992585,0.0133875195659721,0.0133710901295433,0.0130938403107394,0.0127779043238531,0.0124302804576608,0.0121172956597302,0.0121172956597302,0.0118439829334825,0.0115252234741683,0.0112635217714101,0.0112635217714101,0.0112635217714101,0.0112635217714101,0.0112635217714101,0
388,0.249568,12.7184,3.37097e-05,0.0154727523,0.0154622082499062,0.0154622082499062,0.0154541629803429,0.0154541629803429,0.0154541629803429,0.0154154119634725,0.0153964938562287,0.0150772472510156,0.014713454438767,0.0143131737833937,0.0139527791953874,0.0139527791953874,0.0136380660590812,0.0132710220851496,0.0129696787676157,0.0129696787676157,0.0129696787676157,0.0129696787676157,0.0129696787676157,0
384,0.50667,15.8525,1.0031e-05,0.004604229,0.00460109140558382,0.00460109140558382,0.00459869737362893,0.00459869737362893,0.00459869737362893,0.00458716622828422,0.0045815367645464,0.00448653850894364,0.00437828463247291,0.00425917306357582,0.00415193039715367,0.00415193039715367,0.00405828116650828,0.00394905984141466,0.00385938906955427,0.00385938906955427,0.00385938906955427,0.00385938906955427,0.00385938906955427,0
376,0.315717,17.7562,1.0176e-05,0.004670784,0.0046676010510638,0.0046676010510638,0.00466517241292473,0.00466517241292473,0.00466517241292473,0.00465347458269566,0.00464776374399603,0.00455139227066199,0.00444157356395617,0.00432074021482879,0.00421194733540383,0.00421194733540383,0.00411694438743776,0.00400614424745645,0.00391517726764871,0.00391517726764871,0.00391517726764871,0.00391517726764871,0.00391517726764871,0
359,0.406684,23.9699,1.48645e-05,0.0068228055,0.0068181560361181,0.0068181560361181,0.00681460842491349,0.00681460842491349,0.00681460842491349,0.00679752092516506,0.00678917886916558,0.00664840511077587,0.00648798842781313,0.00631148220551519,0.00615256399047859,0.00615256399047859,0.00601378929314747,0.00585193899040059,0.00571905979706803,0.00571905979706803,0.00571905979706803,0.00571905979706803,0.00571905979706803,0
381,0.847139,15.7291,3.79052e-05,0.0173984868,0.0173866304403286,0.0173866304403286,0.0173775838587259,0.0173775838587259,0.0173775838587259,0.017334009900943,0.0173127372512695,0.016953757301287,0.0165446869355809,0.01609458745982,0.0156893382604117,0.0156893382604117,0.0153354560136307,0.0149227298475517,0.0145838814235139,0.0145838814235139,0.0145838814235139,0.0145838814235139,0.0145838814235139,0
398,0.0661338,4.79536,9.89695e-05,0.0454270005,0.0453960438505561,0.0453960438505561,0.0453724234592133,0.0453724234592133,0.0453724234592133,0.0452586529787833,0.0452031106388969,0.0442658232440332,0.0431977510650511,0.0420225529374507,0.040964457725162,0.040964457725162,0.0400404803019381,0.0389628629224293,0.0380781384228144,0.0380781384228144,0.0380781384228144,0.0380781384228144,0.0380781384228144,0
377,0.0696536,3.9958,8.36627e-05,0.0384011793,0.0383750104613635,0.0383750104613635,0.0383550432420202,0.0383550432420202,0.0383550432420202,0.0382588687077135,0.0382119166455205,0.0374195917966503,0.0365167095724445,0.0355232696905618,0.0346288213775245,0.0346288213775245,0.0338477479562588,0.0329367968093234,0.0321889053842486,0.0321889053842486,0.0321889053842486,0.0321889053842486,0.0321889053842486,0
382,0.0177737,0.851045,0.000130044,0.059690196,0.0596495195641254,0.0596495195641254,0.0596184828288506,0.0596184828288506,0.0596184828288506,0.059468990628152,0.0593960090727417,0.0581644316475991,0.056761005557303,0.0552168180520043,0.0538265015020888,0.0538265015020888,0.0526124131210649,0.0511964448227424,0.0500339340206475,0.0500339340206475,0.0500339340206475,0.0500339340206475,0.0500339340206475,0
407,0.143971,2.331,0.000189972,0.087197148,0.087137726697395,0.087137726697395,0.0870923873455324,0.0870923873455324,0.0870923873455324,0.0868740048569045,0.0867673913103786,0.0849682677321345,0.0829181027016392,0.0806623093643332,0.0786312951259174,0.0786312951259174,0.0768577200442538,0.0747892329970319,0.0730910039199844,0.0730910039199844,0.0730910039199844,0.0730910039199844,0.0730910039199844,0
