"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
772,0.471292,34.6645,4.0705e-05,4.07016556386499e-05,4.07016556386499e-05,4.06565015411086e-05,4.06565015411086e-05,4.06565015411086e-05,4.05862302067112e-05,4.03292685314002e-05,4.02528910833618e-05,4.01476693902095e-05,4.00481961768032e-05,3.99718795410031e-05,3.97870914235199e-05,3.96006842769025e-05,3.94501452851821e-05,3.81107972065821e-05,3.66003506053809e-05,3.39228968257366e-05,2.579536384236e-05,2.02485030275579e-05,1.62524334424044e-05,0
756,0.780794,21.4194,1.7789e-06,1.77875384389127e-06,1.77875384389127e-06,1.77678050832768e-06,1.77678050832768e-06,1.77678050832768e-06,1.77370949305291e-06,1.76247969022252e-06,1.75914182405582e-06,1.75454339953921e-06,1.7501961965094e-06,1.74686098797422e-06,1.73878533185848e-06,1.7306389205302e-06,1.72406002819827e-06,1.66552750646822e-06,1.59951759469137e-06,1.48250684592318e-06,1.12731538482187e-06,8.84905098531451e-07,7.10267874970969e-07,0
290,0.898649,60.4088,5.25726e-05,5.25682805853946e-05,5.25682805853946e-05,5.25099617472076e-05,5.25099617472076e-05,5.25099617472076e-05,5.24192027064328e-05,5.20873234932782e-05,5.19886780928423e-05,5.18527788670613e-05,5.17243040983811e-05,5.16257372400772e-05,5.13870738870444e-05,5.11463194746563e-05,5.09518906281726e-05,4.92220537335158e-05,4.72712343013499e-05,4.38131651065157e-05,3.33160384507765e-05,2.61519825639747e-05,2.09908532709532e-05,0
300,0.961854,32.8535,2.12795e-05,2.1277751656127e-05,2.1277751656127e-05,2.12541462853217e-05,2.12541462853217e-05,2.12541462853217e-05,2.12174102858055e-05,2.10830775018777e-05,2.10431493872595e-05,2.09881422623502e-05,2.09361402909786e-05,2.08962439673941e-05,2.07996416152019e-05,2.07021928772963e-05,2.06234950643909e-05,1.9923319227551e-05,1.91336975975237e-05,1.77339954060499e-05,1.34851356070139e-05,1.05853831267637e-05,8.49634338380163e-06,0
577,0.328957,21.9551,4.41205e-05,4.41168750179352e-05,4.41168750179352e-05,4.40679321028002e-05,4.40679321028002e-05,4.40679321028002e-05,4.3991764398359e-05,4.37132414258603e-05,4.36304552522654e-05,4.35164045530214e-05,4.34085846804728e-05,4.33258644217867e-05,4.3125570990085e-05,4.29235226787637e-05,4.27603521693865e-05,4.13086212542195e-05,3.96714351771209e-05,3.67693199705175e-05,2.79598169857965e-05,2.19475267860795e-05,1.76161525536324e-05,0
591,0.638617,5.63846,8.80222e-05,8.80149680126857e-05,8.80149680126857e-05,8.79173248974763e-05,8.79173248974763e-05,8.79173248974763e-05,8.77653672153588e-05,8.72097025064394e-05,8.70445407079693e-05,8.68170049035475e-05,8.66018998529371e-05,8.64368695574029e-05,8.60372759783652e-05,8.56341813427924e-05,8.5308649510413e-05,8.24123870256041e-05,7.91461339161517e-05,7.33562955158913e-05,5.57809771577198e-05,4.37862125830317e-05,3.51449440352294e-05,0
612,0.719152,2.21658,4.99125e-05,4.99083991417299e-05,4.99083991417299e-05,4.9853031155155e-05,4.9853031155155e-05,4.9853031155155e-05,4.97668643948526e-05,4.94517778055156e-05,4.93581237243163e-05,4.92291008092085e-05,4.91071266840607e-05,4.90135471708714e-05,4.87869598495624e-05,4.85583872735756e-05,4.83737962546776e-05,4.67314866864889e-05,4.48793759879885e-05,4.15962802558551e-05,3.16302935212331e-05,2.48287288382995e-05,1.99287454660118e-05,0
624,0.420129,33.8014,1.2509e-06,1.25079722487132e-06,1.25079722487132e-06,1.24940960024009e-06,1.24940960024009e-06,1.24940960024009e-06,1.24725010110736e-06,1.23935344566831e-06,1.23700630036058e-06,1.23377274635089e-06,1.23071584811603e-06,1.2283705716212e-06,1.22269187229286e-06,1.2169634187932e-06,1.212337224843e-06,1.17117789523925e-06,1.12476055944653e-06,1.04248007958025e-06,7.9271393269643e-07,6.2225408272134e-07,4.99451394008198e-07,0
715,0.916193,57.5908,4.56744e-05,4.56706473480396e-05,4.56706473480396e-05,4.56199806900679e-05,4.56199806900679e-05,4.56199806900679e-05,4.5541130400526e-05,4.52527980005057e-05,4.51670961429284e-05,4.50490286401225e-05,4.49374114103373e-05,4.4851777789156e-05,4.46444301317877e-05,4.44352657888946e-05,4.42663485029732e-05,4.27634884149936e-05,4.10686415352023e-05,3.80643154103286e-05,2.89445465245422e-05,2.27205067358283e-05,1.82365838600113e-05,0
601,0.0609269,2.09415,0.00020945,0.000209432791389638,0.000209432791389638,0.000209200448293458,0.000209200448293458,0.000209200448293458,0.000208838862960218,0.000207516651367197,0.000207123646662821,0.000206582222178587,0.000206070376838998,0.000205677685047613,0.000204726846791702,0.000203767677725027,0.000202993070384017,0.00019610137513619,0.000188329282257635,0.000174552284489634,0.00013273157982514,0.000104189877389068,8.36278635182806e-05,0
609,0.592616,44.7701,7.00392e-05,7.00334455129967e-05,7.00334455129967e-05,6.99557509578188e-05,6.99557509578188e-05,6.99557509578188e-05,6.9834838341577e-05,6.93926963401166e-05,6.92612772181745e-05,6.90802271454308e-05,6.89090682143804e-05,6.8777753729228e-05,6.84597974113793e-05,6.81390553054128e-05,6.78800298650763e-05,6.55754759295234e-05,6.29765207252277e-05,5.83695505553896e-05,4.43848826244398e-05,3.48406572472112e-05,2.79648061997114e-05,0
