"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1891,0.3602,40.0459,2.94638e-05,2.94563805152435e-05,2.94563805152435e-05,2.94563805152435e-05,2.94243676245724e-05,2.94243676245724e-05,2.94243676245724e-05,2.94243676245724e-05,2.93387437435243e-05,2.92973558031658e-05,2.92238014853221e-05,2.91076457023658e-05,2.90424197822005e-05,2.84714315892307e-05,2.77941089530666e-05,2.59522921397731e-05,2.39019871807281e-05,2.28328689873049e-05,2.19288701266788e-05,2.09657280303841e-05,1.99928467996722e-05,0
1984,0.468757,49.9897,3.98106e-05,3.98005750154479e-05,3.98005750154479e-05,3.98005750154479e-05,3.97573201608348e-05,3.97573201608348e-05,3.97573201608348e-05,3.97573201608348e-05,3.96416277491685e-05,3.9585705609511e-05,3.94863212284758e-05,3.93293750296501e-05,3.9241243728958e-05,3.84697416635406e-05,3.75545636980618e-05,3.50659562398485e-05,3.22956458724636e-05,3.08510855390683e-05,2.96296294797398e-05,2.83282608599844e-05,2.70137330148531e-05,0
1845,0.85983,43.9665,4.6288e-05,4.62763438962249e-05,4.62763438962249e-05,4.62763438962249e-05,4.62260512427524e-05,4.62260512427524e-05,4.62260512427524e-05,4.62260512427524e-05,4.60915350497985e-05,4.60265140754735e-05,4.59109593179627e-05,4.57284771234908e-05,4.56260063833755e-05,4.47289767579983e-05,4.36648943863163e-05,4.07713770309945e-05,3.75503221791331e-05,3.58707240642541e-05,3.44505304958528e-05,3.29374221611068e-05,3.14090135238233e-05,0
2033,0.158751,13.4771,0.000205411,0.000205359274024962,0.000205359274024962,0.000205359274024962,0.00020513609168305,0.00020513609168305,0.00020513609168305,0.00020513609168305,0.000204539152828253,0.000204250611017048,0.000203737816809152,0.000202928020532608,0.000202473288913229,0.000198492564916116,0.000193770515485388,0.000180930032131732,0.000166636044528558,0.000159182537607209,0.000152880183193995,0.000146165503446576,0.000139382925962281,0
2004,0.990295,3.58118,0.000248921,0.000248858317468722,0.000248858317468722,0.000248858317468722,0.000248587860814837,0.000248587860814837,0.000248587860814837,0.000248587860814837,0.000247864478831034,0.000247514818315351,0.000246893404432825,0.000245912077731949,0.000245361025210772,0.00024053710731891,0.000234814837010375,0.000219254492350764,0.000201932763289664,0.000192900460266121,0.000185263145989418,0.000177126167943417,0.000168906910114147,0
2009,0.182453,17.7924,6.80931e-05,6.80759530020746e-05,6.80759530020746e-05,6.80759530020746e-05,6.80019687581633e-05,6.80019687581633e-05,6.80019687581633e-05,6.80019687581633e-05,6.78040854065727e-05,6.77084347042997e-05,6.75384450383245e-05,6.72700001213613e-05,6.71192580207359e-05,6.57996605444188e-05,6.42343160200673e-05,5.99777362018063e-05,5.52393242995145e-05,5.2768510213871e-05,5.0679299561596e-05,4.84534043587639e-05,4.62050012698551e-05,0
2038,0.200564,12.9221,0.000230099,0.000230041057167677,0.000230041057167677,0.000230041057167677,0.000229791050918296,0.000229791050918296,0.000229791050918296,0.000229791050918296,0.000229122366994115,0.000228799145831585,0.000228224719756825,0.000227317595438086,0.000226808210395963,0.000222349049927382,0.000217059465377571,0.000202675706089155,0.000186663748338583,0.000178314417051089,0.000171254593340936,0.000163732887613388,0.000156135123635029,0
1897,0.474327,34.9749,2.25701e-05,2.25644164658699e-05,2.25644164658699e-05,2.25644164658699e-05,2.25398936906768e-05,2.25398936906768e-05,2.25398936906768e-05,2.25398936906768e-05,2.24743033880802e-05,2.24425990609844e-05,2.23862543834763e-05,2.22972757847585e-05,2.22473108942582e-05,2.18099178691172e-05,2.12910696679182e-05,1.98801861546675e-05,1.83095948542873e-05,1.74906202299218e-05,1.67981316614338e-05,1.6060337709955e-05,1.5315083307424e-05,0
2058,0.441988,27.0614,0.000138787,0.000138752051078581,0.000138752051078581,0.000138752051078581,0.000138601256779897,0.000138601256779897,0.000138601256779897,0.000138601256779897,0.000138197931968467,0.000138002977207759,0.000137656505160346,0.000137109362135714,0.000136802120375249,0.000134112523706194,0.00013092204669015,0.000122246307984804,0.000112588501647843,0.000107552501311477,0.000103294283095574,9.87574751441742e-05,9.4174791737186e-05,0
1896,0.0962905,6.32146,0.000219635,0.000219579692180422,0.000219579692180422,0.000219579692180422,0.00021934105523466,0.00021934105523466,0.00021934105523466,0.00021934105523466,0.000218702780432564,0.000218394258100731,0.000217845954670773,0.000216980082808026,0.000216493862599652,0.000212237487258965,0.00020718845226708,0.000193458809933514,0.000178175013217549,0.00017020537676833,0.000163466606149685,0.000156286958096152,0.00014903471062273,0
1591,0.251938,23.0221,7.65994e-05,7.6580110971407e-05,7.6580110971407e-05,7.6580110971407e-05,7.6496884496286e-05,7.6496884496286e-05,7.6496884496286e-05,7.6496884496286e-05,7.62742812368981e-05,7.61666816944527e-05,7.59754566449264e-05,7.56734771554857e-05,7.55039041082512e-05,7.40194603844759e-05,7.22585704946249e-05,6.74702518524879e-05,6.21399098843823e-05,5.93604377136067e-05,5.70102394932602e-05,5.45062818676004e-05,5.19770046343923e-05,0
1561,0.527943,41.3788,3.12304e-05,3.12225356553893e-05,3.12225356553893e-05,3.12225356553893e-05,3.11886033255197e-05,3.11886033255197e-05,3.11886033255197e-05,3.11886033255197e-05,3.10978455802633e-05,3.10539760884607e-05,3.09760115771626e-05,3.08528912884002e-05,3.0783754531528e-05,3.0178530844776e-05,2.94605970800729e-05,2.75083480217069e-05,2.53351102182682e-05,2.42018894922287e-05,2.32436883770671e-05,2.22227978970841e-05,2.11915843405291e-05,0
1607,0.0843361,4.48594,0.000165321,0.000165279369367175,0.000165279369367175,0.000165279369367175,0.000165099745452451,0.000165099745452451,0.000165099745452451,0.000165099745452451,0.000164619310965428,0.000164387083768393,0.000163974371444109,0.00016332262285112,0.000162956641058288,0.000159752833706556,0.000155952385171971,0.000145617974899348,0.000134113740342561,0.00012811493201319,0.000123042606120482,0.000117638428298832,0.000112179604320169,0
1461,0.248504,17.3477,0.000193119,0.000193070369359122,0.000193070369359122,0.000193070369359122,0.000192860542472112,0.000192860542472112,0.000192860542472112,0.000192860542472112,0.000192299325036339,0.000192028049856148,0.000191545941767319,0.000190784604511135,0.000190357084487364,0.000186614571001726,0.000182175093739004,0.000170102997771531,0.000156664376704805,0.0001496568951038,0.000143731679891734,0.00013741881330649,0.000131042112052956,0
1609,0.498688,20.7746,0.00024343,0.000243368700195688,0.000243368700195688,0.000243368700195688,0.000243104209601262,0.000243104209601262,0.000243104209601262,0.000243104209601262,0.00024239678485077,0.000242054837568971,0.000241447131584248,0.000240487452172731,0.000239948555433484,0.000235231049347553,0.000229635007787353,0.000214417911999978,0.000197478286555184,0.000188645228978599,0.000181176387802572,0.000173218905044034,0.000165180957529042,0
1520,0.904041,4.66674,0.000199741,0.000199690701827166,0.000199690701827166,0.000199690701827166,0.000199473680031079,0.000199473680031079,0.000199473680031079,0.000199473680031079,0.00019889321859622,0.000198612641461052,0.000198114002011951,0.00019732655870038,0.000196884379126811,0.000193013535832599,0.000188421830055678,0.000175935785074919,0.000162036357206667,0.000154788590894361,0.000148660201602405,0.000142130868473074,0.000135535511801374,0
