"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
644,0.101146,22.8841,0.000186586,0.110458912,0.110458912,0.110458912,0.110458912,0.110191585479068,0.110191585479068,0.109836910070669,0.109498921012044,0.109206521744009,0.108869107225914,0.106615320195504,0.104461207669135,0.100696590266599,0.096612805690114,0.0926998025107789,0.0886315616415691,0.0848689753452854,0.0813080554424795,0.0777360069859343,0.074358706127518,0
1483,0.380296,28.5502,0.000162963,0.096474096,0.096474096,0.096474096,0.096474096,0.0962406147536543,0.0962406147536543,0.0959308435565718,0.0956356461089559,0.0953802664882091,0.0950855708405593,0.0931171278928746,0.0912357400093533,0.0879477476317398,0.0843809967182857,0.0809634051673976,0.0774102300268778,0.0741240116042669,0.07101392729933,0.0678941233878684,0.0649444107631801,0
417,0.162868,19.1092,5.36369e-05,0.0317530448,0.0317530448,0.0317530448,0.0317530448,0.0316761978454022,0.0316761978454022,0.0315742411636966,0.0314770812195496,0.0313930267336845,0.0312960319496941,0.0306481475983955,0.0300289161546344,0.0289467213106586,0.0277727771511264,0.0266479266252044,0.0254784507337779,0.0243968397612765,0.0233732007704904,0.0223463627126572,0.0213755077266841,0
546,0.0193827,7.82917,0.000245563,0.145373296,0.145373296,0.145373296,0.145373296,0.145021471627005,0.145021471627005,0.144554688710213,0.144109866444859,0.143725044210306,0.143280978089016,0.14031480321765,0.137479808446806,0.132525252675104,0.127150645834529,0.122000801796246,0.116646651792678,0.111694769129057,0.107008296542193,0.102307177834816,0.0978623634827463,0
545,0.685046,43.138,0.000126465,0.07486728,0.07486728,0.07486728,0.07486728,0.0746860903691077,0.0746860903691077,0.0744456970624121,0.0742166134961256,0.0740184299591402,0.073789735807216,0.0722621550841135,0.0708021321421602,0.0682505348100364,0.0654826110833625,0.0628304402502098,0.0600730517991759,0.0575228311183128,0.0551092966864243,0.0526882194991917,0.050399139112348,0
473,0.251702,34.2498,8.74759e-05,0.0517857328,0.0517857328,0.0517857328,0.0517857328,0.0516604038470646,0.0516604038470646,0.0514941236837216,0.0513356664731406,0.0511985828273653,0.0510403949748819,0.0499837666700068,0.0489738681141375,0.0472089270390169,0.0452943528950074,0.0434598450819067,0.0415525581930141,0.0397885693482183,0.038119126446147,0.0364444662166555,0.0348611082360957,0
649,0.645934,39.25,0.000162824,0.096391808,0.096391808,0.096391808,0.096391808,0.0961585259024994,0.0961585259024994,0.0958490189261074,0.0955540732684391,0.0952989114748511,0.0950044671891364,0.0930377032334298,0.0911579200878907,0.0878727322176837,0.0843090235799424,0.0808943470786396,0.0773442026343179,0.0740607872060109,0.0709533556610157,0.0678362127998765,0.0648890161454074,0
534,0.78573,36.1663,0.000167313,0.099049296,0.099049296,0.099049296,0.099049296,0.098809582397711,0.098809582397711,0.0984915424236219,0.0981884652186554,0.0979262687048086,0.0976237066944429,0.0956027197531988,0.0936711116522457,0.0902953523162268,0.0866333934937779,0.083124575570975,0.0794765549019532,0.0761026168734296,0.0729095145415388,0.0697064331559583,0.0666779833337625,0
506,0.848627,57.873,0.000131977,0.078130384,0.078130384,0.078130384,0.078130384,0.0779412971861284,0.0779412971861284,0.077690426293488,0.0774513580783471,0.077244536675898,0.0770058748478151,0.0754117142413794,0.0738880559342576,0.0712252467688624,0.0683366825837103,0.0655689164029727,0.0626913466753634,0.0600299741628243,0.0575112453942531,0.0549846451179759,0.0525957947466125,0
722,0.040694,9.35503,0.000218687,0.129462704,0.129462704,0.129462704,0.129462704,0.129149385557657,0.129149385557657,0.128733690376687,0.12833755233169,0.127994847526782,0.127599382868562,0.124957845323841,0.122433130682581,0.118020833479638,0.113234458308522,0.108648246447615,0.1038800891852,0.0994701725281341,0.0952966177556167,0.0911100198285671,0.0871516746535567,0
1037,0.415022,31.9317,0.000163922,0.097041824,0.097041824,0.097041824,0.097041824,0.0968069687698958,0.0968069687698958,0.0964953746401353,0.0961984400230253,0.0959415575515928,0.095645127687427,0.0936651009030013,0.0917726414818898,0.0884653000208026,0.0848775595936183,0.0814398562977495,0.0778657715338197,0.0745602144670547,0.0714318280269801,0.0682936647827185,0.0653265937735682,0
1145,0.152287,18.6083,1.49289e-05,0.0088379088,0.0088379088,0.0088379088,0.0088379088,0.00881651978421992,0.00881651978421992,0.00878814191179412,0.00876109912799833,0.00873770402100983,0.00871070720667652,0.00853037984450419,0.00835802752174195,0.00805681737338831,0.00773007039578073,0.00741698777884282,0.0070914844660951,0.00679043682823058,0.00650552468510623,0.00621972213720384,0.00594950150551008,0
1317,0.21561,18.4278,0.00018323,0.10847216,0.10847216,0.10847216,0.10847216,0.10820964170586,0.10820964170586,0.1078613456114,0.107529435740285,0.107242295666099,0.10691095000163,0.104697700360275,0.102582332443032,0.0988854267444983,0.0948750945226308,0.0910324719649385,0.0870374038758787,0.083342492751421,0.0798456207792949,0.0763378204154264,0.0730212648523744,0
1066,0.331404,32.8023,0.000137652,0.081489984,0.081489984,0.081489984,0.081489984,0.0812927664688919,0.0812927664688919,0.0810311081487775,0.0807817600203114,0.0805660453147951,0.0803171210479966,0.078654411668354,0.0770652361810196,0.0742879264434518,0.0712751542390939,0.0683883743432719,0.0653870693572147,0.0626112580484561,0.059984224152767,0.0573489802751966,0.0548574095369701,0
1292,0.145897,24.7525,3.06523e-05,0.0181461616,0.0181461616,0.0181461616,0.0181461616,0.0181022452680267,0.0181022452680267,0.0180439792833288,0.0179884545278717,0.0179404192514653,0.0178849888813785,0.0175147373287848,0.0171608602780306,0.0165424099012192,0.0158715268233152,0.0152286996693275,0.0145603701076494,0.0139422534004496,0.0133572663964044,0.0127704511964186,0.0122156290816702,0
881,0.501135,47.7413,0.000110391,0.065351472,0.065351472,0.065351472,0.065351472,0.0651933119988627,0.0651933119988627,0.0649834732488572,0.0647835067445601,0.0646105128029055,0.0644108862174861,0.063077464609895,0.06180301403001,0.0595757307414283,0.057159616653647,0.0548445429934046,0.0524376251228626,0.0502115435099171,0.0481047750010759,0.0459914224388983,0.0439932895722232,0
734,0.98842,45.851,0.00012233,0.07241936,0.07241936,0.07241936,0.07241936,0.0722440946890677,0.0722440946890677,0.0720115614726989,0.0717899682044917,0.0715982646337059,0.0713770480472599,0.0698994143157364,0.0684871294425372,0.0660189611616792,0.0633415396657394,0.0607760863148552,0.0581088556248226,0.0556420189831432,0.0533073993883706,0.0509654836621684,0.0487512488642196,0
714,0.0424218,15.3315,0.000131899,0.078084208,0.078084208,0.078084208,0.078084208,0.0778952329387177,0.0778952329387177,0.0776445103138029,0.0774055833908628,0.077198884222359,0.0769603634462972,0.0753671450080219,0.0738443872013505,0.0711831517883129,0.0682962947794601,0.065530164381943,0.0626542953327758,0.0599944957235151,0.057477255554048,0.0549521485290308,0.052564709997071,0
581,0.341725,33.3039,0.000162632,0.096278144,0.096278144,0.096278144,0.096278144,0.0960451369857963,0.0960451369857963,0.0957359949761135,0.0954413971146317,0.0951865362046012,0.0948924391238615,0.0929279943513189,0.0910504278222734,0.0877691138040236,0.0842096074464034,0.0807989574884128,0.077252999329487,0.0739734556630962,0.0708696883620493,0.0677562211963195,0.0648124998388438,0
777,0.353458,31.1194,0.000171224,0.101364608,0.101364608,0.101364608,0.101364608,0.101119291008264,0.101119291008264,0.100793816738342,0.100483654997514,0.100215329548285,0.0999056950449116,0.0978374668257799,0.0958607067086486,0.092406037815314,0.0886584794222722,0.0850676416510649,0.0813343472206705,0.077881542208532,0.0746137999907984,0.0713358454554984,0.0682366045575667,0
