"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
444,0.870841,37.5659,0.000235149,0.000234710747215606,0.000234710747215606,0.000234710747215606,0.000234710747215606,0.000234661212682835,0.000234223874447679,0.00023369664847628,0.000233525820965407,0.000233512677223264,0.000233225978580277,0.00018664297651535,0.000152285781847209,0.000120597218059345,0.000120597218059345,9.60735585518558e-05,7.53086515302365e-05,7.53086515302365e-05,5.77223466723467e-05,5.74454530155655e-05,5.65116229205155e-05,0
439,0.447194,30.4598,0.000242541,0.000242088970569385,0.000242088970569385,0.000242088970569385,0.000242088970569385,0.000242037878899367,0.000241586792767201,0.000241042993242945,0.000240866795703026,0.000240853238782251,0.000240557527656247,0.000192510170857667,0.000157072944452257,0.000124388238373677,0.000124388238373677,9.90936681198969e-05,7.76760081939327e-05,7.76760081939327e-05,5.95368710232986e-05,5.92512731070439e-05,5.82880877008396e-05,0
896,0.615136,53.1703,4.8106e-05,4.80163437035834e-05,4.80163437035834e-05,4.80163437035834e-05,4.80163437035834e-05,4.80062100936871e-05,4.79167408927109e-05,4.78088827577404e-05,4.77739354339669e-05,4.77712465309328e-05,4.77125946764936e-05,3.81827991114036e-05,3.11541185441649e-05,2.46713776029788e-05,2.46713776029788e-05,1.96544089394196e-05,1.54063933527829e-05,1.54063933527829e-05,1.18086456205211e-05,1.17519996375353e-05,1.15609597838575e-05,0
406,0.285116,46.0063,0.00018528,0.000184934689257056,0.000184934689257056,0.000184934689257056,0.000184934689257056,0.000184895659713099,0.000184551069567236,0.0001841356545411,0.00018400105511174,0.000183990698816182,0.000183764801514587,0.000147060845203527,0.000119989919840828,9.50216780085627e-05,9.50216780085627e-05,7.56988502119415e-05,5.93376410510876e-05,5.93376410510876e-05,4.54809350303526e-05,4.52627633318618e-05,4.45269743639697e-05,0
668,0.176029,22.5398,0.000122122,0.000121894398323889,0.000121894398323889,0.000121894398323889,0.000121894398323889,0.000121868673118972,0.000121641546403767,0.000121367737499289,0.000121279020144408,0.000121272194089107,0.000121123300359264,9.69309398636933e-05,7.90879155375733e-05,6.26308147763477e-05,6.26308147763477e-05,4.98947268220138e-05,3.91107048814817e-05,3.91107048814817e-05,2.99774543813511e-05,2.98336527612998e-05,2.93486785582724e-05,0
623,0.884549,50.03,9.71819e-05,9.70007797814674e-05,9.70007797814674e-05,9.70007797814674e-05,9.70007797814674e-05,9.69803082506069e-05,9.6799565995122e-05,9.65816751189967e-05,9.65110758730767e-05,9.65056438540819e-05,9.63871576225738e-05,7.71354293635827e-05,6.29363578960457e-05,4.98401727658697e-05,4.98401727658697e-05,3.97050846902627e-05,3.11234061898893e-05,3.11234061898893e-05,2.38553739206942e-05,2.37409398739241e-05,2.33550084733477e-05,0
792,0.767131,46.2436,0.000175672,0.000175344595915185,0.000175344595915185,0.000175344595915185,0.000175344595915185,0.000175307590312606,0.000174980869457122,0.000174586996462349,0.000174459376908407,0.000174449557655636,0.00017423537463121,0.000139434762514,0.000113767644636647,9.00941721670997e-05,9.00941721670997e-05,7.17733614768577e-05,5.62605898031448e-05,5.62605898031448e-05,4.31224461283037e-05,4.29155880830895e-05,4.22179546657345e-05,0
892,0.271903,28.8147,5.33561e-05,5.32566589673381e-05,5.32566589673381e-05,5.32566589673381e-05,5.32566589673381e-05,5.32454194150372e-05,5.31461858966776e-05,5.30265565482533e-05,5.29877952107488e-05,5.29848128513929e-05,5.29197599637979e-05,4.2349919919926e-05,3.45541567466494e-05,2.7363914907128e-05,2.7363914907128e-05,2.17994139777276e-05,1.70877866455416e-05,1.70877866455416e-05,1.30973948487316e-05,1.30345667455265e-05,1.28226775521449e-05,0
1170,0.376467,33.4013,0.000183094,0.000182752763357251,0.000182752763357251,0.000182752763357251,0.000182752763357251,0.000182714194297875,0.000182373669750343,0.000181963155939919,0.00018183014456298,0.000181819910454717,0.000181596678370638,0.000145325768521667,0.000118574235661359,9.39005781158235e-05,9.39005781158235e-05,7.48057279830808e-05,5.86375542455086e-05,5.86375542455086e-05,4.49443346202903e-05,4.47287369898743e-05,4.40016291245502e-05,0
1673,0.295154,26.5345,0.000246536,0.000246076524992862,0.000246076524992862,0.000246076524992862,0.000246076524992862,0.000246024591769369,0.000245566075598166,0.000245013318911618,0.00024483421914415,0.000244820438921342,0.000244519857006694,0.00019568109096015,0.000159660162337426,0.000126437092020288,0.000126437092020288,0.000100725883721131,7.89554440531679e-05,7.89554440531679e-05,6.05175291377538e-05,6.02272270120028e-05,5.92481765533011e-05,0
792,0.64507,38.7824,0.00023327,0.000232835249152598,0.000232835249152598,0.000232835249152598,0.000232835249152598,0.000232786110434341,0.00023235226682831,0.000231829253750013,0.000231659791266816,0.000231646752552087,0.000231362344825711,0.000185151572542242,0.000151068915162295,0.00011963356449189,0.00011963356449189,9.53058656570574e-05,7.47068843263559e-05,7.47068843263559e-05,5.72611059722062e-05,5.6986424883546e-05,5.60600567243264e-05,0
