"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
634,0.290382,23.4619,6.9084e-06,0.00379962,0.00379962,0.00379962,0.00379665599846557,0.00379665599846557,0.00379665599846557,0.00379665599846557,0.00378874694536528,0.00378121221591587,0.00377284038255239,0.00375241148413029,0.00296777524740319,0.00237143469557304,0.0019473722134458,0.00157175678051846,0.00156105016627214,0.00154232790135371,0.00154232790135371,0.00151092950512463,0.00108264880205762,0
736,0.126712,3.93732,0.000182725,0.10049875,0.10049875,0.10049875,0.100420353094728,0.100420353094728,0.100420353094728,0.100420353094728,0.10021116113599,0.100011869919696,0.0997904375690297,0.0992500996522649,0.0784967187889741,0.0627236993730217,0.0515073805370105,0.0415724708644888,0.0412892842962302,0.0407940862970959,0.0407940862970959,0.0399636086248478,0.0286357191760723,0
1746,0.413833,35.4786,4.78994e-05,0.02634467,0.02634467,0.02634467,0.0263241190916713,0.0263241190916713,0.0263241190916713,0.0263241190916713,0.0262692816621547,0.0262170396061375,0.0261589934890901,0.0260173496964493,0.0205770733723387,0.016442345413863,0.0135021076661348,0.0108977775943439,0.0108235432711389,0.0106937324240203,0.0106937324240203,0.0104760316046794,0.00750654681681412,0
1947,0.413623,40.2788,3.62091e-05,0.019915005,0.019915005,0.019915005,0.0198994697345318,0.0198994697345318,0.0198994697345318,0.0198994697345318,0.0198580158965066,0.0198185240066179,0.0197746445914941,0.0196675703013754,0.0155550446862873,0.0124294360540029,0.0102067910390076,0.00823807226586051,0.00818195552885829,0.00808382624238706,0.00808382624238706,0.00791925735973719,0.00567450332039032,0
655,0.824827,7.29963,6.56146e-05,0.03608803,0.03608803,0.03608803,0.0360598785068785,0.0360598785068785,0.0360598785068785,0.0360598785068785,0.0359847599040827,0.0359131965523758,0.0358336825552982,0.0356396529683596,0.0281873350918102,0.0225234119298458,0.0184957513804008,0.0149282312041871,0.0148265419257542,0.0146487216021312,0.0146487216021312,0.014350505921335,0.0102827815539763,0
1517,0.385297,40.5029,4.25667e-05,0.023411685,0.023411685,0.023411685,0.0233934220499514,0.0233934220499514,0.0233934220499514,0.0233934220499514,0.0233446897399225,0.023298263857221,0.0232466800868497,0.0231208056744729,0.0182862021052107,0.0146117985721801,0.0119989011635231,0.00968451440989157,0.00961854468656366,0.00950318584311173,0.00950318584311173,0.00930972192776747,0.00667083358846419,0
1673,0.808979,2.7212,7.86181e-05,0.043239955,0.043239955,0.043239955,0.0432062244445843,0.0432062244445843,0.0432062244445843,0.0432062244445843,0.0431162188387213,0.0430304730635306,0.0429352009842426,0.0427027186179873,0.0337735005468515,0.0269871012159155,0.0221612389864372,0.0178867077393431,0.0177648656819234,0.0175518049304349,0.0175518049304349,0.0171944888725087,0.0123206229785545,0
457,0.337023,33.3333,4.40628e-05,0.02423454,0.02423454,0.02423454,0.02421563515853,0.02421563515853,0.02421563515853,0.02421563515853,0.0241651900446183,0.0241171324224795,0.0240637356273999,0.0239334370828174,0.0189289107711304,0.0151253622697145,0.0124206288527907,0.0100248979023549,0.00995660952846044,0.0098371961455284,0.0098371961455284,0.00963693251670513,0.00690529466089172,0
2166,0.11881,13.3653,4.87926e-05,0.02683593,0.02683593,0.02683593,0.0268149958703508,0.0268149958703508,0.0268149958703508,0.0268149958703508,0.0267591358645171,0.02670591962919,0.0266467911020968,0.0265025060188431,0.0209607826032721,0.0167489526557838,0.0137538870739644,0.0111009929779869,0.0110253743765344,0.0108931428926511,0.0108931428926511,0.0106713825157409,0.00764652451208333,0
548,0.780739,45.9391,1.73121e-05,0.009521655,0.009521655,0.009521655,0.00951422736249144,0.00951422736249144,0.00951422736249144,0.00951422736249144,0.0094944076765761,0.00947552602674383,0.00945454663696155,0.0094033528536871,0.00743709424187494,0.00594269506589514,0.00488001599449872,0.00393874277112118,0.00391191253886862,0.00386499549259244,0.00386499549259244,0.00378631270419608,0.00271306298507638,0
553,0.333758,19.8555,7.14389e-05,0.039291395,0.039291395,0.039291395,0.0392607446309974,0.0392607446309974,0.0392607446309974,0.0392607446309974,0.039178958102492,0.0391010424080238,0.0390144703267213,0.0388032176442643,0.0306893924963395,0.0245227094658058,0.0201375323981143,0.016253340204357,0.01614262444608,0.0159490198471452,0.0159490198471452,0.015624332960403,0.0111955357977699,0
463,0.202477,20.4919,1.02016e-05,0.00561088,0.00561088,0.00561088,0.00560650307364171,0.00560650307364171,0.00560650307364171,0.00560650307364171,0.00559482381417383,0.00558369731658377,0.00557133467179758,0.0055411674188674,0.00438249898151648,0.00350188584771552,0.00287567488458813,0.00232100543861633,0.00230519503448583,0.00227754795878207,0.00227754795878207,0.00223118210287179,0.00159874211381376,0
484,0.550215,31.4798,1.76153e-05,0.009688415,0.009688415,0.009688415,0.00968085727661551,0.00968085727661551,0.00968085727661551,0.00968085727661551,0.00966069047343713,0.00964147813488257,0.00962013131705967,0.00956804093804647,0.00756734574077666,0.00604677401321981,0.00496548343343057,0.00400772497479398,0.00398042484423798,0.0039326861039772,0.0039326861039772,0.00385262528394736,0.0027605789246259,0
1499,0.546004,13.6728,9.82043e-05,0.054012365,0.054012365,0.054012365,0.053970231120102,0.053970231120102,0.053970231120102,0.053970231120102,0.0538578023343663,0.0537506946348599,0.0536316873343016,0.0533412864210202,0.042187523989427,0.0337104227135752,0.0276822889613941,0.0223428397893967,0.0221906431074691,0.0219245023338125,0.0219245023338125,0.021478167795743,0.0153900711817363,0
1458,0.288821,26.5043,4.325e-06,0.00237875,0.00237875,0.00237875,0.00237689438847832,0.00237689438847832,0.00237689438847832,0.00237689438847832,0.00237194293015819,0.00236722581695271,0.00236198463530471,0.00234919513474372,0.00185797405260535,0.00148463537987861,0.00121915129742821,0.000983997463340617,0.000977294593411935,0.00096557352981223,0.00096557352981223,0.000945916581214759,0.000677791683877482,0
553,0.284407,14.3796,6.2603e-06,0.003443165,0.003443165,0.003443165,0.00344047906131579,0.00344047906131579,0.00344047906131579,0.00344047906131579,0.00343331198281372,0.00342648411141481,0.00341889766760649,0.00340038527214707,0.002689358372607,0.0021489625129836,0.00176468274388205,0.00142430504502919,0.00141460285390445,0.00139763698697884,0.00139763698697884,0.0013691841788159,0.000981081914122127,0
526,0.88091,81.7165,8.1542e-06,0.00448481,0.00448481,0.00448481,0.0044813114965387,0.0044813114965387,0.0044813114965387,0.0044813114965387,0.00447197619447305,0.00446308271828805,0.00445320118224316,0.00442908831623751,0.0035029576924288,0.00279907833863726,0.00229854416404373,0.00185519355273342,0.00184255620198835,0.0018204577287387,0.0018204577287387,0.00178339722232171,0.00127788414998237,0
541,0.16724,10.527,3.8759e-05,0.02131745,0.02131745,0.02131745,0.0213008207174638,0.0213008207174638,0.0213008207174638,0.0213008207174638,0.0212564476369945,0.0212141746680393,0.0211672051976359,0.0210525905728397,0.0166504546369782,0.0133047358817838,0.0109255688178081,0.00881820986858242,0.00875814130544582,0.00865310160508491,0.00865310160508491,0.00847694353093708,0.00607411049142366,0
521,0.186198,14.4401,8.7569e-05,0.04816295,0.04816295,0.04816295,0.0481253791224642,0.0481253791224642,0.0481253791224642,0.0481253791224642,0.0480251261158434,0.0479296179340421,0.0478234988506354,0.0475645476888723,0.0376187120953984,0.0300596614059167,0.0246843606854315,0.0199231615878091,0.0197874474567606,0.0195501291172548,0.0195501291172548,0.0191521315839064,0.0137233618417265,0
357,0.318815,22.0964,6.46156e-05,0.03553858,0.03553858,0.03553858,0.0355108571209617,0.0355108571209617,0.0355108571209617,0.0355108571209617,0.0354368822191745,0.0353664084388184,0.0352881050638139,0.0350970296297217,0.0277581753048616,0.022180486902216,0.0182141485720468,0.0147009448536953,0.0146008038219811,0.0144256908607943,0.0144256908607943,0.0141320155942521,0.0101262234286136,0
354,0.269912,23.1886,8.5502e-05,0.0470261,0.0470261,0.0470261,0.0469894159546065,0.0469894159546065,0.0469894159546065,0.0469894159546065,0.0468915293443666,0.0467982755609458,0.0466946613382251,0.0464418225227416,0.0367307508545347,0.0293501258382383,0.0241017050249034,0.0194528904301848,0.0193203797285335,0.019088663108903,0.019088663108903,0.0187000600062484,0.0133994322670272,0
432,0.518894,19.928,5.78176e-05,0.03179968,0.03179968,0.03179968,0.031774873756135,0.031774873756135,0.031774873756135,0.031774873756135,0.0317086815164657,0.0316456220564729,0.0315755567283685,0.0314045837277592,0.0248378267246047,0.0198469490265132,0.0162978964287134,0.0131543056038017,0.0130647000887986,0.0129080102005252,0.0129080102005252,0.012645231566715,0.00906087594491438,0
1122,0.971603,14.657,1.40947e-05,0.007752085,0.007752085,0.007752085,0.00774603776584632,0.00774603776584632,0.00774603776584632,0.00774603776584632,0.00772990150698281,0.00771452895311061,0.00769744851774088,0.00765576894003983,0.00605493338248709,0.00483826365058382,0.00397308018308935,0.0032067396639415,0.00318489574699727,0.00314669808801027,0.00314669808801027,0.00308263825138674,0.00220884865820762,0
678,0.508007,12.6262,7.09617e-05,0.039028935,0.039028935,0.039028935,0.0389984893703773,0.0389984893703773,0.0389984893703773,0.0389984893703773,0.0389172491623136,0.038839853931758,0.0387538601375959,0.03854401858801,0.0304843924459573,0.02435890183499,0.0200030170225923,0.0161447705882862,0.0160347943929063,0.0158424830405726,0.0158424830405726,0.015519965008367,0.0111207514760251,0
681,0.11077,13.3187,3.95543e-05,0.021754865,0.021754865,0.021754865,0.0217378944994654,0.0217378944994654,0.0217378944994654,0.0217378944994654,0.0216926109230881,0.0216494705506341,0.0216015373087244,0.02148457089438,0.0169921070679695,0.0135777371575335,0.0111497517141884,0.00899915164490492,0.0089378505285997,0.00883065550757269,0.00883065550757269,0.00865088282736253,0.00619874580383702,0
661,0.282418,2.78475,0.000155885,0.08573675,0.08573675,0.08573675,0.085669868612241,0.085669868612241,0.085669868612241,0.085669868612241,0.0854914043162334,0.0853213864683638,0.085132479739763,0.0846715106542253,0.0669665399284128,0.0535103783103762,0.0439415953756294,0.0354659987451681,0.0352244087153802,0.0348019490623768,0.0348019490623768,0.0340934580954134,0.0244294928650269,0
610,0.682475,23.0255,3.61109e-05,0.019860995,0.019860995,0.019860995,0.0198455018665669,0.0198455018665669,0.0198455018665669,0.0198455018665669,0.0198041604524045,0.0197647756655255,0.0197210152524913,0.0196142313505704,0.0155128590095322,0.012395727107343,0.0101791099621504,0.00821573040438073,0.00815976585739631,0.00806190270004542,0.00806190270004542,0.0078977801323903,0.0056591139230824,0
648,0.354389,34.8982,1.54203e-05,0.008481165,0.008481165,0.008481165,0.00847454902627796,0.00847454902627796,0.00847454902627796,0.00847454902627796,0.00845689515974991,0.0084400768243135,0.00842138998191659,0.00837579045925746,0.00662439705974342,0.00529330010366291,0.00434674653219243,0.00350833204253209,0.00348443371532718,0.00344264358422278,0.00344264358422278,0.00337255894966611,0.00241658985038056,0
1077,0.832662,18.7892,6.72076e-05,0.03696418,0.03696418,0.03696418,0.0369353450411781,0.0369353450411781,0.0369353450411781,0.0369353450411781,0.0368584026989363,0.036785101922643,0.0367036574741514,0.0365049172110524,0.0288716709682958,0.0230702383252554,0.0189447936964246,0.0152906607901065,0.0151865026858247,0.0150043652166956,0.0150043652166956,0.0146989094158726,0.0105324282944195,0
1377,0.141226,8.38916,0.000149352,0.0821436,0.0821436,0.0821436,0.0820795215509858,0.0820795215509858,0.0820795215509858,0.0820795215509858,0.0819085365329448,0.081745643980005,0.0815646541623189,0.0811230038761257,0.064160032532882,0.0512678065330936,0.0421000426759534,0.033979650669329,0.0337481854601756,0.0333434307108708,0.0333434307108708,0.0326646319624478,0.0234056748139814,0
1495,0.860159,53.054,2.33524e-05,0.01284382,0.01284382,0.01284382,0.012833800813295,0.012833800813295,0.012833800813295,0.012833800813295,0.0128070659149656,0.0127815963393772,0.0127532971092462,0.0126842414947027,0.0100319429516905,0.00801613855377508,0.00658268410591043,0.005312994765992,0.00527680329784806,0.00521351660059818,0.00521351660059818,0.00510738089506579,0.00365966763435388,0
1297,0.326764,15.7845,0.00015419,0.0848045,0.0848045,0.0848045,0.0847383458403402,0.0847383458403402,0.0847383458403402,0.0847383458403402,0.0845618220580558,0.084393652882298,0.0842068002121696,0.0837508434280078,0.066238385935542,0.0529285385487821,0.0434638008209147,0.0350803627450843,0.0348413996203899,0.0344235335402885,0.0344235335402885,0.0337227462791916,0.024163861210883,0
956,0.0413271,2.06259,7.71187e-05,0.042415285,0.042415285,0.042415285,0.042382197751848,0.042382197751848,0.042382197751848,0.042382197751848,0.0422939087278591,0.0422097982912904,0.0421163432357626,0.0418882947601758,0.0331293742359899,0.0264724047330045,0.0217385810776826,0.0175455734511274,0.0174260551586028,0.0172170578898336,0.0172170578898336,0.0168665565437518,0.0120856447471543,0
1012,0.118627,9.88946,0.000111328,0.0612304,0.0612304,0.0612304,0.061182635486824,0.061182635486824,0.061182635486824,0.061182635486824,0.0610551820875494,0.0609337608669853,0.060798849821781,0.0604696406845661,0.0478253260875026,0.0382153728488152,0.0313816591075348,0.0253286634910484,0.0251561277445928,0.0248544207923551,0.0248544207923551,0.0243484395730582,0.0174467497301069,0
822,0.441332,22.418,6.47324e-05,0.03560282,0.03560282,0.03560282,0.0355750470087246,0.0355750470087246,0.0355750470087246,0.0355750470087246,0.0355009383889415,0.0354303372192624,0.0353518923020575,0.0351604714775224,0.0278083513440163,0.0222205806391801,0.0182470727041947,0.0147275184730521,0.0146271964251049,0.0144517669274491,0.0144517669274491,0.0141575608096708,0.0101445277219493,0
560,0.265965,11.149,0.000115592,0.0635756,0.0635756,0.0635756,0.0635260060469331,0.0635260060469331,0.0635260060469331,0.0635260060469331,0.0633936710249354,0.0632675992215486,0.0631275209165647,0.0627857026624961,0.0496570951881521,0.0396790688626424,0.0325836154386872,0.0262987826086633,0.0261196385298664,0.0258063758284521,0.0258063758284521,0.0252810149030697,0.018114981808732,0
391,0.858476,23.4407,6.40297e-05,0.035216335,0.035216335,0.035216335,0.0351888634973295,0.0351888634973295,0.0351888634973295,0.0351888634973295,0.0351155593607283,0.0350457245992456,0.0349681312377272,0.0347787883743583,0.0275064788892728,0.0219793660076331,0.0180489923303906,0.0145676444805689,0.0144684114746331,0.014294886344929,0.014294886344929,0.01400387396999,0.0100344042037387,0
2250,0.0455771,2.96454,0.000205347,0.11294085,0.11294085,0.11294085,0.112852747281123,0.112852747281123,0.112852747281123,0.112852747281123,0.112617656619467,0.112393692447119,0.112144845989807,0.111537612331611,0.0882148896601968,0.0704891147634527,0.0578841760631194,0.046719289503955,0.0464010434389273,0.0458445381795033,0.0458445381795033,0.0449112444399323,0.032180922291142,0
403,0.310303,25.7014,2.09001e-05,0.011495055,0.011495055,0.011495055,0.0114860879557539,0.0114860879557539,0.0114860879557539,0.0114860879557539,0.0114621605629131,0.0114393656177788,0.011414038167938,0.0113522342741404,0.00897846092412882,0.00717434171167651,0.00589141827315131,0.00475506251643127,0.0047226716142818,0.00466603082784476,0.00466603082784476,0.00457104072579112,0.00327535583172434,0
430,0.446474,40.5084,1.2559e-05,0.00690745,0.00690745,0.00690745,0.00690206164737553,0.00690206164737553,0.00690206164737553,0.00690206164737553,0.00688768352829057,0.00687398590407147,0.0068587664820328,0.00682162813809164,0.00539521297726488,0.00431110652853074,0.0035401898599771,0.00285734662244967,0.00283788272801399,0.00280384692737845,0.00280384692737845,0.00274676678461876,0.00196818167810804,0
