"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1331,0.186383,4.91718,0.000242989,0.000242850951244766,0.000242850951244766,0.000242698917707032,0.000242580732376739,0.000242159798968362,0.000241990196442571,0.000240844345617844,0.000239582187375214,0.000239004618362042,0.000227070905173255,0.00018067136951902,0.00017774838911058,0.000175517597468247,0.000143383128504785,0.000118734120137193,9.89620407228957e-05,7.65210390287441e-05,7.65210390287441e-05,7.65210390287441e-05,7.65210390287441e-05,0
2415,0.152437,10.8171,8.40789e-05,8.40311324570805e-05,8.40311324570805e-05,8.39785259085709e-05,8.39376314953787e-05,8.37919803838077e-05,8.37332946251694e-05,8.333680804797e-05,8.29000768516347e-05,8.27002267872222e-05,7.8570930902105e-05,6.25157929398151e-05,6.15043851087478e-05,6.07324879964649e-05,4.96133393826098e-05,4.1084305106828e-05,3.42427827010123e-05,2.64777614969973e-05,2.64777614969973e-05,2.64777614969973e-05,2.64777614969973e-05,0
1413,0.420496,18.4549,0.000220941,0.000220815477321894,0.000220815477321894,0.000220677238793152,0.000220569777199993,0.000220187037865372,0.000220032824499126,0.000218990944302631,0.000217843310029948,0.000217318147675525,0.000206467259258173,0.000164277860532377,0.000161620101479822,0.000159591724325924,0.000130373028388016,0.000107960587669531,8.99825598663203e-05,6.95777787638525e-05,6.95777787638525e-05,6.95777787638525e-05,6.95777787638525e-05,0
1095,0.349339,17.1768,0.000244431,0.000244292132004779,0.000244292132004779,0.000244139196235416,0.000244020309543142,0.000243596878137018,0.000243426269117754,0.00024227361832723,0.000241003969901151,0.00024042297334798,0.000228418440433122,0.00018174355021381,0.000178803223597315,0.000176559193489257,0.000144234024929331,0.000119438738869884,9.95493235329094e-05,7.69751473969396e-05,7.69751473969396e-05,7.69751473969396e-05,7.69751473969396e-05,0
1391,0.0315154,6.37439,0.000183517,0.000183412738928864,0.000183412738928864,0.000183297915876197,0.000183208656620596,0.000182890747430036,0.000182762655431115,0.000181897253681236,0.00018094401096567,0.000180507803019672,0.00017149488785369,0.000136451722999897,0.000134244147366367,0.000132559346038629,0.000108289846840032,8.96737281326202e-05,7.47409011409721e-05,5.77923754550125e-05,5.77923754550125e-05,5.77923754550125e-05,5.77923754550125e-05,0
5442,0.810709,25.7346,0.000122648,0.000122578320287207,0.000122578320287207,0.000122501581795604,0.000122441928089511,0.000122229463160356,0.000122143856772481,0.000121565491859045,0.000120928421110401,0.000120636894809509,0.000114613387345474,9.11933549616187e-05,8.97179889938819e-05,8.85920033181979e-05,7.23722223839552e-05,5.99307061907595e-05,4.99508058824956e-05,3.86237747173634e-05,3.86237747173634e-05,3.86237747173634e-05,3.86237747173634e-05,0
1359,0.499027,24.9801,0.000110789,0.000110726057712309,0.000110726057712309,0.000110656739168622,0.000110602853459566,0.000110410932050035,0.000110333603058887,0.000109811161026447,0.000109235689504926,0.000108972351273977,0.000103531264844251,8.23757468759603e-05,8.104303602703e-05,8.00259234200298e-05,6.53744549091384e-05,5.41359256422286e-05,4.51209953111001e-05,3.4889190016649e-05,3.4889190016649e-05,3.4889190016649e-05,3.4889190016649e-05,0
1568,0.453946,18.825,0.000139513,0.000139433738815383,0.000139433738815383,0.000139346448218072,0.000139278591689648,0.000139036911273651,0.000138939533379257,0.000138281639046139,0.000137556966394685,0.000137225353088179,0.000130373569146901,0.000103733110452354,0.00010205487083771,0.000100774053869054,8.23239340344134e-05,6.81716180678969e-05,5.68194082340079e-05,4.39348271650864e-05,4.39348271650864e-05,4.39348271650864e-05,4.39348271650864e-05,0
1506,0.117378,8.11396,0.000186042,0.000185936304406696,0.000185936304406696,0.000185819901510157,0.000185729414141518,0.000185407130856426,0.000185277276446953,0.000184399967683455,0.000183433609355401,0.000182991399649001,0.000173854476294165,0.000138329154521635,0.000136091204980104,0.000134383222566403,0.000109779800704095,9.09075438746761e-05,7.57692569629447e-05,5.85875374728305e-05,5.85875374728305e-05,5.85875374728305e-05,5.85875374728305e-05,0
1449,0.392774,31.495,5.26486e-05,5.26186888777071e-05,5.26186888777071e-05,5.2585747662612e-05,5.25601403627735e-05,5.24689364208492e-05,5.24321885205764e-05,5.21839162048308e-05,5.19104434778639e-05,5.17853011876909e-05,4.91996150365022e-05,3.91461945407367e-05,3.85128702901253e-05,3.80295230733356e-05,3.10669247554294e-05,2.57262065256247e-05,2.1442175971766e-05,1.65798681232843e-05,1.65798681232843e-05,1.65798681232843e-05,1.65798681232843e-05,0
