"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
3119,0.0378583,1.9754,7.26875e-05,7.25847816948254e-05,7.25847816948254e-05,7.25847816948254e-05,7.24069904108817e-05,7.21596976381362e-05,7.21596976381362e-05,7.20482030128045e-05,7.16959416269152e-05,7.16959416269152e-05,7.1572799539759e-05,7.13595002042861e-05,7.10244484457799e-05,7.08278703011268e-05,7.04539263636036e-05,7.00672251714451e-05,6.96185008215403e-05,6.9507279758495e-05,6.90457106999458e-05,6.86466718272087e-05,6.82409860974911e-05,0
3065,0.874101,14.4805,1.81326e-05,1.81069759251535e-05,1.81069759251535e-05,1.81069759251535e-05,1.80626241695526e-05,1.80009345952642e-05,1.80009345952642e-05,1.79731211824589e-05,1.78852461722332e-05,1.78852461722332e-05,1.78545271874068e-05,1.78013176048734e-05,1.77177357026717e-05,1.76686973829367e-05,1.75754134504651e-05,1.74789470974204e-05,1.73670084677099e-05,1.73392632976631e-05,1.7224120431131e-05,1.71245763243205e-05,1.70233740947394e-05,0
3001,0.259119,23.2887,4.7906e-06,4.78383016594642e-06,4.78383016594642e-06,4.78383016594642e-06,4.77211251263793e-06,4.75581423910927e-06,4.75581423910927e-06,4.74846598594176e-06,4.72524956777851e-06,4.72524956777851e-06,4.71713366775814e-06,4.70307579265559e-06,4.68099360583805e-06,4.66803777079386e-06,4.64339232519318e-06,4.61790608985486e-06,4.58833210711156e-06,4.58100188355695e-06,4.55058134726274e-06,4.52428197496717e-06,4.49754452964596e-06,0
3133,0.0177373,0.255347,0.000227931,0.000227608899418514,0.000227608899418514,0.000227608899418514,0.000227051387533519,0.000226275935234504,0.000226275935234504,0.000225926314165593,0.000224821704845598,0.000224821704845598,0.000224435560060489,0.000223766703230447,0.000222716059276974,0.000222099636190626,0.000220927035459777,0.000219714430962031,0.00021830733634744,0.000217958573105878,0.000216511200489071,0.000215259907910542,0.000213987772343075,0
3380,0.110448,6.44573,6.40642e-05,6.39736677070148e-05,6.39736677070148e-05,6.39736677070148e-05,6.38169687371392e-05,6.35990136052152e-05,6.35990136052152e-05,6.35007461730409e-05,6.31902754060192e-05,6.31902754060192e-05,6.30817423116083e-05,6.28937477969036e-05,6.2598444988755e-05,6.24251879421558e-05,6.20956069385132e-05,6.17547821403748e-05,6.13592923175419e-05,6.12612659935226e-05,6.08544552973134e-05,6.05027565024614e-05,6.01451994021928e-05,0
3278,0.537818,19.2801,5.61667e-05,5.60873280552881e-05,5.60873280552881e-05,5.60873280552881e-05,5.59499461160567e-05,5.57588593545232e-05,5.57588593545232e-05,5.56727058181845e-05,5.54005082658843e-05,5.54005082658843e-05,5.5305354564537e-05,5.51405350318016e-05,5.48816356116194e-05,5.47297367888881e-05,5.4440784810134e-05,5.41419751131488e-05,5.37952392102248e-05,5.3709297059487e-05,5.33526358613331e-05,5.30442926571595e-05,5.27308133288661e-05,0
2884,0.960859,57.3884,2.17491e-05,2.17183652699423e-05,2.17183652699423e-05,2.17183652699423e-05,2.16651676718185e-05,2.15911742720769e-05,2.15911742720769e-05,2.15578135462877e-05,2.14524120933853e-05,2.14524120933853e-05,2.1415566286778e-05,2.13517441911338e-05,2.12514920955063e-05,2.11926732101976e-05,2.10807840395481e-05,2.09650777228035e-05,2.08308132239761e-05,2.07975343517865e-05,2.06594265394214e-05,2.05400286189117e-05,2.04186418673492e-05,0
3030,0.73221,26.3077,1.39031e-05,1.38834528410157e-05,1.38834528410157e-05,1.38834528410157e-05,1.38494463061947e-05,1.38021460668309e-05,1.38021460668309e-05,1.37808202415453e-05,1.37134424217804e-05,1.37134424217804e-05,1.36898887605327e-05,1.36490905216194e-05,1.35850044256099e-05,1.35474044861028e-05,1.34758793963999e-05,1.34019141981925e-05,1.33160856924775e-05,1.32948121920596e-05,1.3206526850317e-05,1.31302017964693e-05,1.30526053834845e-05,0
3302,0.276149,24.2177,1.55631e-05,1.55411070128253e-05,1.55411070128253e-05,1.55411070128253e-05,1.55030401714682e-05,1.54500923860647e-05,1.54500923860647e-05,1.54262203034714e-05,1.53507977180924e-05,1.53507977180924e-05,1.53244318007529e-05,1.52787623405582e-05,1.5207024503615e-05,1.51649352128422e-05,1.50848701824853e-05,1.50020736999583e-05,1.49059974567252e-05,1.48821839464754e-05,1.47833575263192e-05,1.46979194265043e-05,1.46110581700274e-05,0
3301,0.118355,10.5453,1.09647e-05,1.09492052395426e-05,1.09492052395426e-05,1.09492052395426e-05,1.09223859364842e-05,1.08850825340378e-05,1.08850825340378e-05,1.08682638909647e-05,1.08151262755857e-05,1.08151262755857e-05,1.07965506464467e-05,1.07643750560954e-05,1.07138334634352e-05,1.0684180216554e-05,1.06277718507172e-05,1.05694390897657e-05,1.05017503141248e-05,1.04849729371346e-05,1.04153465741936e-05,1.03551527096653e-05,1.02939561859076e-05,0
3318,0.948933,64.5329,9.179e-07,9.16602870062669e-07,9.16602870062669e-07,9.16602870062669e-07,9.143577162256e-07,9.11234895436563e-07,9.11234895436563e-07,9.09826937856623e-07,9.05378570171563e-07,9.05378570171563e-07,9.03823528083162e-07,9.01129977472251e-07,8.96898933494498e-07,8.94416538598856e-07,8.89694362980592e-07,8.848110883559e-07,8.79144583375297e-07,8.77740080348375e-07,8.71911371989411e-07,8.66872296752466e-07,8.61749284799822e-07,0
3012,0.345498,20.3088,2.24149e-05,2.2383224394997e-05,2.2383224394997e-05,2.2383224394997e-05,2.23283982715167e-05,2.22521397295141e-05,2.22521397295141e-05,2.22177577398e-05,2.21091296574121e-05,2.21091296574121e-05,2.20711558989337e-05,2.20053800327299e-05,2.19020589436603e-05,2.18414394498742e-05,2.17261250427864e-05,2.16068766362225e-05,2.14685019303834e-05,2.14342043000336e-05,2.12918686262179e-05,2.11688156057052e-05,2.10437128705301e-05,0
3291,0.11035,13.9858,1.12417e-05,1.12258137971277e-05,1.12258137971277e-05,1.12258137971277e-05,1.11983169609907e-05,1.11600711668256e-05,1.11600711668256e-05,1.11428276362379e-05,1.10883476111751e-05,1.10883476111751e-05,1.10693027079774e-05,1.10363142692557e-05,1.09844958499456e-05,1.09540934763773e-05,1.08962600722507e-05,1.0836453657229e-05,1.07670548675565e-05,1.07498536455522e-05,1.06784683195265e-05,1.06167537840747e-05,1.05540112593247e-05,0
3406,0.0939018,8.01454,3.66295e-05,3.65777370399396e-05,3.65777370399396e-05,3.65777370399396e-05,3.64881424626709e-05,3.6363523915888e-05,3.6363523915888e-05,3.63073382941706e-05,3.61298227869041e-05,3.61298227869041e-05,3.60677676456282e-05,3.59602794529032e-05,3.57914364140285e-05,3.56923745512657e-05,3.55039325294668e-05,3.53090617288729e-05,3.50829355232002e-05,3.50268877580573e-05,3.47942887027847e-05,3.45932005598589e-05,3.43887628582363e-05,0
3171,0.226241,12.4538,7.54634e-05,7.53567589330943e-05,7.53567589330943e-05,7.53567589330943e-05,7.51721778871543e-05,7.49154411246187e-05,7.49154411246187e-05,7.47996885741905e-05,7.44339744986216e-05,7.44339744986216e-05,7.43061296755103e-05,7.40846845429562e-05,7.37368373220054e-05,7.35327519543533e-05,7.31445272811304e-05,7.27430581599702e-05,7.22771972470677e-05,7.21617287061353e-05,7.16825325514606e-05,7.12682545797473e-05,7.08470759108431e-05,0
3253,0.310303,25.7014,2.09001e-05,2.08705650338782e-05,2.08705650338782e-05,2.08705650338782e-05,2.08194440624106e-05,2.0748339076276e-05,2.0748339076276e-05,2.07162806230496e-05,2.06149936315968e-05,2.06149936315968e-05,2.05795861415088e-05,2.05182554114476e-05,2.04219167664543e-05,2.03653939409194e-05,2.02578724869056e-05,2.01466828932859e-05,2.00176595565988e-05,1.99856797617269e-05,1.9852963139466e-05,1.97382260478878e-05,1.96215777614607e-05,0
3125,0.247531,2.78417,2.73209e-05,2.72822914834897e-05,2.72822914834897e-05,2.72822914834897e-05,2.72154654420176e-05,2.71225160199725e-05,2.71225160199725e-05,2.70806087661913e-05,2.69482050090427e-05,2.69482050090427e-05,2.69019198479216e-05,2.68217474687021e-05,2.66958122585356e-05,2.66219248386594e-05,2.64813713057593e-05,2.63360227299953e-05,2.61673616384553e-05,2.61255572079637e-05,2.59520682024028e-05,2.58020822882062e-05,2.56495980336501e-05,0
3402,0.472943,13.0405,5.62061e-05,5.61266723771973e-05,5.61266723771973e-05,5.61266723771973e-05,5.59891940668348e-05,5.57979732611363e-05,5.57979732611363e-05,5.57117592895339e-05,5.54393707952063e-05,5.54393707952063e-05,5.53441503451302e-05,5.51792151942511e-05,5.49201341604588e-05,5.47681287832456e-05,5.44789741095146e-05,5.41799548025281e-05,5.38329756701713e-05,5.37469732324532e-05,5.33900618424382e-05,5.30815023406676e-05,5.2767803111872e-05,0
