"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
466,0.283951,7.37717,1.10084e-05,1.10084e-05,1.09928434849089e-05,1.09928434849089e-05,1.09928434849089e-05,1.0965917293058e-05,1.0928465217261e-05,1.0928465217261e-05,1.09115795431974e-05,1.08582301469404e-05,1.08582301469404e-05,1.08395804843128e-05,1.0807276657594e-05,1.07565336305489e-05,1.07267622001434e-05,1.06701290177966e-05,1.06115637706254e-05,1.05436052202077e-05,1.05267609766936e-05,1.04568571166883e-05,1.03964233484801e-05,0
451,0.814248,9.31425,8.2818e-06,8.2818e-06,8.27009657836912e-06,8.27009657836912e-06,8.27009657836912e-06,8.24983956230218e-06,8.22166375098216e-06,8.22166375098216e-06,8.20896038124085e-06,8.16882475481736e-06,8.16882475481736e-06,8.1547943075271e-06,8.13049160848642e-06,8.0923167963991e-06,8.06991926066892e-06,8.0273131880735e-06,7.98325359139981e-06,7.93212725852221e-06,7.91945505766333e-06,7.86686523645484e-06,7.82139992073708e-06,0
455,0.327467,18.3189,2.49197e-05,2.49197e-05,2.48844847380986e-05,2.48844847380986e-05,2.48844847380986e-05,2.48235319544908e-05,2.47387517418134e-05,2.47387517418134e-05,2.47005276645666e-05,2.45797607093412e-05,2.45797607093412e-05,2.45375434935984e-05,2.44644173653069e-05,2.4349550444496e-05,2.42821568982699e-05,2.41539564409712e-05,2.40213823711761e-05,2.38675446936893e-05,2.38294144027208e-05,2.36711731305856e-05,2.35343692922785e-05,0
484,0.708909,11.7266,6.2314e-06,6.2314e-06,6.22259410012912e-06,6.22259410012912e-06,6.22259410012912e-06,6.20735229642467e-06,6.18615222510448e-06,6.18615222510448e-06,6.17659394330511e-06,6.14639505628836e-06,6.14639505628836e-06,6.13583825351064e-06,6.11755239309357e-06,6.08882886390415e-06,6.07197648831562e-06,6.03991878579067e-06,6.00676742126697e-06,5.96829889622489e-06,5.95876406654632e-06,5.91919438219285e-06,5.88498532518065e-06,0
455,0.876137,38.8393,3.15322e-05,3.15322e-05,3.14876402869486e-05,3.14876402869486e-05,3.14876402869486e-05,3.14105135413105e-05,3.13032367032191e-05,3.13032367032191e-05,3.12548697787151e-05,3.11020570327528e-05,3.11020570327528e-05,3.10486373812222e-05,3.09561070657485e-05,3.08107599419711e-05,3.07254833624652e-05,3.0563264617471e-05,3.03955117117942e-05,3.02008528509713e-05,3.01526045991514e-05,2.99523736396606e-05,2.97792685866196e-05,0
475,0.0986997,6.96273,2.12618e-05,2.12618e-05,2.12317538976996e-05,2.12317538976996e-05,2.12317538976996e-05,2.11797482196813e-05,2.11074126808946e-05,2.11074126808946e-05,2.10747994196753e-05,2.09717595416426e-05,2.09717595416426e-05,2.093573928467e-05,2.08733471565742e-05,2.07753412617642e-05,2.07178402444505e-05,2.06084580093918e-05,2.04953441533996e-05,2.0364087921134e-05,2.03315546795414e-05,2.0196541245195e-05,2.00798184977575e-05,0
487,0.162946,2.8077,3.75506e-05,3.75506e-05,3.74975353879238e-05,3.74975353879238e-05,3.74975353879238e-05,3.74056878297211e-05,3.72779355753134e-05,3.72779355753134e-05,3.72203370875683e-05,3.70383577046348e-05,3.70383577046348e-05,3.6974742100054e-05,3.68645509664119e-05,3.66914621332155e-05,3.6589909221386e-05,3.63967285614326e-05,3.61969574620515e-05,3.59651449967234e-05,3.59076878321491e-05,3.56692397483665e-05,3.54630949628861e-05,0
463,0.146243,14.1293,9.6783e-06,9.6783e-06,9.6646231150752e-06,9.6646231150752e-06,9.6646231150752e-06,9.64095030498554e-06,9.60802341050625e-06,9.60802341050625e-06,9.59317796345763e-06,9.54627455680515e-06,9.54627455680515e-06,9.52987825672433e-06,9.50147756941898e-06,9.4568656150341e-06,9.43069134494096e-06,9.38090091865678e-06,9.32941187104794e-06,9.26966447464989e-06,9.25485545226678e-06,9.19339779009164e-06,9.14026598720927e-06,0
499,0.353813,26.0621,6.5215e-06,6.5215e-06,6.5122841454556e-06,6.5122841454556e-06,6.5122841454556e-06,6.49633276649444e-06,6.47414573547178e-06,6.47414573547178e-06,6.46414247219955e-06,6.43253768969806e-06,6.43253768969806e-06,6.42148941975633e-06,6.40235226940329e-06,6.37229152934347e-06,6.35465459905484e-06,6.32110446473246e-06,6.28640975347314e-06,6.24615034369975e-06,6.23617162435116e-06,6.19475979129419e-06,6.15895814715242e-06,0
459,0.40865,12.7087,6.6949e-06,6.6949e-06,6.68543910533017e-06,6.68543910533017e-06,6.68543910533017e-06,6.66906359555373e-06,6.64628663411945e-06,6.64628663411945e-06,6.63601739433087e-06,6.60357227305981e-06,6.60357227305981e-06,6.59223024094559e-06,6.5725842533816e-06,6.54172422905798e-06,6.52361835087208e-06,6.48917615286933e-06,6.45355894480217e-06,6.41222907859165e-06,6.40198503532448e-06,6.35947210407659e-06,6.32271853091631e-06,0
