"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
317,0.0826542,1.472,4.31084e-05,4.31084e-05,4.30474813855644e-05,4.30474813855644e-05,4.30474813855644e-05,4.29420396275625e-05,4.27953789807578e-05,4.27953789807578e-05,4.27292554394797e-05,4.25203415997209e-05,4.25203415997209e-05,4.24473103584488e-05,4.23208100238204e-05,4.212210260884e-05,4.20055190244416e-05,4.17837460258335e-05,4.15544071481441e-05,4.12882845168054e-05,4.12223232156988e-05,4.09485828393815e-05,4.07119269172285e-05,0
376,0.217089,19.0299,1.07888e-05,1.07888e-05,1.07735538125418e-05,1.07735538125418e-05,1.07735538125418e-05,1.07471647552182e-05,1.07104597885238e-05,1.07104597885238e-05,1.06939109566919e-05,1.06416257956934e-05,1.06416257956934e-05,1.06233481640523e-05,1.05916887470886e-05,1.05419579623983e-05,1.05127804244856e-05,1.04572769836856e-05,1.0399880019669e-05,1.03332771338048e-05,1.03167689060492e-05,1.02482595164172e-05,1.01890313053742e-05,0
310,0.480771,40.2465,8.9815e-06,8.9815e-06,8.96880779765537e-06,8.96880779765537e-06,8.96880779765537e-06,8.94683933792377e-06,8.91628305192667e-06,8.91628305192667e-06,8.90250641939128e-06,8.85897987579899e-06,8.85897987579899e-06,8.8437640456247e-06,8.81740809746924e-06,8.77600803048354e-06,8.75171820615059e-06,8.70551249712407e-06,8.65773046090915e-06,8.60228464493434e-06,8.58854181463006e-06,8.53150886536974e-06,8.48220234587893e-06,0
387,0.154239,3.58934,4.4122e-06,4.4122e-06,4.40596490172187e-06,4.40596490172187e-06,4.40596490172187e-06,4.3951728026262e-06,4.38016189742369e-06,4.38016189742369e-06,4.37339406821113e-06,4.35201146890835e-06,4.35201146890835e-06,4.34453662774651e-06,4.33158915633845e-06,4.3112511976952e-06,4.29931871838531e-06,4.27661996769034e-06,4.25314683957283e-06,4.22590884711677e-06,4.21915762339373e-06,4.19113994497405e-06,4.16691790797606e-06,0
319,0.987675,54.1474,6.6287e-06,6.6287e-06,6.61933265582788e-06,6.61933265582788e-06,6.61933265582788e-06,6.60311906911933e-06,6.58056732909941e-06,6.58056732909941e-06,6.57039963282514e-06,6.53827533292978e-06,6.53827533292978e-06,6.5270454522332e-06,6.50759372662633e-06,6.47703885004356e-06,6.45911200502259e-06,6.4250103757375e-06,6.38974535503296e-06,6.34882416365599e-06,6.33868141475681e-06,6.29658885663602e-06,6.26019870735709e-06,0
403,0.807874,9.95957,2.47976e-05,2.47976e-05,2.4762557283654e-05,2.4762557283654e-05,2.4762557283654e-05,2.47019031527137e-05,2.46175383408625e-05,2.46175383408625e-05,2.45795015515779e-05,2.44593263227872e-05,2.44593263227872e-05,2.44173159603388e-05,2.43445481309139e-05,2.4230244027915e-05,2.41631806924055e-05,2.40356083837537e-05,2.39036838921606e-05,2.37505999789817e-05,2.37126565164472e-05,2.35551905850796e-05,2.34190570497319e-05,0
438,0.206413,6.48793,9.48e-07,9.48e-07,9.46660334262349e-07,9.46660334262349e-07,9.46660334262349e-07,9.44341556794715e-07,9.41116331707007e-07,9.41116331707007e-07,9.39662204039741e-07,9.35067964399871e-07,9.35067964399871e-07,9.33461928993177e-07,9.30680050815659e-07,9.26310261414952e-07,9.23746463222263e-07,9.18869436872863e-07,9.13826028719243e-07,9.07973706329427e-07,9.06523146497723e-07,9.0050330171692e-07,8.95298983899485e-07,0
320,0.919182,81.8845,3.6898e-06,3.6898e-06,3.68458576092955e-06,3.68458576092955e-06,3.68458576092955e-06,3.67556062896745e-06,3.66300742693303e-06,3.66300742693303e-06,3.65734767981628e-06,3.63946600742895e-06,3.63946600742895e-06,3.63321500590614e-06,3.62238739609665e-06,3.60537932760431e-06,3.59540052742353e-06,3.57641819427583e-06,3.5567882708526e-06,3.53400989621764e-06,3.52836403580939e-06,3.50493363151381e-06,3.4846774164476e-06,0
334,0.917805,62.061,2.2821e-06,2.2821e-06,2.278875051498e-06,2.278875051498e-06,2.278875051498e-06,2.27329310839791e-06,2.26552909344785e-06,2.26552909344785e-06,2.26202860320579e-06,2.25096898898412e-06,2.25096898898412e-06,2.24710281450984e-06,2.2404060590363e-06,2.22988675904542e-06,2.2237149828265e-06,2.21197462224426e-06,2.19983373432509e-06,2.18574556457214e-06,2.18225366310385e-06,2.16776222030399e-06,2.15523397801373e-06,0
324,0.263446,27.7892,2.11741e-05,2.11741e-05,2.11441778309118e-05,2.11441778309118e-05,2.11441778309118e-05,2.1092386664269e-05,2.10203494928242e-05,2.10203494928242e-05,2.0987870753753e-05,2.08852558913495e-05,2.08852558913495e-05,2.08493842095933e-05,2.07872494345737e-05,2.0689647791378e-05,2.06323839524415e-05,2.05234528937655e-05,2.0410805606228e-05,2.02800907755168e-05,2.024769172601e-05,2.01132351908062e-05,1.99969938976647e-05,0
