"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2289,0.402939,7.18601,0.000139957,0.048005251,0.0479966567908424,0.047966283191146,0.047966283191146,0.0478803880841465,0.0382341445493486,0.0310244189205913,0.025685964811173,0.0213526134368484,0.0178189736158199,0.0136864297365259,0.0136864297365259,0.0136864297365259,0.0136864297365259,0.0135019631878759,0.0133692848854714,0.0129390098321966,0.0129390098321966,0.0129390098321966,0.0129390098321966,0
2126,0.251037,15.1791,5.01573e-05,0.0172039539,0.0172008739373902,0.0171899887529975,0.0171899887529975,0.0171592059650676,0.0137022189558582,0.0111184227093019,0.00920524620292982,0.00765227489826186,0.00638590142215653,0.00490489480500332,0.00490489480500332,0.00490489480500332,0.00490489480500332,0.00483878632868129,0.00479123754286,0.00463703707464745,0.00463703707464745,0.00463703707464745,0.00463703707464745,0
2291,0.145594,13.6586,9.45345e-05,0.0324253335,0.0324195285079981,0.0323990125419478,0.0323990125419478,0.0323409943578438,0.0258254016440792,0.0209555644265641,0.0173496848349267,0.0144227057949638,0.0120358950340799,0.00924455219765789,0.00924455219765789,0.00924455219765789,0.00924455219765789,0.00911995354990641,0.00903033547450717,0.00873970451625704,0.00873970451625704,0.00873970451625704,0.00873970451625704,0
2278,0.39272,1.74657,0.000192496,0.066026128,0.0660143075773987,0.0659725319145368,0.0659725319145368,0.065854392310823,0.0525870080751331,0.0426707956339314,0.0353283185713581,0.0293682536503323,0.0245081070982577,0.018824231575143,0.018824231575143,0.018824231575143,0.018824231575143,0.0185705174147299,0.0183880324907915,0.017796234819684,0.017796234819684,0.017796234819684,0.017796234819684,0
2224,0.0587289,5.93601,0.000208008,0.071346744,0.071333971046461,0.0712888289547782,0.0712888289547782,0.0711611692491775,0.0568246528535258,0.0461093573800121,0.0381751978710781,0.0317348501023311,0.0264830559663286,0.0203411539018075,0.0203411539018075,0.0203411539018075,0.0203411539018075,0.0200669945682151,0.0198698043717509,0.0192303175773669,0.0192303175773669,0.0192303175773669,0.0192303175773669,0
2316,0.241597,22.28,1.73438e-05,0.0059489234,0.00594785838542561,0.00594409441764683,0.00594409441764683,0.00593345009434197,0.00473806495019894,0.00384461882488872,0.00318306505921121,0.00264606598402374,0.00220816904190613,0.00169605450291416,0.00169605450291416,0.00169605450291416,0.00169605450291416,0.00167319497515581,0.00165675316844916,0.00160343247374301,0.00160343247374301,0.00160343247374301,0.00160343247374301,0
2062,0.143755,7.02884,0.000116962,0.040117966,0.0401107838233922,0.0400854006202106,0.0400854006202106,0.0400136181191219,0.0319522568701881,0.0259270925054852,0.0214657488817595,0.0178443691476715,0.0148913079878357,0.0114377429842276,0.0114377429842276,0.0114377429842276,0.0114377429842276,0.0112835843750605,0.0111727051792658,0.0108131245167685,0.0108131245167685,0.0108131245167685,0.0108131245167685,0
2054,0.758457,17.2827,3.11966e-05,0.0107004338,0.0106985181394371,0.010691747823981,0.010691747823981,0.0106726016912758,0.00852244127730809,0.00691538392004771,0.00572543545394828,0.0047595257139263,0.00397187273450621,0.00305072325013042,0.00305072325013042,0.00305072325013042,0.00305072325013042,0.00300960541299748,0.00298003124429716,0.00288412236709206,0.00288412236709206,0.00288412236709206,0.00288412236709206,0
1973,0.0821757,3.93408,3.60485e-05,0.0123646355,0.0123624219033323,0.0123545986239775,0.0123545986239775,0.0123324747590428,0.0098479072842887,0.00799090981843662,0.00661589275631494,0.00549975839349392,0.00458960445272392,0.0035251917543042,0.0035251917543042,0.0035251917543042,0.0035251917543042,0.00347767900125141,0.00344350526371612,0.00333268000840214,0.00333268000840214,0.00333268000840214,0.00333268000840214,0
2205,0.936092,4.84756,1.2597e-06,0.0004320771,0.000431999746775253,0.000431726365497164,0.000431726365497164,0.000430953256140095,0.000344131068033856,0.000279239055669018,0.000231189650197094,0.000192186794132468,0.000160381839163802,0.000123186375380307,0.000123186375380307,0.000123186375380307,0.000123186375380307,0.000121526061774454,0.000120331874577394,0.000116459131630558,0.000116459131630558,0.000116459131630558,0.000116459131630558,0
2149,0.153674,15.8068,2.89627e-05,0.0099342061,0.00993242761445394,0.00992614210207566,0.00992614210207566,0.00990836696960287,0.00791217344141,0.00642019290118685,0.00531545326805062,0.00441870958356787,0.00368745819889613,0.00283226961516807,0.00283226961516807,0.00283226961516807,0.00283226961516807,0.00279409610967292,0.00276663966327117,0.00267759854860392,0.00267759854860392,0.00267759854860392,0.00267759854860392,0
2026,0.252861,15.3473,2.31234e-05,0.0079313262,0.00792990628291092,0.00792488802090745,0.00792488802090745,0.00791069661270928,0.00631696462536642,0.00512578898139,0.00424378086637095,0.00352783370282029,0.00294401319339546,0.00226124302013892,0.00226124302013892,0.00226124302013892,0.00226124302013892,0.00223076584649949,0.00220884501754618,0.00213775588183381,0.00213775588183381,0.00213775588183381,0.00213775588183381,0
1925,0.185226,16.6578,4.04336e-05,0.0138687248,0.0138662419315804,0.0138574669937018,0.0138574669937018,0.0138326518833581,0.0110458505616049,0.00896295965809226,0.00742067940002319,0.00616877348514295,0.00514790436771732,0.00395401177072095,0.00395401177072095,0.00395401177072095,0.00395401177072095,0.00390071935489685,0.00386238857181276,0.00373808203913418,0.00373808203913418,0.00373808203913418,0.00373808203913418,0
2105,0.207525,13.4147,0.000154204,0.052891972,0.0528825029385815,0.0528490374415533,0.0528490374415533,0.0527543985947664,0.0421262103795291,0.0341825667542949,0.0283006817647,0.0235262144974225,0.0196328658620425,0.0150796473994958,0.0150796473994958,0.0150796473994958,0.0150796473994958,0.0148764029767944,0.0147302186134258,0.0142561434738101,0.0142561434738101,0.0142561434738101,0.0142561434738101,0
2101,0.316502,28.318,1.04619e-05,0.0035884317,0.00358778927584982,0.00358551882447787,0.00358551882447787,0.00357909809511159,0.00285803351644312,0.00231910064023474,0.00192004683765736,0.00159612528501585,0.0013319828238055,0.00102307179534114,0.00102307179534114,0.00102307179534114,0.00102307179534114,0.00100928277024542,0.000999364958832453,0.000967201547357097,0.000967201547357097,0.000967201547357097,0.000967201547357097,0
2069,0.902168,24.0939,3.16436e-05,0.0108537548,0.0108518116909244,0.0108449443671081,0.0108449443671081,0.0108255238993369,0.00864455494517436,0.00701447089145682,0.00580747226718803,0.00482772250441389,0.0040287836514755,0.00309443549097744,0.00309443549097744,0.00309443549097744,0.00309443549097744,0.00305272849755188,0.00302273057583332,0.00292544746976639,0.00292544746976639,0.00292544746976639,0.00292544746976639,0
3641,0.642042,41.7383,6.8431e-06,0.0023471833,0.00234676309213125,0.00234527799613689,0.00234527799613689,0.00234107821472754,0.00186943185811104,0.00151691734686724,0.00125589735275362,0.00104402115656735,0.000871246299580706,0.000669188445951401,0.000669188445951401,0.000669188445951401,0.000669188445951401,0.000660169082582174,0.000653681869429679,0.000632643870493825,0.000632643870493825,0.000632643870493825,0.000632643870493825,0
