"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
561,0.823615,27.2395,6.8533e-06,6.8533e-06,6.84361526244742e-06,6.84361526244742e-06,6.84361526244742e-06,6.82685231137259e-06,6.80353645156923e-06,6.80353645156923e-06,6.79302424361346e-06,6.75981147723802e-06,6.75981147723802e-06,6.74820109490394e-06,6.72809028718877e-06,6.6965001208387e-06,6.67796586118263e-06,6.64270876763796e-06,6.60624886352488e-06,6.56394114091505e-06,6.55345472562536e-06,6.50993594689512e-06,6.47231279151724e-06,0
610,0.310939,26.9911,6.2854e-06,6.2854e-06,6.27651779005545e-06,6.27651779005545e-06,6.27651779005545e-06,6.26114390409019e-06,6.2397601174169e-06,6.2397601174169e-06,6.23011900556054e-06,6.19965842134911e-06,6.19965842134911e-06,6.18901013554189e-06,6.17056581370965e-06,6.14159337246576e-06,6.12459495773968e-06,6.09225944991634e-06,6.05882080264971e-06,6.0200189174715e-06,6.01040146096708e-06,5.9704888740628e-06,5.93598336856733e-06,0
595,0.200982,5.34023,2.2347e-06,2.2347e-06,2.23154203478489e-06,2.23154203478489e-06,2.23154203478489e-06,2.22607603055817e-06,2.2184732768625e-06,2.2184732768625e-06,2.21504549300381e-06,2.20421559076413e-06,2.20421559076413e-06,2.20042971806018e-06,2.19387205649552e-06,2.18357124597468e-06,2.17752765966539e-06,2.16603115040062e-06,2.15414243288913e-06,2.14034687925567e-06,2.13692750577897e-06,2.12273705521815e-06,2.11046902881876e-06,0
607,0.107082,5.5339,7.7607e-06,7.7607e-06,7.74973297057997e-06,7.74973297057997e-06,7.74973297057997e-06,7.7307505483299e-06,7.70434759016727e-06,7.70434759016727e-06,7.69244353047597e-06,7.6548332819811e-06,7.6548332819811e-06,7.64168564592547e-06,7.61891209954123e-06,7.58313928877956e-06,7.56215103072681e-06,7.52222577926079e-06,7.48093846105636e-06,7.43302905349239e-06,7.42115420150304e-06,7.37187338990982e-06,7.32926880205563e-06,0
581,0.346076,11.1567,3.21627e-05,3.21627e-05,3.21172492961811e-05,3.21172492961811e-05,3.21172492961811e-05,3.20385803678496e-05,3.1929158482904e-05,3.1929158482904e-05,3.18798244407901e-05,3.17239561377677e-05,3.17239561377677e-05,3.16694683371612e-05,3.15750878379418e-05,3.14268344354543e-05,3.13398527137961e-05,3.11743903347161e-05,3.10032831370131e-05,3.08047319879341e-05,3.0755518991416e-05,3.05512843271422e-05,3.03747179635696e-05,0
578,0.195611,0.0695627,0.000179051,0.000179051,0.000178797974166675,0.000178797974166675,0.000178797974166675,0.000178360021187395,0.000177750865304295,0.000177750865304295,0.000177476220775865,0.000176608495879495,0.000176608495879495,0.000176305160177381,0.000175779740272779,0.000174954407823427,0.000174470177200854,0.000173549041710467,0.000172596481295579,0.000171491139337542,0.000171217168674645,0.000170080186366789,0.000169097234563488,0
618,0.357361,27.5251,1.25614e-05,1.25614e-05,1.25436488637163e-05,1.25436488637163e-05,1.25436488637163e-05,1.25129240838831e-05,1.24701884906165e-05,1.24701884906165e-05,1.24509206854692e-05,1.23900450717432e-05,1.23900450717432e-05,1.23687644249524e-05,1.2331903365312e-05,1.22740018119597e-05,1.22400304041352e-05,1.21754077471886e-05,1.21085804611328e-05,1.20310347201334e-05,1.20118141903128e-05,1.19320487069482e-05,1.18630892999525e-05,0
613,0.240875,16.1105,1.00076e-05,1.00076e-05,9.99345776494081e-06,9.99345776494081e-06,9.99345776494081e-06,9.96897949765695e-06,9.93493227973739e-06,9.93493227973739e-06,9.91958172273008e-06,9.87108244781451e-06,9.87108244781451e-06,9.85412827066679e-06,9.82476126217594e-06,9.77863140520704e-06,9.75156656681764e-06,9.70008204266758e-06,9.64684110233195e-06,9.58506082643711e-06,9.56974793342891e-06,9.50619920069858e-06,9.45125961104693e-06,0
643,0.774742,70.381,5.0101e-06,5.0101e-06,5.00301997962848e-06,5.00301997962848e-06,5.00301997962848e-06,4.99076543638945e-06,4.97372039397181e-06,4.97372039397181e-06,4.96603545196151e-06,4.94175528316434e-06,4.94175528316434e-06,4.93326752157037e-06,4.91856553015985e-06,4.89547156193571e-06,4.88192210484162e-06,4.85614743214845e-06,4.82949344566063e-06,4.79856441569732e-06,4.79089832939688e-06,4.75908395773412e-06,4.73157957725191e-06,0
647,0.152902,23.5795,7.532e-06,7.532e-06,7.52135615787343e-06,7.52135615787343e-06,7.52135615787343e-06,7.50293312845759e-06,7.47730823883669e-06,7.47730823883669e-06,7.46575497977567e-06,7.42925306736269e-06,7.42925306736269e-06,7.41649287887828e-06,7.39439044593201e-06,7.35967182381584e-06,7.33930206855494e-06,7.300553373973e-06,7.26048275138538e-06,7.21398518573127e-06,7.20246027365068e-06,7.1546317178606e-06,7.11328264423093e-06,0
