"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
330,330,25.4967,8.9094e-05,8.9094e-05,8.9094e-05,8.9094e-05,8.90122247873174e-05,8.89642591814173e-05,8.89446393016598e-05,8.86040523068321e-05,8.82487475035652e-05,8.64291231222928e-05,8.44125667621319e-05,6.49603330263344e-05,6.15456759925658e-05,4.74872972088452e-05,4.65710057382188e-05,4.65710057382188e-05,3.65003676865371e-05,2.84082860586564e-05,2.1739524247343e-05,2.17206612493049e-05,2.16660377525507e-05,0
323,0.314966,33.3447,1.4402e-05,1.4402e-05,1.4402e-05,1.4402e-05,1.4388781078265e-05,1.43810274623518e-05,1.43778559187207e-05,1.43228002034143e-05,1.4265365361824e-05,1.39712240016978e-05,1.36452486868726e-05,1.05008049503364e-05,9.94882736935071e-06,7.67629755541101e-06,7.52817950301734e-06,7.52817950301734e-06,5.90026595978974e-06,4.59218506091061e-06,3.51418308988522e-06,3.51113389580095e-06,3.50230403520141e-06,0
312,0.0189551,4.5694,3.9582e-05,3.9582e-05,3.9582e-05,3.9582e-05,3.9545669534779e-05,3.95243597427308e-05,3.95156431728096e-05,3.93643297911086e-05,3.92064776941895e-05,3.83980689095404e-05,3.75021686935002e-05,2.8860079262895e-05,2.73430415868379e-05,2.10972927258907e-05,2.06902097686733e-05,2.06902097686733e-05,1.62161038203303e-05,1.26210157673215e-05,9.6582693420245e-06,9.64988903371705e-06,9.6256213249092e-06,0
564,0.711334,39.8218,0.00018139,0.00018139,0.00018139,0.00018139,0.0001812235106087,0.000181125855533676,0.000181085910644129,0.000180392496104522,0.000179669116996337,0.000175964471716981,0.000171858884829316,0.000132255312452542,0.000125303277081414,9.66812674334122e-05,9.48157533712204e-05,9.48157533712204e-05,7.43125428722581e-05,5.7837553686889e-05,4.42603576360422e-05,4.42219537119382e-05,4.41107435734748e-05,0
488,0.0551342,6.55929,4.98085e-05,4.98085e-05,4.98085e-05,4.98085e-05,4.97627831090657e-05,4.97359676682787e-05,4.97249990645467e-05,4.95345919963729e-05,4.93359568549097e-05,4.83186856470326e-05,4.71913185127129e-05,3.63164382286369e-05,3.44074550775104e-05,2.65480396325989e-05,2.60357817508707e-05,2.60357817508707e-05,2.04057351102755e-05,1.58818115266189e-05,1.21536028629738e-05,1.21430573982087e-05,1.21125198262276e-05,0
422,0.858554,31.6061,0.000234192,0.000234192,0.000234192,0.000234192,0.000233977046124222,0.000233850963995493,0.000233799391287116,0.000232904126179559,0.000231970173921419,0.000227187119247716,0.000221886410253858,0.00017075437529018,0.000161778626529856,0.0001248248491249,0.000122416290388185,0.000122416290388185,9.59446664112678e-05,7.46738650038034e-05,5.71443942637411e-05,5.70948110905024e-05,5.6951228066372e-05,0
423,0.254514,24.2951,0.000218956,0.000218956,0.000218956,0.000218956,0.000218755030535523,0.000218637151023934,0.000218588933518915,0.00021775191232737,0.000216878720883456,0.000212406840891247,0.000207450983994089,0.000159645483176354,0.0001512536762591,0.000116704027742159,0.000114452164370411,0.000114452164370411,8.97027241696794e-05,6.98157528257702e-05,5.34267096673315e-05,5.33803522628101e-05,5.3246110424355e-05,0
441,0.0966341,24.3828,8.6467e-05,8.6467e-05,8.6467e-05,8.6467e-05,8.63876359876645e-05,8.63410846817924e-05,8.63220433081533e-05,8.59914987632708e-05,8.56466703750059e-05,8.38806989136788e-05,8.19236021530211e-05,6.30449313734713e-05,5.97309579326238e-05,4.60871004529734e-05,4.51978264885016e-05,4.51978264885016e-05,3.54241283672504e-05,2.75706475254657e-05,2.10985189024514e-05,2.10802120933357e-05,2.10271992092599e-05,0
422,0.696482,30.2128,0.000231568,0.000231568,0.000231568,0.000231568,0.00023135545457101,0.000231230785127197,0.000231179790264291,0.000230294556138331,0.000229371068331263,0.000224641605306565,0.000219400288010117,0.000168841161001214,0.000159965980854451,0.000123426251375602,0.000121044679291398,0.000121044679291398,9.48696561433545e-05,7.38371830429765e-05,5.65041209386572e-05,5.64550933191802e-05,5.63131190684294e-05,0
333,0.992155,63.6726,6.22805e-05,6.22805e-05,6.22805e-05,6.22805e-05,6.22233356439999e-05,6.2189805642897e-05,6.21760905114488e-05,6.1938005698427e-05,6.16896325105595e-05,6.04176375807345e-05,5.90079788114683e-05,4.54100390716167e-05,4.30230483944485e-05,3.31956429592956e-05,3.25551162017547e-05,3.25551162017547e-05,2.5515311353193e-05,1.98586017001835e-05,1.51968532099428e-05,1.51836671710478e-05,1.51454830207167e-05,0
298,0.065862,6.16534,0.000235364,0.000235364,0.000235364,0.000235364,0.000235147970400276,0.000235021257300998,0.000234969426500054,0.000234069681091266,0.00023313105492434,0.000228324063736675,0.000222996827658455,0.000171608905452782,0.000162588238089145,0.000125449527692804,0.000123028915466475,0.000123028915466475,9.6424815814467e-05,7.50475659405752e-05,5.74303700019265e-05,5.73805386926325e-05,5.72362371157579e-05,0
