"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
546,0.259866,20.1718,3.10475e-05,3.10475e-05,3.10089756624815e-05,3.09767984774754e-05,3.09767984774754e-05,3.08948882474625e-05,3.08523535003806e-05,3.07787283465797e-05,3.06880970837757e-05,3.0555074491848e-05,3.0456865719331e-05,3.03664647487158e-05,3.01677925641102e-05,3.01385863819232e-05,2.99997522476408e-05,2.98768091393149e-05,2.96895522788795e-05,2.96451843684027e-05,2.94643117297205e-05,2.88256586960869e-05,2.81372748973385e-05,0
500,0.361522,18.6267,2.44657e-05,2.44657e-05,2.44353424870142e-05,2.44099865854053e-05,2.44099865854053e-05,2.43454406118349e-05,2.43119228612372e-05,2.42539055997718e-05,2.41824873765208e-05,2.40776644172705e-05,2.4000275050469e-05,2.39290382994655e-05,2.3772482890273e-05,2.37494681647224e-05,2.36400656595573e-05,2.35431854210399e-05,2.33956253865652e-05,2.33606630872704e-05,2.32181338750567e-05,2.27148697306016e-05,2.21724173107598e-05,0
546,0.472996,46.9097,6.8862e-06,6.8862e-06,6.87765547006941e-06,6.87051871086532e-06,6.87051871086532e-06,6.85235137932768e-06,6.8429173580585e-06,6.82658762026626e-06,6.8064860017166e-06,6.77698217137495e-06,6.75519989424131e-06,6.73514935349406e-06,6.69108473000969e-06,6.68460692626459e-06,6.65381412119185e-06,6.62654587632338e-06,6.58501312192029e-06,6.57517251301053e-06,6.53505575112976e-06,6.39340529553084e-06,6.24072477326846e-06,0
320,0.96764,96.302,2.8208e-06,2.8208e-06,2.81729989689114e-06,2.81437646010992e-06,2.81437646010992e-06,2.80693456054247e-06,2.80307009433525e-06,2.79638092986656e-06,2.78814668665479e-06,2.77606100737917e-06,2.76713831455315e-06,2.7589249943853e-06,2.74087476495183e-06,2.73822125665928e-06,2.72560757356132e-06,2.71443765907656e-06,2.69742456134192e-06,2.6933935442915e-06,2.67696048078575e-06,2.61893608341805e-06,2.5563934304022e-06,0
293,0.866808,32.6416,1.20927e-05,1.20927e-05,1.20776951443333e-05,1.20651624429847e-05,1.20651624429847e-05,1.20332592031593e-05,1.20166923318803e-05,1.19880160488504e-05,1.19527160513721e-05,1.19009050425178e-05,1.18626536785298e-05,1.18274433776245e-05,1.17500624894119e-05,1.1738686964834e-05,1.16846124166212e-05,1.16367272688298e-05,1.15637925386201e-05,1.15465116679856e-05,1.14760635302034e-05,1.12273143703735e-05,1.09591955600627e-05,0
328,0.323718,26.9317,7.47366e-05,7.47366e-05,7.46438653835772e-05,7.45664094401059e-05,7.45664094401059e-05,7.43692376196249e-05,7.42668492669795e-05,7.40896210305817e-05,7.38714562045675e-05,7.35512482572654e-05,7.33148430797763e-05,7.30972326061317e-05,7.26189949511838e-05,7.25486907155567e-05,7.22144933998238e-05,7.19185484796302e-05,7.14677894466771e-05,7.13609883587265e-05,7.09255972306765e-05,6.93882510252346e-05,6.77311944308698e-05,0
372,0.396483,37.8634,1.24941e-05,1.24941e-05,1.24785970794624e-05,1.2465648372894e-05,1.2465648372894e-05,1.24326861503381e-05,1.24155693652985e-05,1.23859412137854e-05,1.23494694830309e-05,1.22959386813302e-05,1.22564176176469e-05,1.22200385608159e-05,1.21400891239311e-05,1.21283360049726e-05,1.20724665289395e-05,1.20229919016834e-05,1.1947636206701e-05,1.19297817221116e-05,1.18569951584604e-05,1.15999891235938e-05,1.13229704902114e-05,0
389,0.248498,15.5139,3.894e-07,3.894e-07,3.88916824960795e-07,3.88513256369399e-07,3.88513256369399e-07,3.87485932315384e-07,3.86952458428157e-07,3.86029046401743e-07,3.84892342521048e-07,3.83223963511574e-07,3.819922219537e-07,3.80858406414363e-07,3.7836664544535e-07,3.78000339387097e-07,3.76259071591314e-07,3.74717110197253e-07,3.72368521053086e-07,3.71812055497415e-07,3.69543537726166e-07,3.61533504992552e-07,3.52899745390889e-07,0
359,0.780252,16.5622,2.48925e-05,2.48925e-05,2.48616129053328e-05,2.48358146743073e-05,2.48358146743073e-05,2.4770142707141e-05,2.47360402450511e-05,2.46770108822686e-05,2.4604346780188e-05,2.44976952021363e-05,2.44189557909154e-05,2.4346476326835e-05,2.41871898349984e-05,2.41637736214518e-05,2.40524626080811e-05,2.39538923101826e-05,2.3803758115855e-05,2.37681859051603e-05,2.36231702949373e-05,2.31111267925709e-05,2.25592113819792e-05,0
306,0.360756,28.8717,2.76092e-05,2.76092e-05,2.75749419715141e-05,2.75463281914587e-05,2.75463281914587e-05,2.7473488963744e-05,2.74356646513474e-05,2.73701929838598e-05,2.72895985185725e-05,2.71713072762808e-05,2.70839744590757e-05,2.70035847826796e-05,2.68269141947349e-05,2.68009423990916e-05,2.66774832033357e-05,2.65681552102157e-05,2.64016357767305e-05,2.63621813113488e-05,2.62013390903679e-05,2.56334125476126e-05,2.50212625846074e-05,0
