"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1929,0.057227,8.20008,4.57864e-05,4.57864e-05,4.57864e-05,4.57729845569771e-05,4.57729845569771e-05,3.65287198028859e-05,3.00495416195786e-05,2.51111744645921e-05,2.07853823755834e-05,1.71894195169262e-05,1.42268862728403e-05,1.1799417787566e-05,1.1799417787566e-05,8.62686870115155e-06,6.46914843394976e-06,4.61523815501339e-06,4.58086891047734e-06,4.49140243341155e-06,4.36646681310821e-06,4.21136520074202e-06,4.19590300985748e-06,0
1840,0.0631391,11.1531,0.000132583,0.000132583,0.000132583,0.000132544153100434,0.000132544153100434,0.000105775672636984,8.70140123824672e-05,7.2714055790344e-05,6.01879237394067e-05,4.97751473759156e-05,4.11965837609419e-05,3.4167399239269e-05,3.4167399239269e-05,2.49806958617576e-05,1.87326172579273e-05,1.33642767351471e-05,1.32647542230404e-05,1.30056874711487e-05,1.26439132467791e-05,1.2194787806204e-05,1.21500141691842e-05,0
1964,0.164767,19.2374,0.000178331,0.000178331,0.000178331,0.000178278748908634,0.000178278748908634,0.000142273756643205,0.000117038352143018,9.78041700907948e-05,8.09558738931246e-05,6.69501505222721e-05,5.54115382716678e-05,4.5956921126676e-05,4.5956921126676e-05,3.36003294066591e-05,2.51963401659596e-05,1.79756441961301e-05,1.78417812641818e-05,1.74933230686998e-05,1.70067180046564e-05,1.64026210318681e-05,1.63423981717474e-05,0
2011,0.175932,19.2937,0.000191526,0.000191526,0.000191526,0.000191469882765616,0.000191469882765616,0.000152800822710838,0.000125698209691774,0.000105040859305502,8.69459303388338e-05,7.19039007740027e-05,5.95115278836514e-05,4.93573482776844e-05,4.93573482776844e-05,3.60864722899541e-05,2.70606582513729e-05,1.93056912724541e-05,1.91619236050024e-05,1.87876824223259e-05,1.82650726601647e-05,1.7616277572321e-05,1.75515987250792e-05,0
2031,0.240932,25.4543,0.000140002,0.000140002,0.000140002,0.000139960979328925,0.000139960979328925,0.000111694604289563,9.18830903024533e-05,7.67829453154608e-05,6.35558834795141e-05,5.25604352211289e-05,4.35018374882103e-05,3.60793180746863e-05,3.60793180746863e-05,2.63785506591176e-05,1.97808458199342e-05,1.41121069177351e-05,1.40070153845825e-05,1.37334519307586e-05,1.33514337613085e-05,1.28771764286837e-05,1.28298973753356e-05,0
1878,0.0692571,23.634,0.000123112,0.000123112,0.000123112,0.000123075928109189,0.000123075928109189,9.82196406001104e-05,8.07982101206814e-05,6.75197637439252e-05,5.58884296433618e-05,4.62194847283869e-05,3.82537264956825e-05,3.17266682391022e-05,3.17266682391022e-05,2.31962124022891e-05,1.73944621547102e-05,1.24096063403108e-05,1.23171931688599e-05,1.20766327202436e-05,1.17407016558493e-05,1.1323659265497e-05,1.1282084010745e-05,0
2009,0.14907,20.9211,0.000110089,0.000110089,0.000110089,0.000110056743856103,0.000110056743856103,8.78297973717066e-05,7.22512358988213e-05,6.03774065144339e-05,4.99764550247584e-05,4.13303078031661e-05,3.42071812348365e-05,2.83705664742228e-05,2.83705664742228e-05,2.07424769896972e-05,1.55544459041352e-05,1.10968967476646e-05,1.10142592011064e-05,1.07991456522427e-05,1.04987499560627e-05,1.01258230300807e-05,1.00886456775855e-05,0
1917,0.0552381,9.98487,0.000111222,0.000111222,0.000111222,0.000111189411886414,0.000111189411886414,8.87337129347706e-05,7.29948219998247e-05,6.09987910449578e-05,5.04907963626128e-05,4.1755665820234e-05,3.45592303618072e-05,2.86625470700616e-05,2.86625470700616e-05,2.09559517821772e-05,1.57145271766455e-05,1.12111023814255e-05,1.11276143562523e-05,1.09102869290641e-05,1.06067996585781e-05,1.02300346905834e-05,1.01924747209296e-05,0
2015,0.879014,46.9915,9.22372e-05,9.22372e-05,9.22372e-05,9.22101744443505e-05,9.22101744443505e-05,7.35875027126559e-05,6.05351279042117e-05,5.0586733644171e-05,4.18723785065687e-05,3.46282722788125e-05,2.86602168880984e-05,2.37700552643423e-05,2.37700552643423e-05,1.737892067867e-05,1.30321697694492e-05,9.29744738069822e-06,9.2282101643606e-06,9.04797897478438e-06,8.79629481099245e-06,8.48384092861379e-06,8.45269217717109e-06,0
2047,0.375527,25.9444,0.000223413,0.000223413,0.000223413,0.000223347539855239,0.000223347539855239,0.000178240501051014,0.000146625597161055,0.000122529022169419,0.000101421483948863,8.38751197415613e-05,6.94195512832212e-05,5.75748109956993e-05,5.75748109956993e-05,4.20944782103501e-05,3.15659641088624e-05,2.25198793075238e-05,2.23521758840283e-05,2.19156276067953e-05,2.13060089921231e-05,2.05491965647742e-05,2.04737493915505e-05,0
