"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
438,0.451098,38.7522,3.65051e-05,3.65051e-05,3.65051e-05,3.65051e-05,3.65051e-05,3.65051e-05,3.64718222268418e-05,3.64652124860172e-05,3.63406590360562e-05,3.62279185047635e-05,3.54127248830062e-05,3.4655070089574e-05,3.38911223862964e-05,3.38227197414585e-05,3.38227197414585e-05,3.38227197414585e-05,3.31535111350825e-05,3.20544307417865e-05,3.07563086882915e-05,2.95075557752182e-05,2.8298462423508e-05,0
477,0.542347,10.2735,4.42446e-05,4.42446e-05,4.42446e-05,4.42446e-05,4.42446e-05,4.42446e-05,4.42042669571573e-05,4.41962558754486e-05,4.40452956651727e-05,4.39086528478448e-05,4.29206288260725e-05,4.20023425243368e-05,4.10764291436739e-05,4.09935243533899e-05,4.09935243533899e-05,4.09935243533899e-05,4.01824358450538e-05,3.88503377993225e-05,3.72769989779506e-05,3.57634961211507e-05,3.42980611077122e-05,0
417,0.663031,6.64479,0.000159606,0.000159606,0.000159606,0.000159606,0.000159606,0.000159606,0.000159460504377123,0.000159431605557669,0.000158887038416791,0.000158394119201736,0.000154829965338462,0.000151517380221299,0.000148177281519218,0.000147878214470176,0.000147878214470176,0.000147878214470176,0.000144952329899822,0.000140146978722797,0.00013447138631324,0.000129011643498017,0.000123725298480662,0
496,0.204939,16.5733,0.000191452,0.000191452,0.000191452,0.000191452,0.000191452,0.000191452,0.000191277473804299,0.000191242808836929,0.000190589584846255,0.000189998314032121,0.000185723008683754,0.000181749467301531,0.000177742922580714,0.000177384183030363,0.000177384183030363,0.000177384183030363,0.000173874500106391,0.000168110342784337,0.000161302306006306,0.00015475318704173,0.000148412063736449,0
511,0.942417,27.3735,6.31449e-05,6.31449e-05,6.31449e-05,6.31449e-05,6.31449e-05,6.31449e-05,6.30873375865756e-05,6.30759043505787e-05,6.28604573269452e-05,6.26654437651572e-05,6.12553580585984e-05,5.9944800460734e-05,5.86233576670231e-05,5.85050378112215e-05,5.85050378112215e-05,5.85050378112215e-05,5.73474704979215e-05,5.54463300674984e-05,5.32008962170025e-05,5.10408589120582e-05,4.89494229542221e-05,0
418,0.0807538,11.4656,4.40601e-05,4.40601e-05,4.40601e-05,4.40601e-05,4.40601e-05,4.40601e-05,4.40199351459624e-05,4.40119574704676e-05,4.386162676433e-05,4.37255537476059e-05,4.27416497864064e-05,4.18271927389225e-05,4.09051404174336e-05,4.08225813401589e-05,4.08225813401589e-05,4.08225813401589e-05,4.00148750712325e-05,3.86883318748938e-05,3.71215538770471e-05,3.56143623277759e-05,3.41550381789396e-05,0
495,0.276837,6.38472,0.000213672,0.000213672,0.000213672,0.000213672,0.000213672,0.000213672,0.000213477218220296,0.000213438530022169,0.00021270949257918,0.000212049598624571,0.000207278099531345,0.000202843387257656,0.000198371841263953,0.000197971466249837,0.000197971466249837,0.000197971466249837,0.000194054448043023,0.00018762130018707,0.000180023119784486,0.000172713907306169,0.000165636830551233,0
372,0.46674,33.4594,6.43465e-05,6.43465e-05,6.43465e-05,6.43465e-05,6.43465e-05,6.43465e-05,6.42878422171005e-05,6.42761914152135e-05,6.40566445966069e-05,6.38579200732709e-05,6.2421001495253e-05,6.10855049710526e-05,5.97389161139079e-05,5.96183447201558e-05,5.96183447201558e-05,5.96183447201558e-05,5.84387497706782e-05,5.65014320663788e-05,5.42132692969242e-05,5.20121281051162e-05,4.98808936925048e-05,0
397,0.186258,7.25885,0.000129994,0.000129994,0.000129994,0.000129994,0.000129994,0.000129994,0.000129875498452437,0.000129851961285062,0.000129408428705389,0.000129006961715164,0.000126104071991078,0.000123406076992642,0.000120685673056209,0.000120442092476699,0.000120442092476699,0.000120442092476699,0.000118059052748627,0.000114145247372225,0.000109522658248458,0.000105075871739667,0.000100770312210664,0
460,0.767589,33.7938,3.94189e-05,3.94189e-05,3.94189e-05,3.94189e-05,3.94189e-05,3.94189e-05,3.9382966028792e-05,3.9375828705169e-05,3.92413335253539e-05,3.91195941593756e-05,3.8239332610806e-05,3.74212025813902e-05,3.65962773484576e-05,3.65224148739924e-05,3.65224148739924e-05,3.65224148739924e-05,3.57997907164397e-05,3.46129828426003e-05,3.3211246005432e-05,3.18628189033244e-05,3.05572169484817e-05,0
555,0.210355,16.3001,8.42243e-05,8.42243e-05,8.42243e-05,8.42243e-05,8.42243e-05,8.42243e-05,8.41475217649093e-05,8.41322718191722e-05,8.38449030094565e-05,8.35847888793826e-05,8.17039801113757e-05,7.995592450768e-05,7.81933499483673e-05,7.80355318659728e-05,7.80355318659728e-05,7.80355318659728e-05,7.64915386588321e-05,7.39557484057145e-05,7.09607306884592e-05,6.80796170912752e-05,6.52900057443006e-05,0
437,0.702958,29.7921,3.88556e-05,3.88556e-05,3.88556e-05,3.88556e-05,3.88556e-05,3.88556e-05,3.88201795288131e-05,3.88131441982543e-05,3.86805709679302e-05,3.85605712695949e-05,3.76928887460694e-05,3.68864498761119e-05,3.60733129067713e-05,3.60005059344096e-05,3.60005059344096e-05,3.60005059344096e-05,3.52882081479112e-05,3.41183598765805e-05,3.2736653998175e-05,3.14074960534163e-05,3.01205512803104e-05,0
