"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
352,0.316427,31.9485,2.65631e-05,2.65555438377239e-05,2.65555438377239e-05,2.65555438377239e-05,2.65555438377239e-05,2.65555438377239e-05,2.65027266965035e-05,2.65027266965035e-05,2.64512658382504e-05,2.63222722162511e-05,2.62592131921711e-05,2.61549491111438e-05,2.59793748561861e-05,2.58918090324003e-05,2.53695221834873e-05,2.44457366939315e-05,2.34898250803395e-05,2.28362866961787e-05,2.22303439814146e-05,2.22303439814146e-05,2.22303439814146e-05,0
360,0.448014,2.24125,1.68187e-05,1.68139157381302e-05,1.68139157381302e-05,1.68139157381302e-05,1.68139157381302e-05,1.68139157381302e-05,1.67804740218756e-05,1.67804740218756e-05,1.67478910501328e-05,1.66662174115018e-05,1.66262909417639e-05,1.65602750663738e-05,1.64491084208446e-05,1.63936652187896e-05,1.60629739280211e-05,1.54780696430095e-05,1.48728243721066e-05,1.44590298217083e-05,1.407537095897e-05,1.407537095897e-05,1.407537095897e-05,0
340,0.21388,17.1397,2.11698e-05,2.11637780204814e-05,2.11637780204814e-05,2.11637780204814e-05,2.11637780204814e-05,2.11637780204814e-05,2.11216847288019e-05,2.11216847288019e-05,2.10806723440635e-05,2.09778692382889e-05,2.09276135479528e-05,2.08445189640174e-05,2.07045928310509e-05,2.06348061353572e-05,2.02185629960355e-05,1.94823404144543e-05,1.87205145101954e-05,1.81996687924513e-05,1.77167550480836e-05,1.77167550480836e-05,1.77167550480836e-05,0
382,0.822097,32.9102,2.52867e-05,2.52795069235659e-05,2.52795069235659e-05,2.52795069235659e-05,2.52795069235659e-05,2.52795069235659e-05,2.52292277315703e-05,2.52292277315703e-05,2.51802396509476e-05,2.50574443815171e-05,2.49974154457301e-05,2.48981614227541e-05,2.47310237952619e-05,2.46476656512077e-05,2.4150475531741e-05,2.32710794319352e-05,2.23611009204129e-05,2.17389661146576e-05,2.11621399292566e-05,2.11621399292566e-05,2.11621399292566e-05,0
384,0.489822,44.6486,2.66203e-05,2.66127275665627e-05,2.66127275665627e-05,2.66127275665627e-05,2.66127275665627e-05,2.66127275665627e-05,2.6559796690858e-05,2.6559796690858e-05,2.65082250186905e-05,2.63789536265823e-05,2.63157588135253e-05,2.62112702140707e-05,2.60353178839868e-05,2.59475634991852e-05,2.54241519770316e-05,2.4498377241868e-05,2.35404072034575e-05,2.28854615138401e-05,2.22782139843787e-05,2.22782139843787e-05,2.22782139843787e-05,0
335,0.135628,13.8879,1.90756e-05,1.90701737384148e-05,1.90701737384148e-05,1.90701737384148e-05,1.90701737384148e-05,1.90701737384148e-05,1.90322444809462e-05,1.90322444809462e-05,1.89952892028464e-05,1.89026557852178e-05,1.88573715857178e-05,1.87824970453198e-05,1.86564129565699e-05,1.85935298356914e-05,1.82184631072176e-05,1.75550705632535e-05,1.68686074781379e-05,1.63992858703098e-05,1.59641438556445e-05,1.59641438556445e-05,1.59641438556445e-05,0
319,0.408,14.4164,9.0813e-06,9.0787167255901e-06,9.0787167255901e-06,9.0787167255901e-06,9.0787167255901e-06,9.0787167255901e-06,9.06065978552792e-06,9.06065978552792e-06,9.04306652675717e-06,8.99896663708081e-06,8.97740823782102e-06,8.94176279737794e-06,8.88173808333676e-06,8.85180138485104e-06,8.67324377820749e-06,8.35742321636406e-06,8.03061948726191e-06,7.80719006343414e-06,7.60003248108918e-06,7.60003248108918e-06,7.60003248108918e-06,0
313,0.920474,0.210895,5.428e-05,5.42645594645074e-05,5.42645594645074e-05,5.42645594645074e-05,5.42645594645074e-05,5.42645594645074e-05,5.41566310064039e-05,5.41566310064039e-05,5.40514740260072e-05,5.3787883789848e-05,5.36590266976011e-05,5.34459697005577e-05,5.30871949130102e-05,5.2908259739213e-05,5.18409998878027e-05,4.99533031817296e-05,4.79999587909855e-05,4.6664494801758e-05,4.54262895261164e-05,4.54262895261164e-05,4.54262895261164e-05,0
457,0.986244,37.837,1.01437e-05,1.01408145143722e-05,1.01408145143722e-05,1.01408145143722e-05,1.01408145143722e-05,1.01408145143722e-05,1.01206451352185e-05,1.01206451352185e-05,1.01009936823436e-05,1.00517346499462e-05,1.00276541840909e-05,9.98783866712504e-06,9.92079180248897e-06,9.88735287982046e-06,9.68790623732322e-06,9.33513856824817e-06,8.97010283692188e-06,8.72053492852971e-06,8.48914246621346e-06,8.48914246621346e-06,8.48914246621346e-06,0
457,0.986244,37.837,1.01437e-05,1.01408145143722e-05,1.01408145143722e-05,1.01408145143722e-05,1.01408145143722e-05,1.01408145143722e-05,1.01206451352185e-05,1.01206451352185e-05,1.01009936823436e-05,1.00517346499462e-05,1.00276541840909e-05,9.98783866712504e-06,9.92079180248897e-06,9.88735287982046e-06,9.68790623732322e-06,9.33513856824817e-06,8.97010283692188e-06,8.72053492852971e-06,8.48914246621346e-06,8.48914246621346e-06,8.48914246621346e-06,0
