"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
362,0.366052,32.4677,1.45556e-05,1.45556e-05,1.4540001487362e-05,1.45289673285257e-05,1.45289673285257e-05,1.4490366872193e-05,1.4490366872193e-05,1.44703472906828e-05,1.44418675151665e-05,1.4397372564725e-05,1.41205410263507e-05,1.37927735342852e-05,1.34120454686038e-05,1.30591140059555e-05,1.27050000356386e-05,1.23313750819509e-05,1.23313750819509e-05,1.23313750819509e-05,1.1783922693611e-05,1.16169829137174e-05,1.14573557376155e-05,0
351,0.472996,46.9097,6.8862e-06,6.8862e-06,6.87882040192589e-06,6.87360018258908e-06,6.87360018258908e-06,6.85533845085709e-06,6.85533845085709e-06,6.84586726161063e-06,6.83239358617573e-06,6.81134319129472e-06,6.68037522435735e-06,6.52530964795645e-06,6.34518862196678e-06,6.17821806506162e-06,6.01068806819467e-06,5.83392749796163e-06,5.83392749796163e-06,5.83392749796163e-06,5.57492981757839e-06,5.49595123117157e-06,5.42043221030862e-06,0
392,0.128427,6.2474,3.6006e-06,3.6006e-06,3.59674141604577e-06,3.5940119104049e-06,3.5940119104049e-06,3.58446336530395e-06,3.58446336530395e-06,3.57951114724452e-06,3.57246614190473e-06,3.56145948339807e-06,3.49298002277324e-06,3.4119006009747e-06,3.31772039038274e-06,3.23041618963447e-06,3.14281947348926e-06,3.05039635055047e-06,3.05039635055047e-06,3.05039635055047e-06,2.91497375928273e-06,2.8736780812286e-06,2.83419131254352e-06,0
391,0.265558,9.11928,7.767e-07,7.767e-07,7.75867649237001e-07,7.75278856527103e-07,7.75278856527103e-07,7.73219101214125e-07,7.73219101214125e-07,7.72150838211637e-07,7.70631131594013e-07,7.68256840736344e-07,7.53484859103476e-07,7.35994888845485e-07,7.15678894409341e-07,6.96846151888322e-07,6.77950309687027e-07,6.58013343740641e-07,6.58013343740641e-07,6.58013343740641e-07,6.28800788433844e-07,6.19892730569975e-07,6.11374879867954e-07,0
350,0.071548,6.06639,0.0001166,0.0001166,0.000116475045578775,0.000116386654655672,0.000116386654655672,0.000116077439425218,0.000116077439425218,0.00011591706931309,0.000115688927441563,0.000115332493407825,0.00011311488936715,0.000110489254589138,0.000107439370526753,0.00010461215567166,0.000101775468146655,9.87824847175984e-05,9.87824847175984e-05,9.87824847175984e-05,9.43970283653743e-05,9.30597301203284e-05,9.17810106767136e-05,0
381,0.884631,34.3691,3.771e-07,3.771e-07,3.76695880684013e-07,3.76410012612811e-07,3.76410012612811e-07,3.75409969187391e-07,3.75409969187391e-07,3.74891310788732e-07,3.74153469452945e-07,3.73000714100264e-07,3.65828685937841e-07,3.57337031780137e-07,3.47473298676146e-07,3.38329707579614e-07,3.29155480601233e-07,3.19475771758202e-07,3.19475771758202e-07,3.19475771758202e-07,3.05292619181669e-07,3.00967617739072e-07,2.96832067977605e-07,0
356,0.204281,16.1095,1.54047e-05,1.54047e-05,1.53881915491197e-05,1.53765137133296e-05,1.53765137133296e-05,1.53356615018324e-05,1.53356615018324e-05,1.53144740793084e-05,1.52843329378992e-05,1.52372423773544e-05,1.49442618888005e-05,1.45973741009373e-05,1.41944362877656e-05,1.38209165906966e-05,1.34461454044493e-05,1.30507250628575e-05,1.30507250628575e-05,1.30507250628575e-05,1.24713370742717e-05,1.22946588729384e-05,1.21257198556738e-05,0
335,0.784252,0.310141,0.000162772,0.000162772,0.00016259756534261,0.00016247417282687,0.00016247417282687,0.000162042512608247,0.000162042512608247,0.000161818638132335,0.000161500155210275,0.00016100257819021,0.000157906833379672,0.000154241483258861,0.000149983886958668,0.000146037133816359,0.000142077156956839,0.000137898993159974,0.000137898993159974,0.000137898993159974,0.000131776956270058,0.00012991010627055,0.000128125031474014,0
328,0.204765,27.8893,3.1572e-06,3.1572e-06,3.15381658577451e-06,3.15142320822373e-06,3.15142320822373e-06,3.14305052961663e-06,3.14305052961663e-06,3.13870815810709e-06,3.13253071799745e-06,3.1228794870256e-06,3.06283300780416e-06,2.99173820402081e-06,2.90915592304515e-06,2.83260289782646e-06,2.75579337935352e-06,2.67475180746485e-06,2.67475180746485e-06,2.67475180746485e-06,2.55600598589331e-06,2.5197957112856e-06,2.48517158583637e-06,0
349,0.441726,26.3199,5.04485e-05,5.04485e-05,5.0394436851465e-05,5.03561933738993e-05,5.03561933738993e-05,5.02224074000267e-05,5.02224074000267e-05,5.01530211941802e-05,5.00543126589682e-05,4.9900096858359e-05,4.8940621751618e-05,4.78046068622653e-05,4.64850350258911e-05,4.52618039056753e-05,4.40344743121488e-05,4.27395212716618e-05,4.27395212716618e-05,4.27395212716618e-05,4.08420967880839e-05,4.02634973840085e-05,3.97102428569827e-05,0
339,0.144522,15.4727,1.57409e-05,1.57409e-05,1.57240312602996e-05,1.57120985614877e-05,1.57120985614877e-05,1.56703547705696e-05,1.56703547705696e-05,1.5648704942971e-05,1.56179059859768e-05,1.55697876971118e-05,1.52704130535109e-05,1.49159546103101e-05,1.45042228775692e-05,1.41225512968442e-05,1.37396009138052e-05,1.33355507177637e-05,1.33355507177637e-05,1.33355507177637e-05,1.27435178713252e-05,1.2562983755155e-05,1.23903577269389e-05,0
365,0.0465167,1.399,3.47436e-05,3.47436e-05,3.47063670117557e-05,3.4680028942494e-05,3.4680028942494e-05,3.45878912900001e-05,3.45878912900001e-05,3.45401053978239e-05,3.44721253812923e-05,3.43659178213045e-05,3.37051326776716e-05,3.29227655724115e-05,3.20139838236132e-05,3.11715513875976e-05,3.03262963559189e-05,2.94344694342569e-05,2.94344694342569e-05,2.94344694342569e-05,2.81277237968715e-05,2.77292456210004e-05,2.73482223203042e-05,0
324,0.721194,69.124,2.1709e-06,2.1709e-06,2.16857355443364e-06,2.16692786099483e-06,2.16692786099483e-06,2.16117078257467e-06,2.16117078257467e-06,2.15818495516112e-06,2.1539373291843e-06,2.14730111440006e-06,2.10601297879199e-06,2.05712798274065e-06,2.00034416360659e-06,1.94770607845289e-06,1.89489162778366e-06,1.83916720474644e-06,1.83916720474644e-06,1.83916720474644e-06,1.75751722880267e-06,1.73261893754907e-06,1.70881128711902e-06,0
351,0.311604,26.0489,2.83789e-05,2.83789e-05,2.83484877442152e-05,2.83269745609592e-05,2.83269745609592e-05,2.82517156578415e-05,2.82517156578415e-05,2.82126836906453e-05,2.81571569723102e-05,2.80704056361177e-05,2.75306701017274e-05,2.68916252749544e-05,2.61493237756576e-05,2.54612170205015e-05,2.47708047425997e-05,2.4042352105937e-05,2.4042352105937e-05,2.4042352105937e-05,2.29749899509273e-05,2.26495092205128e-05,2.23382857966843e-05,0
328,0.245467,10.5071,2.91355e-05,2.91355e-05,2.91042769336226e-05,2.9082190194857e-05,2.9082190194857e-05,2.90049248402525e-05,2.90049248402525e-05,2.89648522553304e-05,2.89078451584362e-05,2.88187809749887e-05,2.82646557389073e-05,2.76085735598785e-05,2.68464818180293e-05,2.61400296875785e-05,2.54312105676405e-05,2.4683336908144e-05,2.4683336908144e-05,2.4683336908144e-05,2.35875181812981e-05,2.3253359922134e-05,2.29338390786569e-05,0
316,0.259475,3.97886,0.000109461,0.000109461,0.000109343696090037,0.000109260717026282,0.000109260717026282,0.000108970433935882,0.000108970433935882,0.000108819882710807,0.000108605709148207,0.000108271098292572,0.000106189270197406,0.000103724393624199,0.000100861243029408,9.82071284045932e-05,9.55441210874876e-05,9.27343873042285e-05,9.27343873042285e-05,9.27343873042285e-05,8.86174367230037e-05,8.7362016455414e-05,8.61615884192431e-05,0
342,0.160556,8.48663,4.31394e-05,4.31394e-05,4.30931696504374e-05,4.30604669798704e-05,4.30604669798704e-05,4.29460642396248e-05,4.29460642396248e-05,4.28867308741433e-05,4.28023234688899e-05,4.26704508243356e-05,4.18499867784325e-05,4.08785604581703e-05,3.97501713627943e-05,3.87041649089366e-05,3.76546537784377e-05,3.65473166485966e-05,3.65473166485966e-05,3.65473166485966e-05,3.49247955871804e-05,3.44300250561998e-05,3.39569273755319e-05,0
365,0.809701,52.9007,1.36389e-05,1.36389e-05,1.36242838691625e-05,1.36139446327894e-05,1.36139446327894e-05,1.35777752022008e-05,1.35777752022008e-05,1.35590164378585e-05,1.35323302957353e-05,1.34906376015436e-05,1.32312406911631e-05,1.2924115732554e-05,1.25673656147284e-05,1.22366614921973e-05,1.1904849335381e-05,1.15547549812595e-05,1.15547549812595e-05,1.15547549812595e-05,1.10417807047385e-05,1.08853546581316e-05,1.07357806734016e-05,0
342,0.160556,8.48663,4.31394e-05,4.31394e-05,4.30931696504374e-05,4.30604669798704e-05,4.30604669798704e-05,4.29460642396248e-05,4.29460642396248e-05,4.28867308741433e-05,4.28023234688899e-05,4.26704508243356e-05,4.18499867784325e-05,4.08785604581703e-05,3.97501713627943e-05,3.87041649089366e-05,3.76546537784377e-05,3.65473166485966e-05,3.65473166485966e-05,3.65473166485966e-05,3.49247955871804e-05,3.44300250561998e-05,3.39569273755319e-05,0
340,0.269512,6.56569,1.09503e-05,1.09503e-05,1.09385651080725e-05,1.09302640178045e-05,1.09302640178045e-05,1.09012245706515e-05,1.09012245706515e-05,1.08861636715191e-05,1.08647380974558e-05,1.08312641729306e-05,1.06230014840232e-05,1.03764192498065e-05,1.00899943317247e-05,9.82448103131542e-06,9.55807812046588e-06,9.27699693313137e-06,9.27699693313137e-06,9.27699693313137e-06,8.86514390831353e-06,8.73955371129187e-06,8.61946484745469e-06,0
352,0.68186,0.144431,0.000225342,0.000225342,0.000225100512185354,0.000224929687250586,0.000224929687250586,0.000224332095668589,0.000224332095668589,0.000224022163234565,0.000223581254610092,0.000222892407628697,0.00021860665008381,0.000213532329396446,0.00020763810148576,0.000202174205689221,0.00019669200294257,0.000190907741605772,0.000190907741605772,0.000190907741605772,0.000182432377066125,0.000179847904843697,0.000177376642434923,0
