"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
515,0.198086,15.8547,0.000171913,0.000171890735470264,0.000171890735470264,0.000171890735470264,0.000171489837229462,0.000171489837229462,0.000171141423862739,0.000170616416856229,0.000170262426445876,0.000170186037673836,0.000169955094065357,0.000137118544470152,0.000112853196464208,9.4138977658549e-05,7.9238386803515e-05,7.9238386803515e-05,7.9238386803515e-05,7.9238386803515e-05,6.48368303767926e-05,6.48368303767926e-05,6.48368303767926e-05,0
523,0.944323,8.86527,0.000183185,0.000183161275628488,0.000183161275628488,0.000183161275628488,0.000182734091272208,0.000182734091272208,0.000182362833120798,0.000181803402429184,0.000181426201558275,0.000181344804123491,0.000181098717993185,0.000146109139906609,0.000120252760374701,0.000100311486754238,8.44338932285627e-05,8.44338932285627e-05,8.44338932285627e-05,8.44338932285627e-05,6.90880548450248e-05,6.90880548450248e-05,6.90880548450248e-05,0
515,0.725682,19.8915,0.000178116,0.000178092932116952,0.000178092932116952,0.000178092932116952,0.000177677568583894,0.000177677568583894,0.000177316583694866,0.000176772633278251,0.000176405870113567,0.000176326725066243,0.000176087448503285,0.000142066083814753,0.000116925188562929,9.75357194896843e-05,8.20974824701732e-05,8.20974824701732e-05,8.20974824701732e-05,8.20974824701732e-05,6.71762861412039e-05,6.71762861412039e-05,6.71762861412039e-05,0
495,0.582575,36.574,8.43595e-05,8.43485745633183e-05,8.43485745633183e-05,8.43485745633183e-05,8.4151849620208e-05,8.4151849620208e-05,8.3980879551568e-05,8.37232531442242e-05,8.35495463621766e-05,8.35120615959584e-05,8.33987351614277e-05,6.72854982010075e-05,5.53782391507469e-05,4.61949770278359e-05,3.88831018686843e-05,3.88831018686843e-05,3.88831018686843e-05,3.88831018686843e-05,3.18161081021856e-05,3.18161081021856e-05,3.18161081021856e-05,0
517,0.159739,9.61572,0.000205736,0.000205709355038364,0.000205709355038364,0.000205709355038364,0.000205229582127243,0.000205229582127243,0.000204812620219672,0.000204184320780471,0.000203760684574574,0.000203669266703882,0.000203392886126299,0.000164095914009477,0.000135056483382643,0.000112660338121953,9.48281325287091e-05,9.48281325287091e-05,9.48281325287091e-05,9.48281325287091e-05,7.75931438250731e-05,7.75931438250731e-05,7.75931438250731e-05,0
527,0.247656,20.8656,0.000178186,0.000178162923051221,0.000178162923051221,0.000178162923051221,0.000177747396279333,0.000177747396279333,0.000177386269522409,0.000176842105332022,0.000176475198028566,0.000176396021877055,0.000176156651277854,0.000142121916114305,0.000116971140432494,9.75740512530536e-05,8.21297469706836e-05,8.21297469706836e-05,8.21297469706836e-05,8.21297469706836e-05,6.72026865770428e-05,6.72026865770428e-05,6.72026865770428e-05,0
411,0.251995,22.1241,9.58752e-05,9.58627831598464e-05,9.58627831598464e-05,9.58627831598464e-05,9.5639203796933e-05,9.5639203796933e-05,9.54448950406592e-05,9.51521007100934e-05,9.49546816586508e-05,9.49120799426838e-05,9.47832836058643e-05,7.64704698003335e-05,6.29377812128532e-05,5.25009354197118e-05,4.41909348476518e-05,4.41909348476518e-05,4.41909348476518e-05,4.41909348476518e-05,3.61592438020456e-05,3.61592438020456e-05,3.61592438020456e-05,0
412,0.0815495,7.95049,7.03617e-05,7.03525874246746e-05,7.03525874246746e-05,7.03525874246746e-05,7.01885051170549e-05,7.01885051170549e-05,7.00459041689858e-05,6.9831025797426e-05,6.96861422397188e-05,6.96548773332742e-05,6.95603551918613e-05,5.61207930199898e-05,4.61893094394006e-05,3.85298290665483e-05,3.24312157937613e-05,3.24312157937613e-05,3.24312157937613e-05,3.24312157937613e-05,2.6536850662386e-05,2.6536850662386e-05,2.6536850662386e-05,0
407,0.305271,18.086,0.000185576,0.000185551965969006,0.000185551965969006,0.000185551965969006,0.000185119205840714,0.000185119205840714,0.000184743101887301,0.000184176369294419,0.000183794245054882,0.00018371178518995,0.000183462487050268,0.000148016211738455,0.000121822344947979,0.000101620790271608,8.55359563817111e-05,8.55359563817111e-05,8.55359563817111e-05,8.55359563817111e-05,6.99898183034654e-05,6.99898183034654e-05,6.99898183034654e-05,0
568,0.621306,20.0055,9.72043e-05,9.71917110275092e-05,9.71917110275092e-05,9.71917110275092e-05,9.69650322256247e-05,9.69650322256247e-05,9.67680298033355e-05,9.64711765196228e-05,9.62710206847234e-05,9.62278283891206e-05,9.6097246572727e-05,7.75305656479731e-05,6.3810275924833e-05,5.322874608677e-05,4.48035455280573e-05,4.48035455280573e-05,4.48035455280573e-05,4.48035455280573e-05,3.66605126488099e-05,3.66605126488099e-05,3.66605126488099e-05,0
