"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
549,0.717357,10.7068,3.42024e-05,3.41790924583334e-05,3.41790924583334e-05,3.41613084518181e-05,3.41613084518181e-05,3.41613084518181e-05,3.40756496269556e-05,3.40338312963412e-05,3.33281391299811e-05,3.25239779154537e-05,3.16391606042284e-05,3.0842511138262e-05,3.0842511138262e-05,3.0146840170066e-05,2.9335492287634e-05,2.8669375201043e-05,2.8669375201043e-05,2.8669375201043e-05,2.8669375201043e-05,2.8669375201043e-05,2.8669375201043e-05,0
508,0.236712,7.34865,9.70417e-05,9.69755700364259e-05,9.69755700364259e-05,9.69251118748626e-05,9.69251118748626e-05,9.69251118748626e-05,9.66820740183185e-05,9.65634238097371e-05,9.45611793034959e-05,9.22795507823451e-05,8.97690785327155e-05,8.75087629267501e-05,8.75087629267501e-05,8.55349513405928e-05,8.32329322482894e-05,8.13429732254769e-05,8.13429732254769e-05,8.13429732254769e-05,8.13429732254769e-05,8.13429732254769e-05,8.13429732254769e-05,0
536,0.590969,10.6601,1.00132e-05,1.00063764122922e-05,1.00063764122922e-05,1.00011699117531e-05,1.00011699117531e-05,1.00011699117531e-05,9.97609217027553e-06,9.96384930696453e-06,9.75724869413629e-06,9.52181997938802e-06,9.26277813727281e-06,9.02954858517662e-06,9.02954858517662e-06,8.82588180919773e-06,8.58834910341195e-06,8.39333461286586e-06,8.39333461286586e-06,8.39333461286586e-06,8.39333461286586e-06,8.39333461286586e-06,8.39333461286586e-06,0
557,0.165223,18.8064,6.60943e-05,6.60492594282514e-05,6.60492594282514e-05,6.60148927913539e-05,6.60148927913539e-05,6.60148927913539e-05,6.58493617155197e-05,6.57685500388792e-05,6.44048378505225e-05,6.28508395182025e-05,6.11409776133854e-05,5.96014953314863e-05,5.96014953314863e-05,5.82571485700533e-05,5.66892623882116e-05,5.54020269147865e-05,5.54020269147865e-05,5.54020269147865e-05,5.54020269147865e-05,5.54020269147865e-05,5.54020269147865e-05,0
549,0.173445,7.55267,0.000137537,0.000137443274139879,0.000137443274139879,0.000137371759892221,0.000137371759892221,0.000137371759892221,0.000137027302842566,0.000136859140148202,0.000134021363165164,0.000130787615797656,0.00012722952868874,0.000124025988071689,0.000124025988071689,0.000121228509007273,0.000117965862125591,0.000115287227125168,0.000115287227125168,0.000115287227125168,0.000115287227125168,0.000115287227125168,0.000115287227125168,0
521,0.127525,6.34551,0.000111518,0.000111442005027964,0.000111442005027964,0.000111384019715864,0.000111384019715864,0.000111384019715864,0.000111104726425597,0.0001109683764445,0.000108667444959922,0.000106045452049434,0.00010316047740107,0.000100562976782819,0.000100562976782819,9.8294719729768e-05,9.56492944627386e-05,9.3477398769382e-05,9.3477398769382e-05,9.3477398769382e-05,9.3477398769382e-05,9.3477398769382e-05,9.3477398769382e-05,0
515,0.343188,1.38497,1.6147e-05,1.61359964775779e-05,1.61359964775779e-05,1.61276006236845e-05,1.61276006236845e-05,1.61276006236845e-05,1.60871609748571e-05,1.60674184835573e-05,1.57342602429012e-05,1.5354614629407e-05,1.49368911619207e-05,1.45607918552358e-05,1.45607918552358e-05,1.42323646359921e-05,1.38493261867128e-05,1.35348513955524e-05,1.35348513955524e-05,1.35348513955524e-05,1.35348513955524e-05,1.35348513955524e-05,1.35348513955524e-05,0
541,0.271352,26.6948,4.82515e-05,4.82186185692605e-05,4.82186185692605e-05,4.81935295407019e-05,4.81935295407019e-05,4.81935295407019e-05,4.80726851909529e-05,4.80136894134741e-05,4.70181246120238e-05,4.5883643264435e-05,4.46353752337533e-05,4.35114911873976e-05,4.35114911873976e-05,4.25300639272664e-05,4.13854438903929e-05,4.04457101698455e-05,4.04457101698455e-05,4.04457101698455e-05,4.04457101698455e-05,4.04457101698455e-05,4.04457101698455e-05,0
563,0.703962,20.5315,5.81113e-05,5.80716995174008e-05,5.80716995174008e-05,5.8041483750735e-05,5.8041483750735e-05,5.8041483750735e-05,5.78959458449379e-05,5.78248947620948e-05,5.66258944233174e-05,5.52595910766e-05,5.37562496672893e-05,5.24027090937736e-05,5.24027090937736e-05,5.12207351874358e-05,4.98422213930715e-05,4.87104607606592e-05,4.87104607606592e-05,4.87104607606592e-05,4.87104607606592e-05,4.87104607606592e-05,4.87104607606592e-05,0
566,0.321684,15.2265,8.72876e-05,8.72281170580434e-05,8.72281170580434e-05,8.7182730674424e-05,8.7182730674424e-05,8.7182730674424e-05,8.69641216516341e-05,8.68573975119439e-05,8.50564076533267e-05,8.3004115930255e-05,8.07459825964741e-05,7.87128615311252e-05,7.87128615311252e-05,7.69374466712468e-05,7.48668139255164e-05,7.31668232287371e-05,7.31668232287371e-05,7.31668232287371e-05,7.31668232287371e-05,7.31668232287371e-05,7.31668232287371e-05,0
541,0.584458,5.83194,0.000192729,0.000192597663041253,0.000192597663041253,0.000192497450956964,0.000192497450956964,0.000192497450956964,0.000192014767295673,0.000191779122866014,0.000187802578953001,0.000183271166341177,0.000178285260218357,0.000173796175974963,0.000173796175974963,0.000169876101067078,0.000165304191901838,0.000161550651799927,0.000161550651799927,0.000161550651799927,0.000161550651799927,0.000161550651799927,0.000161550651799927,0
