"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1214,0.463822,26.5351,0.000107878,0.000107734741048715,0.000107734741048715,0.000107734741048715,0.000107734741048715,0.000107734741048715,0.000107515394561878,0.000107298528154582,0.000107209000751952,0.000106965492468758,8.43090224815336e-05,6.8609522864218e-05,5.6957983967665e-05,4.56147160785634e-05,4.5342856381489e-05,3.44010355645262e-05,3.23370478447149e-05,2.37819880104543e-05,1.77931930242644e-05,1.77931930242644e-05,1.70854349622423e-05,0
1257,0.213823,11.7315,0.000165755,0.00016553488201978,0.00016553488201978,0.00016553488201978,0.00016553488201978,0.00016553488201978,0.000165197855221677,0.000164864639076205,0.00016472707984612,0.000164352928346457,0.00012954116707231,0.000105418819985154,8.75161815435984e-05,7.00872027994798e-05,6.96694892333349e-05,5.28573356013093e-05,4.96860098027468e-05,3.65411244431011e-05,2.73393157987443e-05,2.73393157987443e-05,2.62518425644383e-05,0
1174,0.440425,19.5221,0.000177879,0.000177642781688615,0.000177642781688615,0.000177642781688615,0.000177642781688615,0.000177642781688615,0.00017728110336929,0.000176923514429346,0.000176775893553426,0.000176374375079722,0.000139016338919824,0.000113129584508095,9.39174737220219e-05,7.52136680448172e-05,7.47654011965635e-05,5.67235377480335e-05,5.33202481837821e-05,3.9213892038336e-05,2.933902539872e-05,2.933902539872e-05,2.81720099153553e-05,0
1206,0.968068,36.7212,0.00011669,0.000116535038960442,0.000116535038960442,0.000116535038960442,0.000116535038960442,0.000116535038960442,0.000116297775185168,0.000116063194074401,0.000115966353637862,0.000115702954413128,9.11957937055763e-05,7.421388256202e-05,6.16105892692377e-05,4.93407480599155e-05,4.90466815398501e-05,3.72110795530559e-05,3.49784952724354e-05,2.57246165199569e-05,1.92466276163945e-05,1.92466276163945e-05,1.84810564317475e-05,0
1118,0.414054,26.2274,0.00021866,0.000218369625667069,0.000218369625667069,0.000218369625667069,0.000218369625667069,0.000218369625667069,0.00021792502804001,0.000217485457334035,0.000217303992513968,0.000216810420875607,0.000170887584640169,0.000139065965901202,0.000115449236863583,9.24573482798966e-05,9.19063106136226e-05,6.97281228474694e-05,6.5544586307916e-05,4.82041704366594e-05,3.6065366309031e-05,3.6065366309031e-05,3.46307978349979e-05,0
1207,0.919511,24.5344,0.000246675,0.00024634742253464,0.00024634742253464,0.00024634742253464,0.00024634742253464,0.00024634742253464,0.000245845862488656,0.000245349973419341,0.000245145259093492,0.000244588450422987,0.000192781921435625,0.00015688327603896,0.000130240741348781,0.000104303102473902,0.000103681465154191,7.86617794905311e-05,7.39422428770931e-05,5.43801506561006e-05,4.06861073551643e-05,4.06861073551643e-05,3.9067740125986e-05,0
1130,0.160008,8.16907,0.000188008,0.000187758330661366,0.000187758330661366,0.000187758330661366,0.000187758330661366,0.000187758330661366,0.000187376057220096,0.000186998106020567,0.000186842079139148,0.000186417696917502,0.000146932374522221,0.000119571545399951,9.92654354900235e-05,7.9496575209946e-05,7.90227826115703e-05,5.99535576708453e-05,5.6356473898192e-05,4.14468566516759e-05,3.10096834767598e-05,3.10096834767598e-05,2.97762143938639e-05,0
1155,0.434876,25.7539,0.000171953,0.000171724651250021,0.000171724651250021,0.000171724651250021,0.000171724651250021,0.000171724651250021,0.00017137502216484,0.00017102934622226,0.00017088664330355,0.000170498501330025,0.00013438503997819,0.000109360697130748,9.0788633615676e-05,7.2707941135887e-05,7.22746081996901e-05,5.48338054879306e-05,5.15438957715406e-05,3.7907489797379e-05,2.83616021811799e-05,2.83616021811799e-05,2.72334655635296e-05,0
1153,0.278368,25.3762,0.000185848,0.000185601199080644,0.000185601199080644,0.000185601199080644,0.000185601199080644,0.000185601199080644,0.00018522331753032,0.000184849708564052,0.000184695474255629,0.000184275967707353,0.000145244287159088,0.000118197803122687,9.81249875268599e-05,7.85832491682165e-05,7.81148999127437e-05,5.92647588720227e-05,5.57090015373345e-05,4.0970678987068e-05,3.06534171672953e-05,3.06534171672953e-05,2.94341192538127e-05,0
1122,0.188731,6.65625,0.000177596,0.00017736015750466,0.00017736015750466,0.00017736015750466,0.00017736015750466,0.00017736015750466,0.00017699905460438,0.000176642034577404,0.000176494648561742,0.000176093768891541,0.000138795168214376,0.000112949598830101,9.37680539194407e-05,7.50940054199054e-05,7.46464517503747e-05,5.66332923498544e-05,5.32354173142808e-05,3.91515039461674e-05,2.92923479146559e-05,2.92923479146559e-05,2.81271891169134e-05,0
