"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
318,0.198153,14.7047,5.3939e-05,5.38831835116025e-05,5.38831835116025e-05,5.38509942244035e-05,5.38509942244035e-05,5.37672448024271e-05,5.37096975463074e-05,5.35129499076007e-05,5.33476111495996e-05,5.31918046886667e-05,5.29546203515112e-05,5.27804546979265e-05,5.25985535089021e-05,5.22909762967634e-05,5.19867925291312e-05,5.02622504587388e-05,4.84338061844292e-05,3.69380681854316e-05,2.84354813435965e-05,2.27700080920279e-05,1.79161244308587e-05,0
612,0.427091,18.452,8.05315e-05,8.04481653898777e-05,8.04481653898777e-05,8.04001064421392e-05,8.04001064421392e-05,8.02750676654491e-05,8.01891490007314e-05,7.98954026860703e-05,7.96485501639625e-05,7.94159294626405e-05,7.90618107276316e-05,7.88017795566486e-05,7.85301991490785e-05,7.80709831039285e-05,7.76168335074756e-05,7.50420738763774e-05,7.23121871510662e-05,5.51489281980587e-05,4.24544757192726e-05,3.39958639697278e-05,2.67489641002558e-05,0
420,0.373118,13.3591,9.87175e-05,9.86153463784389e-05,9.86153463784389e-05,9.8556434534336e-05,9.8556434534336e-05,9.84031589162498e-05,9.82978376967982e-05,9.79377562154207e-05,9.76351583021671e-05,9.73500061060356e-05,9.69159186219675e-05,9.65971659957092e-05,9.62642560302386e-05,9.57013376698815e-05,9.51446298873637e-05,9.19884259934471e-05,8.86420634793264e-05,6.76029171118364e-05,5.20417439985259e-05,4.16729689802326e-05,3.27895402863103e-05,0
297,0.340259,15.4605,7.09452e-05,7.08717853661977e-05,7.08717853661977e-05,7.082944725429e-05,7.082944725429e-05,7.0719292829996e-05,7.06436017420102e-05,7.03848223694306e-05,7.01673546511906e-05,6.99624246277906e-05,6.96504594405167e-05,6.94213818319831e-05,6.918212978364e-05,6.87775778484796e-05,6.83774892626433e-05,6.61092235904506e-05,6.37042968263328e-05,4.85841160390271e-05,3.74007844234733e-05,2.99490679858829e-05,2.35648238004441e-05,0
372,0.746317,32.4042,3.15331e-05,3.15004693077312e-05,3.15004693077312e-05,3.14816512352386e-05,3.14816512352386e-05,3.14326907632588e-05,3.13990482526088e-05,3.1284028267698e-05,3.11873701244264e-05,3.10962846257475e-05,3.09576250765909e-05,3.08558066711505e-05,3.07494660199774e-05,3.0569654325506e-05,3.03918264613794e-05,2.93836476378957e-05,2.83147268913814e-05,2.15942416043685e-05,1.66235724940352e-05,1.33114989556114e-05,1.04738861174792e-05,0
387,0.798947,26.1005,9.53151e-05,9.52164672078967e-05,9.52164672078967e-05,9.51595858209911e-05,9.51595858209911e-05,9.50115930044647e-05,9.49099017889846e-05,9.45622308855921e-05,9.42700623201245e-05,9.39947381872251e-05,9.35756119740137e-05,9.32678454843126e-05,9.29464096026317e-05,9.24028928015653e-05,9.18653725243959e-05,8.88179504384533e-05,8.55869237444054e-05,6.52729131593324e-05,5.02480718554856e-05,4.02366673147899e-05,3.16594151122516e-05,0
316,0.646306,48.7193,3.27216e-05,3.26877394388708e-05,3.26877394388708e-05,3.26682121028058e-05,3.26682121028058e-05,3.26174062835258e-05,3.25824957680204e-05,3.24631406161877e-05,3.23628393739731e-05,3.22683208124117e-05,3.21244351080667e-05,3.20187791105447e-05,3.19084304213443e-05,3.17218415245402e-05,3.15373112297451e-05,3.04911335881397e-05,2.93819246267899e-05,2.24081405279375e-05,1.72501241463992e-05,1.38132167222993e-05,1.08686526850106e-05,0
438,0.232485,6.75012,0.000197263,0.000197058870743789,0.000197058870743789,0.000196941149700375,0.000196941149700375,0.000196634865523298,0.000196424406590356,0.000195704871013979,0.00019510020241761,0.000194530394859016,0.00019366297622129,0.000193026026346003,0.00019236078645927,0.000191235930536874,0.000190123484949183,0.000183816576359261,0.000177129681850962,0.000135088046579707,0.000103992813294312,8.32733292470699e-05,6.5521949861964e-05,0
733,0.447064,17.7987,9.11183e-05,9.10240100885305e-05,9.10240100885305e-05,9.09696332345328e-05,9.09696332345328e-05,9.08281566599491e-05,9.07309429899275e-05,9.03985803141648e-05,9.01192761640475e-05,8.98560747726754e-05,8.94554030214706e-05,8.91611877361849e-05,8.88539049331688e-05,8.83343196110676e-05,8.78204667811256e-05,8.4907225124205e-05,8.18184631167554e-05,6.23988946465565e-05,4.8035609108627e-05,3.84650147079447e-05,3.02654257722299e-05,0
995,0.0823954,7.20019,0.00013998,0.000139835147628879,0.000139835147628879,0.000139751611478374,0.000139751611478374,0.000139534268848954,0.000139384924869429,0.000138874334490182,0.000138445254986576,0.000138040913259785,0.000137425383429514,0.000136973396774426,0.000136501335215264,0.000135703125049054,0.000134913721393199,0.00013043826951212,0.000125693175433293,9.58599674557689e-05,7.37944470323262e-05,5.90916726806591e-05,4.64950981262463e-05,0
