"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2736,0.081809,1.19174,1.61109e-05,1.61109e-05,1.61109e-05,1.61109e-05,1.61109e-05,1.61109e-05,1.60948803863907e-05,1.60666710114103e-05,1.60382988881475e-05,1.57262537386205e-05,1.5326972055335e-05,1.49247932366358e-05,1.44859952574006e-05,1.38817170695561e-05,1.32500961150819e-05,1.26872102768396e-05,1.20513121214211e-05,1.15083873868681e-05,1.12373000356976e-05,1.07726079534342e-05,1.06001425083138e-05,0
2720,0.125481,1.91967,2.25805e-05,2.25805e-05,2.25805e-05,2.25805e-05,2.25805e-05,2.25805e-05,2.255804744396e-05,2.25185101250178e-05,2.24787447035122e-05,2.20413926313812e-05,2.1481772743639e-05,2.09180923275456e-05,2.03030877176156e-05,1.94561515675171e-05,1.85708927078317e-05,1.77819706941373e-05,1.68907170522906e-05,1.6129771855649e-05,1.57498248673922e-05,1.50985279464537e-05,1.48568061318102e-05,0
2850,0.291624,0.592492,0.000238383,0.000238383,0.000238383,0.000238383,0.000238383,0.000238383,0.000238145967708134,0.000237728571073808,0.000237308766354038,0.00023269162771624,0.000226783704167175,0.000220832913501353,0.000214340291817647,0.000205399162069903,0.000196053458354379,0.000187724785544187,0.000178315794737769,0.000170282474004791,0.000166271362519145,0.000159395601844932,0.000156843737566454,0
2759,0.749056,0.470995,9.6984e-05,9.6984e-05,9.6984e-05,9.6984e-05,9.6984e-05,9.6984e-05,9.68875655235719e-05,9.67177514211257e-05,9.6546957610568e-05,9.46685158859139e-05,9.22649298186081e-05,8.98439036467166e-05,8.72024383519069e-05,8.35648193629052e-05,7.97626030591152e-05,7.63741567193024e-05,7.25461926263525e-05,6.92779076481153e-05,6.76460226717374e-05,6.48486806916972e-05,6.38104774423718e-05,0
2920,0.993933,13.0829,3.43543e-05,3.43543e-05,3.43543e-05,3.43543e-05,3.43543e-05,3.43543e-05,3.43201403557953e-05,3.42599877056708e-05,3.41994880170001e-05,3.35340942351259e-05,3.26826804263323e-05,3.18250888708488e-05,3.08894119429279e-05,2.96008710079916e-05,2.82540253472095e-05,2.7053747960302e-05,2.56977817510466e-05,2.4540068699122e-05,2.39620118439296e-05,2.29711192679903e-05,2.26033601954804e-05,0
2634,0.76327,0.292696,0.00021078,0.00021078,0.00021078,0.00021078,0.00021078,0.00021078,0.000210570414306056,0.000210201349135371,0.000209830154717845,0.000205747646812185,0.000200523817404584,0.000195262084577404,0.000189521260783376,0.000181615448169937,0.000173351908281782,0.000165987634592248,0.000157668135793353,0.000150565014580444,0.000147018360335198,0.000140938762230841,0.000138682385087263,0
2819,0.0188574,1.79532,2.31193e-05,2.31193e-05,2.31193e-05,2.31193e-05,2.31193e-05,2.31193e-05,2.30963116968687e-05,2.30558309662463e-05,2.30151166902376e-05,2.25673288307474e-05,2.19943556870757e-05,2.14172251255829e-05,2.07875457084596e-05,1.99204005639777e-05,1.90140182803824e-05,1.82062715648001e-05,1.72937514557704e-05,1.65146491203608e-05,1.61256361044574e-05,1.54587983947409e-05,1.52113087842678e-05,0
2874,0.0743463,8.92615,1.23439e-05,1.23439e-05,1.23439e-05,1.23439e-05,1.23439e-05,1.23439e-05,1.23316260420937e-05,1.23100124945067e-05,1.22882742519291e-05,1.20491905184786e-05,1.17432676234009e-05,1.1435124992006e-05,1.10989253770942e-05,1.06359376158311e-05,1.01520002876909e-05,9.72072664694587e-06,9.23351219954253e-06,8.81753241996175e-06,8.60982986119009e-06,8.25379062103276e-06,8.1216505042161e-06,0
3013,0.196966,13.7922,1.40955e-05,1.40955e-05,1.40955e-05,1.40955e-05,1.40955e-05,1.40955e-05,1.40814843668802e-05,1.40568038558574e-05,1.40319809556191e-05,1.37589712289646e-05,1.34096378604532e-05,1.3057769774935e-05,1.2673863418598e-05,1.21451776718823e-05,1.15925696137482e-05,1.1100098222768e-05,1.05437480219908e-05,1.00687406918049e-05,9.83156513001603e-06,9.4250039046628e-06,9.27411309895397e-06,0
2700,0.315337,23.4012,8.2465e-06,8.2465e-06,8.2465e-06,8.2465e-06,8.2465e-06,8.2465e-06,8.23830022570873e-06,8.22386101928475e-06,8.2093385087803e-06,8.04961556806472e-06,7.845239872032e-06,7.63938125281127e-06,7.41477880752496e-06,7.10547392225725e-06,6.78217341135645e-06,6.4940555492218e-06,6.16856571695554e-06,5.89066511404131e-06,5.75190676773986e-06,5.51405020749898e-06,5.4257723153151e-06,0
