"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
5172,0.188759,8.99006,4.04309e-05,4.04309e-05,4.04139560500662e-05,4.03491696920479e-05,4.03294180380501e-05,4.01834806720946e-05,4.01834806720946e-05,4.007020676222e-05,3.99564200068599e-05,3.98614412638019e-05,3.96022714660661e-05,3.9473515120481e-05,3.93268946859549e-05,3.83591932940693e-05,3.73900745781096e-05,3.6369921920173e-05,3.49659058361789e-05,3.3099906188368e-05,3.16671101515599e-05,3.02139475923715e-05,2.89128175377021e-05,0
5871,0.239181,22.815,3.57405e-05,3.57405e-05,3.57255217224299e-05,3.56682512478979e-05,3.56507909887964e-05,3.55217838574209e-05,3.55217838574209e-05,3.54216508854644e-05,3.53210645633705e-05,3.52371043308191e-05,3.50080008936961e-05,3.48941816077197e-05,3.47645706507491e-05,3.39091325675828e-05,3.30524415845041e-05,3.21506371213093e-05,3.09095013353141e-05,2.92599768277571e-05,2.79933998593112e-05,2.6708819094434e-05,2.5558633500769e-05,0
5583,0.210021,6.20486,3.0277e-06,3.0277e-06,3.02643113887609e-06,3.02157956109345e-06,3.02010044282478e-06,3.00917180747648e-06,3.00917180747648e-06,3.00068920093229e-06,2.99216818954735e-06,2.98505563107458e-06,2.96564749530207e-06,2.95600547428527e-06,2.94502568680553e-06,2.87255860088333e-06,2.79998537752418e-06,2.72359043696054e-06,2.61844957941077e-06,2.47871271642535e-06,2.37141664929244e-06,2.26259541898457e-06,2.16515926330853e-06,0
5958,0.0423947,3.37972,0.000101674,0.000101674,0.00010163139003669,0.000101468467911159,0.000101418797246678,0.000101051799832666,0.000101051799832666,0.000100766943163322,0.000100480796810793,0.000100241948090589,9.95901983146754e-05,9.92664070391653e-05,9.88976918718055e-05,9.64641553609048e-05,9.4027054620469e-05,9.14616157768359e-05,8.79308526396308e-05,8.32383118307068e-05,7.96351740265416e-05,7.59808193116348e-05,7.27087898198736e-05,0
5700,0.639078,48.5461,3.56025e-05,3.56025e-05,3.55875795560445e-05,3.55305302123162e-05,3.55131373701718e-05,3.53846283567333e-05,3.53846283567333e-05,3.52848820147941e-05,3.51846840731775e-05,3.51010480250133e-05,3.48728291942702e-05,3.47594493834401e-05,3.46303388758774e-05,3.3778203781071e-05,3.29248206240066e-05,3.20264981774574e-05,3.07901546226416e-05,2.91469992028713e-05,2.78853126982311e-05,2.66056919128045e-05,2.54599473765373e-05,0
5768,0.603507,5.01324,0.000237886,0.000237886,0.000237786305744518,0.000237405117901469,0.000237288903769137,0.000236430242293936,0.000236430242293936,0.000235763764987608,0.000235094270217875,0.000234535437412494,0.000233010542678412,0.000232252970325933,0.000231390289834336,0.000225696560204027,0.000219994491368933,0.000213992150704097,0.000205731247034947,0.000194752139663626,0.000186321901454432,0.000177771831370533,0.000170116285137699,0
5705,0.578385,46.0073,1.99602e-05,1.99602e-05,1.9951834996266e-05,1.99198508291236e-05,1.9910099699069e-05,1.98380523537973e-05,1.98380523537973e-05,1.97821305243085e-05,1.97259555097939e-05,1.96790657619232e-05,1.95511170643486e-05,1.94875517613465e-05,1.94151671941658e-05,1.89374258299539e-05,1.84589847516128e-05,1.79553488918386e-05,1.72622047412078e-05,1.63409854220673e-05,1.56336329897966e-05,1.49162258750919e-05,1.42738751948644e-05,0
5832,0.307541,15.9145,4.6069e-05,4.6069e-05,4.60496932116401e-05,4.59758723783778e-05,4.59533663508586e-05,4.57870779795337e-05,4.57870779795337e-05,4.56580079921227e-05,4.55283536427839e-05,4.54201300881774e-05,4.51248189916673e-05,4.49781075386757e-05,4.48110408446821e-05,4.37083932305361e-05,4.26041306460883e-05,4.14417174225766e-05,3.98419109138537e-05,3.77156971077054e-05,3.6083097273922e-05,3.44272908006738e-05,3.29447178060444e-05,0
6213,0.993693,4.817,6.52111e-05,6.52111e-05,6.51837710606608e-05,6.5079276981346e-05,6.50474194890811e-05,6.48120367455592e-05,6.48120367455592e-05,6.46293369722614e-05,6.44458100291941e-05,6.42926185763343e-05,6.3874602959637e-05,6.36669315269559e-05,6.34304470604235e-05,6.18696390587122e-05,6.03065450514474e-05,5.86611382711885e-05,5.63965972084135e-05,5.33869216970259e-05,5.10759613761848e-05,4.87321518403225e-05,4.66335559122564e-05,0
5486,0.336684,22.4874,0.000119956,0.000119956,0.000119905728340001,0.000119713511190186,0.000119654909244472,0.00011922192203245,0.00011922192203245,0.000118885845290826,0.000118548246968108,0.000118266450864082,0.000117497509973397,0.000117115497794816,0.000116680483960248,0.000113809373295756,0.000110934057517684,0.000107907327164527,0.00010374169757499,9.82053910927501e-05,9.39543731487679e-05,8.9642928982301e-05,8.57825559300584e-05,0
