"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
691,0.141301,10.8117,0.000229808,0.000229808,0.000229808,0.000229808,0.000229636428659419,0.000229636428659419,0.000229515012447417,0.000229428230972025,0.000228579367558287,0.000186205943447886,0.000177073916918063,0.000141517458734723,0.00011218488372914,0.000110869802488241,0.000109132657530774,0.000101076961661157,9.37134893813853e-05,6.81614023799974e-05,5.00222101391152e-05,4.95797841091203e-05,4.88580387378972e-05,0
810,0.347043,34.3329,3.95201e-05,3.95201e-05,3.95201e-05,3.95201e-05,3.94905948629426e-05,3.94905948629426e-05,3.94697149073277e-05,3.94547910901166e-05,3.93088119814814e-05,3.20218508740113e-05,3.04514155468633e-05,2.43367686109367e-05,1.92924433590823e-05,1.9066288733706e-05,1.87675517774922e-05,1.73822131194088e-05,1.61159162070132e-05,1.17217217772999e-05,8.60232344791672e-06,8.52623940842289e-06,8.40212079964828e-06,0
735,0.74016,32.0751,0.000129016,0.000129016,0.000129016,0.000129016,0.000128919678513906,0.000128919678513906,0.000128851514507397,0.000128802794711615,0.000128326236183684,0.000104537466058068,9.94106752815432e-05,7.94490028898865e-05,6.29814669602394e-05,6.2243170115152e-05,6.12679234142862e-05,5.67453930484396e-05,5.26114823941238e-05,3.82663418569316e-05,2.80828581394385e-05,2.78344767224042e-05,2.74292832530136e-05,0
700,0.864049,28.6595,0.000232457,0.000232457,0.000232457,0.000232457,0.000232283450954199,0.000232283450954199,0.000232160635175839,0.000232072853369178,0.000231214205095109,0.000188352341937901,0.000179115050411745,0.000143148732442289,0.000113478040438212,0.000112147800237629,0.000110390631186169,0.000102242077198651,9.47937260718891e-05,6.89470998096108e-05,5.05988168484487e-05,5.01512909674763e-05,4.94212260273592e-05,0
851,0.740708,45.5643,3.25699e-05,3.25699e-05,3.25699e-05,3.25699e-05,3.25455837820895e-05,3.25455837820895e-05,3.25283758786079e-05,3.25160766376095e-05,3.23957701360991e-05,2.63903300037566e-05,2.50960791905836e-05,2.00567842687986e-05,1.58995789727499e-05,1.57131970169087e-05,1.54669974174595e-05,1.43252912588235e-05,1.32816915764585e-05,9.66028188477458e-06,7.0894763542173e-06,7.02677282973455e-06,6.92448233259694e-06,0
1092,0.15317,22.7193,5.0161e-05,5.0161e-05,5.0161e-05,5.0161e-05,5.01235505203697e-05,5.01235505203697e-05,5.00970485769637e-05,5.00781064792685e-05,4.98928220779575e-05,4.06438258428314e-05,3.86505463105157e-05,3.08895131918491e-05,2.4486988933098e-05,2.41999415277651e-05,2.38207687913438e-05,2.20624237358373e-05,2.04551727566476e-05,1.48778289040549e-05,1.09185236492557e-05,1.08219537644363e-05,1.06644158651207e-05,0
1057,0.345788,17.3946,0.000121285,0.000121285,0.000121285,0.000121285,0.000121194450367079,0.000121194450367079,0.000121130370938718,0.000121084570569528,0.000120636568763084,9.8273288358442e-05,9.34537092416597e-05,7.468819615784e-05,5.92074410946909e-05,5.85133850639937e-05,5.75965778764006e-05,5.33450501943945e-05,4.9458855042563e-05,3.59733154966667e-05,2.64000546400586e-05,2.61665569330687e-05,2.57856437910162e-05,0
736,0.735192,12.4386,0.000218404,0.000218404,0.000218404,0.000218404,0.000218240942721454,0.000218240942721454,0.000218125551671681,0.000218043076643172,0.000217236337256319,0.00017696565338366,0.000168286794848625,0.000134494791554247,0.00010661781724735,0.000105367995642631,0.000103717054825555,9.60611150814737e-05,8.90630480002962e-05,6.47789586324277e-05,4.75399062836077e-05,4.71194352179572e-05,4.64335057635578e-05,0
592,0.191101,16.6185,0.000241306,0.000241306,0.000241306,0.000241306,0.00024112584441834,0.00024112584441834,0.000240998353380371,0.000240907229961252,0.000240015895303993,0.000195522398652943,0.0001859334687906,0.000148598011807427,0.00011779783799147,0.000116416959197362,0.000114592899542752,0.000106134152469049,9.84022630572676e-05,7.15717266705582e-05,5.25249749348558e-05,5.20604129718521e-05,5.1302556463165e-05,0
636,0.192794,24.1595,0.000106081,0.000106081,0.000106081,0.000106081,0.000106001801454344,0.000106001801454344,0.000105945754871173,0.000105905695927659,0.000105513854565336,8.5953981962748e-05,8.17385738555015e-05,6.53254609936911e-05,5.17853366761422e-05,5.1178285863656e-05,5.03764074510983e-05,4.66578411977702e-05,4.32588102549377e-05,3.1463785968602e-05,2.30906063921512e-05,2.28863794040225e-05,2.25532166302081e-05,0
