"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
316,0.689332,20.7342,0.000113549,0.000113540589069322,0.000113540589069322,0.000113407125364169,0.000113407125364169,0.000113318986701467,0.000112966008036484,0.000112450853760886,0.000112136181339278,0.000110000948890342,0.000107179704376326,8.26981067623908e-05,6.53544221001822e-05,5.11045413145414e-05,5.04885962950065e-05,5.04885962950065e-05,5.04885962950065e-05,4.86448558062064e-05,4.56173283084751e-05,3.38250263022634e-05,2.53254638207185e-05,0
526,0.997593,69.4794,3.46645e-05,3.46619322917287e-05,3.46619322917287e-05,3.46211881847154e-05,3.46211881847154e-05,3.45942810109557e-05,3.44865228718939e-05,3.43292553892524e-05,3.42331914683125e-05,3.35813427930609e-05,3.27200667760452e-05,2.52462683234982e-05,1.99515483614278e-05,1.5601311965741e-05,1.54132748528675e-05,1.54132748528675e-05,1.54132748528675e-05,1.48504135139388e-05,1.39261629529907e-05,1.03261818620579e-05,7.7314158699178e-06,0
306,0.788779,28.6309,0.000221815,0.000221798569467028,0.000221798569467028,0.000221537851611668,0.000221537851611668,0.000221365675040607,0.000220676140455773,0.000219669800059629,0.000219055095718782,0.000214883975007365,0.000209372747679282,0.000161548587407196,0.000127668153291988,9.9831384086914e-05,9.86281516101142e-05,9.86281516101142e-05,9.86281516101142e-05,9.50264528146762e-05,8.9112257076191e-05,6.6076303703569e-05,4.94726308236327e-05,0
367,0.893146,28.9114,0.000186135,0.00018612121239657,0.00018612121239657,0.00018590243225092,0.00018590243225092,0.00018575795110197,0.000185179331441676,0.000184334865694832,0.000183819039477112,0.000180318863413186,0.000175694143269315,0.000135562727124128,0.000107132122322675,8.37730301242826e-05,8.27633433264144e-05,8.27633433264144e-05,8.27633433264144e-05,7.97409949492134e-05,7.47781257844457e-05,5.54476153094417e-05,4.15147223513148e-05,0
456,0.34366,34.8153,6.7665e-05,6.7659987841158e-05,6.7659987841158e-05,6.75804554665081e-05,6.75804554665081e-05,6.75279327440556e-05,6.73175891799017e-05,6.70106035256173e-05,6.68230870401525e-05,6.55506803817295e-05,6.38694721805046e-05,4.92806400239295e-05,3.89453625431208e-05,3.0453714150265e-05,3.00866662700826e-05,3.00866662700826e-05,3.00866662700826e-05,2.89879626251834e-05,2.71838283031376e-05,2.01566760142551e-05,1.50917005823822e-05,0
322,0.268761,23.2117,0.000147257,0.000147246092212006,0.000147246092212006,0.000147073008654867,0.000147073008654867,0.000146958705269953,0.00014650094184386,0.000145832859578391,0.000145424773934408,0.000142655679316816,0.000138996924035832,0.000107247753018603,8.47554459766843e-05,6.62753651758749e-05,6.54765715648202e-05,6.54765715648202e-05,6.54765715648202e-05,6.30855008098225e-05,5.9159225662235e-05,4.3866277097926e-05,3.2843546185766e-05,0
345,0.409823,16.2284,0.000201389,0.000201374082484933,0.000201374082484933,0.000201137373028074,0.000201137373028074,0.000200981051465198,0.000200355013187781,0.000199441342398885,0.00019888324356653,0.0001950962236222,0.000190092501780236,0.000146672265037747,0.000115911736011181,9.06383364960869e-05,8.95459045808863e-05,8.95459045808863e-05,8.95459045808863e-05,8.62758709099692e-05,8.09062883047451e-05,5.99916179093301e-05,4.49169066516718e-05,0
510,0.273291,22.2728,0.000226426,0.000226409227915792,0.000226409227915792,0.000226143090363697,0.000226143090363697,0.000225967334656108,0.000225263466306782,0.000224236206515797,0.000223608723951135,0.000219350895678911,0.000213725103198743,0.000164906793734697,0.000130322066935471,0.000101906638294361,0.00010067839351023,0.00010067839351023,0.00010067839351023,9.70018240651709e-05,9.09646864311865e-05,6.74498710293908e-05,5.0501047750927e-05,0
364,0.0761555,17.3118,0.000244154,0.000244135914747212,0.000244135914747212,0.000243848939983297,0.000243848939983297,0.000243659423500955,0.0002429004458528,0.000241792756863867,0.0002411161456174,0.000236524951125704,0.000230458687811408,0.000177818153911217,0.000140525619542646,0.000109885407886556,0.00010856099780545,0.00010856099780545,0.00010856099780545,0.000104596571740029,9.80867570460985e-05,7.27308516305984e-05,5.44550220053343e-05,0
305,0.411766,33.3599,0.000100349,0.000100341566834735,0.000100341566834735,0.000100223618201561,0.000100223618201561,0.000100145725603092,9.98337804864251e-05,9.93785125721151e-05,9.91004206220684e-05,9.72134076055003e-05,9.47201309959574e-05,7.30845037428701e-05,5.77570115397862e-05,4.51636704539266e-05,4.4619328656418e-05,4.4619328656418e-05,4.4619328656418e-05,4.29899218425262e-05,4.03143425166859e-05,2.98928882192343e-05,2.2381394542843e-05,0
