"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
819,0.134532,15.2591,0.000107953,0.000107953,0.000107953,0.000107868788195228,0.000107868788195228,0.000107868788195228,0.000107868788195228,0.000107644079932472,0.000107430006775616,0.000107192150219674,0.000106611734054015,8.43190217134653e-05,6.737607700012e-05,5.53278150336387e-05,4.46560076342657e-05,4.43518163920541e-05,4.38198882874702e-05,4.38198882874702e-05,4.29278119566482e-05,3.07597038989494e-05,3.03102802129049e-05,0
1261,0.049266,3.94093,0.000246843,0.000246843,0.000246843,0.000246650443104636,0.000246650443104636,0.000246650443104636,0.000246650443104636,0.000246136630040584,0.000245647134980161,0.000245103257312673,0.000243776090234595,0.000192802055309412,0.000154060683583973,0.000126511387792358,0.000102109463307783,0.000101413906178279,0.000100197610854205,0.000100197610854205,9.81578083685948e-05,7.03344750912745e-05,6.93068325900538e-05,0
1264,0.145437,7.42163,6.0889e-05,6.0889e-05,6.0889e-05,6.08415018055938e-05,6.08415018055938e-05,6.08415018055938e-05,6.08415018055938e-05,6.0714759043364e-05,6.05940148264566e-05,6.04598559996084e-05,6.01324824211919e-05,4.75586682455438e-05,3.80022968556715e-05,3.12066855907962e-05,2.51874394305189e-05,2.50158656850276e-05,2.4715840948707e-05,2.4715840948707e-05,2.42126809095472e-05,1.73494725547519e-05,1.70959829915201e-05,0
2200,0.183824,1.9223,0.000240835,0.000240835,0.000240835,0.000240647129815733,0.000240647129815733,0.000240647129815733,0.000240647129815733,0.000240145822631486,0.000239668241566288,0.000239137601531733,0.000237842736847505,0.000188109377176757,0.000150310945544116,0.000123432181909038,9.96241845858697e-05,9.89455568699373e-05,9.7758865392466e-05,9.7758865392466e-05,9.57687103885892e-05,6.86225791641128e-05,6.76199488210142e-05,0
2348,0.530205,37.5747,5.55188e-05,5.55188e-05,5.55188e-05,5.547549098268e-05,5.547549098268e-05,5.547549098268e-05,5.547549098268e-05,5.53599264953722e-05,5.52498315023581e-05,5.51275050217783e-05,5.48290046649751e-05,4.33641575751071e-05,3.46506252142531e-05,2.84543634478855e-05,2.29659940589448e-05,2.28095525266289e-05,2.25359889382824e-05,2.25359889382824e-05,2.20772058808811e-05,1.58193088550109e-05,1.55881761978289e-05,0
1853,0.245301,19.9638,7.381e-05,7.381e-05,7.381e-05,7.3752422412437e-05,7.3752422412437e-05,7.3752422412437e-05,7.3752422412437e-05,7.35987840987813e-05,7.34524172566599e-05,7.32897891463335e-05,7.28929449901981e-05,5.76508943028065e-05,4.60666053132276e-05,3.78289258069055e-05,3.05323605966036e-05,3.03243779042501e-05,2.99606861735957e-05,2.99606861735957e-05,2.93507526471724e-05,2.10311315552273e-05,2.07238500320928e-05,0
1927,0.669063,34.6359,9.04679e-05,9.04679e-05,9.04679e-05,9.03973279442638e-05,9.03973279442638e-05,9.03973279442638e-05,9.03973279442638e-05,9.02090155801401e-05,9.0029615758485e-05,8.9830284724449e-05,8.9343878310239e-05,7.06619067971396e-05,5.64632033981377e-05,4.63663931311007e-05,3.74230936894388e-05,3.71681721691357e-05,3.6722400226043e-05,3.6722400226043e-05,3.59748131067488e-05,2.57775681672558e-05,2.54009374382653e-05,0
2328,0.41263,34.2662,5.308e-05,5.308e-05,5.308e-05,5.30385934379103e-05,5.30385934379103e-05,5.30385934379103e-05,5.30385934379103e-05,5.29281054052745e-05,5.28228466059275e-05,5.2705893617225e-05,5.24205056236244e-05,4.1459280173323e-05,3.31285111777011e-05,2.72044354671527e-05,2.19571562182322e-05,2.18075867654464e-05,2.15460401313434e-05,2.15460401313434e-05,2.11074102494501e-05,1.5124406759944e-05,1.49034271738719e-05,0
2141,0.850689,31.2015,9.76992e-05,9.76992e-05,9.76992e-05,9.76229869632457e-05,9.76229869632457e-05,9.76229869632457e-05,9.76229869632457e-05,9.74196223739826e-05,9.72258827264851e-05,9.70106187205726e-05,9.64853327623135e-05,7.63100698099005e-05,6.09764325405512e-05,5.00725618235201e-05,4.04144046118371e-05,4.0139106648732e-05,3.96577031650367e-05,3.96577031650367e-05,3.88503597483624e-05,2.7838026392636e-05,2.74312907337141e-05,0
2154,0.173445,7.55267,0.000137537,0.000137537,0.000137537,0.000137429710355499,0.000137429710355499,0.000137429710355499,0.000137429710355499,0.000137143421875005,0.00013687068299999,0.000136567642999855,0.000135828166577928,0.000107426243730187,8.58401665758757e-05,7.04901364138242e-05,5.68937715672006e-05,5.65062181793368e-05,5.58285177382174e-05,5.58285177382174e-05,5.46919721830938e-05,3.91892526854261e-05,3.86166666015979e-05,0
2236,0.219596,23.5682,1.5121e-05,1.5121e-05,1.5121e-05,1.51092044343376e-05,1.51092044343376e-05,1.51092044343376e-05,1.51092044343376e-05,1.50777294994943e-05,1.50477442262289e-05,1.50144276071225e-05,1.49331285895785e-05,1.18105835625625e-05,9.43738164125883e-06,7.74977898829722e-06,6.2549766235096e-06,6.21236849058618e-06,6.13786120621786e-06,6.13786120621786e-06,6.01290788210126e-06,4.30851836128698e-06,4.24556748862315e-06,0
2435,0.363459,8.10406,0.000248167,0.000248167,0.000248167,0.000247973410280819,0.000247973410280819,0.000247973410280819,0.000247973410280819,0.000247456841260565,0.000246964720679224,0.000246417925797021,0.000245083640148794,0.000193836194098965,0.000154887023990892,0.000127189961126166,0.000102657151228524,0.000101957863316136,0.000100735044108423,0.000100735044108423,9.86843006664522e-05,7.07117304520538e-05,6.96785759506078e-05,0
