"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
6129,0.902333,62.9995,5.08152e-05,5.08152e-05,5.08152e-05,5.08152e-05,5.08152e-05,5.08152e-05,5.07819380123697e-05,5.07267498886264e-05,5.07267498886264e-05,5.07267498886264e-05,4.84311626598947e-05,3.89888900425927e-05,3.20302320580228e-05,3.20302320580228e-05,2.66010657777296e-05,2.66010657777296e-05,2.19244400147392e-05,1.68031270611809e-05,1.68031270611809e-05,1.68031270611809e-05,1.68031270611809e-05,0
2890,0.0373252,10.0957,0.000207993,0.000207993,0.000207993,0.000207993,0.000207993,0.000207993,0.000207856854504298,0.000207630962577832,0.000207630962577832,0.000207630962577832,0.000198234835543685,0.000159586427026342,0.000131103765338803,0.000131103765338803,0.00010888150542175,0.00010888150542175,8.97394884205053e-05,6.87773108604552e-05,6.87773108604552e-05,6.87773108604552e-05,6.87773108604552e-05,0
2846,0.546132,19.4673,0.000198919,0.000198919,0.000198919,0.000198919,0.000198919,0.000198919,0.000198788794051437,0.000198572756991917,0.000198572756991917,0.000198572756991917,0.000189586549795014,0.000152624234842774,0.000125384171089553,0.000125384171089553,0.000104131389888069,0.000104131389888069,8.5824471482783e-05,6.57767996954267e-05,6.57767996954267e-05,6.57767996954267e-05,6.57767996954267e-05,0
6116,0.331755,9.72458,0.000223656,0.000223656,0.000223656,0.000223656,0.000223656,0.000223656,0.000223509602010709,0.000223266699198087,0.000223266699198087,0.000223266699198087,0.000213162992881292,0.000171604149769481,0.000140976589311252,0.000140976589311252,0.000117080872801522,0.000117080872801522,9.64973581907878e-05,7.39566150678434e-05,7.39566150678434e-05,7.39566150678434e-05,7.39566150678434e-05,0
1952,0.105459,4.95976,0.000232983,0.000232983,0.000232983,0.000232983,0.000232983,0.000232983,0.000232830496857947,0.000232577464406356,0.000232577464406356,0.000232577464406356,0.000222052408924697,0.000178760460822616,0.000146855656488104,0.000146855656488104,0.000121963430392732,0.000121963430392732,0.000100521533083683,7.7040786065884e-05,7.7040786065884e-05,7.7040786065884e-05,7.7040786065884e-05,0
4289,0.0309711,6.18503,6.96892e-05,6.96892e-05,6.96892e-05,6.96892e-05,6.96892e-05,6.96892e-05,6.96435837019561e-05,6.95678973680801e-05,6.95678973680801e-05,6.95678973680801e-05,6.64196732638647e-05,5.34703111658766e-05,4.39270385226854e-05,4.39270385226854e-05,3.64813479666981e-05,3.64813479666981e-05,3.0067709761551e-05,2.30442167381423e-05,2.30442167381423e-05,2.30442167381423e-05,2.30442167381423e-05,0
4462,0.948054,30.8306,0.000141774,0.000141774,0.000141774,0.000141774,0.000141774,0.000141774,0.000141681199321575,0.000141527224899442,0.000141527224899442,0.000141527224899442,0.000135122554962765,0.000108778690173384,8.93640902681505e-05,8.93640902681505e-05,7.42167599374171e-05,7.42167599374171e-05,6.11690116077402e-05,4.68805895868138e-05,4.68805895868138e-05,4.68805895868138e-05,4.68805895868138e-05,0
4801,0.902788,32.1617,0.00012807,0.00012807,0.00012807,0.00012807,0.00012807,0.00012807,0.000127986169517077,0.000127847078398518,0.000127847078398518,0.000127847078398518,0.00012206148951205,9.82640459499294e-05,8.07260784110065e-05,8.07260784110065e-05,6.70429024023094e-05,6.70429024023094e-05,5.52563609449073e-05,4.23490704105354e-05,4.23490704105354e-05,4.23490704105354e-05,4.23490704105354e-05,0
1909,0.157841,16.2361,0.000238987,0.000238987,0.000238987,0.000238987,0.000238987,0.000238987,0.000238830566833589,0.000238571013705213,0.000238571013705213,0.000238571013705213,0.00022777472627482,0.00018336713945058,0.00015064014446171,0.00015064014446171,0.000125106442698686,0.000125106442698686,0.000103111985110803,7.9026136411358e-05,7.9026136411358e-05,7.9026136411358e-05,7.9026136411358e-05,0
4347,0.815786,28.5497,0.000123238,0.000123238,0.000123238,0.000123238,0.000123238,0.000123238,0.000123157332388113,0.000123023489089377,0.000123023489089377,0.000123023489089377,0.000117456186807886,9.45566057216943e-05,7.76803345921419e-05,7.76803345921419e-05,6.45134161494167e-05,6.45134161494167e-05,5.31715734374052e-05,4.07512668013864e-05,4.07512668013864e-05,4.07512668013864e-05,4.07512668013864e-05,0
