"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
333,0.227856,27.1638,7.60584e-05,7.60335565546928e-05,7.60335565546928e-05,7.59790576285632e-05,7.58471353805094e-05,7.58471353805094e-05,7.58425827018573e-05,7.5394585179967e-05,7.51356597888035e-05,7.5108166631216e-05,7.50078885624012e-05,7.49286662291441e-05,7.45472192114923e-05,7.43747846839324e-05,7.41940724838553e-05,7.39449954007061e-05,7.23730687928932e-05,7.06885356887278e-05,6.88247446475984e-05,6.70432630235099e-05,6.54000973886082e-05,0
320,0.111371,20.5502,1.73268e-05,1.73211404356633e-05,1.73211404356633e-05,1.73087250812348e-05,1.72786719850932e-05,1.72786719850932e-05,1.72776348432066e-05,1.71755769053287e-05,1.71165913301968e-05,1.71103281371387e-05,1.7087483874799e-05,1.70694363018304e-05,1.69825391782326e-05,1.69432570138415e-05,1.69020891198509e-05,1.68453470794673e-05,1.64872478038021e-05,1.61034957371105e-05,1.56789070708825e-05,1.5273069243578e-05,1.48987410651938e-05,0
321,0.173819,9.97368,8.81262e-05,8.80974147714147e-05,8.80974147714147e-05,8.80342687774957e-05,8.78814150964239e-05,8.78814150964239e-05,8.78761400673748e-05,8.73570610542269e-05,8.70570532864228e-05,8.70251979291684e-05,8.69090092485232e-05,8.6817217110047e-05,8.63752478316111e-05,8.61754539934204e-05,8.59660691064594e-05,8.5677472227679e-05,8.38561360093857e-05,8.19043265939326e-05,7.9744817295173e-05,7.7680677030577e-05,7.57767986506154e-05,0
398,0.427618,30.5486,2.56768e-05,2.56684130213564e-05,2.56684130213564e-05,2.56500145535153e-05,2.56054784972898e-05,2.56054784972898e-05,2.56039415438538e-05,2.54527006188531e-05,2.53652891628689e-05,2.53560076593303e-05,2.53221544634e-05,2.52954095409907e-05,2.5166635614865e-05,2.51084228878388e-05,2.50474156747112e-05,2.49633289407199e-05,2.44326571789751e-05,2.38639702277766e-05,2.32347670128146e-05,2.26333508988101e-05,2.20786293246744e-05,0
395,0.199104,23.8924,2.2418e-06,2.24106774641999e-06,2.24106774641999e-06,2.2394614058633e-06,2.23557303461585e-06,2.23557303461585e-06,2.23543884568994e-06,2.22223424442862e-06,2.21460249117178e-06,2.21379213806575e-06,2.21083647012284e-06,2.20850141407781e-06,2.19725837025658e-06,2.19217591093738e-06,2.18684946954323e-06,2.17950799240193e-06,2.13317589667818e-06,2.08352475606889e-06,2.02859003806267e-06,1.97608136702987e-06,1.92764952097049e-06,0
405,0.733827,30.4775,0.000145446,0.000145398492035776,0.000145398492035776,0.000145294274082074,0.00014504199999676,0.00014504199999676,0.000145033293938005,0.000144176591094284,0.000143681449697105,0.000143628874704751,0.00014343711358439,0.000143285617214721,0.000142556178481729,0.000142226433019091,0.000141880858215356,0.000141404549675658,0.000138398564309151,0.000135177242247835,0.000131613126360988,0.000128206410254718,0.00012506419494472,0
533,0.188619,11.4506,0.000115284,0.000115246344044198,0.000115246344044198,0.000115163738385915,0.0001149637798745,0.0001149637798745,0.000114956879242804,0.000114277835950892,0.000113885374963087,0.000113843702758842,0.000113691708279794,0.000113571628611181,0.000112993457916255,0.000112732093726695,0.000112458182820422,0.0001120806492087,0.000109698032863167,0.000107144735470892,0.000104319731442599,0.000101619486268477,9.91288907911329e-05,0
540,0.178475,6.29395,6.98924e-05,6.9869570595006e-05,6.9869570595006e-05,6.98194898577749e-05,6.96982624518622e-05,6.96982624518622e-05,6.96940788556069e-05,6.92824001718722e-05,6.9044465676677e-05,6.90192013696791e-05,6.89270527720642e-05,6.88542529366097e-05,6.85037295554114e-05,6.83452741714692e-05,6.81792121799907e-05,6.79503275975343e-05,6.65058359536935e-05,6.49578667414886e-05,6.32451719048495e-05,6.1608113719778e-05,6.0098158345739e-05,0
1151,0.819232,3.69705,0.000179985,0.000179926210339639,0.000179926210339639,0.000179797243792624,0.00017948506228715,0.00017948506228715,0.000179474288804311,0.000178414145099244,0.000177801422684251,0.000177736362730736,0.000177499064178365,0.000177311592029973,0.000176408933790093,0.000176000883812144,0.000175573245506173,0.000174983828179347,0.000171264012741379,0.000167277724694914,0.000162867239718401,0.000158651532181671,0.000154763136333247,0
1228,0.671763,21.2912,0.000152527,0.000152477179123116,0.000152477179123116,0.000152367887345932,0.00015210333136357,0.00015210333136357,0.000152094201452649,0.000151195790257813,0.000150676543032812,0.000150621408440875,0.000150420311481143,0.000150261439550828,0.000149496488286255,0.000149150689253076,0.000148788290231519,0.00014828879273668,0.000145136461768504,0.000141758310495548,0.000138020676570428,0.000134448105392526,0.000131152912162131,0
883,0.010493,12.5017,5.94103e-05,5.9390894430875e-05,5.9390894430875e-05,5.93483245431172e-05,5.92452781953956e-05,5.92452781953956e-05,5.92417220332291e-05,5.88917847853412e-05,5.86895344728624e-05,5.86680591757193e-05,5.85897305473008e-05,5.85278488539507e-05,5.82298951532049e-05,5.80952040866996e-05,5.7954047212242e-05,5.77594895534822e-05,5.65316352816575e-05,5.52158224709963e-05,5.3759988731517e-05,5.23684480505195e-05,5.10849479595473e-05,0
877,0.77932,38.9867,5.3745e-05,5.37274449243208e-05,5.37274449243208e-05,5.36889344536189e-05,5.35957144907792e-05,5.35957144907792e-05,5.35924974402738e-05,5.32759298183675e-05,5.3092965870295e-05,5.3073538433555e-05,5.30026791358515e-05,5.29466984118171e-05,5.2677157243929e-05,5.25553101674233e-05,5.2427613855206e-05,5.22516089979666e-05,5.11408415411584e-05,4.99505031737543e-05,4.86334961172622e-05,4.73746512048444e-05,4.62135442521897e-05,0
525,0.237541,26.6806,9.0042e-05,9.00125890013154e-05,9.00125890013154e-05,8.9948070259052e-05,8.97918936492462e-05,8.97918936492462e-05,8.97865039448718e-05,8.92561405285227e-05,8.8949610808319e-05,8.89170629385833e-05,8.87983483998576e-05,8.87045607665241e-05,8.82529833948806e-05,8.80488461828101e-05,8.78349094194895e-05,8.75400386528033e-05,8.56791078993206e-05,8.36848675555156e-05,8.14784120828082e-05,7.93693988982529e-05,7.7424131576066e-05,0
