"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1895,0.0180276,20.0312,0.000122357,0.000122357,0.000122357,0.000122304347598916,0.000122077231518671,0.000121854764961301,0.000121564356463221,0.000121286303047981,0.000120762999541796,0.000120348060895071,0.000119594162723644,0.000116828766942159,0.000114165559316719,0.000111028572543698,0.000108034579692045,0.000103669486773022,9.9136344846084e-05,7.52395580044732e-05,5.76498593875546e-05,4.42910433243019e-05,3.47918774649481e-05,0
1941,0.027803,16.9414,0.000228664,0.000228664,0.000228664,0.000228565601799314,0.000228141161257511,0.000227725409867118,0.000227182686779718,0.000226663053198129,0.000225685089755594,0.000224909641430491,0.000223500736574445,0.00021833269174679,0.000213355618849744,0.000207493134942277,0.000201897881859655,0.00019374028068248,0.000185268625071593,0.000140609677350171,0.000107737583031586,8.27722740072752e-05,6.50199814366557e-05,0
2046,0.336674,24.8264,0.000185192,0.000185192,0.000185192,0.000185112308576857,0.000184768559701575,0.000184431848057024,0.000183992303686237,0.000183571459205944,0.000182779419331499,0.000182151393817109,0.000181010340095925,0.000176824807796468,0.000172793941180167,0.000168045991700618,0.000163514468990979,0.000156907733880934,0.000150046650169063,0.000113877949164857,8.72552674526183e-05,6.70361883285314e-05,5.26588374305406e-05,0
1863,0.231812,17.4909,0.000222707,0.000222707,0.000222707,0.000222611165202742,0.000222197781899103,0.000221792861382974,0.000221264276950682,0.000220758180511999,0.000219805694312175,0.0002190504474428,0.000217678246423945,0.000212644836007646,0.000207797422450276,0.00020208766401178,0.000196638174681271,0.000188693089817169,0.000180442132053228,0.000136946609057939,0.000104930876326031,8.0615946661207e-05,6.33261248198811e-05,0
1891,0.716895,40.7429,0.000204374,0.000204374,0.000204374,0.000204286054219872,0.000203906700183862,0.000203535112287821,0.000203050040355798,0.000202585605230008,0.00020171152666668,0.000201018450904887,0.000199759207993675,0.000195140142493171,0.000190691762790809,0.0001854520255077,0.000180451132260369,0.000173160078211705,0.000165588330390362,0.000125673311928261,9.62930797786157e-05,7.39797288946352e-05,5.81131865362937e-05,0
2024,0.269279,22.9512,0.000160506,0.000160506,0.000160506,0.000160436931403284,0.00016013900407934,0.000159847175926826,0.000159466222598509,0.000159101476474736,0.000158415015115241,0.000157870705084501,0.000156881753247638,0.00015325415028824,0.000149760596154607,0.000145645545940966,0.000141718072918193,0.000135992012259132,0.000130045507538315,9.8698076097534e-05,7.56241844018637e-05,5.81002983058623e-05,4.56394410159529e-05,0
1745,0.117153,16.7828,4.44275e-05,4.44275e-05,4.44275e-05,4.44083820537514e-05,4.43259168114267e-05,4.4245139798444e-05,4.4139693248198e-05,4.40387327955423e-05,4.3848722689696e-05,4.36980595749796e-05,4.34243211618845e-05,4.2420213337388e-05,4.1453209759503e-05,4.03141782381485e-05,3.92270674278409e-05,3.76421138439846e-05,3.59961421140547e-05,2.73192826176167e-05,2.09325100152879e-05,1.60819595715032e-05,1.26328378112734e-05,0
1901,0.527616,22.0246,0.000241568,0.000241568,0.000241568,0.000241464048977787,0.000241015656345793,0.000240576443212661,0.000240003093097309,0.000239454135478106,0.000238420983460796,0.000237601774923385,0.000236113362544237,0.000230653673861598,0.000225395734065244,0.00021920241761596,0.000213291412400173,0.000204673460290668,0.000195723730982116,0.000148544583048167,0.000113817445937158,8.74432909744842e-05,6.86891984557694e-05,0
1834,0.0299221,5.63404,0.000110859,0.000110859,0.000110859,0.000110811295393547,0.000110605521620572,0.000110403960450525,0.000110140841906521,0.000109888917426842,0.000109414789233178,0.00010903884275331,0.00010835578908751,0.000105850260094975,0.000103437316543329,0.000100595115307026,9.78824707215804e-05,9.39275696050934e-05,8.98204112007652e-05,6.81692274313516e-05,5.22324489963379e-05,4.01289731841152e-05,3.15224526907874e-05,0
1912,0.128868,14.3544,0.000249258,0.000249258,0.000249258,0.000249150739833526,0.00024868807321102,0.000248234878304666,0.00024764327634144,0.000247076843377442,0.000246010802322621,0.000245165515357386,0.000243629721325058,0.000237996230624065,0.000232570911220172,0.000226180438676145,0.000220081264372939,0.000211188971077011,0.000201954338890666,0.000153273304748228,0.000117440674838571,9.02269332929774e-05,7.08758288709107e-05,0
