"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
486,0.189229,13.5984,0.000169254,0.000169243591925813,0.000169138466933579,0.000168952347468133,0.000168952347468133,0.000168674527437059,0.000167782782708159,0.000166783189673781,0.000166290037943841,0.000158862226196681,0.000127575439723406,0.000104264676527706,8.19922873125527e-05,6.43442641286415e-05,5.04243919047638e-05,5.04243919047638e-05,4.88458536268468e-05,3.43472704169029e-05,2.45790142831798e-05,2.45626090471245e-05,2.4244490931222e-05,0
493,0.993138,25.4271,0.000217649,0.000217635615932629,0.000217500432424796,0.00021726109559651,0.00021726109559651,0.000216903838149459,0.000215757115776573,0.000214471707902376,0.000213837548704545,0.000204285893801514,0.00016405323880298,0.000134077201020825,0.000105436440741665,8.27422970407476e-05,6.48422989925198e-05,6.48422989925198e-05,6.28124073642549e-05,4.4168226800953e-05,3.16069214300388e-05,3.15858254250866e-05,3.11767474132933e-05,0
503,0.515594,10.8289,0.000147609,0.000147599922959441,0.000147508241847157,0.000147345924216997,0.000147345924216997,0.000147103633122153,0.000146325928916118,0.000145454168554699,0.000145024083394498,0.000138546175255332,0.000111260490636157,9.093081780979e-05,7.15067268006581e-05,5.61156160785839e-05,4.39758827836877e-05,4.39758827836877e-05,4.25992154277313e-05,2.9954779437819e-05,2.14357339816245e-05,2.14214267245501e-05,2.1143991054077e-05,0
408,0.171836,13.0346,0.000206194,0.000206181320344281,0.000206053251627154,0.000205826511242536,0.000205826511242536,0.000205488056473448,0.000204401686800467,0.000203183930728937,0.000202583147717586,0.000193534202254591,0.000155419016497855,0.000127020635919706,9.98872563728154e-05,7.83875193362704e-05,6.14296091342649e-05,6.14296091342649e-05,5.95065519440253e-05,4.18436260079105e-05,2.99434298220779e-05,2.99234441127701e-05,2.95358961269594e-05,0
428,0.955941,38.8627,6.81498e-05,6.81456092087971e-05,6.81032808313541e-05,6.80283401838879e-05,6.80283401838879e-05,6.79164764787249e-05,6.75574171659429e-05,6.71549329388388e-05,6.69563663361881e-05,6.39655721156286e-05,5.13680072675515e-05,4.19819729662394e-05,3.30140379659743e-05,2.59080951204349e-05,2.03032851420426e-05,2.03032851420426e-05,1.9667689717814e-05,1.38298628656212e-05,9.89669318063883e-06,9.89008764365822e-06,9.76199799156648e-06,0
452,0.297529,20.9971,0.000144413,0.000144404119493674,0.000144314423442157,0.000144155620280262,0.000144155620280262,0.000143918575222849,0.000143157709709864,0.000142304824526213,0.000141884051482292,0.000135546401690603,0.000108851501156701,8.89620022652088e-05,6.99584777179132e-05,5.49006121900192e-05,4.30237259275566e-05,4.30237259275566e-05,4.16768658927637e-05,2.93062046552294e-05,2.09716118359202e-05,2.09576143566616e-05,2.06861856668118e-05,0
408,0.568817,24.5837,0.00021114,0.000211127016195872,0.000210995875479196,0.000210763696246006,0.000210763696246006,0.000210417122922121,0.000209304694370595,0.000208057727839354,0.000207442533774461,0.000198176530180482,0.000159147070930081,0.000130067495019674,0.000102283263870705,8.02678100849692e-05,6.29031284741976e-05,6.29031284741976e-05,6.09339426824326e-05,4.28473340412923e-05,3.06616864342974e-05,3.06412213254037e-05,3.02443771799675e-05,0
606,0.129518,10.0289,0.000180856,0.000180844878474569,0.000180732547388773,0.000180533669831712,0.000180533669831712,0.000180236805831217,0.000179283933906831,0.000178215820906101,0.000177688864678952,0.000169751892309943,0.000136320463484563,0.000111411797287478,8.76126833882746e-05,6.875492592937e-05,5.3880876211658e-05,5.3880876211658e-05,5.21941325081653e-05,3.6701702403012e-05,2.6263853186328e-05,2.62463234063996e-05,2.59063989734782e-05,0
324,0.944922,26.0992,0.000156673,0.000156663365579501,0.000156566054745439,0.000156393769924934,0.000156393769924934,0.000156136600831569,0.000155311141333354,0.00015438585011734,0.000153929355375799,0.000147053668243661,0.000118092493340099,9.65144674018063e-05,7.58976309577296e-05,5.95614218501581e-05,4.66762425283601e-05,4.66762425283601e-05,4.52150402665755e-05,3.17941667436364e-05,2.27520052984782e-05,2.27368194975607e-05,2.24423477593873e-05,0
349,0.801181,22.7762,0.000230445,0.000230430829057771,0.000230287697853573,0.000230034289956479,0.000230034289956479,0.000229656028662443,0.000228441888293226,0.000227080908837454,0.000226409466210361,0.000216296251290334,0.000173698241737627,0.000141959855497816,0.000111635250273206,8.76068745620475e-05,6.86545014740762e-05,6.86545014740762e-05,6.65052686438059e-05,4.67649611307455e-05,3.3465152649198e-05,3.34428163698619e-05,3.30096878812049e-05,0
327,0.252738,13.4758,0.000121723,0.00012171551478834,0.000121639911674501,0.000121506059477847,0.000121506059477847,0.000121306258659891,0.000120664939437681,0.000119946058566779,0.000119591396886562,0.000114249511145017,9.17488818547988e-05,7.49843975385042e-05,5.8966684323832e-05,4.62746928434816e-05,3.62638889232962e-05,3.62638889232962e-05,3.51286459464514e-05,2.47016483921011e-05,1.76765769529316e-05,1.76647787410823e-05,1.74359966064089e-05,0
426,0.86291,8.28622,0.000235922,0.000235907492256145,0.000235760959244117,0.000235501528586484,0.000235501528586484,0.00023511427713381,0.000233871280218336,0.000232477954283017,0.000231790553439132,0.000221436977139527,0.000177826538164093,0.000145333823813733,0.00011428849189592,8.9689032352307e-05,7.02862170876652e-05,7.02862170876652e-05,6.80859033130854e-05,4.78764267390819e-05,3.4260520919543e-05,3.42376537725295e-05,3.37942310933612e-05,0
601,0.945102,18.1621,0.000159008,0.000158998221991443,0.000158899460870493,0.000158724608376835,0.000158724608376835,0.000158463606524584,0.000157625844664581,0.000156686763229516,0.000156223465048828,0.000149245305062698,0.000119852502862794,9.79528855171371e-05,7.70287829002233e-05,6.04491046035369e-05,4.7371889042461e-05,4.7371889042461e-05,4.58889095294508e-05,3.22680159668362e-05,2.3091093286657e-05,2.30756811618347e-05,2.27768207191071e-05,0
355,0.101008,5.45819,0.000211829,0.000211815973826633,0.000211684405166632,0.000211451468277424,0.000211451468277424,0.000211103764002416,0.000209987705332144,0.000208736669652754,0.000208119468063419,0.000198823227297534,0.000159666405645771,0.000130491936168052,0.000102617038469583,8.05297430259019e-05,6.31083963321057e-05,6.31083963321057e-05,6.11327846191011e-05,4.29871550754613e-05,3.07617428042568e-05,3.0741210912849e-05,3.03430717706514e-05,0
329,0.227618,16.0231,0.000246128,0.000246112864650268,0.00024595999261127,0.000245689338967685,0.000245689338967685,0.000245285334993729,0.000243988565956455,0.000242534964656837,0.000241817826810839,0.000231016354173826,0.000185519324968641,0.00015162097382875,0.000119232618973046,9.35689853206086e-05,7.33268030931955e-05,7.33268030931955e-05,7.10313036115458e-05,4.9947563857702e-05,3.57426331282597e-05,3.57187767470823e-05,3.52561715759735e-05,0
463,0.110138,17.076,8.22798e-05,8.22747403011892e-05,8.22236356694759e-05,8.21331570255856e-05,8.21331570255856e-05,8.19980997944849e-05,8.15645940696869e-05,8.10786598232286e-05,8.08389229442828e-05,7.72280253289004e-05,6.2018514571909e-05,5.06864046448791e-05,3.98590816265458e-05,3.1279811311117e-05,2.45129147969654e-05,2.45129147969654e-05,2.37455366918728e-05,1.66973101991604e-05,1.19486474731302e-05,1.19406723615135e-05,1.1786024938393e-05,0
450,0.453304,30.0996,8.30668e-05,8.30616919055567e-05,8.3010098461946e-05,8.29187543967403e-05,8.29187543967403e-05,8.27824053535439e-05,8.23447531796124e-05,8.18541710092169e-05,8.16121410653423e-05,7.79667054901775e-05,6.26117169249542e-05,5.11712162323589e-05,4.0240330696671e-05,3.15790003162173e-05,2.47473789539664e-05,2.47473789539664e-05,2.39726609359339e-05,1.68570186953738e-05,1.20629353732144e-05,1.20548839802645e-05,1.18987573663584e-05,0
609,0.453466,27.4829,0.000164623,0.000164612876703671,0.000164510628062005,0.000164329601056675,0.000164329601056675,0.000164059382527273,0.000163192037043528,0.000162219794118111,0.000161740135633007,0.000154515558055799,0.000124084816982678,0.000101411865267708,7.97488763293888e-05,6.25837250147669e-05,4.90447178119154e-05,4.90447178119154e-05,4.75093703050587e-05,3.34074863686637e-05,2.39065018749329e-05,2.38905455065451e-05,2.35811314980477e-05,0
411,0.527652,25.4815,0.000244595,0.000244579958920286,0.000244428039039661,0.000244159071153225,0.000244159071153225,0.000243757583504482,0.0002424688913497,0.000241024343757066,0.000240311672580109,0.000229577476553448,0.000184363824070016,0.000150676607674231,0.000118489982601379,9.29861940311311e-05,7.28700895573854e-05,7.28700895573854e-05,7.05888875173326e-05,4.9636467130008e-05,3.55200113355924e-05,3.54963035430857e-05,3.50365796927827e-05,0
324,0.568361,34.8558,0.000163156,0.000163145966915097,0.000163044629438684,0.000162865215613874,0.000162865215613874,0.000162597405074745,0.000161737788740783,0.000160774209734573,0.000160298825615733,0.000153138628199899,0.000122979063676557,0.000100508156755849,7.90382125608072e-05,6.20260245440145e-05,4.86076670897802e-05,4.86076670897802e-05,4.70860014790896e-05,3.31097832378568e-05,2.36934645821456e-05,2.36776504052646e-05,2.33709936685364e-05,0
409,0.293184,21.772,0.00011831,0.000118302724666731,0.000118229241394069,0.000118099142288837,0.000118099142288837,0.000117904943700465,0.000117281606474307,0.000116582882356133,0.000116238165060417,0.000111046060839504,8.91763283211985e-05,7.2881904593055e-05,5.7313313197609e-05,4.49771933842602e-05,3.52470831191736e-05,3.52470831191736e-05,3.41436713022573e-05,2.40090370864132e-05,1.71809421333794e-05,1.71694747324453e-05,1.69471074365916e-05,0
399,0.263082,21.1858,0.000240653,0.000240638201328906,0.000240488729855522,0.000240224096773184,0.000240224096773184,0.000239829079674989,0.000238561156646618,0.000237139890014796,0.000236438704558233,0.000225877505529618,0.000181392536044978,0.000148248237562611,0.000116580346217092,9.14875878581893e-05,7.16956833224451e-05,7.16956833224451e-05,6.9451246132213e-05,4.88365041159378e-05,3.4947555297305e-05,3.49242295899516e-05,3.44719148502923e-05,0
440,0.0896375,10.3038,0.000213915,0.000213901845550535,0.000213768981259506,0.000213533750508972,0.000213533750508972,0.000213182622193263,0.000212055573061883,0.000210792217726416,0.000210168938203864,0.00020078115209604,0.000161238731069472,0.000131776964086074,0.000103627566500436,8.13227649631817e-05,6.37298604127971e-05,6.37298604127971e-05,6.17347937336012e-05,4.34104739104056e-05,3.10646710883429e-05,3.1043937007785e-05,3.06418771642168e-05,0
362,0.222563,13.87,0.000185531,0.000185519590990984,0.000185404356225872,0.000185200337824277,0.000185200337824277,0.000184895800098816,0.000183918297107469,0.000182822574139259,0.000182281996465423,0.000174139858960477,0.00013984425128696,0.000114291713642584,8.98774094401622e-05,7.0532192255728e-05,5.52736588469563e-05,5.52736588469563e-05,5.35433140087828e-05,3.76504155158426e-05,2.69427552611615e-05,2.69247723487898e-05,2.65760611091055e-05,0
