"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
626,0.0348222,0.863216,5.73621e-05,5.72934011697471e-05,5.72848296699217e-05,5.72754271748591e-05,5.72754271748591e-05,5.72754271748591e-05,5.72715543891135e-05,5.70309262214259e-05,5.67317525565805e-05,5.65430849972223e-05,5.62922580041165e-05,5.50408960102236e-05,5.48683475341854e-05,5.46403094790333e-05,5.44237552578058e-05,5.34061740396077e-05,5.20210126370177e-05,5.16819344727463e-05,5.0614333576726e-05,4.88243820277681e-05,4.75664008228335e-05,0
509,0.339111,32.3525,1.65933e-05,1.65734272913643e-05,1.65709477889044e-05,1.65682279020571e-05,1.65682279020571e-05,1.65682279020571e-05,1.65671076101621e-05,1.649750040654e-05,1.64109575782112e-05,1.6356381169525e-05,1.62838237222784e-05,1.59218386315432e-05,1.58719250365485e-05,1.58059598110676e-05,1.57433165473257e-05,1.54489578953947e-05,1.50482682640598e-05,1.49501821461666e-05,1.46413541578619e-05,1.4123569714173e-05,1.37596698651814e-05,0
513,0.500844,13.6786,0.000128227,0.000128073430920297,0.000128054270225202,0.000128033251926806,0.000128033251926806,0.000128033251926806,0.000128024594717642,0.000127486695511405,0.000126817923944079,0.000126396177265805,0.000125835479647604,0.000123038190245876,0.00012265247609948,0.000122142720778493,0.000121658636372146,0.000119383939545044,0.000116287555501052,0.000115529581581512,0.000113143070974439,0.000109141820719162,0.000106329734760573,0
502,0.349688,25.6287,3.97043e-05,3.96567487603137e-05,3.96508158289789e-05,3.96443077080294e-05,3.96443077080294e-05,3.96443077080294e-05,3.96416270835914e-05,3.94750715886162e-05,3.9267992682141e-05,3.91374027390073e-05,3.89637879274441e-05,3.80976332362086e-05,3.79782004320197e-05,3.78203594298044e-05,3.76704671879603e-05,3.69661284353396e-05,3.60073618651329e-05,3.57726622785125e-05,3.50337014270817e-05,3.37947514359675e-05,3.2924015128282e-05,0
434,0.229818,16.1324,2.85705e-05,2.85362829833681e-05,2.8532013752713e-05,2.85273306259588e-05,2.85273306259588e-05,2.85273306259588e-05,2.85254016968376e-05,2.84055513589853e-05,2.82565411032334e-05,2.81625709294663e-05,2.80376408343943e-05,2.74143715006963e-05,2.73284298033971e-05,2.72148502577611e-05,2.71069904970903e-05,2.66001610017522e-05,2.59102498260335e-05,2.57413642257448e-05,2.52096212909543e-05,2.43180951660478e-05,2.36915289835756e-05,0
430,0.381373,18.5851,7.1261e-06,7.11756553675223e-06,7.11650069838498e-06,7.1153326253879e-06,7.1153326253879e-06,7.1153326253879e-06,7.11485150878824e-06,7.08495824501724e-06,7.047791867687e-06,7.02435367601091e-06,6.99319341103507e-06,6.83773657272754e-06,6.81630085654742e-06,6.78797166384319e-06,6.76106910909207e-06,6.63465488229421e-06,6.46257612870958e-06,6.42045241102117e-06,6.28782423413904e-06,6.06545835609363e-06,5.90917921246945e-06,0
499,0.218713,16.8032,3.18223e-05,3.1784188515484e-05,3.17794333750883e-05,3.17742172303057e-05,3.17742172303057e-05,3.17742172303057e-05,3.17720687568392e-05,3.16385774491534e-05,3.14726073379683e-05,3.13679417892146e-05,3.12287925631104e-05,3.05345847712364e-05,3.04388614736404e-05,3.03123546790414e-05,3.01922186764514e-05,2.96277035209766e-05,2.88592689326048e-05,2.86711613307754e-05,2.80788971704078e-05,2.7085900484854e-05,2.63880206077611e-05,0
491,0.642262,26.256,5.731e-05,5.72413635665049e-05,5.72327998518746e-05,5.72234058967711e-05,5.72234058967711e-05,5.72234058967711e-05,5.72195366285421e-05,5.69791270150486e-05,5.66802250792358e-05,5.64917288800586e-05,5.62411297043853e-05,5.49909042790608e-05,5.4818512522801e-05,5.45906815866818e-05,5.43743240541203e-05,5.33576670695445e-05,5.19737637608715e-05,5.16349935695013e-05,5.05683623382367e-05,4.87800365400044e-05,4.75231979156374e-05,0
574,0.363141,32.6586,7.614e-07,7.60488121087713e-07,7.60374346662315e-07,7.6024954196129e-07,7.6024954196129e-07,7.6024954196129e-07,7.60198136258453e-07,7.57004140800175e-07,7.53033037433783e-07,7.50528744883556e-07,7.47199374575448e-07,7.30589330275291e-07,7.28298995548084e-07,7.25272115862842e-07,7.22397667681158e-07,7.08890729484404e-07,6.90504689016359e-07,6.86003910378961e-07,6.71833032356193e-07,6.48073980484373e-07,6.31376075605764e-07,0
540,0.243771,25.1131,5.61285e-05,5.60612785716728e-05,5.6052891406141e-05,5.60436911163308e-05,5.60436911163308e-05,5.60436911163308e-05,5.60399016167357e-05,5.58044482754171e-05,5.5511708486475e-05,5.53270983152045e-05,5.50816654791937e-05,5.38572146366649e-05,5.36883768999483e-05,5.34652429146409e-05,5.3253345797796e-05,5.2257648161105e-05,5.09022753315665e-05,5.05704892089645e-05,4.95258475920733e-05,4.77743898261323e-05,4.65434621219308e-05,0
556,0.425737,27.9844,1.41305e-05,1.41135768256237e-05,1.41114653342683e-05,1.41091491367008e-05,1.41091491367008e-05,1.41091491367008e-05,1.41081951200421e-05,1.40489191116061e-05,1.39752210867587e-05,1.39287449823708e-05,1.38669566094541e-05,1.35586978348503e-05,1.35161924830473e-05,1.34600179054372e-05,1.34066722395175e-05,1.31560026963217e-05,1.28147839613156e-05,1.27312559175334e-05,1.24682645964134e-05,1.2027330419273e-05,1.17174410774196e-05,0
