"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
686,0.0955499,7.27293,1.88025e-05,1.87759292562952e-05,1.87759292562952e-05,1.87759292562952e-05,1.87299389468699e-05,1.86659702815622e-05,1.86659702815622e-05,1.86371293158832e-05,1.85460078065702e-05,1.85460078065702e-05,1.8514153923939e-05,1.84589785395163e-05,1.83723087449943e-05,1.83214587286251e-05,1.82247284670907e-05,1.81246982120185e-05,1.80086240646193e-05,1.79798538628939e-05,1.78604570997177e-05,1.77572353847786e-05,1.76522942885376e-05,0
649,0.908598,83.7126,2.00634e-05,2.00350474160751e-05,2.00350474160751e-05,2.00350474160751e-05,1.99859729858598e-05,1.99177145670573e-05,1.99177145670573e-05,1.98869395195474e-05,1.97897073807388e-05,1.97897073807388e-05,1.97557173693689e-05,1.96968419109018e-05,1.9604360019908e-05,1.95500999896767e-05,1.94468829744251e-05,1.93401446673055e-05,1.92162865607277e-05,1.91855870226186e-05,1.90581834848811e-05,1.89480396978575e-05,1.88360612274243e-05,0
728,0.358963,21.8376,3.20089e-05,3.19636666385761e-05,3.19636666385761e-05,3.19636666385761e-05,3.18853739000911e-05,3.17764752636882e-05,3.17764752636882e-05,3.17273771338478e-05,3.15722541832057e-05,3.15722541832057e-05,3.15180269398204e-05,3.14240977621871e-05,3.12765532981066e-05,3.11899875175476e-05,3.10253163691137e-05,3.0855027395223e-05,3.06574257051983e-05,3.06084480421213e-05,3.04051900151126e-05,3.02294679807386e-05,3.0050818915164e-05,0
748,0.0924082,7.10072,4.75537e-05,4.74864995120374e-05,4.74864995120374e-05,4.74864995120374e-05,4.73701846934059e-05,4.72084005306915e-05,4.72084005306915e-05,4.71354583884437e-05,4.69050015386943e-05,4.69050015386943e-05,4.68244393805515e-05,4.66848944435365e-05,4.64656964960424e-05,4.63370909157516e-05,4.60924488820897e-05,4.58394607826015e-05,4.554589582139e-05,4.54731326493763e-05,4.51711644080759e-05,4.49101047369841e-05,4.46446965514602e-05,0
673,0.666341,16.7069,1.84165e-05,1.83904747320069e-05,1.83904747320069e-05,1.83904747320069e-05,1.83454285661497e-05,1.82827731254031e-05,1.82827731254031e-05,1.82545242412425e-05,1.81652733822471e-05,1.81652733822471e-05,1.81340734338638e-05,1.80800307551124e-05,1.79951402208317e-05,1.79453341138532e-05,1.7850589645748e-05,1.77526129302826e-05,1.76389216905231e-05,1.761074211759e-05,1.74937964726473e-05,1.73926938153849e-05,1.72899070743174e-05,0
706,0.0653715,0.952451,3.82396e-05,3.81855617279098e-05,3.81855617279098e-05,3.81855617279098e-05,3.80920288978979e-05,3.79619325716701e-05,3.79619325716701e-05,3.79032772337533e-05,3.77179587884655e-05,3.77179587884655e-05,3.76531759281935e-05,3.75409629442727e-05,3.73646981776405e-05,3.72612819145929e-05,3.70645566648138e-05,3.6861120050435e-05,3.66250541567033e-05,3.65665427350362e-05,3.63237194687071e-05,3.61137922201717e-05,3.59003681784849e-05,0
664,0.179034,20.9981,1.40932e-05,1.40732842012934e-05,1.40732842012934e-05,1.40732842012934e-05,1.4038812687995e-05,1.39908657025456e-05,1.39908657025456e-05,1.39692482847815e-05,1.39009491939665e-05,1.39009491939665e-05,1.38770734785724e-05,1.38357173967882e-05,1.37707550381574e-05,1.37326409867975e-05,1.36601379195534e-05,1.35851613796899e-05,1.3498159322829e-05,1.34765949453816e-05,1.33871024596592e-05,1.33097337973547e-05,1.3231076392353e-05,0
717,0.891274,0.566708,0.000136851,0.000136657609076094,0.000136657609076094,0.000136657609076094,0.000136322875937673,0.000135857290200881,0.000135857290200881,0.000135647375828104,0.00013498416244313,0.00013498416244313,0.000134752319034436,0.000134350733791323,0.000133719921503057,0.000133349817762057,0.000132645781967815,0.000131917727696474,0.000131072900511486,0.000130863501182869,0.00012999449086842,0.000129243208065009,0.000128479411018783,0
658,0.0960924,2.79262,6.89397e-05,6.88422778965676e-05,6.88422778965676e-05,6.88422778965676e-05,6.8673653610718e-05,6.84391113639046e-05,6.84391113639046e-05,6.83333654513065e-05,6.79992668199766e-05,6.79992668199766e-05,6.78824739938934e-05,6.76801724675278e-05,6.73623961274983e-05,6.71759536398775e-05,6.68212904189706e-05,6.64545277131814e-05,6.60289397913912e-05,6.59234533360855e-05,6.54856829845717e-05,6.51072187345309e-05,6.47224503424276e-05,0
621,0.252047,20.8568,2.01048e-05,2.00763889116853e-05,2.00763889116853e-05,2.00763889116853e-05,2.00272132184034e-05,1.99588139511635e-05,1.99588139511635e-05,1.99279754006099e-05,1.98305426272854e-05,1.98305426272854e-05,1.97964824789262e-05,1.97374855333741e-05,1.96448128098052e-05,1.95904408162352e-05,1.94870108169215e-05,1.9380052259699e-05,1.92559385770167e-05,1.92251756916745e-05,1.90975092619814e-05,1.89871381977873e-05,1.88749286643899e-05,0
730,0.37469,7.35199,2.89712e-05,2.89302593628495e-05,2.89302593628495e-05,2.89302593628495e-05,2.8859396740729e-05,2.8760832773365e-05,2.8760832773365e-05,2.87163941410086e-05,2.8575992626816e-05,2.8575992626816e-05,2.85269116426657e-05,2.84418965065302e-05,2.83083542674102e-05,2.82300037292245e-05,2.80809601577332e-05,2.79268319021423e-05,2.77479829544421e-05,2.77036533563448e-05,2.75196848678283e-05,2.73606391585957e-05,2.71989441984885e-05,0
649,0.231234,5.82929,4.74684e-05,4.74013200536908e-05,4.74013200536908e-05,4.74013200536908e-05,4.72852138761121e-05,4.71237199156128e-05,4.71237199156128e-05,4.70509086141773e-05,4.68208651490705e-05,4.68208651490705e-05,4.67404475002318e-05,4.66011528735633e-05,4.63823481149256e-05,4.62539732223836e-05,4.60097700182023e-05,4.5757235719047e-05,4.54641973433838e-05,4.53915646911524e-05,4.50901381088813e-05,4.48295467165974e-05,4.45646146100794e-05,0
699,0.351,37.4271,2.36572e-05,2.36237688393579e-05,2.36237688393579e-05,2.36237688393579e-05,2.35659040900885e-05,2.34854190743239e-05,2.34854190743239e-05,2.34491315331318e-05,2.33344829613931e-05,2.33344829613931e-05,2.32944045849972e-05,2.32249832259032e-05,2.31159357767361e-05,2.30519565714575e-05,2.29302510991442e-05,2.28043935934777e-05,2.26583497525069e-05,2.26221512461244e-05,2.24719269086261e-05,2.23420539260621e-05,2.22100176275916e-05,0
701,0.473579,5.15109,2.56681e-05,2.56318271370036e-05,2.56318271370036e-05,2.56318271370036e-05,2.55690437910996e-05,2.54817174197137e-05,2.54817174197137e-05,2.54423453792326e-05,2.53179514947388e-05,2.53179514947388e-05,2.52744663919723e-05,2.51991441058454e-05,2.50808274483387e-05,2.50114099078432e-05,2.48793592748906e-05,2.47428036790806e-05,2.45843458770405e-05,2.45450704394707e-05,2.43820767919832e-05,2.42411643972894e-05,2.40979048013621e-05,0
666,0.973492,3.48332,1.80105e-05,1.79850484707089e-05,1.79850484707089e-05,1.79850484707089e-05,1.79409953677755e-05,1.78797211943133e-05,1.78797211943133e-05,1.78520950694702e-05,1.77648117856792e-05,1.77648117856792e-05,1.77342996541473e-05,1.76814483704804e-05,1.75984292860907e-05,1.75497211770723e-05,1.74570653932476e-05,1.7361248618405e-05,1.72500637530023e-05,1.72225054113895e-05,1.71081378856251e-05,1.70092640817739e-05,1.69087433205003e-05,0
665,0.165651,21.1023,7.0509e-06,7.04093602410379e-06,7.04093602410379e-06,7.04093602410379e-06,7.0236897497931e-06,6.99970162788284e-06,6.99970162788284e-06,6.98888632327406e-06,6.95471593901588e-06,6.95471593901588e-06,6.94277079655906e-06,6.92208013744318e-06,6.88957913735304e-06,6.87051048263065e-06,6.8342368274756e-06,6.79672568132543e-06,6.7531981075508e-06,6.74240933928354e-06,6.69763579121923e-06,6.65892785398405e-06,6.61957515218985e-06,0
691,0.0328656,5.6083,5.78111e-05,5.77294042722301e-05,5.77294042722301e-05,5.77294042722301e-05,5.75880001835601e-05,5.73913189493111e-05,5.73913189493111e-05,5.7302643084348e-05,5.70224763678454e-05,5.70224763678454e-05,5.6924536838837e-05,5.67548918625624e-05,5.64884126093734e-05,5.63320666244605e-05,5.60346549599164e-05,5.5727096971404e-05,5.53702096350012e-05,5.52817513444035e-05,5.49146481285728e-05,5.4597277519105e-05,5.42746204145234e-05,0
623,0.236034,28.2515,2.394e-06,2.39061692006758e-06,2.39061692006758e-06,2.39061692006758e-06,2.38476127317146e-06,2.37661655918415e-06,2.37661655918415e-06,2.37294442665732e-06,2.36134251769335e-06,2.36134251769335e-06,2.35728677005239e-06,2.35026164731296e-06,2.33922654623143e-06,2.33275214446635e-06,2.32043610957134e-06,2.30769990796821e-06,2.29292094193317e-06,2.2892578193202e-06,2.2740558062345e-06,2.26091325680946e-06,2.24755178974918e-06,0
