"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
472,0.724832,18.8274,1.11029e-05,1.11003847761799e-05,1.11003847761799e-05,1.11003847761799e-05,1.11003847761799e-05,1.10786280578417e-05,1.10786280578417e-05,1.10195038968789e-05,1.09720420300428e-05,1.0929123274016e-05,1.09005178706208e-05,1.08583526242532e-05,1.08169185347816e-05,1.07875347046048e-05,1.07513415245345e-05,1.07145515400946e-05,1.07124166397052e-05,1.06610907903151e-05,8.50211247317815e-06,6.9394975681517e-06,5.78079737843473e-06,0
407,0.237768,30.7312,1.63954e-05,1.63916858261697e-05,1.63916858261697e-05,1.63916858261697e-05,1.63916858261697e-05,1.63595581748496e-05,1.63595581748496e-05,1.62722508705734e-05,1.62021650108858e-05,1.61387878596405e-05,1.6096546910805e-05,1.60342824501419e-05,1.5973097672244e-05,1.59297072382781e-05,1.58762615921384e-05,1.58219346585548e-05,1.58187820996877e-05,1.57429903848123e-05,1.2554876189351e-05,1.0247398285932e-05,8.5363720594069e-06,0
390,0.493764,49.2016,1.92492e-05,1.92448393332951e-05,1.92448393332951e-05,1.92448393332951e-05,1.92448393332951e-05,1.92071195103087e-05,1.92071195103087e-05,1.91046154078486e-05,1.90223303321384e-05,1.89479216894856e-05,1.88983282381319e-05,1.88252259621157e-05,1.87533912995449e-05,1.87024482825099e-05,1.86396998328427e-05,1.85759166979429e-05,1.85722154014728e-05,1.84832313036174e-05,1.47401907086167e-05,1.20310708543593e-05,1.00222216625355e-05,0
596,0.30247,22.5754,1.14686e-05,1.1466001931396e-05,1.1466001931396e-05,1.1466001931396e-05,1.1466001931396e-05,1.14435286046135e-05,1.14435286046135e-05,1.13824570510178e-05,1.13334319165037e-05,1.12890995307875e-05,1.12595519414749e-05,1.12159978840222e-05,1.11731990658293e-05,1.11428474104271e-05,1.1105462123254e-05,1.10674603745624e-05,1.10652551562315e-05,1.10122387698536e-05,8.7821494483325e-06,7.16806616380446e-06,5.97120147117569e-06,0
544,0.573978,8.26654,6.2946e-06,6.29317403670591e-06,6.29317403670591e-06,6.29317403670591e-06,6.29317403670591e-06,6.28083943590325e-06,6.28083943590325e-06,6.24732000011657e-06,6.22041230329981e-06,6.19608024575754e-06,6.17986289963971e-06,6.15595803156148e-06,6.13246768042908e-06,6.11580901850918e-06,6.09528991167487e-06,6.07443245677073e-06,6.07322211136623e-06,6.04412379546943e-06,4.82012782008909e-06,3.93422992123568e-06,3.27732458891778e-06,0
516,0.325243,30.8954,3.83812e-05,3.83725052167917e-05,3.83725052167917e-05,3.83725052167917e-05,3.83725052167917e-05,3.82972952304022e-05,3.82972952304022e-05,3.8092911128344e-05,3.79288419749326e-05,3.77804777314634e-05,3.76815927816941e-05,3.75358333176004e-05,3.73926013624511e-05,3.72910254982373e-05,3.71659106468998e-05,3.70387327248449e-05,3.7031352667488e-05,3.68539262572159e-05,2.93906348121252e-05,2.3988889755176e-05,1.99834223798448e-05,0
1200,0.261293,1.88658,1.58798e-05,1.58762026289331e-05,1.58762026289331e-05,1.58762026289331e-05,1.58762026289331e-05,1.5845085323016e-05,1.5845085323016e-05,1.57605236453231e-05,1.56926418348966e-05,1.56312577584883e-05,1.55903451964698e-05,1.55300388189226e-05,1.54707781704441e-05,1.54287522721257e-05,1.53769873763884e-05,1.53243689077984e-05,1.53213154901143e-05,1.52479072613503e-05,1.2160052387356e-05,9.92513969167833e-06,8.26792155293373e-06,0
666,0.2241,25.3563,1.03759e-05,1.03735494689824e-05,1.03735494689824e-05,1.03735494689824e-05,1.03735494689824e-05,1.03532173455007e-05,1.03532173455007e-05,1.02979645393209e-05,1.02536103990418e-05,1.02135018939973e-05,1.01867695263197e-05,1.01473651923361e-05,1.01086441402733e-05,1.00811843159453e-05,1.00473610069817e-05,1.0012979971437e-05,1.00109848608847e-05,9.96301974540261e-06,7.94540784934109e-06,6.48511045018736e-06,5.40228008168145e-06,0
592,0.618254,8.12371,3.49605e-05,3.49525801338063e-05,3.49525801338063e-05,3.49525801338063e-05,3.49525801338063e-05,3.48840731895427e-05,3.48840731895427e-05,3.46979046903815e-05,3.45484580957508e-05,3.44133167209682e-05,3.43232448293544e-05,3.41904760846448e-05,3.4060009586255e-05,3.39674866062324e-05,3.38535225363183e-05,3.37376792655503e-05,3.3730956951104e-05,3.35693435566214e-05,2.67712132072292e-05,2.18508952374035e-05,1.82024125902933e-05,0
508,0.306375,36.7302,1.6451e-06,1.64472732306817e-06,1.64472732306817e-06,1.64472732306817e-06,1.64472732306817e-06,1.64150366282281e-06,1.64150366282281e-06,1.63274332478502e-06,1.62571097133392e-06,1.61935176378098e-06,1.61511334416759e-06,1.60886578300794e-06,1.6027265562663e-06,1.59837279832705e-06,1.59301010925179e-06,1.58755899257038e-06,1.58724266758946e-06,1.57963779365278e-06,1.25974522238563e-06,1.02821492126979e-06,8.56532056243232e-07,0
