"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2042,0.863982,11.8102,6.24225e-05,6.23893696446235e-05,4.97574767141101e-05,4.06876272333873e-05,4.06876272333873e-05,3.34870243257801e-05,2.77353042083239e-05,2.28585935531702e-05,1.8950187465706e-05,1.54637692895611e-05,1.1211090613374e-05,1.1211090613374e-05,1.1211090613374e-05,1.1211090613374e-05,1.1036537256487e-05,1.07530412341186e-05,1.0453354680312e-05,1.0453354680312e-05,1.0453354680312e-05,1.0453354680312e-05,9.86097835049679e-06,0
1967,0.309814,20.2867,8.8835e-06,8.87878513737856e-06,7.08110928575109e-06,5.79035662666179e-06,5.79035662666179e-06,4.76562105968308e-06,3.94707957763059e-06,3.2530628512089e-06,2.69684793706755e-06,2.2006871638242e-06,1.59547796810297e-06,1.59547796810297e-06,1.59547796810297e-06,1.59547796810297e-06,1.57063684918102e-06,1.53029183072278e-06,1.48764269778608e-06,1.48764269778608e-06,1.48764269778608e-06,1.48764269778608e-06,1.40334016062539e-06,0
2007,0.272105,18.818,3.21108e-05,3.2093757391719e-05,2.55957768956938e-05,2.09301495545012e-05,2.09301495545012e-05,1.72260825939406e-05,1.42673363990973e-05,1.17587044073393e-05,9.74817861626485e-06,7.95472790905905e-06,5.76710462522213e-06,5.76710462522213e-06,5.76710462522213e-06,5.76710462522213e-06,5.67731251608958e-06,5.53147913749907e-06,5.37731717679623e-06,5.37731717679623e-06,5.37731717679623e-06,5.37731717679623e-06,5.07259247254007e-06,0
1806,0.355099,12.7565,2.48622e-05,2.48490045412881e-05,1.98178595468229e-05,1.62054375553994e-05,1.62054375553994e-05,1.33375160589917e-05,1.10466687538659e-05,9.10432816112184e-06,7.54765270230888e-06,6.15905041981539e-06,4.46525494890185e-06,4.46525494890185e-06,4.46525494890185e-06,4.46525494890185e-06,4.39573225324571e-06,4.28281888375031e-06,4.16345700240864e-06,4.16345700240864e-06,4.16345700240864e-06,4.16345700240864e-06,3.92751997990662e-06,0
2031,0.666341,16.7069,1.84165e-05,1.84067255566536e-05,1.46799402443896e-05,1.20040640304966e-05,1.20040640304966e-05,9.87967132837885e-06,8.18274227966835e-06,6.74396712999253e-06,5.59087071908646e-06,4.56227333287199e-06,3.30760623623215e-06,3.30760623623215e-06,3.30760623623215e-06,3.30760623623215e-06,3.25610778780235e-06,3.17246800253347e-06,3.08405152741345e-06,3.08405152741345e-06,3.08405152741345e-06,3.08405152741345e-06,2.90928283538667e-06,0
2050,0.388831,4.42372,4.436e-06,4.43364562046618e-06,3.53597127163751e-06,2.89143040421813e-06,2.89143040421813e-06,2.37972589866091e-06,1.97098497285634e-06,1.62442582405163e-06,1.34667838676554e-06,1.09891914884045e-06,7.96706283165955e-07,7.96706283165955e-07,7.96706283165955e-07,7.96706283165955e-07,7.84301802551583e-07,7.64155407337901e-07,7.42858446263191e-07,7.42858446263191e-07,7.42858446263191e-07,7.42858446263191e-07,7.0076174396738e-07,0
1966,0.372095,11.7968,3.28274e-05,3.28099770607059e-05,2.6166984518159e-05,2.13972368014946e-05,2.13972368014946e-05,1.76105081076873e-05,1.45857331149559e-05,1.20211172895565e-05,9.96572364150294e-06,8.13224942891005e-06,5.89580609558207e-06,5.89580609558207e-06,5.89580609558207e-06,5.89580609558207e-06,5.80401014271457e-06,5.65492227656542e-06,5.49731996367454e-06,5.49731996367454e-06,5.49731996367454e-06,5.49731996367454e-06,5.18579487689692e-06,0
1871,0.424468,32.8401,3.04362e-05,3.04200461753004e-05,2.42609397695703e-05,1.98386280588061e-05,1.98386280588061e-05,1.63277307026202e-05,1.35232851286858e-05,1.11454799968441e-05,9.23980448946648e-06,7.53988345309687e-06,5.46634620732544e-06,5.46634620732544e-06,5.46634620732544e-06,5.46634620732544e-06,5.38123681758803e-06,5.24300874860637e-06,5.09688643871861e-06,5.09688643871861e-06,5.09688643871861e-06,5.09688643871861e-06,4.808053334477e-06,0
2043,0.49199,23.8327,1.1251e-05,1.12450286014123e-05,8.96826257375871e-06,7.33351746570291e-06,7.33351746570291e-06,6.03568441971007e-06,4.99899727899159e-06,4.12002140360796e-06,3.4155722564245e-06,2.78718199810728e-06,2.02068133270968e-06,2.02068133270968e-06,2.02068133270968e-06,2.02068133270968e-06,1.98921992346886e-06,1.93812274300242e-06,1.88410738929377e-06,1.88410738929377e-06,1.88410738929377e-06,1.88410738929377e-06,1.77733777758724e-06,0
1927,0.946813,25.3737,8.8784e-06,8.87368784417198e-06,7.07704403473997e-06,5.78703239423134e-06,5.78703239423134e-06,4.76288512594026e-06,3.94481356695395e-06,3.25119527417944e-06,2.69529968193399e-06,2.19942375362152e-06,1.59456200731754e-06,1.59456200731754e-06,1.59456200731754e-06,1.59456200731754e-06,1.56973514963345e-06,1.52941329317151e-06,1.48678864501874e-06,1.48678864501874e-06,1.48678864501874e-06,1.48678864501874e-06,1.40253450577998e-06,0
2518,0.523105,38.2672,1.14735e-05,1.14674105109149e-05,9.14561911296957e-06,7.47854525311016e-06,7.47854525311016e-06,6.15504623496076e-06,5.09785754870767e-06,4.20149902891262e-06,3.48311868136934e-06,2.84230136479281e-06,2.06064236697579e-06,2.06064236697579e-06,2.06064236697579e-06,2.06064236697579e-06,2.02855877627944e-06,1.97645109695478e-06,1.92136753453578e-06,1.92136753453578e-06,1.92136753453578e-06,1.92136753453578e-06,1.81248644486243e-06,0
2572,0.427048,2.42851,7.4985e-06,7.49452021755312e-06,5.97711464841612e-06,4.88759938819423e-06,4.88759938819423e-06,4.02262728834734e-06,3.33170216838667e-06,2.74588752066077e-06,2.27639041550077e-06,1.85758458917496e-06,1.34673175480611e-06,1.34673175480611e-06,1.34673175480611e-06,1.34673175480611e-06,1.32576354067472e-06,1.29170859376088e-06,1.2557087599875e-06,1.2557087599875e-06,1.2557087599875e-06,1.2557087599875e-06,1.18454958005848e-06,0
2585,0.777671,12.8338,4.44214e-05,4.43978236169919e-05,3.54086551501169e-05,2.89543251934029e-05,2.89543251934029e-05,2.38301974830423e-05,1.97371307198469e-05,1.62667424031847e-05,1.34854236451458e-05,1.10044019563348e-05,7.97809028111546e-06,7.97809028111546e-06,7.97809028111546e-06,7.97809028111546e-06,7.85387378085322e-06,7.65213097644722e-06,7.43886658810544e-06,7.43886658810544e-06,7.43886658810544e-06,7.43886658810544e-06,7.01731689212637e-06,0
2379,0.446474,40.5084,1.2559e-05,1.2552334388511e-05,1.00108798919061e-05,8.18608531257337e-06,8.18608531257337e-06,6.73737095610512e-06,5.58016237017646e-06,4.59899998292706e-06,3.8126541612688e-06,3.11120955597097e-06,2.25559833414816e-06,2.25559833414816e-06,2.25559833414816e-06,2.25559833414816e-06,2.22047933684521e-06,2.16344178556283e-06,2.10314680491871e-06,2.10314680491871e-06,2.10314680491871e-06,2.10314680491871e-06,1.98396454970386e-06,0
2724,0.4871,31.1648,1.54455e-05,1.54373023965082e-05,1.23117322533988e-05,1.00675356871846e-05,1.00675356871846e-05,8.28585580878427e-06,6.86267998157182e-06,5.65601196244127e-06,4.68893620892406e-06,3.8262749579385e-06,2.77401417868344e-06,2.77401417868344e-06,2.77401417868344e-06,2.77401417868344e-06,2.73082360038559e-06,2.66067681335382e-06,2.58652392510327e-06,2.58652392510327e-06,2.58652392510327e-06,2.58652392510327e-06,2.43994939505143e-06,0
