"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2254,0.411323,17.9746,0.000170698,0.000170698,0.000170166327683011,0.000170166327683011,0.000170166327683011,0.000170166327683011,0.000170166327683011,0.000169701689882684,0.000169186587565301,0.000168451067878455,0.000167858010986569,0.000164172763578502,0.000160537975400724,0.00015435073631174,0.00014087248702768,0.000137657247043125,0.000107416407416229,0.000102418844391117,9.60411680465316e-05,7.299239272861e-05,5.66659758085628e-05,0
2358,0.0459731,4.68953,0.000242706,0.000242706,0.000241950044679099,0.000241950044679099,0.000241950044679099,0.000241950044679099,0.000241950044679099,0.00024128940201213,0.000240557006652825,0.000239511212085135,0.000238667977448512,0.000233428128959237,0.000228260025645339,0.000219462734228152,0.000200298760597899,0.000195727189544392,0.000152729420253097,0.000145623663117263,0.000136555599549506,0.00010378382681455,8.05702019039065e-05,0
1711,0.174711,12.8281,9.06236e-05,9.06236e-05,9.03413350678632e-05,9.03413350678632e-05,9.03413350678632e-05,9.03413350678632e-05,9.03413350678632e-05,9.00946587731103e-05,8.98211908568513e-05,8.94307033180822e-05,8.91158493036967e-05,8.71593507682148e-05,8.52296410474934e-05,8.19448346625068e-05,7.47892296066836e-05,7.30822580999034e-05,5.70273907082997e-05,5.43741835672524e-05,5.09882740077895e-05,3.87516748976582e-05,3.00839771132929e-05,0
2738,0.331799,12.4537,7.78735e-05,7.78735e-05,7.763094774879e-05,7.763094774879e-05,7.763094774879e-05,7.763094774879e-05,7.763094774879e-05,7.74189770652215e-05,7.71839841519319e-05,7.68484354499344e-05,7.65778791700112e-05,7.48966461501041e-05,7.32384329480619e-05,7.0415775604707e-05,6.4266913605022e-05,6.28001009245145e-05,4.9004039900454e-05,4.67241202515065e-05,4.38145842357355e-05,3.3299588133144e-05,2.58513741644783e-05,0
2555,0.843172,6.00672,0.000212748,0.000212748,0.000212085354731193,0.000212085354731193,0.000212085354731193,0.000212085354731193,0.000212085354731193,0.000211506257361898,0.000210864263971122,0.00020994755526723,0.00020920840385576,0.000204615327102832,0.000200085139782266,0.000192373726984792,0.000175575225662661,0.000171567938663199,0.000133877525483531,0.000127648855326491,0.00011970009267574,9.09734476574203e-05,7.062515683441e-05,0
2579,0.816209,43.3058,4.76965e-05,4.76965e-05,4.75479399192301e-05,4.75479399192301e-05,4.75479399192301e-05,4.75479399192301e-05,4.75479399192301e-05,4.7418110648569e-05,4.72741805633832e-05,4.7068661373096e-05,4.69029491910912e-05,4.587321596048e-05,4.48575820671632e-05,4.31287413706833e-05,3.93626438359896e-05,3.84642402581893e-05,3.00143333625945e-05,2.86179124037828e-05,2.68358596570047e-05,2.03955621025446e-05,1.58336284851206e-05,0
2747,0.328285,23.5005,9.05458e-05,9.05458e-05,9.02637773911843e-05,9.02637773911843e-05,9.02637773911843e-05,9.02637773911843e-05,9.02637773911843e-05,9.00173128670489e-05,8.97440797219079e-05,8.9353927415137e-05,8.903934370167e-05,8.70845248123957e-05,8.51564717397911e-05,8.18744853480154e-05,7.47250233506598e-05,7.3019517272126e-05,5.69784329202941e-05,5.432750354702e-05,5.09445007774411e-05,3.87184067389552e-05,3.00581501386481e-05,0
2974,0.874678,7.17229,0.000193846,0.000193846,0.000193242228708251,0.000193242228708251,0.000193242228708251,0.000193242228708251,0.000193242228708251,0.00019271458234425,0.000192129628075217,0.000191294366096656,0.000190620885995749,0.00018643588986771,0.000182308195641008,0.000175281917955017,0.0001599759113778,0.000156324659400354,0.000121982922541601,0.000116307650410904,0.000109065110670002,8.28907389709905e-05,6.43503306810077e-05,0
3080,0.370713,28.9464,7.3946e-05,7.3946e-05,7.37156807159307e-05,7.37156807159307e-05,7.37156807159307e-05,7.37156807159307e-05,7.37156807159307e-05,7.35144006377634e-05,7.32912594412574e-05,7.29726339227189e-05,7.27157229751539e-05,7.11192818637354e-05,6.95446995804399e-05,6.68644011488589e-05,6.10256530583184e-05,5.96328181340783e-05,4.65325525946435e-05,4.43676192301348e-05,4.16048237962297e-05,3.16201447744543e-05,2.45475766976765e-05,0
679,0.616506,5.60156,0.000167573,0.000167573,0.000167051061106898,0.000167051061106898,0.000167051061106898,0.000167051061106898,0.000167051061106898,0.000166594929517106,0.000166089257273548,0.000165367202882262,0.00016478500319308,0.000161167222293995,0.000157598976858695,0.000151525008705241,0.00013829350823495,0.000135137130246151,0.000105449915288754,0.000100543843578441,9.42829245396047e-05,7.16561074336628e-05,5.56285812614576e-05,0
