"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
522,0.727254,32.0085,6.31951e-05,6.31563650120358e-05,6.31401097777952e-05,6.31401097777952e-05,6.31401097777952e-05,6.31401097777952e-05,6.31401097777952e-05,6.29770226077509e-05,6.2933725921084e-05,5.01855725178012e-05,4.08926109148144e-05,4.08926109148144e-05,3.25565228247593e-05,2.66216375598758e-05,2.66216375598758e-05,2.66216375598758e-05,2.492158468647e-05,2.44578801032927e-05,2.39177660953608e-05,1.69527125754807e-05,1.62703366377846e-05,0
504,0.44767,10.8238,0.000246039,0.00024588819214142,0.0002458249052477,0.0002458249052477,0.0002458249052477,0.0002458249052477,0.0002458249052477,0.000245189954053217,0.000245021386023562,0.000195388694324517,0.000159208183812828,0.000159208183812828,0.000126753091921382,0.000103646660636573,0.000103646660636573,0.000103646660636573,9.70278039701556e-05,9.5222451783984e-05,9.31196129499991e-05,6.60024028660243e-05,6.33456922455048e-05,0
1625,0.485805,28.1939,0.00018538,0.000185266372644892,0.000185218688642121,0.000185218688642121,0.000185218688642121,0.000185218688642121,0.000185218688642121,0.000184740279721448,0.000184613270827177,0.000147217132868687,0.00011995664555303,0.00011995664555303,9.55031038997308e-05,7.80933833612064e-05,7.80933833612064e-05,7.80933833612064e-05,7.31063542771164e-05,7.17460976175116e-05,7.01616973271344e-05,4.97300242778729e-05,4.77283049779574e-05,0
1568,0.50391,29.4918,0.000159973,0.000159874945685194,0.000159833796947599,0.000159833796947599,0.000159833796947599,0.000159833796947599,0.000159833796947599,0.00015942095570115,0.00015931135383556,0.00012704049194305,0.00010351615308585,0.00010351615308585,8.24140578279838e-05,6.73904025053527e-05,6.73904025053527e-05,6.73904025053527e-05,6.30868638082487e-05,6.19130352474172e-05,6.05457827517191e-05,4.2914344448183e-05,4.11869680237285e-05,0
685,0.208002,14.2966,0.000211933,0.000211803097172024,0.0002117485831265,0.0002117485831265,0.0002117485831265,0.0002117485831265,0.0002117485831265,0.000211201649057102,0.000211056447978294,0.000168303854894053,0.000137138697604868,0.000137138697604868,0.000109182540289037,8.92791294416364e-05,8.92791294416364e-05,8.92791294416364e-05,8.35777806721983e-05,8.20226869477403e-05,8.0211344263845e-05,5.68531299777886e-05,5.45646933805883e-05,0
695,0.401765,22.7031,0.000152459,0.000152365551338157,0.000152326335374307,0.000152326335374307,0.000152326335374307,0.000152326335374307,0.000152326335374307,0.000151932885457181,0.000151828431637936,0.000121073345884277,9.86539552506712e-05,9.86539552506712e-05,7.8543034402034e-05,6.42250465738816e-05,6.42250465738816e-05,6.42250465738816e-05,6.01236469238046e-05,5.90049535908308e-05,5.77019215276599e-05,4.08986393968078e-05,3.92523985793204e-05,0
817,0.264951,24.2392,9.42351e-05,9.41773392643685e-05,9.41530998277004e-05,9.41530998277004e-05,9.41530998277004e-05,9.41530998277004e-05,9.41530998277004e-05,9.39099079381735e-05,9.38453449008855e-05,7.48355876448055e-05,6.09781340454976e-05,6.09781340454976e-05,4.85475485289757e-05,3.96975822115742e-05,3.96975822115742e-05,3.96975822115742e-05,3.71625019200534e-05,3.64710361613765e-05,3.5665630401296e-05,2.52795005438978e-05,2.42619570203275e-05,0
817,0.373073,25.5984,0.000115596,0.000115525146252341,0.000115495412300542,0.000115495412300542,0.000115495412300542,0.000115495412300542,0.000115495412300542,0.000115197094479882,0.000115117896507382,9.17990705097033e-05,7.48004552775276e-05,7.48004552775276e-05,5.95521458538855e-05,4.86960985166794e-05,4.86960985166794e-05,4.86960985166794e-05,4.55863746305834e-05,4.47381697065157e-05,4.37501972393324e-05,3.10097739045474e-05,2.97615769890601e-05,0
555,0.31336,32.8866,3.02498e-05,3.02312585998136e-05,3.02234776550136e-05,3.02234776550136e-05,3.02234776550136e-05,3.02234776550136e-05,3.02234776550136e-05,3.01454121993627e-05,3.01246872363143e-05,2.40224880022183e-05,1.9574196443252e-05,1.9574196443252e-05,1.55839345794912e-05,1.27430641277367e-05,1.27430641277367e-05,1.27430641277367e-05,1.1929294398597e-05,1.17073314473525e-05,1.14487933531468e-05,8.11480897831913e-06,7.78817391262389e-06,0
589,0.669489,22.1474,0.000152994,0.000152900223413705,0.000152860869835541,0.000152860869835541,0.000152860869835541,0.000152860869835541,0.000152860869835541,0.000152466039247509,0.000152361218885172,0.0001214982092249,9.90001458072084e-05,9.90001458072084e-05,7.8818652918521e-05,6.44504212642379e-05,6.44504212642379e-05,6.44504212642379e-05,6.03346292279272e-05,5.92120102432494e-05,5.79044056579329e-05,4.10421584548975e-05,3.93901407476406e-05,0
556,0.302074,19.2068,0.000117001,0.000116929285067564,0.000116899189717428,0.000116899189717428,0.000116899189717428,0.000116899189717428,0.000116899189717428,0.000116597246022705,0.000116517085446384,9.29148331145177e-05,7.57096099166581e-05,7.57096099166581e-05,6.0275966443912e-05,4.92879703670542e-05,4.92879703670542e-05,4.92879703670542e-05,4.61404496535597e-05,4.52819353077273e-05,4.42819546281803e-05,3.13866790944838e-05,3.01233110946488e-05,0
518,0.282946,17.9776,0.000201588,0.000201464438066342,0.000201412584992922,0.000201412584992922,0.000201412584992922,0.000201412584992922,0.000201412584992922,0.000200892348195529,0.000200754234758383,0.00016008850674686,0.000130444601703227,0.000130444601703227,0.000103853057012293,8.49211833262428e-05,8.49211833262428e-05,8.49211833262428e-05,7.94981321934154e-05,7.80189466313461e-05,7.62960202868831e-05,5.40779810881856e-05,5.19012490230688e-05,0
2279,0.965047,48.7792,0.000106604,0.000106538657834912,0.000106511236832477,0.000106511236832477,0.000106511236832477,0.000106511236832477,0.000106511236832477,0.000106236124605811,0.000106163087297769,8.46581898388907e-05,6.89818655870926e-05,6.89818655870926e-05,5.49196940777155e-05,4.49081186742801e-05,4.49081186742801e-05,4.49081186742801e-05,4.2040294483535e-05,4.12580698587615e-05,4.03469499507058e-05,2.85975806889544e-05,2.74464787132926e-05,0
2505,0.235055,7.25435,0.000133581,0.000133499122474254,0.000133464762366507,0.000133464762366507,0.000133464762366507,0.000133464762366507,0.000133464762366507,0.000133120030777164,0.00013302851079062,0.000106081625988414,8.64382817435501e-05,8.64382817435501e-05,6.88175645810225e-05,5.62724794625813e-05,5.62724794625813e-05,5.62724794625813e-05,5.26789292841271e-05,5.16987564238042e-05,5.05570702915954e-05,3.58344285956551e-05,3.43920310025922e-05,0
1520,0.183047,8.90452,0.000162731,0.000162631255188671,0.000162589397029997,0.000162589397029997,0.000162589397029997,0.000162589397029997,0.000162589397029997,0.000162169438231475,0.00016205794678486,0.000129230722024244,0.000105300813936186,0.000105300813936186,8.3834909918584e-05,6.8552240628722e-05,6.8552240628722e-05,6.8552240628722e-05,6.41745071629595e-05,6.29804413172688e-05,6.15896168289024e-05,4.36542053121294e-05,4.18970482110691e-05,0
1655,0.837331,38.3852,0.000162166,0.000162066601501411,0.000162024888673741,0.000162024888673741,0.000162024888673741,0.000162024888673741,0.000162024888673741,0.000161606387966924,0.000161495283617219,0.000128782034571062,0.000104935210825077,0.000104935210825077,8.35438361581818e-05,6.83142281052616e-05,6.83142281052616e-05,6.83142281052616e-05,6.39516940754281e-05,6.27617740114435e-05,6.13757784483336e-05,4.35026384563898e-05,4.17515821828431e-05,0
2003,0.254817,25.335,0.000113182,0.000113112625896505,0.000113083512881069,0.000113083512881069,0.000113083512881069,0.000113083512881069,0.000113083512881069,0.000112791424853991,0.000112713880778733,8.98820235858441e-05,7.32383917196195e-05,7.32383917196195e-05,5.83085138935124e-05,4.76791742129036e-05,4.76791742129036e-05,4.76791742129036e-05,4.46343909256262e-05,4.38038991290603e-05,4.28365585655396e-05,3.03621944536531e-05,2.91400637286394e-05,0
1886,0.0542302,15.8628,0.000180144,0.000180033582013925,0.000179987244830867,0.000179987244830867,0.000179987244830867,0.000179987244830867,0.000179987244830867,0.000179522348420221,0.000179398926852363,0.000143059031090176,0.000116568507695032,0.000116568507695032,9.28056486617387e-05,7.58876602234393e-05,7.58876602234393e-05,7.58876602234393e-05,7.10414882128432e-05,6.97196515762705e-05,6.81800021755276e-05,4.83254153280459e-05,4.63802339623971e-05,0
