"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
402,0.197064,14.8934,1.0344e-06,1.03346898704419e-06,1.03346898704419e-06,1.03346898704419e-06,1.03338236720309e-06,1.03338236720309e-06,1.03338236720309e-06,1.02906915280467e-06,1.0268815660515e-06,1.00721022600056e-06,1.00283489738194e-06,1.00257473750395e-06,9.82777993314818e-07,9.59206860848235e-07,9.24356862872608e-07,8.97608857006277e-07,8.62802003745425e-07,6.42231261329485e-07,4.53184772602523e-07,3.13522353408704e-07,2.19130539904174e-07,0
400,0.209015,8.11775,2.9195e-05,2.91687230053703e-05,2.91687230053703e-05,2.91687230053703e-05,2.91662782390701e-05,2.91662782390701e-05,2.91662782390701e-05,2.90445416822626e-05,2.89827990341004e-05,2.84275933372838e-05,2.83041036630565e-05,2.82967608869177e-05,2.77380157722604e-05,2.7072741978407e-05,2.608913245511e-05,2.53341942964987e-05,2.43518024935689e-05,1.81263937301956e-05,1.27907283798634e-05,8.84888351485607e-06,6.18476035624746e-06,0
412,0.0311882,1.09216,0.000140606,0.000140479447401716,0.000140479447401716,0.000140479447401716,0.000140467673166045,0.000140467673166045,0.000140467673166045,0.00013988137789951,0.000139584019215233,0.000136910093809972,0.000136315355357003,0.000136279991822776,0.000133589020232041,0.00013038499601356,0.000125647835519205,0.000122011978874927,0.000117280683041985,8.72985003195027e-05,6.16014096447702e-05,4.2617095923612e-05,2.97864159839195e-05,0
414,0.379229,27.1571,2.83146e-05,2.82891154104421e-05,2.82891154104421e-05,2.82891154104421e-05,2.82867443681443e-05,2.82867443681443e-05,2.82867443681443e-05,2.81686788805135e-05,2.81087981343017e-05,2.75703351364225e-05,2.74505693981154e-05,2.74434480496222e-05,2.69015523680508e-05,2.62563404700053e-05,2.53023925265785e-05,2.45702201687838e-05,2.36174532243331e-05,1.75797769451274e-05,1.24050131113026e-05,8.58203792326576e-06,5.99825365929112e-06,0
418,0.0996763,14.4898,4.22929e-05,4.2254834224827e-05,4.2254834224827e-05,4.2254834224827e-05,4.22512926506993e-05,4.22512926506993e-05,4.22512926506993e-05,4.2074940808829e-05,4.19854982452237e-05,4.11812078182706e-05,4.10023163490762e-05,4.0991679346269e-05,4.01822615946097e-05,3.9218522665476e-05,3.77936314441076e-05,3.6700001574324e-05,3.52768743853489e-05,2.62585291108679e-05,1.85290973213469e-05,1.28188027266812e-05,8.95946056758822e-06,0
407,0.167739,21.4573,2.93984e-05,2.93719399349573e-05,2.93719399349573e-05,2.93719399349573e-05,2.93694781361013e-05,2.93694781361013e-05,2.93694781361013e-05,2.92468934472282e-05,2.9184720641346e-05,2.86256468562015e-05,2.85012968360335e-05,2.84939029031671e-05,2.79312650412475e-05,2.72613563205344e-05,2.6270894042415e-05,2.55106962701212e-05,2.45214601961616e-05,1.82526793436473e-05,1.2879840698838e-05,8.91053321195906e-06,6.22784925011493e-06,0
381,0.0336024,0.494228,0.000163144,0.000162997162047889,0.000162997162047889,0.000162997162047889,0.000162983500497854,0.000162983500497854,0.000162983500497854,0.000162303226861142,0.000161958203994495,0.000158855670060552,0.000158165599863185,0.000158124567841593,0.00015500225535707,0.00015128465207485,0.000145788163221664,0.000141569508282514,0.000136079824148341,0.000101291741007673,7.14756153726469e-05,4.94482703253187e-05,3.45609365836491e-05,0
426,0.594756,32.3526,2.81415e-05,2.81161712093039e-05,2.81161712093039e-05,2.81161712093039e-05,2.81138146622638e-05,2.81138146622638e-05,2.81138146622638e-05,2.79964709625412e-05,2.79369562945072e-05,2.74017851653081e-05,2.72827516093134e-05,2.72756737968555e-05,2.67370909695176e-05,2.60958235446255e-05,2.51477075179133e-05,2.44200112620284e-05,2.34730690143096e-05,1.74723037903168e-05,1.2329175636305e-05,8.52957203059847e-06,5.96158361244521e-06,0
371,0.836623,30.7464,4.77536e-05,4.7710619315268e-05,4.7710619315268e-05,4.7710619315268e-05,4.77066204664243e-05,4.77066204664243e-05,4.77066204664243e-05,4.75074987387598e-05,4.74065076881253e-05,4.64983703096871e-05,4.62963810475812e-05,4.62843706350236e-05,4.53704439110195e-05,4.42822706401801e-05,4.26734028295373e-05,4.14385675888776e-05,3.98316915758483e-05,2.96489315168442e-05,2.09215045987547e-05,1.44739182673414e-05,1.01162723804795e-05,0
410,0.352164,31.0679,4.0474e-05,4.04375713279451e-05,4.04375713279451e-05,4.04375713279451e-05,4.04341820670705e-05,4.04341820670705e-05,4.04341820670705e-05,4.02654146274326e-05,4.01798187397219e-05,3.94101186070637e-05,3.92389207624096e-05,3.92287412275084e-05,3.84541342821191e-05,3.75318430838858e-05,3.61682324709068e-05,3.51216365801161e-05,3.37597141334033e-05,2.51292228065058e-05,1.77322123804278e-05,1.2267501674269e-05,8.5741390874725e-06,0
