"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
999,0.938795,24.5081,5.383e-07,5.383e-07,5.383e-07,5.37138259120291e-07,5.37138259120291e-07,5.37053001634827e-07,5.36772577566708e-07,5.35390561288461e-07,5.34489110949659e-07,5.3273381274909e-07,5.29676573897911e-07,5.28907287130725e-07,5.26474899368078e-07,5.24612958022537e-07,5.220525998051e-07,5.18070468363687e-07,5.1485456411062e-07,5.13675658408221e-07,5.10557256708853e-07,4.99638209425383e-07,4.98445940376419e-07,0
501,0.0857199,2.80961,4.46733e-05,4.46733e-05,4.46733e-05,4.4576887592715e-05,4.4576887592715e-05,4.45698121083654e-05,4.45465398279971e-05,4.44318468541851e-05,4.43570358539614e-05,4.42113643638936e-05,4.39576453440713e-05,4.38938025453781e-05,4.36919396655024e-05,4.35374179038235e-05,4.33249348074924e-05,4.29944593244501e-05,4.27275727268864e-05,4.26297358178859e-05,4.23709409179484e-05,4.14647735855898e-05,4.13658276578449e-05,0
3120,0.666168,45.8957,1.58286e-05,1.58286e-05,1.58286e-05,1.57944392500677e-05,1.57944392500677e-05,1.57919322713673e-05,1.57836864597295e-05,1.57430485573296e-05,1.57165415968378e-05,1.56649274168312e-05,1.55750299416691e-05,1.55524092236251e-05,1.54808853652936e-05,1.54261353656986e-05,1.5350848562651e-05,1.52337548124493e-05,1.51391918140096e-05,1.51045263360215e-05,1.50128303799773e-05,1.4691758056308e-05,1.46566996318822e-05,0
421,0.0845301,13.4491,7.848e-06,7.848e-06,7.848e-06,7.83106271145466e-06,7.83106271145466e-06,7.82981972288709e-06,7.82573135564467e-06,7.80558262119979e-06,7.79244016855457e-06,7.76684927076882e-06,7.72227707960395e-06,7.7110614701875e-06,7.67559912732802e-06,7.64845345450654e-06,7.61112540083676e-06,7.55306898702994e-06,7.50618357633316e-06,7.48899603787427e-06,7.4435321394224e-06,7.28434082773622e-06,7.26695846196199e-06,0
340,0.364734,15.3512,2.51503e-05,2.51503e-05,2.51503e-05,2.50960214719544e-05,2.50960214719544e-05,2.50920380958878e-05,2.50789362020731e-05,2.50143660293019e-05,2.497224872212e-05,2.48902381771938e-05,2.47473987302705e-05,2.47114563320154e-05,2.45978110005145e-05,2.45108179048007e-05,2.43911935739889e-05,2.42051415576579e-05,2.40548889908068e-05,2.39998084927815e-05,2.38541114126039e-05,2.33439547808122e-05,2.3288249924297e-05,0
416,0.171209,21.0435,3.4922e-06,3.4922e-06,3.4922e-06,3.48466325190392e-06,3.48466325190392e-06,3.48411014733261e-06,3.48229090726074e-06,3.47332513121227e-06,3.46747700772506e-06,3.45608957994124e-06,3.43625586358218e-06,3.43126514604852e-06,3.4154851264596e-06,3.40340585548264e-06,3.38679563262005e-06,3.36096171209301e-06,3.34009866020269e-06,3.33245055599701e-06,3.31222004807479e-06,3.24138315986499e-06,3.233648361476e-06,0
424,0.115231,11.8275,9.6882e-06,9.6882e-06,9.6882e-06,9.66729125396471e-06,9.66729125396471e-06,9.66575680928577e-06,9.66070980119223e-06,9.63583658903004e-06,9.61961249248094e-06,9.588021037852e-06,9.53299755385053e-06,9.51915210696617e-06,9.4753745496151e-06,9.44186375610987e-06,9.39578301584947e-06,9.32411352703153e-06,9.26623441949936e-06,9.24501674492017e-06,9.18889246599798e-06,8.99237395607467e-06,8.97091577104742e-06,0
1641,0.350471,24.1044,1.1309e-05,1.1309e-05,1.1309e-05,1.12845932981448e-05,1.12845932981448e-05,1.12828021465507e-05,1.12769107926842e-05,1.12478763841932e-05,1.12289380563435e-05,1.1192061468288e-05,1.11278327590776e-05,1.11116710201772e-05,1.106056963952e-05,1.10214526142985e-05,1.09676627367562e-05,1.08840032077372e-05,1.08164411397492e-05,1.07916738267482e-05,1.07261601637013e-05,1.04967648344634e-05,1.04717167745066e-05,0
563,0.632749,49.445,4.1813e-06,4.1813e-06,4.1813e-06,4.17227605955726e-06,4.17227605955726e-06,4.17161381336746e-06,4.16943559089667e-06,4.15870063889178e-06,4.15169853169944e-06,4.13806407439675e-06,4.11431666067125e-06,4.10834114746368e-06,4.08944732812139e-06,4.07498450934355e-06,4.05509666647792e-06,4.0241650554878e-06,3.99918519211542e-06,3.99002792216663e-06,3.965805419797e-06,3.88099060945635e-06,3.87172953835393e-06,0
480,0.352673,13.7323,3.80965e-05,3.80965e-05,3.80965e-05,3.80142814203533e-05,3.80142814203533e-05,3.80082475882987e-05,3.79884014513656e-05,3.78905935688758e-05,3.78267962387028e-05,3.77025704948833e-05,3.74862039708374e-05,3.74317601043575e-05,3.725961546308e-05,3.7127842383997e-05,3.69466410337637e-05,3.66648181274702e-05,3.64372225555271e-05,3.63537891892045e-05,3.61330940557474e-05,3.53603326126214e-05,3.52759534972139e-05,0
