IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
CIV15341,Unknown,0.175139425,0.153311966,0.147299904,0.131006865,0.125718391,0.119322034,0.103194726,0.087595908,0.068813131,0.066678521,0.056349206,0.046153846,0.030769231,0.029631255,0.016666667,0.016129032,0.013157895,0.013333333,0.005494505,0.028131455,0.016386832,0.013328947,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534377253,0.532523041,0.531158358,0.549282213,0.547945205,0.517310345,0.492828947,0.48490676,0.493333333,0.500290698,0.476473214,0.471528103,0.462757334,0.47855925,0.482860708,0.500219298,0.438447746,0.397619048,0.345125435
SLE42261,Unknown,0.166666667,0.140204973,0.133830846,0.123076923,0.1,0.1,0.088235294,0.088760504,0.071428571,0.064004096,0.048387097,0.05056419,0.032018443,0.028381643,0.026846847,0.015151515,0.014705882,0.00625,0.005747126,0.027768265,0.029401108,0.017183479,0,0.013157895,0.012963542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493333333,0.452315925,0.453197746,0.519480519,0.44621705,0.418918919,0.421103239,0.408585859,0.425185811,0.344827586,0.357424812,0.292666667,0.333544304,0.279569328,0.291796875,0.269083156,0.231147541,0.233382353,0.179269723
ZMB50835,Unknown,0.165525114,0.149324324,0.147634128,0.146666667,0.121621622,0.121216574,0.095238095,0.085356969,0.06557377,0.064004096,0.046875,0.046164773,0.040540541,0.035313668,0.029418127,0.015873016,0.014709063,0.012347561,0.005952381,0.016910039,0.017536298,0.017783849,0.013541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542372881,0.5094172,0.501785714,0.465125536,0.470454545,0.485485708,0.500176056,0.460732601,0.413995151,0.375240385,0.432815651,0.394165536,0.389087302,0.375094697,0.354624893,0.340020503,0.333333333,0.312004212,0.275900136
COD14067,Unknown,0.159075224,0.138461538,0.132352941,0.12974988,0.102941176,0.098476103,0.076923077,0.073801743,0.056338028,0.05,0.052982456,0.041666667,0.04027027,0.027973396,0.028169014,0.017862839,0.014285714,0.013157895,0.005952381,0.015384615,0,0.016356741,0.014477657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43869863,0.367669492,0.377391304,0.378787879,0.334230769,0.321838803,0.307692308,0.338461538,0.267877132,0.236386749,0.222404372,0.238870304,0.183460145,0.197586854,0.173934211,0.175208333,0.151043051,0.132619739,0.120933283
ETH18556,Unknown,0.157142857,0.139756944,0.137458668,0.134328358,0.115348064,0.104355717,0.102571596,0.089552239,0.069334295,0.06586177,0.059754738,0.049281522,0.042555332,0.031513648,0.030536131,0.018019481,0.016817411,0.015045249,0.005952381,0.014338235,0.014130435,0.014925373,0.013356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475686752,0.456501548,0.445218579,0.445,0.436818182,0.459560214,0.387806987,0.396395382,0.390172465,0.391236733,0.361254729,0.33865038,0.34435139,0.318430398,0.299638526,0.296497585,0.306867246,0.261713603,0.258607628
NGA36372,Unknown,0.152660075,0.149253731,0.136931818,0.121212121,0.121212121,0.106060606,0.088760504,0.07435047,0.068965517,0.051724138,0.050740185,0.043478261,0.037024379,0.040540541,0.023931624,0.022862309,0.01369863,0.015154994,0.005952381,0.012341772,0.015328947,0.013492131,0.012987013,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44758129,0.471287879,0.413714286,0.434264706,0.389713542,0.433378562,0.405932035,0.38726784,0.329228111,0.359545555,0.286330049,0.294525862,0.283557692,0.254477612,0.240697081,0.216477477,0.225432596,0.229868839,0.162604167
MOZ33224,Unknown,0.153194263,0.131884058,0.130434783,0.117647059,0.104477612,0.088607595,0.08,0.06779661,0.063492063,0.054054054,0.046153846,0.038711289,0.02739726,0.031009615,0.025238095,0.013888889,0.013333333,0,0.005952381,0.029343137,0.026367647,0.0121875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462962963,0.47761194,0.400144928,0.440677966,0.387096774,0.387120847,0.357915778,0.360478344,0.307692308,0.317460317,0.291288566,0.280895749,0.231363636,0.234327522,0.208982202,0.182097289,0.189843371,0.170762712,0.151848007
ETH19047,Unknown,0.158730159,0.137937595,0.132352941,0.120512303,0.101357549,0.096725693,0.088893766,0.080014225,0.062996032,0.057417582,0.056980519,0.044117647,0.034190532,0.026666667,0.022417154,0.015749008,0.014297386,0.014925373,0.006024096,0.018819955,0.015115193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459115058,0.426193271,0.431497326,0.40625,0.40278296,0.350729271,0.351017732,0.34375,0.333333333,0.294264706,0.285763209,0.272727273,0.22063408,0.24270692,0.235332817,0.20636289,0.210566188,0.19280303,0.170124367
MRT31058,Unknown,0.144957983,0.141941392,0.123372231,0.120481928,0.107692308,0.101357549,0.085230024,0.074074074,0.072949002,0.058836254,0.048003072,0.043797954,0.032786885,0.029631255,0.023015873,0.016133229,0.014709063,0.014084507,0.006024096,0.026708494,0.026703464,0.02739726,0.014285714,0.014919886,0.013879505,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0.451612903,0.394789056,0.352684859,0.370531401,0.363804714,0.2793394,0.27703125,0.285965795,0.261014493,0.25,0.219021739,0.200246914,0.194108682,0.2,0.175829238,0.173295455,0.152886905,0.126852419,0.100234375
MDG27939,Unknown,0.165422886,0.149253731,0.137931034,0.125,0.105661882,0.091507177,0.086067019,0.077037184,0.065152801,0.059701493,0.048701299,0.043478261,0.045454545,0.028169014,0.025641026,0.021123693,0.015384615,0.013701201,0.006024096,0.014266409,0.024717466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441024653,0.383427419,0.392008388,0.389830508,0.350833333,0.329482531,0.362144226,0.313432836,0.305084746,0.300108696,0.301886792,0.238492063,0.220878896,0.237308313,0.191802464,0.171688312,0.183283032,0.169245283,0.149490642
