IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
NGA36496,Low prevalence (less than 20%),0.025641026,0.025641026,0.025974026,0.024845679,0.016393443,0.027212144,0.016261237,0.026846847,0.026671408,0.025158228,0.023529412,0.014925373,0.024110385,0.015877016,0.016261237,0.015388258,0.023258959,0.016129032,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13664307,0.150684932,0.140895372,0.123776908,0.146529081,0.151531621,0.15868276,0.149643267,0.147721507,0.156510417,0.160493827,0.138988095,0.144927536,0.149272388,0.14897655,0.117422577,0.145532258,0.131860902,0.13890625
NGA36485,Low prevalence (less than 20%),0.02485335,0.023542446,0.015873016,0.025316456,0.015504808,0.016954023,0.024110385,0.022988506,0.024390244,0.024691358,0.015873016,0.024393872,0.016001024,0.024243315,0.023809524,0.016133229,0.019306753,0.015151515,0.014815628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444462025,0.461538462,0.426714286,0.412090164,0.453333333,0.438037559,0.5,0.462323944,0.467328767,0.463768116,0.454686567,0.396565525,0.457600048,0.465052701,0.448105626,0.469003081,0.436619718,0.447368421,0.408450704
NGA36487,Low prevalence (less than 20%),0.015873016,0.015151515,0.015038444,0.015384615,0.015625,0.014285714,0.014705882,0.014185111,0.015873016,0.014492754,0.014285714,0.014925373,0.015384615,0.014285714,0.014925373,0.014705882,0.014285714,0.013606072,0.012579114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10604067,0.138249882,0.18754223,0.131578947,0.153846154,0.166666667,0.126041667,0.133688525,0.154991218,0.160230769,0.162325851,0.14363354,0.162541978,0.133481013,0.131664079,0.137728311,0.166666667,0.139534884,0.143021346
NGA36499,Low prevalence (less than 20%),0.022517394,0.019400187,0.015628816,0.015873016,0.016261237,0.016666667,0.016530055,0.016397849,0.023952955,0.015877016,0.023952955,0.015504808,0.023812899,0.024096386,0.016261237,0.015749008,0.015749008,0.017095266,0.014285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177330265,0.19047619,0.197477402,0.196721311,0.165552995,0.166666667,0.166666667,0.158068248,0.160499339,0.169464286,0.18811553,0.17408329,0.1625,0.162274775,0.174138388,0.167105263,0.171688312,0.194988739,0.184113232
NGA36500,Non-endemic,0.021279004,0.015268065,0.016129032,0.015384615,0.014925373,0.015384615,0.014815628,0.013423423,0.023411829,0.015877016,0.015384615,0.014705882,0.014925373,0.015625,0.014084507,0.013888889,0.014084507,0.01242284,0.01369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156626506,0.1509375,0.143973214,0.159367691,0.172544496,0.172534843,0.161950231,0.169995005,0.153815552,0.212121212,0.172490602,0.177538276,0.16532154,0.152016928,0.1594789,0.184403243,0.182380254,0.193181818,0.156916921
NGA36501,Low prevalence (less than 20%),0.024243315,0.025978408,0.017857143,0.021978022,0.024127907,0.024691358,0.026671408,0.026491228,0.028169014,0.026144908,0.025316456,0.025,0.025645241,0.015877016,0.015504808,0.016129032,0.024548193,0.015268065,0.015154994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157256298,0.155743838,0.158634868,0.154794521,0.173223938,0.147603687,0.165304816,0.19743007,0.168214286,0.16780303,0.194423963,0.21994863,0.210331384,0.152684599,0.174904762,0.192045455,0.162828115,0.193213384,0.15026712
NGA36503,Low prevalence (less than 20%),0.027027027,0.026315789,0.021052632,0.025316456,0.022100122,0.019307832,0.025316456,0.015384615,0.025645241,0.024540801,0.024540801,0.015625,0.025641026,0.015749008,0.019428152,0.016129032,0.026491228,0.025316456,0.015154994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123164557,0.138054187,0.13251634,0.133846154,0.142944251,0.146804348,0.120237355,0.133846154,0.144915889,0.144822125,0.150262346,0.134541578,0.136138751,0.140350877,0.119582467,0.107692308,0.121643357,0.111363636,0.111502347
NGA36492,Non-endemic,0.024390244,0.026666667,0.025974026,0.025316456,0.026491228,0.025974026,0.027777778,0.025003907,0.028174603,0.026315789,0.026846847,0.024845679,0.025641026,0.015877016,0.022991543,0.015512266,0.026315789,0.023812899,0.014815628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137168029,0.197368421,0.169332612,0.174807988,0.186046512,0.1625,0.16972973,0.169534632,0.161419753,0.223880597,0.184051724,0.180834449,0.187559335,0.179104478,0.186861111,0.192307692,0.181818182,0.216216216,0.231707317
NGA36494,Low prevalence (less than 20%),0.015384615,0.014925373,0.014705882,0.014925373,0.014705882,0.015384615,0.015873016,0.014285714,0.015873016,0.014084507,0.014492754,0.014492754,0.015384615,0.014815628,0.014185111,0.014285714,0.014285714,0.013986698,0.013423423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123076923,0.106894737,0.114350649,0.120571429,0.109488636,0.11478678,0.130507246,0.120094381,0.141025641,0.141176471,0.12700064,0.132397776,0.125446429,0.131345238,0.119840653,0.120571429,0.121697443,0.130583004,0.114553571
NGA36478,Non-endemic,0.015151515,0.016261237,0.014705882,0.014925373,0.014925373,0.014705882,0.014185111,0.014495798,0.014925373,0.01428863,0.014084507,0.014925373,0.014285714,0.014705882,0.01379376,0.01273937,0.013513514,0.0125,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082001366,0.088736155,0.089886962,0.086648746,0.088362745,0.097222222,0.07517418,0.088631211,0.113920455,0.092105263,0.071517857,0.079676387,0.0659053,0.084537223,0.089772727,0.095890411,0.072636301,0.065849282,0.056422115
BEN3214,Low prevalence (less than 20%),0.025641026,0.024691358,0.015388258,0.015384615,0.016261237,0.022857889,0.019049347,0.025316456,0.025478741,0.019803922,0.025807526,0.016671298,0.024393872,0.024096386,0.023809524,0.016261237,0.024099884,0.024390244,0.022483264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211348684,0.189409722,0.190326087,0.191191579,0.250996377,0.253304394,0.225423387,0.220349989,0.228997494,0.225910701,0.229824356,0.21994863,0.210331384,0.190521978,0.196299751,0.19745086,0.204598954,0.217628993,0.232247967
