IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
NGA36421,Unknown,0.453333333,0.426406926,0.403225806,0.357769692,0.305216802,0.31427429,0.283950617,0.275604143,0.22826087,0.221500722,0.194251067,0.171568627,0.141025641,0.106742572,0.093399751,0.056338028,0.046256684,0.020686275,0.005494505,0.041954759,0.012828947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651645183,0.621665497,0.603008492,0.575614077,0.571510673,0.56097561,0.512195122,0.481012658,0.44484127,0.441558442,0.455971781,0.437546331,0.365238095,0.364864865,0.301369863,0.282436975,0.265651042,0.2309375,0.182142857
ETH18921,Unknown,0.455061728,0.403769841,0.379310345,0.380014263,0.352324616,0.322828784,0.303030303,0.297401879,0.277777778,0.237866928,0.218081918,0.22718894,0.168835009,0.125657895,0.107477477,0.071519796,0.03975079,0.012660256,0.005747126,0.124773551,0.074626866,0.062475962,0.02252141,0.013308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675759092,0.678621032,0.646359397,0.632207384,0.614421529,0.612431265,0.625128425,0.606365345,0.603164191,0.597402597,0.590541434,0.563380282,0.581259936,0.584577922,0.595287698,0.557672121,0.563822802,0.546616953,0.569906774
NGA36420,Unknown,0.448684211,0.429563492,0.39159812,0.368421053,0.314144737,0.272635135,0.232876712,0.206899626,0.178082192,0.152922078,0.142857143,0.13245614,0.099505125,0.100724638,0.087633262,0.060619977,0.042253521,0.014925373,0.005747126,0.02739726,0.01298285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746666667,0.675342967,0.631667852,0.605710349,0.559620221,0.500166667,0.469879518,0.473879142,0.436619718,0.381305115,0.384876543,0.386003289,0.380774648,0.363920455,0.344672131,0.304380267,0.28141572,0.239085821,0.236722846
COD14155,Unknown,0.41468876,0.375,0.3495671,0.326811347,0.315037594,0.296796797,0.288042724,0.265625,0.246753247,0.21592827,0.19462482,0.190490371,0.160645161,0.12999232,0.140196078,0.085463398,0.064842704,0.019568151,0.005813953,0.039390457,0.038912939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7108791,0.680795188,0.648648649,0.62231153,0.653016775,0.661764706,0.671428571,0.61127451,0.637931034,0.631280266,0.647414611,0.646393443,0.625419776,0.635335498,0.647058824,0.602822748,0.614197183,0.619518968,0.625347222
ETH18669,Unknown,0.451219512,0.408378003,0.406756998,0.375905797,0.367088608,0.337668919,0.313378402,0.291983765,0.294494721,0.257142857,0.247807018,0.201265823,0.173026316,0.128676471,0.125,0.076375933,0.050125313,0.014925373,0.005882353,0.079715989,0.071999358,0.024375,0.010955056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650607191,0.603226817,0.63177308,0.617369093,0.603424658,0.561781844,0.548387097,0.522834767,0.534486902,0.521158293,0.531482264,0.521623182,0.51340587,0.515508021,0.558016917,0.547956253,0.533571429,0.555897436,0.551449275
SWZ45433,Unknown,0.440238095,0.389566396,0.370828943,0.36745235,0.325396825,0.309250565,0.292134831,0.276388889,0.248188406,0.22972973,0.204545455,0.156349898,0.145517904,0.117971014,0.11568886,0.074482759,0.037772675,0.007575758,0.006024096,0.144875776,0.090858586,0.048645264,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701702899,0.680795188,0.580851254,0.62195122,0.662650602,0.623376623,0.626865672,0.5878125,0.60275974,0.564102564,0.627906977,0.550436798,0.522168539,0.548281663,0.552083333,0.530065359,0.538580247,0.566582118,0.541907051
MOZ33125,Unknown,0.436698718,0.372835498,0.369954558,0.356702369,0.323943662,0.295428308,0.285423384,0.269248993,0.251666667,0.235188356,0.202011812,0.168918919,0.158347142,0.128289474,0.120240964,0.045547945,0.014705882,0.012579114,0.006024096,0.040972108,0.012341772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6771875,0.680555556,0.609812267,0.592117706,0.651685393,0.588235294,0.546846154,0.542166096,0.551388889,0.528993506,0.545550576,0.540629968,0.538815789,0.548207614,0.551424051,0.522486253,0.543349142,0.56626506,0.551282051
COD14019,Unknown,0.453229167,0.40268759,0.39338563,0.376440582,0.357142857,0.328947368,0.326583801,0.288572459,0.269023987,0.270429253,0.27387218,0.240506329,0.233500717,0.2,0.164131455,0.125261324,0.096087457,0.031099325,0.006024096,0.093027027,0.067768362,0.033576474,0.025657895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676476091,0.656745158,0.652752682,0.655253322,0.666666667,0.641791045,0.61971831,0.579774353,0.602564103,0.616780822,0.621621622,0.594936709,0.617283951,0.619047619,0.587301587,0.558983376,0.569642857,0.588255439,0.550079509
ETH19007,Unknown,0.438798093,0.401219512,0.381834215,0.382783883,0.349242424,0.320493827,0.312824314,0.285859729,0.262781522,0.2375,0.216666667,0.206204094,0.179618768,0.157152925,0.12410195,0.08,0.050165837,0.012196936,0.006024096,0.044437966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630192385,0.584936774,0.589166667,0.563052885,0.589925373,0.574060376,0.565901771,0.531401586,0.565467328,0.52069863,0.535211268,0.525559741,0.536287625,0.556999014,0.556962025,0.555555556,0.567773807,0.589240442,0.572142857
ETH19105,Unknown,0.442358804,0.39455152,0.367731575,0.36205074,0.33850561,0.328947368,0.306742424,0.301587302,0.288804639,0.2375,0.211838886,0.2,0.170544246,0.116464181,0.116366366,0.0634375,0.030677656,0.012995781,0.006024096,0.062307363,0.029902597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737713294,0.701492537,0.683598553,0.622027439,0.619731681,0.650775706,0.61971831,0.547344262,0.602564103,0.653846154,0.621752723,0.59547425,0.617283951,0.56615091,0.635135135,0.588670257,0.577816901,0.589388598,0.590409836
UGA49749,Unknown,0.457738095,0.415621891,0.391891892,0.373333333,0.379534784,0.092105263,0.264221073,0.278673835,0.256756757,0.237537115,0.223684211,0.202702703,0.187536232,0.132953653,0.108433735,0.086067019,0.051007147,0.029850746,0.006024096,0.084915515,0.020641447,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677718667,0.692511574,0.631621447,0.658688748,0.610519042,0.246534091,0.511138251,0.619301766,0.608247375,0.635895445,0.595698052,0.643339768,0.625813356,0.602640845,0.662445887,0.624458874,0.680555556,0.656389717,0.608190318
ETH18648,Unknown,0.458896396,0.408043033,0.371323529,0.378279215,0.360597826,0.328348214,0.315068493,0.294871795,0.293333333,0.26975052,0.268627451,0.226428571,0.209800469,0.184615385,0.150957661,0.104487179,0.067460317,0.036420961,0.006097561,0.108075833,0.06547807,0.048852374,0.01314946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688717532,0.655634236,0.649197138,0.633036883,0.649450216,0.644815604,0.608839707,0.591477273,0.566208791,0.621982149,0.614681996,0.59291441,0.571428571,0.601,0.605940402,0.589648402,0.578338542,0.624500588,0.650113636
NGA36645,Unknown,0.479452055,0.443037975,0.422982081,0.359104478,0.32025641,0.303336704,0.258708415,0.258064516,0.242640875,0.222154316,0.197674419,0.176190476,0.150684932,0.134869781,0.103448276,0.072463768,0.041381279,0.025807526,0.00617284,0.085205392,0.042197183,0.025727901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679573171,0.633899775,0.609450483,0.583522727,0.551602564,0.536231884,0.523175676,0.506493506,0.49229699,0.478873239,0.492333333,0.433484848,0.411157904,0.449275362,0.404773068,0.436837679,0.397870936,0.471721509,0.401280488
