IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
GIN22624,Low prevalence (less than 20%),0.027027027,0.027027027,0.024540801,0.015275187,0.015045249,0.014705882,0.014389234,0.014925373,0.012908061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153268678,0.146348471,0.164241294,0.135232558,0.186587353,0.170733689,0.17004365,0.162393822,0.138160861,0.123174603,0.115099269,0.100441176,0.081196911,0.083384146,0.086103074,0.082876712,0.100398551,0.10393028,0.085025945
NGA36442,Low prevalence (less than 20%),0.023255814,0.014285714,0.01369863,0.01273937,0.012660256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153350225,0.197638137,0.164652092,0.1125,0.12987013,0.129139785,0.123287671,0.109697416,0.121212121,0.129145022,0.117736185,0.117647059,0.090574302,0.067734375,0.073061812,0.062688172,0.033057644,0.043478261,0.027045796
NGA36446,Low prevalence (less than 20%),0.015038444,0.014492754,0.013157895,0.0125,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092302632,0.100086207,0.084899846,0.100036232,0.101623887,0.104532338,0.088740255,0.09234375,0.087743056,0.092376161,0.070646099,0.061538462,0.063851718,0.057971014,0.050859626,0.04086036,0.02953854,0.030326705,0.01805174
NGA36496,Low prevalence (less than 20%),0.016133229,0.025645241,0.014925373,0.014492754,0.013333333,0.010836457,0.005154639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103896104,0.131578947,0.138461538,0.11127451,0.123174603,0.11155914,0.111333333,0.102739726,0.102922078,0.108108108,0.107739726,0.092692308,0.089813433,0.085966082,0.072625858,0.057971014,0.051298701,0.048406928,0.028200083
NGA36497,Non-endemic,0.024540801,0.025478741,0.014925373,0.014185111,0.013701201,0.0122704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112903226,0.131578947,0.118421053,0.102941176,0.101449275,0.104477612,0.08880719,0.09375,0.097222222,0.070089286,0.097814259,0.077058824,0.073679813,0.085470513,0.067716614,0.0615625,0.052236652,0.04228414,0.026704225
NGA36481,Low prevalence (less than 20%),0.024845679,0.016685206,0.01369863,0.01282262,0.011976477,0.010784314,0.005681818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0.109931507,0.095190256,0.101486573,0.092302632,0.096105091,0.106060606,0.100210843,0.097686054,0.094761375,0.097814259,0.084702059,0.07289098,0.094117647,0.078125,0.051449275,0.051282051,0.049456844,0.025641026
NGA36482,Non-endemic,0.025641026,0.016001024,0.014492754,0.013157895,0.013333333,0.01282262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194805195,0.217948718,0.207792208,0.194444444,0.130790043,0.12916011,0.128205128,0.146666667,0.137543513,0.128571429,0.117647059,0.106702703,0.130434783,0.109375,0.101694915,0.169811321,0.092592593,0.049339709,0.033531746
NGA36483,Low prevalence (less than 20%),0.027212144,0.025641026,0.014925373,0.014709063,0.014705882,0.0122704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152777778,0.215384615,0.164179104,0.111111111,0.126984127,0.108183183,0.108500669,0.109589041,0.108108108,0.123214286,0.109790492,0.092307692,0.07289098,0.0625,0.047392314,0.044463981,0.030769231,0.030365127,0.02532457
NGA36484,Non-endemic,0.018518519,0.016129032,0.013888889,0.01282262,0.012055192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132108918,0.125590095,0.121574357,0.111111111,0.100674603,0.104532338,0.111111111,0.09375,0.097686054,0.078338891,0.0875,0.061923077,0.072463768,0.054833108,0.05233854,0.050632911,0.037974684,0.033196721,0.025
NGA36485,Low prevalence (less than 20%),0.024390244,0.025316456,0.014185111,0.013333333,0.012903763,0.01282262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102822581,0.112941347,0.095190256,0.100073529,0.100036232,0.108631212,0.118542718,0.109589041,0.108435708,0.094761375,0.109589041,0.107941176,0.089552239,0.0625,0.042886372,0.044861536,0.030793651,0.029007138,0.023255814
