IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
AGO02049,Unknown,0.056740443,0.051615052,0.048980408,0.048387097,0.051290482,0.05371305,0.044776119,0.049834574,0.043797954,0.047058824,0.040540541,0.042253521,0.041666667,0.041103604,0.037773202,0.033333333,0.027212144,0.034686126,0.028985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333802817,0.329154503,0.32122093,0.329640152,0.305238676,0.318888433,0.329140927,0.313440152,0.296527778,0.328690476,0.304238329,0.329732238,0.310917253,0.31697127,0.308090909,0.337477306,0.319869565,0.341848538,0.316624896
AGO02050,Unknown,0.125791139,0.105661882,0.111805556,0.115942029,0.114835165,0.117647059,0.115942029,0.107142857,0.107179487,0.107120102,0.094594595,0.109565549,0.112517803,0.114942529,0.112903226,0.120810811,0.1125,0.116472868,0.121051775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370148026,0.383606638,0.400015334,0.375764706,0.391563678,0.379707792,0.388946078,0.365044643,0.392987805,0.365933063,0.315326456,0.299264706,0.312520129,0.301564945,0.314599194,0.354211403,0.327735314,0.377662037,0.320640244
AGO02051,Unknown,0.049390244,0.049081602,0.048289934,0.042179392,0.042857143,0.043167702,0.041666667,0.039473684,0.045548654,0.039473684,0.033707865,0.029198636,0.026144908,0.026846847,0.024691358,0.024691358,0.015827517,0.023669468,0.024540801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243412162,0.261790123,0.253780321,0.220707332,0.200555556,0.212415197,0.203129117,0.239623544,0.200952381,0.211888693,0.218120905,0.21932363,0.226835798,0.213342441,0.225730968,0.223062016,0.22088613,0.223275862,0.221134135
AGO02052,Unknown,0.051503095,0.048980408,0.046875,0.040540541,0.043478261,0.041103604,0.040540541,0.031754032,0.036363636,0.030117754,0.024099884,0.027031963,0.024250441,0.021276596,0.016949153,0.016666667,0.017241379,0.014190821,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253521127,0.283950617,0.285714286,0.3,0.265710187,0.263888889,0.227009977,0.229200426,0.220204327,0.204351553,0.243109668,0.26043379,0.224269498,0.260305585,0.246656785,0.219178082,0.21425,0.190285312,0.195102814
AGO02053,Unknown,0.051948052,0.049081602,0.047619048,0.04485997,0.043956044,0.042857143,0.045115332,0.045115332,0.046606335,0.041381279,0.036585366,0.035714286,0.04109589,0.039473684,0.038961039,0.036811201,0.034883721,0.038711289,0.029418127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291763566,0.273044244,0.289679487,0.246845479,0.240265391,0.276766975,0.280302771,0.296216103,0.273051948,0.250189394,0.301195652,0.303673724,0.312911184,0.283680556,0.278638664,0.248420236,0.271013514,0.228098765,0.272148148
AGO02063,Unknown,0.055583004,0.052289815,0.048289934,0.050632911,0.053333333,0.051282051,0.045868347,0.042253521,0.041381279,0.046164773,0.037737342,0.038461538,0.036363636,0.029925373,0.02967033,0.031009615,0.025503574,0.02739726,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446417016,0.41452381,0.414363636,0.400416667,0.433501412,0.395748565,0.389102564,0.422642563,0.39584695,0.415835457,0.421296296,0.403781558,0.42309322,0.4315625,0.451895546,0.432503975,0.390611062,0.34463739,0.373052993
AGO02064,Unknown,0.048199768,0.042857143,0.035534062,0.043478261,0.038230519,0.038724184,0.036700337,0.036811201,0.031498016,0.028778468,0.030550373,0.029411765,0.026846847,0.023689375,0.019047619,0.012987013,0.013160173,0.012348485,0.011911514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281253454,0.259986498,0.293652574,0.286696429,0.30553455,0.292787729,0.291282634,0.266177215,0.278577811,0.283420191,0.294232238,0.265060241,0.280618467,0.259404223,0.247604643,0.247620431,0.232577519,0.266690141,0.283738914
AGO02067,Unknown,0.042857143,0.043487395,0.042555332,0.038711289,0.039473684,0.036811201,0.035146616,0.028577261,0.031934614,0.027027027,0.025974026,0.02444842,0.025679012,0.025,0.024096386,0.014599318,0.013986698,0.014815628,0.01379901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438825832,0.395484859,0.370804729,0.377565299,0.364292763,0.403716678,0.38674216,0.389631783,0.3736961,0.363944746,0.371875,0.388803384,0.361639344,0.365567766,0.334589041,0.38287037,0.307746479,0.343436432,0.338244131
AGO02070,Unknown,0.051178525,0.051956815,0.048980408,0.045727724,0.047065338,0.049382716,0.041960094,0.039473684,0.040540541,0.04,0.036811201,0.028985507,0.026315789,0.025320513,0.025320513,0.025974026,0.019690974,0.023959828,0.025645241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2335,0.214928571,0.235749793,0.250256849,0.233907993,0.256859577,0.236129386,0.246660959,0.230970149,0.253526382,0.257236025,0.246724241,0.243627679,0.246724241,0.246560675,0.260945048,0.260346071,0.26703125,0.229442771
AGO02072,Unknown,0.216216216,0.202702703,0.203144191,0.198684211,0.210101868,0.207107843,0.195921631,0.203773585,0.194444444,0.189791134,0.185185185,0.187536232,0.194783198,0.181818182,0.183766234,0.178593335,0.161105494,0.158312448,0.145913978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713443936,0.704788557,0.72049956,0.690049342,0.718682432,0.708036924,0.702065217,0.713735119,0.744870095,0.747066996,0.758011364,0.743979577,0.750347222,0.739639516,0.748445274,0.728056426,0.778270042,0.789736842,0.77696284
