Random Generator,bet,02-2007,04-2007,06-2007,08-2007,10-2007,12-2007,02-2008,04-2008,06-2008,08-2008,10-2008,12-2008,02-2009,04-2009,06-2009,08-2009,10-2009,12-2009,02-2010,04-2010,06-2010,08-2010,10-2010,12-2010,02-2011,04-2011,06-2011,08-2011,10-2011,12-2011,02-2012,04-2012,06-2012,08-2012,10-2012,12-2012,02-2013,04-2013,06-2013,08-2013,10-2013,12-2013,02-2014,04-2014,06-2014,08-2014,10-2014,12-2014,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019
1770,0.0860567713098135,0.34,0.3401639344262295,0.3524590163934426,0.31983805668016196,0.33067729083665337,0.3107569721115538,0.28112449799196787,0.26294820717131473,0.236,0.192,0.18253968253968253,0.1388888888888889,0.12062256809338522,0.09411764705882353,0.06299212598425197,0.05384615384615385,0.057692307692307696,0.038461538461538464,0.03461538461538462,0.03501945525291829,0.034482758620689655,0.03861003861003861,0.038910505836575876,0.06349206349206349,0.06048387096774194,0.048,0.03968253968253968,0.048,0.049586776859504134,0.05485232067510549,0.059322033898305086,0.05150214592274678,0.04700854700854701,0.034934497816593885,0.03879310344827586,0.02575107296137339,0.03418803418803419,0.025210084033613446,0.0211864406779661,0.02092050209205021,0.03319502074688797,0.0371900826446281,0.05,0.05531914893617021,0.0625,0.05907172995780591,0.059322033898305086,0.06639004149377593,0.058577405857740586,0.05485232067510549,0.043859649122807015,0.0391304347826087,0.03463203463203463,0.01702127659574468,0.017316017316017316,0.01702127659574468,0.008438818565400843,0.00411522633744856,0.012195121951219513,0.012244897959183673,0.012244897959183673,0.01646090534979424,0.02100840336134454,0.02459016393442623,0.024896265560165973,0.02040816326530612,0.020491803278688523,0.02074688796680498,0.01652892561983471,0.012195121951219513,0.012244897959183673,0.004048582995951417,0.008032128514056224,0.012096774193548387,0.012096774193548387,0.008130081300813009,0.008,0.007874015748031496
366,0.186149590619607,0.37735849056603776,0.36538461538461536,0.39805825242718446,0.37735849056603776,0.3888888888888889,0.4246575342465753,0.4018264840182648,0.3256880733944954,0.2545454545454545,0.2171945701357466,0.19248826291079812,0.14832535885167464,0.10144927536231885,0.09268292682926829,0.1024390243902439,0.13106796116504854,0.1291866028708134,0.12857142857142856,0.12037037037037036,0.10909090909090909,0.10407239819004525,0.11574074074074074,0.11682242990654206,0.12272727272727273,0.11312217194570136,0.12946428571428573,0.1145374449339207,0.07142857142857142,0.07079646017699115,0.07111111111111111,0.07142857142857142,0.07239819004524888,0.0593607305936073,0.06334841628959276,0.07207207207207207,0.08108108108108109,0.0752212389380531,0.08189655172413793,0.06866952789699571,0.07172995780590717,0.08050847457627118,0.06779661016949153,0.05439330543933055,0.05063291139240506,0.041666666666666664,0.05,0.05485232067510549,0.04583333333333333,0.04583333333333333,0.03765690376569038,0.05327868852459016,0.06504065040650407,0.06967213114754098,0.09126984126984126,0.12403100775193798,0.14960629921259844,0.172,0.22580645161290322,0.3029045643153527,0.36752136752136755,0.37606837606837606,0.35319148936170214,0.3682008368200837,0.350210970464135,0.37130801687763715,0.375,0.33884297520661155,0.2897959183673469,0.2571428571428571,0.25,0.22983870967741934,0.2345679012345679,0.19183673469387755,0.15833333333333333,0.13445378151260504,0.12916666666666668,0.12345679012345678,0.14107883817427386
1840,0.176258071546908,0.3881856540084388,0.3686440677966102,0.38626609442060084,0.4248927038626609,0.3788546255506608,0.37333333333333335,0.38392857142857145,0.3815789473684211,0.28761061946902655,0.252212389380531,0.23605150214592274,0.2297872340425532,0.2109704641350211,0.18803418803418803,0.18220338983050846,0.2288135593220339,0.18487394957983194,0.15481171548117154,0.13865546218487396,0.13807531380753138,0.12552301255230125,0.11392405063291139,0.11914893617021277,0.12017167381974249,0.14035087719298245,0.13793103448275862,0.09523809523809523,0.09691629955947137,0.10762331838565023,0.10714285714285714,0.1145374449339207,0.11403508771929824,0.11061946902654868,0.11555555555555555,0.11739130434782609,0.13157894736842105,0.12393162393162394,0.1282051282051282,0.15584415584415584,0.14224137931034483,0.1452991452991453,0.16455696202531644,0.15546218487394958,0.13559322033898305,0.1276595744680851,0.12931034482758622,0.12340425531914893,0.11864406779661017,0.11304347826086956,0.0944206008583691,0.08260869565217391,0.08085106382978724,0.07203389830508475,0.06779661016949153,0.06302521008403361,0.07083333333333333,0.06584362139917696,0.06072874493927125,0.05714285714285714,0.06097560975609756,0.0653061224489796,0.06584362139917696,0.059322033898305086,0.05785123966942149,0.06224066390041494,0.07377049180327869,0.07377049180327869,0.07024793388429752,0.07317073170731707,0.07851239669421488,0.07916666666666666,0.08163265306122448,0.076,0.08870967741935484,0.10483870967741936,0.11507936507936507,0.1220472440944882,0.14173228346456693
8404,0.14833415081375304,0.39555555555555555,0.35555555555555557,0.36160714285714285,0.3876651982378855,0.3963963963963964,0.39473684210526316,0.3521739130434783,0.3448275862068966,0.29004329004329005,0.23043478260869565,0.23605150214592274,0.22127659574468084,0.2017167381974249,0.1774891774891775,0.13675213675213677,0.10970464135021098,0.08936170212765958,0.10256410256410256,0.1059322033898305,0.1,0.08860759493670886,0.09282700421940929,0.0759493670886076,0.0743801652892562,0.06302521008403361,0.058823529411764705,0.0502092050209205,0.04564315352697095,0.03361344537815126,0.02575107296137339,0.02109704641350211,0.02092050209205021,0.016666666666666666,0.012345679012345678,0.012295081967213115,0.008130081300813009,0.00411522633744856,0.00816326530612245,0.02032520325203252,0.028,0.04819277108433735,0.08171206225680934,0.08695652173913043,0.08203125,0.07450980392156863,0.07058823529411765,0.06772908366533864,0.05952380952380952,0.06177606177606178,0.046511627906976744,0.0421455938697318,0.04198473282442748,0.04597701149425287,0.04905660377358491,0.03018867924528302,0.03383458646616541,0.03731343283582089,0.03690036900369004,0.02962962962962963,0.03636363636363636,0.037037037037037035,0.03308823529411765,0.029304029304029304,0.028985507246376812,0.025179856115107913,0.02888086642599278,0.017793594306049824,0.017793594306049824,0.01444043321299639,0.01107011070110701,0.011029411764705883,0.007220216606498195,0.007142857142857143,0.0035460992907801418,0.0,0.0034965034965034965,0.01048951048951049,0.017482517482517484
449,0.0944509079621639,0.31718061674008813,0.33185840707964603,0.3026315789473684,0.32051282051282054,0.3291139240506329,0.3045267489711934,0.256198347107438,0.23770491803278687,0.22916666666666666,0.2066115702479339,0.15510204081632653,0.13438735177865613,0.0873015873015873,0.051587301587301584,0.04743083003952569,0.03557312252964427,0.03225806451612903,0.035856573705179286,0.0321285140562249,0.028112449799196786,0.02857142857142857,0.024193548387096774,0.027777777777777776,0.03125,0.023255813953488372,0.023346303501945526,0.015151515151515152,0.00392156862745098,0.011764705882352941,0.007751937984496124,0.007751937984496124,0.00784313725490196,0.00392156862745098,0.003875968992248062,0.007633587786259542,0.007662835249042145,0.007633587786259542,0.0076045627376425855,0.007633587786259542,0.011363636363636364,0.011363636363636364,0.014814814814814815,0.015209125475285171,0.011494252873563218,0.007633587786259542,0.007547169811320755,0.007547169811320755,0.0037735849056603774,0.0037593984962406013,0.0076045627376425855,0.0076045627376425855,0.007518796992481203,0.011538461538461539,0.019157088122605363,0.023076923076923078,0.033962264150943396,0.03461538461538462,0.03875968992248062,0.038461538461538464,0.03861003861003861,0.038461538461538464,0.03802281368821293,0.034220532319391636,0.022900763358778626,0.019011406844106463,0.01509433962264151,0.011583011583011582,0.015384615384615385,0.015267175572519083,0.007633587786259542,0.007662835249042145,0.011406844106463879,0.007434944237918215,0.01107011070110701,0.01444043321299639,0.013986013986013986,0.014084507042253521,0.014336917562724014
8649,0.14461703079287,0.22127659574468084,0.21212121212121213,0.23478260869565218,0.242152466367713,0.21777777777777776,0.22666666666666666,0.23318385650224216,0.23348017621145375,0.22270742358078602,0.26382978723404255,0.27459016393442626,0.23481781376518218,0.2151394422310757,0.1774193548387097,0.1377952755905512,0.11067193675889328,0.08764940239043825,0.10714285714285714,0.0984251968503937,0.09765625,0.09881422924901186,0.11067193675889328,0.12048192771084337,0.13765182186234817,0.12955465587044535,0.12449799196787148,0.11462450592885376,0.1016260162601626,0.09090909090909091,0.07755102040816327,0.07818930041152264,0.06198347107438017,0.06639004149377593,0.06639004149377593,0.0625,0.0653061224489796,0.07723577235772358,0.09504132231404959,0.10460251046025104,0.11440677966101695,0.12184873949579832,0.12184873949579832,0.09205020920502092,0.0759493670886076,0.07531380753138076,0.075,0.0743801652892562,0.08163265306122448,0.08032128514056225,0.072,0.06827309236947791,0.06,0.06072874493927125,0.056910569105691054,0.06,0.06349206349206349,0.07630522088353414,0.11155378486055777,0.1220472440944882,0.13793103448275862,0.12790697674418605,0.1417624521072797,0.14007782101167315,0.13253012048192772,0.12048192771084337,0.11836734693877551,0.12757201646090535,0.10833333333333334,0.09745762711864407,0.09787234042553192,0.1016949152542373,0.10126582278481013,0.0995850622406639,0.09166666666666666,0.06751054852320675,0.05263157894736842,0.05263157894736842,0.04435483870967742
1831,0.11242787910159698,0.34710743801652894,0.36099585062240663,0.3881856540084388,0.401673640167364,0.43089430894308944,0.42338709677419356,0.38934426229508196,0.34615384615384615,0.26666666666666666,0.2139917695473251,0.1885245901639344,0.15040650406504066,0.12704918032786885,0.08571428571428572,0.08032128514056225,0.061224489795918366,0.07171314741035857,0.08267716535433071,0.10441767068273092,0.11904761904761904,0.11155378486055777,0.109375,0.08661417322834646,0.08139534883720931,0.08139534883720931,0.06463878326996197,0.06415094339622641,0.06415094339622641,0.08148148148148149,0.1,0.10037174721189591,0.10074626865671642,0.0962962962962963,0.08518518518518518,0.08424908424908426,0.057971014492753624,0.051094890510948905,0.03558718861209965,0.03558718861209965,0.028368794326241134,0.024734982332155476,0.03202846975088968,0.02857142857142857,0.021352313167259787,0.018115942028985508,0.01060070671378092,0.007042253521126761,0.0035087719298245615,0.007017543859649123,0.006920415224913495,0.006872852233676976,0.006872852233676976,0.003472222222222222,0.0034482758620689655,0.003472222222222222,0.0,0.0,0.0,0.0,0.0036101083032490976,0.007168458781362007,0.0071174377224199285,0.010830324909747292,0.01098901098901099,0.0149812734082397,0.01845018450184502,0.0299625468164794,0.026217228464419477,0.029850746268656716,0.03308823529411765,0.02888086642599278,0.04,0.039711191335740074,0.04363636363636364,0.04428044280442804,0.05090909090909091,0.06181818181818182,0.058394160583941604
5504,0.150418843410444,0.3055555555555556,0.308300395256917,0.3076923076923077,0.2661290322580645,0.26506024096385544,0.25,0.22088353413654618,0.18072289156626506,0.17338709677419356,0.1553784860557769,0.1566265060240964,0.15019762845849802,0.1349206349206349,0.12350597609561753,0.116,0.132,0.12598425196850394,0.1067193675889328,0.07258064516129033,0.06854838709677419,0.04897959183673469,0.043824701195219126,0.040160642570281124,0.027888446215139442,0.031746031746031744,0.03225806451612903,0.04048582995951417,0.04081632653061224,0.04219409282700422,0.04700854700854701,0.0423728813559322,0.046610169491525424,0.0502092050209205,0.045454545454545456,0.04526748971193416,0.04081632653061224,0.04065040650406504,0.0398406374501992,0.044,0.05622489959839357,0.056451612903225805,0.0546875,0.0642570281124498,0.04780876494023904,0.04838709677419355,0.043478260869565216,0.051587301587301584,0.06147540983606557,0.06557377049180328,0.06995884773662552,0.08403361344537816,0.08085106382978724,0.07983193277310924,0.09917355371900827,0.102880658436214,0.088,0.08571428571428572,0.07171314741035857,0.05976095617529881,0.050980392156862744,0.03875968992248062,0.042801556420233464,0.01937984496124031,0.023346303501945526,0.024,0.028,0.032388663967611336,0.028112449799196786,0.044534412955465584,0.060240963855421686,0.08366533864541832,0.08366533864541832,0.08627450980392157,0.07364341085271318,0.06589147286821706,0.06130268199233716,0.058365758754863814,0.05078125
8735,0.155642141960561,0.4180327868852459,0.448559670781893,0.4,0.4103585657370518,0.4189723320158103,0.3861003861003861,0.35546875,0.28125,0.234375,0.2,0.19047619047619047,0.17928286852589642,0.15476190476190477,0.14516129032258066,0.14056224899598393,0.128099173553719,0.13821138211382114,0.12916666666666668,0.12083333333333333,0.11063829787234042,0.09282700421940929,0.08050847457627118,0.06302521008403361,0.046610169491525424,0.03862660944206009,0.03017241379310345,0.039647577092511016,0.048458149779735685,0.0611353711790393,0.06167400881057269,0.07017543859649122,0.06956521739130435,0.07725321888412018,0.07860262008733625,0.06086956521739131,0.05263157894736842,0.043478260869565216,0.04424778761061947,0.039647577092511016,0.017094017094017096,0.02553191489361702,0.024896265560165973,0.02092050209205021,0.01680672268907563,0.0379746835443038,0.0379746835443038,0.04201680672268908,0.05603448275862069,0.06837606837606838,0.06866952789699571,0.07692307692307693,0.09871244635193133,0.11864406779661017,0.16194331983805668,0.17786561264822134,0.1889763779527559,0.228,0.23694779116465864,0.2549800796812749,0.2701612903225806,0.27091633466135456,0.25882352941176473,0.28294573643410853,0.25190839694656486,0.23193916349809887,0.2679245283018868,0.25555555555555554,0.2518518518518518,0.22878228782287824,0.25274725274725274,0.2508833922261484,0.254416961130742,0.21428571428571427,0.1971326164874552,0.18439716312056736,0.1879432624113475,0.19649122807017544,0.2
5704,0.14697888365481002,0.31140350877192985,0.30735930735930733,0.3407079646017699,0.3744493392070485,0.36681222707423583,0.38095238095238093,0.34782608695652173,0.33043478260869563,0.2687224669603524,0.21304347826086956,0.18376068376068377,0.18565400843881857,0.15677966101694915,0.11842105263157894,0.09606986899563319,0.0752212389380531,0.07964601769911504,0.08658008658008658,0.08016877637130802,0.07692307692307693,0.08898305084745763,0.08936170212765958,0.10256410256410256,0.07563025210084033,0.07627118644067797,0.07083333333333333,0.0635593220338983,0.07391304347826087,0.07234042553191489,0.07172995780590717,0.06557377049180328,0.06938775510204082,0.08064516129032258,0.0873015873015873,0.099601593625498,0.10756972111553785,0.09486166007905138,0.08695652173913043,0.08235294117647059,0.09448818897637795,0.09448818897637795,0.10116731517509728,0.08171206225680934,0.07782101167315175,0.09090909090909091,0.09486166007905138,0.11067193675889328,0.12648221343873517,0.1225296442687747,0.11553784860557768,0.10756972111553785,0.092,0.08097165991902834,0.06324110671936758,0.06451612903225806,0.04564315352697095,0.04149377593360996,0.04564315352697095,0.044715447154471545,0.06639004149377593,0.07818930041152264,0.072,0.06274509803921569,0.06513409961685823,0.05384615384615385,0.046153846153846156,0.03461538461538462,0.033962264150943396,0.041666666666666664,0.07169811320754717,0.08582089552238806,0.09225092250922509,0.08178438661710037,0.07692307692307693,0.07364341085271318,0.07003891050583658,0.06614785992217899,0.06130268199233716
