Random Generator,bet,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023,02-2024,04-2024,06-2024,08-2024,10-2024,12-2024,02-2025,04-2025,06-2025,08-2025,10-2025,12-2025,02-2026,04-2026,06-2026,08-2026,10-2026,12-2026,02-2027,04-2027,06-2027,08-2027,10-2027,12-2027,02-2028,04-2028,06-2028,08-2028,10-2028,12-2028,02-2029,04-2029,06-2029,08-2029,10-2029,12-2029,02-2030,04-2030,06-2030,08-2030,10-2030,12-2030
1770,0.0860567713098135,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,0.186149590619607,0.15481171548117154,0.1652892561983471,0.22083333333333333,0.23770491803278687,0.23651452282157676,0.21991701244813278,0.22540983606557377,0.17886178861788618,0.17131474103585656,0.1450980392156863,0.12692307692307692,0.09737827715355805,0.08333333333333333,0.08270676691729323,0.06390977443609022,0.06741573033707865,0.07142857142857142,0.07196969696969698,0.07604562737642585,0.07662835249042145,0.08045977011494253,0.08461538461538462,0.0749063670411985,0.05970149253731343,0.052830188679245285,0.045112781954887216,0.04797047970479705,0.041044776119402986,0.029411764705882353,0.04,0.05734767025089606,0.06521739130434782,0.08633093525179857,0.09608540925266904,0.10714285714285714,0.1079136690647482,0.12274368231046931,0.13167259786476868,0.14893617021276595,0.14590747330960854,0.15302491103202848,0.13978494623655913,0.16487455197132617,0.16845878136200718,0.17132867132867133,0.16666666666666666,0.16666666666666666,0.18685121107266436,0.1958762886597938,0.2053872053872054,0.20677966101694914,0.2098360655737705,0.21262458471760798,0.22333333333333333,0.23411371237458195,0.23825503355704697,0.25333333333333335,0.2913907284768212,0.3442622950819672,0.43434343434343436,0.5284280936454849,0.6345514950166113,0.7710437710437711,0.8458904109589042,0.8938356164383562,0.8561643835616438
1840,0.176258071546908,0.12598425196850394,0.14741035856573706,0.1774193548387097,0.2015810276679842,0.22093023255813954,0.21153846153846154,0.20622568093385213,0.2109375,0.23371647509578544,0.25769230769230766,0.2196078431372549,0.2222222222222222,0.2204724409448819,0.21568627450980393,0.20784313725490197,0.16287878787878787,0.14772727272727273,0.13533834586466165,0.1213235294117647,0.12915129151291513,0.12177121771217712,0.14233576642335766,0.13768115942028986,0.17753623188405798,0.17883211678832117,0.18928571428571428,0.19927536231884058,0.17582417582417584,0.2066420664206642,0.23443223443223443,0.22545454545454546,0.21323529411764705,0.23443223443223443,0.2391304347826087,0.26277372262773724,0.24187725631768953,0.2527075812274368,0.23381294964028776,0.256140350877193,0.23049645390070922,0.199288256227758,0.2014388489208633,0.19636363636363635,0.17857142857142858,0.13768115942028986,0.12408759124087591,0.10507246376811594,0.11785714285714285,0.09712230215827339,0.09854014598540146,0.07806691449814127,0.06545454545454546,0.06859205776173286,0.058823529411764705,0.0364963503649635,0.032846715328467155,0.028985507246376812,0.017793594306049824,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8404,0.14833415081375304,0.03146853146853147,0.04878048780487805,0.07665505226480836,0.08710801393728224,0.09285714285714286,0.10714285714285714,0.11313868613138686,0.09818181818181818,0.10622710622710622,0.09191176470588236,0.09818181818181818,0.11387900355871886,0.11387900355871886,0.10431654676258993,0.11071428571428571,0.12544802867383512,0.13261648745519714,0.1366906474820144,0.1407942238267148,0.10954063604240283,0.10638297872340426,0.09722222222222222,0.09722222222222222,0.09310344827586207,0.09059233449477352,0.09929078014184398,0.09712230215827339,0.09454545454545454,0.09025270758122744,0.08303249097472924,0.07553956834532374,0.06382978723404255,0.0528169014084507,0.042105263157894736,0.03225806451612903,0.03225806451612903,0.025454545454545455,0.021739130434782608,0.018050541516245487,0.010638297872340425,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0944509079621639,0.014234875444839857,0.014234875444839857,0.010526315789473684,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8649,0.14461703079287,0.052,0.03968253968253968,0.04,0.040160642570281124,0.03937007874015748,0.0392156862745098,0.047058823529411764,0.0390625,0.03802281368821293,0.03731343283582089,0.02962962962962963,0.026515151515151516,0.026415094339622643,0.02681992337164751,0.022813688212927757,0.018726591760299626,0.014814814814814815,0.007352941176470588,0.007380073800738007,0.007380073800738007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,0.11242787910159698,0.07913669064748201,0.09454545454545454,0.09712230215827339,0.08928571428571429,0.08928571428571429,0.08273381294964029,0.08695652173913043,0.06884057971014493,0.07272727272727272,0.06985294117647059,0.0625,0.058823529411764705,0.05925925925925926,0.055350553505535055,0.053231939163498096,0.05,0.050387596899224806,0.042801556420233464,0.030418250950570342,0.022641509433962263,0.014760147601476014,0.00749063670411985,0.003816793893129771,0.003875968992248062,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5504,0.150418843410444,0.04182509505703422,0.034482758620689655,0.026923076923076925,0.019083969465648856,0.015267175572519083,0.007518796992481203,0.007434944237918215,0.007462686567164179,0.007352941176470588,0.007272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8735,0.155642141960561,0.20618556701030927,0.20408163265306123,0.22895622895622897,0.21926910299003322,0.20469798657718122,0.18983050847457628,0.19322033898305085,0.17346938775510204,0.14726027397260275,0.13194444444444445,0.11072664359861592,0.1048951048951049,0.11072664359861592,0.10416666666666667,0.09310344827586207,0.0821917808219178,0.07216494845360824,0.05802047781569966,0.05084745762711865,0.047619047619047616,0.040268456375838924,0.04,0.03289473684210526,0.023178807947019868,0.023026315789473683,0.02287581699346405,0.016339869281045753,0.0165016501650165,0.0165016501650165,0.019801980198019802,0.02348993288590604,0.020833333333333332,0.020761245674740483,0.023809523809523808,0.023728813559322035,0.023728813559322035,0.01694915254237288,0.013377926421404682,0.010135135135135136,0.006802721088435374,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5704,0.14697888365481002,0.041353383458646614,0.04887218045112782,0.05343511450381679,0.05263157894736842,0.05223880597014925,0.044444444444444446,0.04744525547445255,0.04395604395604396,0.03690036900369004,0.02952029520295203,0.022222222222222223,0.018726591760299626,0.021897810218978103,0.02197802197802198,0.02181818181818182,0.037037037037037035,0.039568345323741004,0.04659498207885305,0.05776173285198556,0.05434782608695652,0.06545454545454546,0.07194244604316546,0.075,0.075,0.07942238267148015,0.07526881720430108,0.08450704225352113,0.07342657342657342,0.06597222222222222,0.06338028169014084,0.05755395683453238,0.061371841155234655,0.059027777777777776,0.03900709219858156,0.02527075812274368,0.036101083032490974,0.03260869565217391,0.025454545454545455,0.021739130434782608,0.025735294117647058,0.02952029520295203,0.041044776119402986,0.04868913857677903,0.05660377358490566,0.06439393939393939,0.06439393939393939,0.055970149253731345,0.06367041198501873,0.06415094339622641,0.06296296296296296,0.06273062730627306,0.0528169014084507,0.04659498207885305,0.039568345323741004,0.04316546762589928,0.046762589928057555,0.06390977443609022,0.07924528301886792,0.08118081180811808,0.09259259259259259,0.12043795620437957,0.14606741573033707,0.19101123595505617,0.2574626865671642,0.33455882352941174,0.4632352941176471
5006,0.20639732408453698,0.12595419847328243,0.1417624521072797,0.17692307692307693,0.18702290076335878,0.19011406844106463,0.2,0.17829457364341086,0.15810276679841898,0.1383399209486166,0.124,0.11155378486055777,0.10980392156862745,0.1171875,0.13095238095238096,0.1349206349206349,0.16600790513833993,0.1776061776061776,0.21621621621621623,0.23846153846153847,0.23574144486692014,0.2574626865671642,0.2740740740740741,0.26996197718631176,0.2786259541984733,0.291044776119403,0.2952029520295203,0.3054545454545455,0.3090909090909091,0.31899641577060933,0.3498233215547703,0.36619718309859156,0.3416370106761566,0.3467153284671533,0.3285198555956679,0.31226765799256506,0.27037037037037037,0.23863636363636365,0.24150943396226415,0.21292775665399238,0.21052631578947367,0.20149253731343283,0.2,0.18587360594795538,0.18352059925093633,0.1897810218978102,0.18382352941176472,0.16906474820143885,0.16176470588235295,0.15613382899628253,0.16791044776119404,0.19924812030075187,0.2127659574468085,0.2158273381294964,0.23214285714285715,0.2508833922261484,0.2746478873239437,0.3473684210526316,0.4326241134751773,0.5684210526315789,0.7038327526132404,0.8076923076923077,0.8536585365853658,0.8776223776223776,0.8480565371024735,0.8297872340425532,0.7816901408450704
7082,0.166602396575036,0.08203125,0.1141732283464567,0.13725490196078433,0.1141732283464567,0.12015503875968993,0.12015503875968993,0.10424710424710425,0.09375,0.08527131782945736,0.07421875,0.06451612903225806,0.05533596837944664,0.051181102362204724,0.047244094488188976,0.04743083003952569,0.043137254901960784,0.043478260869565216,0.04365079365079365,0.04032258064516129,0.03225806451612903,0.024,0.027888446215139442,0.023529411764705882,0.019762845849802372,0.015873015873015872,0.007936507936507936,0.007905138339920948,0.0078125,0.0078125,0.007782101167315175,0.007905138339920948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1185,0.18638761581969396,0.1984126984126984,0.23904382470119523,0.26907630522088355,0.3134920634920635,0.37751004016064255,0.452,0.46586345381526106,0.4523809523809524,0.4588235294117647,0.421259842519685,0.403921568627451,0.3568627450980392,0.2874015748031496,0.23921568627450981,0.20078740157480315,0.18604651162790697,0.18076923076923077,0.1843137254901961,0.22433460076045628,0.19776119402985073,0.20833333333333334,0.19923371647509577,0.17898832684824903,0.16666666666666666,0.15810276679841898,0.11952191235059761,0.10276679841897234,0.09230769230769231,0.09266409266409266,0.09848484848484848,0.09328358208955224,0.10661764705882353,0.1033210332103321,0.07835820895522388,0.07720588235294118,0.07352941176470588,0.07636363636363637,0.08214285714285714,0.07368421052631578,0.06993006993006994,0.08741258741258741,0.08896797153024912,0.1111111111111111,0.12237762237762238,0.14084507042253522,0.14385964912280702,0.14084507042253522,0.15140845070422534,0.1453900709219858,0.15714285714285714,0.15658362989323843,0.16666666666666666,0.15916955017301038,0.12714776632302405,0.12286689419795221,0.11643835616438356,0.1152542372881356,0.11371237458193979,0.12457912457912458,0.1423728813559322,0.18181818181818182,0.24914675767918087,0.36860068259385664,0.48464163822525597,0.6301369863013698,0.7959866220735786
268,0.177435217745369,0.024291497975708502,0.02,0.02032520325203252,0.024390243902439025,0.028455284552845527,0.032520325203252036,0.024291497975708502,0.028688524590163935,0.0411522633744856,0.036734693877551024,0.03278688524590164,0.03319502074688797,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.0641025641025641,0.0603448275862069,0.060085836909871244,0.05485232067510549,0.05531914893617021,0.046413502109704644,0.0375,0.029045643153526972,0.01639344262295082,0.012658227848101266,0.008368200836820083,0.0041841004184100415,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3131,0.16406136732548499,0.024793388429752067,0.025423728813559324,0.030042918454935622,0.02109704641350211,0.017094017094017096,0.017316017316017316,0.008583690987124463,0.008547008547008548,0.008368200836820083,0.0041841004184100415,0.004132231404958678,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7669,0.178107912355335,0.06439393939393939,0.07063197026022305,0.08270676691729323,0.09505703422053231,0.09885931558935361,0.10984848484848485,0.12313432835820895,0.11524163568773234,0.10989010989010989,0.09558823529411764,0.08550185873605948,0.06181818181818182,0.06642066420664207,0.0695970695970696,0.06593406593406594,0.07272727272727272,0.08118081180811808,0.08823529411764706,0.09363295880149813,0.13108614232209737,0.137546468401487,0.145985401459854,0.14909090909090908,0.16129032258064516,0.16666666666666666,0.16428571428571428,0.17328519855595667,0.16906474820143885,0.1519434628975265,0.12631578947368421,0.10069444444444445,0.10320284697508897,0.08771929824561403,0.06968641114982578,0.06293706293706294,0.05190311418685121,0.05,0.03873239436619718,0.05574912891986063,0.060714285714285714,0.05734767025089606,0.07608695652173914,0.07220216606498195,0.08450704225352113,0.1,0.12099644128113879,0.12280701754385964,0.1443661971830986,0.16312056737588654,0.18439716312056736,0.20503597122302158,0.22602739726027396,0.25517241379310346,0.27147766323024053,0.3079584775086505,0.3310104529616725,0.3368421052631579,0.3591549295774648,0.4154929577464789,0.49466192170818507,0.6107142857142858,0.717948717948718,0.7851851851851852,0.821969696969697,0.8053435114503816,0.8136882129277566
7854,0.0850509834010154,0.011235955056179775,0.018518518518518517,0.018518518518518517,0.018656716417910446,0.01845018450184502,0.018796992481203006,0.022727272727272728,0.01532567049808429,0.007692307692307693,0.007751937984496124,0.0078125,0.007722007722007722,0.007633587786259542,0.007662835249042145,0.0038022813688212928,0.0038022813688212928,0.0037313432835820895,0.0036900369003690036,0.003676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7096,0.0783512336900458,0.04477611940298507,0.03802281368821293,0.03461538461538462,0.023076923076923078,0.003816793893129771,0.00749063670411985,0.011363636363636364,0.011320754716981131,0.011363636363636364,0.011494252873563218,0.011538461538461539,0.007575757575757576,0.0038314176245210726,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2696,0.187860525719589,0.03319502074688797,0.04184100418410042,0.0502092050209205,0.04583333333333333,0.049586776859504134,0.05439330543933055,0.0546218487394958,0.058577405857740586,0.06694560669456066,0.058577405857740586,0.05063291139240506,0.0546218487394958,0.06302521008403361,0.07083333333333333,0.06910569105691057,0.07723577235772358,0.07723577235772358,0.09387755102040816,0.09486166007905138,0.09126984126984126,0.0796812749003984,0.09236947791164658,0.12096774193548387,0.14682539682539683,0.1752988047808765,0.16666666666666666,0.17716535433070865,0.17254901960784313,0.1744186046511628,0.17054263565891473,0.16535433070866143,0.15810276679841898,0.15261044176706828,0.1346153846153846,0.12692307692307692,0.10526315789473684,0.11610486891385768,0.12222222222222222,0.12639405204460966,0.13857677902621723,0.1320754716981132,0.14559386973180077,0.16153846153846155,0.17803030303030304,0.16974169741697417,0.16483516483516483,0.14909090909090908,0.13090909090909092,0.1386861313868613,0.15693430656934307,0.17028985507246377,0.15172413793103448,0.1413793103448276,0.13793103448275862,0.13651877133105803,0.1506849315068493,0.1564625850340136,0.16551724137931034,0.21951219512195122,0.3016949152542373,0.4406779661016949,0.5699658703071673,0.7423728813559322,0.8737201365187713,0.9236111111111112,0.9379310344827586
7123,0.166861427680124,0.16600790513833993,0.2450592885375494,0.27710843373493976,0.3187250996015936,0.36904761904761907,0.388,0.396078431372549,0.3843137254901961,0.3916349809885932,0.33584905660377357,0.2748091603053435,0.23193916349809887,0.18250950570342206,0.1450381679389313,0.12595419847328243,0.0842911877394636,0.05747126436781609,0.04669260700389105,0.034482758620689655,0.030303030303030304,0.038314176245210725,0.026923076923076925,0.03088803088803089,0.03816793893129771,0.045454545454545456,0.052830188679245285,0.06563706563706563,0.08712121212121213,0.0946969696969697,0.09885931558935361,0.11742424242424243,0.11372549019607843,0.109375,0.10038610038610038,0.1,0.10384615384615385,0.1124031007751938,0.10077519379844961,0.09689922480620156,0.08203125,0.0842911877394636,0.08171206225680934,0.08949416342412451,0.10465116279069768,0.12549019607843137,0.1568627450980392,0.15384615384615385,0.15503875968992248,0.14615384615384616,0.13333333333333333,0.12350597609561753,0.1297709923664122,0.11194029850746269,0.11152416356877323,0.13333333333333333,0.13653136531365315,0.17843866171003717,0.21033210332103322,0.2600732600732601,0.38545454545454544,0.5090252707581228,0.5905797101449275,0.7164179104477612,0.8148148148148148,0.8812260536398467,0.8582375478927203
1122,0.101932169822976,0.014598540145985401,0.01818181818181818,0.02181818181818182,0.014084507042253521,0.014134275618374558,0.013986013986013986,0.014234875444839857,0.014084507042253521,0.0071174377224199285,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7305,0.11127454530797001,0.04032258064516129,0.04065040650406504,0.05371900826446281,0.06097560975609756,0.06072874493927125,0.060240963855421686,0.04417670682730924,0.036290322580645164,0.027559055118110236,0.023529411764705882,0.01953125,0.01532567049808429,0.011450381679389313,0.011450381679389313,0.007575757575757576,0.0037593984962406013,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5857,0.0856956868839916,0.025423728813559324,0.025,0.016597510373443983,0.020491803278688523,0.016,0.012195121951219513,0.012,0.012,0.011904761904761904,0.00398406374501992,0.00390625,0.003861003861003861,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
