Random Generator,bet,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023,02-2024,04-2024,06-2024,08-2024,10-2024,12-2024,02-2025,04-2025,06-2025,08-2025,10-2025,12-2025,02-2026,04-2026,06-2026,08-2026,10-2026,12-2026,02-2027,04-2027,06-2027,08-2027,10-2027,12-2027,02-2028,04-2028,06-2028,08-2028,10-2028,12-2028,02-2029,04-2029,06-2029,08-2029,10-2029,12-2029,02-2030,04-2030,06-2030,08-2030,10-2030,12-2030
1770,0.0860567713098135,0.007751937984496124,0.007662835249042145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,0.186149590619607,0.14225941422594143,0.128099173553719,0.13278008298755187,0.12704918032786885,0.13524590163934427,0.13934426229508196,0.15447154471544716,0.1646586345381526,0.17254901960784313,0.2,0.2441860465116279,0.30038022813688214,0.305019305019305,0.3215686274509804,0.3466135458167331,0.3438735177865613,0.373015873015873,0.39285714285714285,0.3654618473895582,0.3481781376518219,0.368,0.40711462450592883,0.38671875,0.39215686274509803,0.388,0.3426294820717131,0.2972972972972973,0.3192307692307692,0.33976833976833976,0.366412213740458,0.35135135135135137,0.32941176470588235,0.3346153846153846,0.3282442748091603,0.3346153846153846,0.3612167300380228,0.33962264150943394,0.3079710144927536,0.31636363636363635,0.326007326007326,0.31521739130434784,0.3592592592592593,0.3763837638376384,0.3420074349442379,0.36531365313653136,0.4043321299638989,0.48188405797101447,0.5636363636363636,0.5571428571428572,0.5283687943262412,0.4300341296928328,0.4166666666666667,0.44755244755244755,0.493006993006993,0.4664310954063604,0.4142857142857143,0.38162544169611307,0.3649122807017544,0.35587188612099646,0.35335689045936397,0.32978723404255317,0.3215547703180212,0.3485915492957746,0.37894736842105264,0.3957597173144876,0.41134751773049644
1840,0.176258071546908,0.12350597609561753,0.12698412698412698,0.15384615384615385,0.17670682730923695,0.20078740157480315,0.23529411764705882,0.25396825396825395,0.28286852589641437,0.29069767441860467,0.3046875,0.30434782608695654,0.3387096774193548,0.33070866141732286,0.2992125984251969,0.30739299610894943,0.2727272727272727,0.26037735849056604,0.2813688212927757,0.2835820895522388,0.26217228464419473,0.2631578947368421,0.30223880597014924,0.3258426966292135,0.3969465648854962,0.41064638783269963,0.41132075471698115,0.4068441064638783,0.3590733590733591,0.36293436293436293,0.3333333333333333,0.3178294573643411,0.3254901960784314,0.3015267175572519,0.34210526315789475,0.379182156133829,0.39114391143911437,0.38768115942028986,0.3535714285714286,0.3157894736842105,0.3356643356643357,0.323943661971831,0.3240418118466899,0.2867132867132867,0.23693379790940766,0.23943661971830985,0.2222222222222222,0.24731182795698925,0.2791519434628975,0.25,0.24,0.2714285714285714,0.2746478873239437,0.29473684210526313,0.3321678321678322,0.328719723183391,0.3079584775086505,0.32413793103448274,0.34375,0.34275618374558303,0.35815602836879434,0.3473684210526316,0.32167832167832167,0.3473684210526316,0.3832752613240418,0.42402826855123676,0.4787234042553192
8404,0.14833415081375304,0.02112676056338028,0.0313588850174216,0.0313588850174216,0.03484320557491289,0.038869257950530034,0.04609929078014184,0.04946996466431095,0.04659498207885305,0.050359712230215826,0.05714285714285714,0.08960573476702509,0.13427561837455831,0.1368421052631579,0.14084507042253522,0.15845070422535212,0.18661971830985916,0.23049645390070922,0.23826714801444043,0.2673992673992674,0.27956989247311825,0.2785714285714286,0.2733812949640288,0.26071428571428573,0.3041958041958042,0.29473684210526313,0.296028880866426,0.2727272727272727,0.26353790613718414,0.26618705035971224,0.2867383512544803,0.2918149466192171,0.2631578947368421,0.2535211267605634,0.24912280701754386,0.26881720430107525,0.2779783393501805,0.26258992805755393,0.2624113475177305,0.24199288256227758,0.2277580071174377,0.24372759856630824,0.2571428571428571,0.2392857142857143,0.24014336917562723,0.2099644128113879,0.2099644128113879,0.21352313167259787,0.25089605734767023,0.24452554744525548,0.24363636363636362,0.23958333333333334,0.25263157894736843,0.2553191489361702,0.2756183745583039,0.2491103202846975,0.26334519572953735,0.22939068100358423,0.24555160142348753,0.2775800711743772,0.3225806451612903,0.2974910394265233,0.2906574394463668,0.2827586206896552,0.2972027972027972,0.3167259786476868,0.36594202898550726
449,0.0944509079621639,0.014285714285714285,0.014336917562724014,0.010676156583629894,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8649,0.14461703079287,0.044,0.027777777777777776,0.027888446215139442,0.02390438247011952,0.027559055118110236,0.027559055118110236,0.023809523809523808,0.01953125,0.019305019305019305,0.015209125475285171,0.011363636363636364,0.011811023622047244,0.00784313725490196,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,0.11242787910159698,0.06498194945848375,0.06474820143884892,0.06405693950177936,0.06713780918727916,0.07092198581560284,0.07092198581560284,0.06428571428571428,0.05734767025089606,0.061371841155234655,0.06227106227106227,0.05514705882352941,0.055350553505535055,0.04150943396226415,0.03816793893129771,0.03088803088803089,0.04296875,0.043478260869565216,0.043478260869565216,0.0625,0.07224334600760456,0.07518796992481203,0.07518796992481203,0.07633587786259542,0.07196969696969698,0.07142857142857142,0.052434456928838954,0.05223880597014925,0.06870229007633588,0.07604562737642585,0.09022556390977443,0.0842911877394636,0.07984790874524715,0.08955223880597014,0.1037037037037037,0.11481481481481481,0.11764705882352941,0.11231884057971014,0.10218978102189781,0.1079136690647482,0.09386281588447654,0.08424908424908426,0.07011070110701106,0.06273062730627306,0.05555555555555555,0.02973977695167286,0.026415094339622643,0.022900763358778626,0.018796992481203006,0.014925373134328358,0.011278195488721804,0.014492753623188406,0.01056338028169014,0.010714285714285714,0.021505376344086023,0.02120141342756184,0.021505376344086023,0.02867383512544803,0.03296703296703297,0.05947955390334572,0.06741573033707865,0.07894736842105263,0.09125475285171103,0.10266159695817491,0.11742424242424243,0.13584905660377358,0.16666666666666666
5504,0.150418843410444,0.04597701149425287,0.04198473282442748,0.026923076923076925,0.022900763358778626,0.022988505747126436,0.026515151515151516,0.02631578947368421,0.03409090909090909,0.03773584905660377,0.055762081784386616,0.06273062730627306,0.06343283582089553,0.07462686567164178,0.07518796992481203,0.07142857142857142,0.0749063670411985,0.07011070110701106,0.07664233576642336,0.07692307692307693,0.07885304659498207,0.0711743772241993,0.06761565836298933,0.07168458781362007,0.09025270758122744,0.0967741935483871,0.09352517985611511,0.08571428571428572,0.10108303249097472,0.12186379928315412,0.1357142857142857,0.20503597122302158,0.20938628158844766,0.23636363636363636,0.28113879003558717,0.31654676258992803,0.36200716845878134,0.3804347826086957,0.3763440860215054,0.36917562724014336,0.40794223826714804,0.4316546762589928,0.44086021505376344,0.45161290322580644,0.40875912408759124,0.3722627737226277,0.38848920863309355,0.3553113553113553,0.34545454545454546,0.31521739130434784,0.2893772893772894,0.27816901408450706,0.2669039145907473,0.29328621908127206,0.3215547703180212,0.3298245614035088,0.312280701754386,0.3298245614035088,0.33797909407665505,0.35,0.35251798561151076,0.34545454545454546,0.304029304029304,0.2857142857142857,0.3037037037037037,0.3074074074074074,0.2947761194029851
8735,0.155642141960561,0.1875,0.18493150684931506,0.19795221843003413,0.1858108108108108,0.1952054794520548,0.2041522491349481,0.2041522491349481,0.21453287197231835,0.21754385964912282,0.24468085106382978,0.2704626334519573,0.2846715328467153,0.2851985559566787,0.2779783393501805,0.26258992805755393,0.25448028673835127,0.24363636363636362,0.2743682310469314,0.24100719424460432,0.2277580071174377,0.21830985915492956,0.2326388888888889,0.2482758620689655,0.2517241379310345,0.2363013698630137,0.2361111111111111,0.23024054982817868,0.2361111111111111,0.24125874125874125,0.23214285714285715,0.21245421245421245,0.22181818181818183,0.18613138686131386,0.17204301075268819,0.13357400722021662,0.12811387900355872,0.13523131672597866,0.12142857142857143,0.09747292418772563,0.08363636363636363,0.10294117647058823,0.12043795620437957,0.13138686131386862,0.14028776978417265,0.13380281690140844,0.15734265734265734,0.15845070422535212,0.16483516483516483,0.15073529411764705,0.1371841155234657,0.13523131672597866,0.14233576642335766,0.16058394160583941,0.2140221402214022,0.24907063197026022,0.27715355805243447,0.28679245283018867,0.3082706766917293,0.2958801498127341,0.3146067415730337,0.3048327137546468,0.2947761194029851,0.26591760299625467,0.2814814814814815,0.3029197080291971,0.32727272727272727
5704,0.14697888365481002,0.038461538461538464,0.03409090909090909,0.02681992337164751,0.02631578947368421,0.02631578947368421,0.01509433962264151,0.014760147601476014,0.014705882352941176,0.014652014652014652,0.011029411764705883,0.0036496350364963502,0.007326007326007326,0.007246376811594203,0.007272727272727273,0.007272727272727273,0.010830324909747292,0.010714285714285714,0.007194244604316547,0.007220216606498195,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
