Random Generator,bet,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023,02-2024,04-2024,06-2024,08-2024,10-2024,12-2024,02-2025,04-2025,06-2025,08-2025,10-2025,12-2025,02-2026,04-2026,06-2026,08-2026,10-2026,12-2026,02-2027,04-2027,06-2027,08-2027,10-2027,12-2027,02-2028,04-2028,06-2028,08-2028,10-2028,12-2028,02-2029,04-2029,06-2029,08-2029,10-2029,12-2029,02-2030,04-2030,06-2030,08-2030,10-2030,12-2030
1770,0.0860567713098135,0.007751937984496124,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,0.186149590619607,0.15352697095435686,0.13278008298755187,0.14225941422594143,0.1322314049586777,0.12448132780082988,0.09623430962343096,0.0875,0.07083333333333333,0.06097560975609756,0.052,0.043137254901960784,0.03816793893129771,0.03076923076923077,0.01556420233463035,0.00784313725490196,0.0078125,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,0.176258071546908,0.12648221343873517,0.11811023622047244,0.1285140562248996,0.1141732283464567,0.10505836575875487,0.1,0.07782101167315175,0.058823529411764705,0.04980842911877394,0.04669260700389105,0.043137254901960784,0.044,0.047244094488188976,0.03543307086614173,0.0392156862745098,0.03816793893129771,0.03816793893129771,0.02973977695167286,0.025830258302583026,0.018656716417910446,0.026415094339622643,0.02631578947368421,0.026119402985074626,0.022727272727272728,0.01893939393939394,0.022727272727272728,0.019011406844106463,0.015037593984962405,0.011450381679389313,0.011278195488721804,0.01486988847583643,0.018726591760299626,0.014925373134328358,0.01098901098901099,0.01098901098901099,0.007380073800738007,0.007326007326007326,0.007194244604316547,0.01056338028169014,0.01048951048951049,0.003484320557491289,0.007168458781362007,0.010638297872340425,0.024475524475524476,0.028070175438596492,0.024822695035460994,0.028368794326241134,0.028169014084507043,0.0353356890459364,0.036231884057971016,0.04,0.03900709219858156,0.03942652329749104,0.036231884057971016,0.0364963503649635,0.02867383512544803,0.017985611510791366,0.014234875444839857,0.014035087719298246,0.007142857142857143,0.0035971223021582736,0.0,0.0,0.0,0.0,0.0
8404,0.14833415081375304,0.017605633802816902,0.017482517482517484,0.020761245674740483,0.027874564459930314,0.03202846975088968,0.03225806451612903,0.028469750889679714,0.025454545454545455,0.02564102564102564,0.014760147601476014,0.010948905109489052,0.010752688172043012,0.010714285714285714,0.007168458781362007,0.0035714285714285713,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0944509079621639,0.014234875444839857,0.014285714285714285,0.010638297872340425,0.0035842293906810036,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8649,0.14461703079287,0.043824701195219126,0.02390438247011952,0.0199203187250996,0.012048192771084338,0.011857707509881422,0.011857707509881422,0.008064516129032258,0.00398406374501992,0.003952569169960474,0.003861003861003861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,0.11242787910159698,0.0683453237410072,0.05755395683453238,0.050359712230215826,0.04946996466431095,0.04240282685512368,0.03571428571428571,0.028469750889679714,0.014336917562724014,0.014336917562724014,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5504,0.150418843410444,0.0421455938697318,0.038461538461538464,0.023166023166023165,0.015384615384615385,0.011450381679389313,0.00749063670411985,0.007462686567164179,0.007434944237918215,0.007380073800738007,0.0072992700729927005,0.007272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8735,0.155642141960561,0.18556701030927836,0.16666666666666666,0.174496644295302,0.15282392026578073,0.13131313131313133,0.11864406779661017,0.11564625850340136,0.09931506849315068,0.07958477508650519,0.052083333333333336,0.03806228373702422,0.0353356890459364,0.017543859649122806,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5704,0.14697888365481002,0.030534351145038167,0.02631578947368421,0.023166023166023165,0.015037593984962405,0.015037593984962405,0.007547169811320755,0.007246376811594203,0.007246376811594203,0.007220216606498195,0.0035842293906810036,0.0036101083032490976,0.0036231884057971015,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
