"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
744,0.0468149,1.6998,0.00019671,0.000196623844731233,0.000196479451262628,0.000196328928268738,0.000196032237027802,0.000196032229223372,0.000155727441552343,0.000125731237912869,0.000103104042961271,8.58621261429952e-05,7.14943588886558e-05,5.87123927331377e-05,4.39245138165806e-05,3.23789565638982e-05,3.23789565638982e-05,3.23789565638982e-05,3.23789565638982e-05,3.23789565638982e-05,3.23789565638982e-05,3.18357271531242e-05,3.09741999234949e-05,0
683,0.996109,8.08507,4.69255e-05,4.69049475163209e-05,4.68705022125182e-05,4.68345947001916e-05,4.67638185076922e-05,4.67638166459322e-05,3.71490420342864e-05,2.99933974108095e-05,2.45956421533177e-05,2.04825540151651e-05,1.70550990698471e-05,1.40059396329564e-05,1.04782663469064e-05,7.72405432483964e-06,7.72405432483964e-06,7.72405432483964e-06,7.72405432483964e-06,7.72405432483964e-06,7.72405432483964e-06,7.59446603896054e-06,7.3889472752273e-06,0
300,0.610164,28.8146,0.000107101,0.000107054091782623,0.000106975475114019,0.00010689352115556,0.000106731984230159,0.000106731979980948,8.47875792674368e-05,6.84558045432676e-05,5.61361705312139e-05,4.67486125364289e-05,3.89259180078996e-05,3.19666309496812e-05,2.3915201841643e-05,1.76290916931018e-05,1.76290916931018e-05,1.76290916931018e-05,1.76290916931018e-05,1.76290916931018e-05,1.76290916931018e-05,1.73333242530972e-05,1.68642559402482e-05,0
449,0.735101,54.1582,1.01593e-05,1.01548504182706e-05,1.01473930619308e-05,1.01396191396502e-05,1.0124296200684e-05,1.01242957976158e-05,8.04271159047694e-06,6.49352531812419e-06,5.32491944312155e-06,4.43444206255163e-06,3.69240323449505e-06,3.03226481365343e-06,2.26852886592846e-06,1.67224611570134e-06,1.67224611570134e-06,1.67224611570134e-06,1.67224611570134e-06,1.67224611570134e-06,1.67224611570134e-06,1.64419044718995e-06,1.59969594470419e-06,0
391,0.190631,9.57516,0.000211579,0.00021148633238976,0.000211331024445608,0.000211169123654981,0.000210850005989047,0.000210849997594691,0.000167498634315506,0.000135235064746921,0.00011089751566114,9.23523094261033e-05,7.68985052071725e-05,6.31503703018888e-05,4.7244698839908e-05,3.48264310448529e-05,3.48264310448529e-05,3.48264310448529e-05,3.48264310448529e-05,3.48264310448529e-05,3.48264310448529e-05,3.4242139775969e-05,3.33154910559358e-05,0
316,0.839398,16.5659,4.97377e-05,4.97159158257774e-05,4.96794062481074e-05,4.96413468331657e-05,4.95663290916462e-05,4.95663271183127e-05,3.93753483284936e-05,3.17908728175431e-05,2.60696352884694e-05,2.17100537413576e-05,1.80771947236861e-05,1.48453020997559e-05,1.11062187527576e-05,8.18694945802552e-06,8.18694945802552e-06,8.18694945802552e-06,8.18694945802552e-06,8.18694945802552e-06,8.18694945802552e-06,8.0495950710383e-06,7.83175976582184e-06,0
374,0.0819832,3.13192,0.000116298,0.000116247063670139,0.000116161696014138,0.000116072704487813,0.000115897296028973,0.000115897291414873,9.20684764254709e-05,7.43342560459093e-05,6.09567077846062e-05,5.07630194000206e-05,4.22685727722682e-05,3.47116763259542e-05,2.59688531739143e-05,1.91429408289779e-05,1.91429408289779e-05,1.91429408289779e-05,1.91429408289779e-05,1.91429408289779e-05,1.91429408289779e-05,1.88217751840478e-05,1.83124269366205e-05,0
387,0.316052,28.3915,1.22976e-05,1.22922138832129e-05,1.22831869241385e-05,1.22737767692422e-05,1.2255228702522e-05,1.22552282146171e-05,9.73551820056984e-06,7.86026369456203e-06,6.44569304417938e-06,5.36779056710944e-06,4.46956955858438e-06,3.67048711745735e-06,2.74600224244208e-06,2.02421562828628e-06,2.02421562828628e-06,2.02421562828628e-06,2.02421562828628e-06,2.02421562828628e-06,2.02421562828628e-06,1.99025488403365e-06,1.93639530770765e-06,0
343,0.132065,3.70291,9.19001e-05,9.18598494900352e-05,9.17923909256298e-05,9.17220687346341e-05,9.15834588281162e-05,9.15834551819977e-05,7.27536345452924e-05,5.87398370053197e-05,4.81687349831991e-05,4.01135579215793e-05,3.34011424498162e-05,2.74295905821495e-05,2.05209049473597e-05,1.51269856444406e-05,1.51269856444406e-05,1.51269856444406e-05,1.51269856444406e-05,1.51269856444406e-05,1.51269856444406e-05,1.48731966292757e-05,1.44707034232585e-05,0
297,0.132961,5.90332,6.35858e-05,6.35579506192428e-05,6.35112759498511e-05,6.34626199334571e-05,6.33667155569236e-05,6.33667130341694e-05,5.03383353823343e-05,4.06421704421743e-05,3.33280110565136e-05,2.77546234584071e-05,2.31102943694895e-05,1.89785697821704e-05,1.4198441109442e-05,1.04663812530157e-05,1.04663812530157e-05,1.04663812530157e-05,1.04663812530157e-05,1.04663812530157e-05,1.04663812530157e-05,1.02907842997973e-05,1.00122987214446e-05,0
