"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1116,0.252724,22.9718,9.6047e-05,9.6047e-05,9.6047e-05,9.6047e-05,9.60405134298862e-05,9.60371960329218e-05,9.60371960329218e-05,7.71995336949858e-05,6.33227174197013e-05,5.24697169861569e-05,4.3562256054848e-05,3.61065599319203e-05,3.61065599319203e-05,2.7265975383225e-05,2.12475981123579e-05,1.54912525539316e-05,1.13941966429758e-05,1.13941966429758e-05,1.12980986595934e-05,1.09997194054611e-05,1.09997194054611e-05,0
501,0.586409,33.6477,0.00010335,0.00010335,0.00010335,0.00010335,0.000103343020219046,0.000103339450581512,0.000103339450581512,8.30694535735294e-05,6.81375039858207e-05,5.64592881664114e-05,4.68745422893847e-05,3.88519471609104e-05,3.88519471609104e-05,2.93391626584516e-05,2.28631739139399e-05,1.66691406441516e-05,1.22605622565155e-05,1.22605622565155e-05,1.21571573965764e-05,1.1836090669718e-05,1.1836090669718e-05,0
459,0.425751,30.3591,0.000101451,0.000101451,0.000101451,0.000101451,0.000101444148468722,0.000101440644421335,0.000101440644421335,8.15430975760825e-05,6.68855144350798e-05,5.5421879475284e-05,4.60132480870863e-05,3.81380637776635e-05,3.81380637776635e-05,2.88000715129421e-05,2.24430755369436e-05,1.63628542572794e-05,1.20352810980722e-05,1.20352810980722e-05,1.19337762461546e-05,1.16186089456561e-05,1.16186089456561e-05,0
506,0.218409,20.5368,0.000224658,0.000224658,0.000224658,0.000224658,0.000224642827637837,0.000224635068105866,0.000224635068105866,0.000180572978238239,0.000148114517372487,0.000122728889800577,0.000101893961506034,8.44547725716092e-05,8.44547725716092e-05,6.37762709678028e-05,4.96990316899653e-05,3.62346956829589e-05,2.66515084221022e-05,2.66515084221022e-05,2.6426731169812e-05,2.57288094598694e-05,2.57288094598694e-05,0
472,0.534394,18.1054,0.000155093,0.000155093,0.000155093,0.000155093,0.000155082525736164,0.000155077168931189,0.000155077168931189,0.000124658836604542,0.000102251087621412,8.47260801121746e-05,7.03426549326323e-05,5.83034837061159e-05,5.83034837061159e-05,4.40280479360158e-05,3.43098038880957e-05,2.50146785672318e-05,1.83989103246228e-05,1.83989103246228e-05,1.82437349986186e-05,1.7761923659783e-05,1.7761923659783e-05,0
474,0.179015,19.6738,8.97935e-05,8.97935e-05,8.97935e-05,8.97935e-05,8.97874357623505e-05,8.97843343569519e-05,8.97843343569519e-05,7.21731686449416e-05,5.91998545152472e-05,4.90534793611094e-05,4.07259720663945e-05,3.37557069897746e-05,3.37557069897746e-05,2.54907218400742e-05,1.98641935833707e-05,1.44826364821541e-05,1.06523347554952e-05,1.06523347554952e-05,1.0562493591577e-05,1.02835414373616e-05,1.02835414373616e-05,0
459,0.425751,30.3591,0.000101451,0.000101451,0.000101451,0.000101451,0.000101444148468722,0.000101440644421335,0.000101440644421335,8.15430975760825e-05,6.68855144350798e-05,5.5421879475284e-05,4.60132480870863e-05,3.81380637776635e-05,3.81380637776635e-05,2.88000715129421e-05,2.24430755369436e-05,1.63628542572794e-05,1.20352810980722e-05,1.20352810980722e-05,1.19337762461546e-05,1.16186089456561e-05,1.16186089456561e-05,0
459,0.333824,26.2782,9.89027e-05,9.89027e-05,9.89027e-05,9.89027e-05,9.88960205691172e-05,9.88926045382495e-05,9.88926045382495e-05,7.94948548228999e-05,6.52054486256259e-05,5.40297633259423e-05,4.48574629287308e-05,3.71800916736466e-05,3.71800916736466e-05,2.80766560489602e-05,2.18793384679074e-05,1.59518434096404e-05,1.17329725272131e-05,1.17329725272131e-05,1.16340173279766e-05,1.1326766566811e-05,1.1326766566811e-05,0
490,0.0995496,13.862,0.000117762,0.000117762,0.000117762,0.000117762,0.000117754046899229,0.00011774997948118,0.00011774997948118,9.46533622808512e-05,7.76391750786475e-05,6.43324498602123e-05,5.34111257772862e-05,4.42697919841619e-05,4.42697919841619e-05,3.34304641798217e-05,2.60514086739564e-05,1.89936269040791e-05,1.39702789787304e-05,1.39702789787304e-05,1.38524544686563e-05,1.34866154760264e-05,1.34866154760264e-05,0
1065,0.270458,26.9855,0.000220665,0.000220665,0.000220665,0.000220665,0.000220650097306588,0.000220642475690075,0.000220642475690075,0.000177363531425282,0.00014548197694273,0.000120547545459518,0.000100082930568815,8.29537002444344e-05,8.29537002444344e-05,6.26427317661076e-05,4.88156968719841e-05,3.55906717004519e-05,2.61778129688824e-05,2.61778129688824e-05,2.59570308361445e-05,2.5271513765199e-05,2.5271513765199e-05,0
496,0.659714,47.2476,6.36468e-05,6.36468e-05,6.36468e-05,6.36468e-05,6.36425015895268e-05,6.36403032730659e-05,6.36403032730659e-05,5.11572800938917e-05,4.1961626402368e-05,3.47697438032893e-05,2.88670983859121e-05,2.39264838951237e-05,2.39264838951237e-05,1.80681549868402e-05,1.40799986208588e-05,1.02654809941963e-05,7.55051334134488e-06,7.55051334134488e-06,7.48683275654011e-06,7.28910784361302e-06,7.28910784361302e-06,0
459,0.0812111,27.781,0.000179795,0.000179795,0.000179795,0.000179795,0.000179782857477343,0.00017977664748237,0.00017977664748237,0.000144513521095817,0.000118536841113988,9.82205874782771e-05,8.15462828342518e-05,6.75896065776089e-05,6.75896065776089e-05,5.10404910515366e-05,3.97744011016626e-05,2.89988209203216e-05,2.13293448564123e-05,2.13293448564123e-05,2.1149454418166e-05,2.05909039377063e-05,2.05909039377063e-05,0
503,0.121858,16.2749,0.000141156,0.000141156,0.000141156,0.000141156,0.000141146466976678,0.000141141591546046,0.000141141591546046,0.000113456717838656,9.30625787384858e-05,7.71124071641796e-05,6.40215083831678e-05,5.30642037101642e-05,5.30642037101642e-05,4.00715901714213e-05,3.12266490275385e-05,2.27668042260848e-05,1.67455435498859e-05,1.67455435498859e-05,1.66043126218785e-05,1.61657979155753e-05,1.61657979155753e-05,0
484,0.127896,21.8476,7.52955e-05,7.52955e-05,7.52955e-05,7.52955e-05,7.52904148902099e-05,7.52878142357061e-05,7.52878142357061e-05,6.05201358640124e-05,4.96414845802067e-05,4.11333365470153e-05,3.41503831538497e-05,2.83055325346331e-05,2.83055325346331e-05,2.13750065016879e-05,1.66569338310311e-05,1.2144279432721e-05,8.93241572700015e-06,8.93241572700015e-06,8.85708025886715e-06,8.6231675377044e-06,8.6231675377044e-06,0
486,0.551724,33.6567,0.000208884,0.000208884,0.000208884,0.000208884,0.000208869892940835,0.000208862678231916,0.000208862678231916,0.000167894337109367,0.000137714894848323,0.000114111678271434,9.473964094413e-05,7.85249166014476e-05,7.85249166014476e-05,5.9298322716478e-05,4.62094941445518e-05,3.36905348264437e-05,2.47802156399612e-05,2.47802156399612e-05,2.45712207607786e-05,2.39223025007583e-05,2.39223025007583e-05,0
478,0.779771,39.9573,0.000172754,0.000172754,0.000172754,0.000172754,0.000172742332993915,0.000172736366190213,0.000172736366190213,0.000138854188511287,0.000113894788229961,9.43741448272882e-05,7.83528270794424e-05,6.49427119480979e-05,6.49427119480979e-05,4.90416807537314e-05,3.82167851604139e-05,2.78631903516184e-05,2.04940606875867e-05,2.04940606875867e-05,2.03212149868231e-05,1.97845380508608e-05,1.97845380508608e-05,0
470,0.194149,17.1485,0.000244857,0.000244857,0.000244857,0.000244857,0.000244840463490808,0.000244832006299344,0.000244832006299344,0.000196808294084699,0.000161431493115202,0.000133763443856439,0.000111055247231271,9.20481008803003e-05,9.20481008803003e-05,6.95103952690903e-05,5.41674714566579e-05,3.94925570460089e-05,2.90477454518009e-05,2.90477454518009e-05,2.88027584775376e-05,2.80420866290772e-05,2.80420866290772e-05,0
453,0.175896,18.0999,0.000219246,0.000219246,0.000219246,0.000219246,0.000219231193139284,0.000219223620534051,0.000219223620534051,0.00017622298421076,0.000144546446046205,0.000119772356974679,9.94393410622007e-05,8.24202613182483e-05,8.24202613182483e-05,6.22399037853399e-05,4.85017844986519e-05,3.53618036736106e-05,2.60094749152589e-05,2.60094749152589e-05,2.57901125357503e-05,2.51090037249442e-05,2.51090037249442e-05,0
677,0.104994,19.2027,8.92712e-05,8.92712e-05,8.92712e-05,8.92712e-05,8.92651710360766e-05,8.92620876705588e-05,8.92620876705588e-05,7.17533604630213e-05,5.88555079421287e-05,4.87681509991422e-05,4.04890821444037e-05,3.35593608649353e-05,3.35593608649353e-05,2.53424504839396e-05,1.97486499381337e-05,1.43983956291455e-05,1.05903735395631e-05,1.05903735395631e-05,1.05010549528907e-05,1.0223725373919e-05,1.0223725373919e-05,0
490,0.665924,23.6405,0.000224957,0.000224957,0.000224957,0.000224957,0.00022494180744476,0.000224934037585536,0.000224934037585536,0.000180813304959269,0.000148311644742509,0.000122892231137411,0.000102029573389387,8.456717443132e-05,8.456717443132e-05,6.38611515641731e-05,4.97651767214145e-05,3.62829208697282e-05,2.66869792311463e-05,2.66869792311463e-05,2.64619028201417e-05,2.57630522379076e-05,2.57630522379076e-05,0
518,0.727919,58.9335,7.21167e-05,7.21167e-05,7.21167e-05,7.21167e-05,7.21118295716584e-05,7.21093387107084e-05,7.21093387107084e-05,5.79651171990919e-05,4.75457371426632e-05,3.93967832308722e-05,3.27086338066848e-05,2.71105391177477e-05,2.71105391177477e-05,2.04726036931858e-05,1.59537170217652e-05,1.16315763434164e-05,8.55531001533095e-06,8.55531001533095e-06,8.4831550345591e-06,8.25911756169182e-06,8.25911756169182e-06,0
485,0.395764,44.2399,4.16941e-05,4.16941e-05,4.16941e-05,4.16941e-05,4.16912841733424e-05,4.16898440879595e-05,4.16898440879595e-05,3.35123957836487e-05,2.74884557806987e-05,2.27771572979117e-05,1.89104194839655e-05,1.56738942440417e-05,1.56738942440417e-05,1.1836187535537e-05,9.22360386536239e-06,6.72476842700842e-06,4.94623230555766e-06,4.94623230555766e-06,4.90451607361971e-06,4.77498933712906e-06,4.77498933712906e-06,0
489,0.0729649,7.7853,0.000188153,0.000188153,0.000188153,0.000188153,0.000188140293016683,0.000188133794342169,0.000188133794342169,0.000151231416528498,0.000124047177430519,0.000102786496820269,8.53370658478433e-05,7.07315956861807e-05,7.07315956861807e-05,5.34131734076017e-05,4.16233648904648e-05,3.03468681143595e-05,2.23208666690873e-05,2.23208666690873e-05,2.21326137942723e-05,2.15480983819975e-05,2.15480983819975e-05,0
462,0.076435,19.6,0.000236138,0.000236138,0.000236138,0.000236138,0.000236122052331738,0.000236113896288505,0.000236113896288505,0.000189800238296527,0.000155683153519146,0.000129000323067635,0.000107100732144468,8.87704025029807e-05,8.87704025029807e-05,6.70352316578756e-05,5.22386469442665e-05,3.80862847936978e-05,2.80133976790427e-05,2.80133976790427e-05,2.7777134332973e-05,2.70435488975894e-05,2.70435488975894e-05,0
471,0.437899,27.4924,0.000164006,0.000164006,0.000164006,0.000164006,0.000163994923793371,0.00016398925913954,0.00016398925913954,0.00013182282344248,0.00010812732925688,8.95951815676871e-05,7.4385159000608e-05,6.16541117181642e-05,6.16541117181642e-05,4.65582845763136e-05,3.62815452436346e-05,2.64522407400554e-05,1.94562726022456e-05,1.94562726022456e-05,1.92921795450693e-05,1.87826791134762e-05,1.87826791134762e-05,0
459,0.0812111,27.781,0.000179795,0.000179795,0.000179795,0.000179795,0.000179782857477343,0.00017977664748237,0.00017977664748237,0.000144513521095817,0.000118536841113988,9.82205874782771e-05,8.15462828342518e-05,6.75896065776089e-05,6.75896065776089e-05,5.10404910515366e-05,3.97744011016626e-05,2.89988209203216e-05,2.13293448564123e-05,2.13293448564123e-05,2.1149454418166e-05,2.05909039377063e-05,2.05909039377063e-05,0
526,0.91535,37.6875,0.000127569,0.000127569,0.000127569,0.000127569,0.000127560384579811,0.000127555978434764,0.000127555978434764,0.000102535917976987,8.41048209575923e-05,6.96899364499365e-05,5.78591048409726e-05,4.7956497797486e-05,4.7956497797486e-05,3.6214490964451e-05,2.82209214613198e-05,2.05753807724603e-05,1.51336977890801e-05,1.51336977890801e-05,1.50060610732836e-05,1.46097556908104e-05,1.46097556908104e-05,0
615,0.869423,45.4543,0.000108602,0.000108602,0.000108602,0.000108602,0.000108594665523259,0.000108590914485277,0.000108590914485277,8.72908446733666e-05,7.1600089094031e-05,5.93284142568806e-05,4.92565945013233e-05,4.08263102619177e-05,4.08263102619177e-05,3.08301087860006e-05,2.40250257706986e-05,1.75162265334896e-05,1.2883614728419e-05,1.2883614728419e-05,1.27749550806289e-05,1.24375725100407e-05,1.24375725100407e-05,0
