"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
441,0.154712,12.6359,1.70502e-05,1.70502e-05,1.70502e-05,1.70502e-05,1.70502e-05,1.70502e-05,1.70346571665904e-05,1.70315699978658e-05,1.69733956268183e-05,1.69207386389825e-05,1.65399914477767e-05,1.61861185434708e-05,1.58293064506283e-05,1.57973580714973e-05,1.57973580714973e-05,1.57973580714973e-05,1.54847951534274e-05,1.49714548113444e-05,1.43651493735699e-05,1.37819024596187e-05,1.32171790794518e-05,0
359,0.39504,35.106,9.9045e-06,9.9045e-06,9.9045e-06,9.9045e-06,9.9045e-06,9.9045e-06,9.89547113268432e-06,9.89367778934335e-06,9.85988416475011e-06,9.82929560062648e-06,9.60811869036752e-06,9.40255311455621e-06,9.19528015743204e-06,9.17672127125459e-06,9.17672127125459e-06,9.17672127125459e-06,8.99515276050264e-06,8.69695218701015e-06,8.34474797776703e-06,8.00593851751258e-06,7.67788942020801e-06,0
592,0.265645,29.8253,4.53092e-05,4.53092e-05,4.53092e-05,4.53092e-05,4.53092e-05,4.53092e-05,4.52678964758464e-05,4.52596926339457e-05,4.51051000653739e-05,4.49651693904695e-05,4.39533718376092e-05,4.30129900124237e-05,4.20647975878762e-05,4.19798979679467e-05,4.19798979679467e-05,4.19798979679467e-05,4.11492932965991e-05,3.97851427161069e-05,3.81739466983939e-05,3.6624026399887e-05,3.51233305384511e-05,0
1902,0.224333,9.23866,8.37291e-05,8.37291e-05,8.37291e-05,8.37291e-05,8.37291e-05,8.37291e-05,8.36527731854852e-05,8.36376129023886e-05,8.3351933688604e-05,8.30933489095275e-05,8.12235984287597e-05,7.94858205849854e-05,7.77336091503502e-05,7.757671896542e-05,7.757671896542e-05,7.757671896542e-05,7.60418037255188e-05,7.35209227483863e-05,7.05435143525926e-05,6.76793403732306e-05,6.49061306530908e-05,0
371,0.220816,23.7394,2.26165e-05,2.26165e-05,2.26165e-05,2.26165e-05,2.26165e-05,2.26165e-05,2.25958829695951e-05,2.25917879471638e-05,2.25146216580414e-05,2.24447739867302e-05,2.19397260195565e-05,2.14703258635328e-05,2.09970269756739e-05,2.09546485568509e-05,2.09546485568509e-05,2.09546485568509e-05,2.05400446673641e-05,1.98591164760982e-05,1.90548733039697e-05,1.82812164653767e-05,1.753213045304e-05,0
390,0.14446,6.45995,0.000144682,0.000144682,0.000144682,0.000144682,0.000144682,0.000144682,0.000144550108982688,0.000144523912354765,0.000144030265104182,0.000143583436426861,0.000140352549685472,0.000137349708690012,0.000134321926774454,0.000134050824066602,0.000134050824066602,0.000134050824066602,0.000131398525084057,0.000127042499502348,0.00012189760481794,0.000116948376656142,0.000112156332686611,0
641,0.269564,20.8667,0.000114982,0.000114982,0.000114982,0.000114982,0.000114982,0.000114982,0.000114877183278137,0.00011485636423588,0.000114464051797799,0.000114108947120121,0.000111541289641662,0.0001091548651843,0.00010674861962359,0.000106533168278196,0.000106533168278196,0.000106533168278196,0.000104425327346975,0.000100963497033349,9.68747349164127e-05,9.29414733323875e-05,8.91331295183358e-05,0
3454,0.201766,10.2406,0.000178364,0.000178364,0.000178364,0.000178364,0.000178364,0.000178364,0.000178201404726145,0.000178169109517738,0.000177560541083496,0.000177009690596208,0.000173026652742563,0.000169324749732415,0.00016559209955073,0.000165257884075526,0.000165257884075526,0.000165257884075526,0.000161988129332555,0.000156618020080153,0.000150275392832191,0.000144173983314414,0.000138266350501891,0
1581,0.233839,12.9146,0.000207939,0.000207939,0.000207939,0.000207939,0.000207939,0.000207939,0.000207749444379751,0.000207711794218614,0.00020700231746519,0.000206360129022027,0.000201716653274404,0.000197400928071856,0.000193049357429074,0.000192659724814317,0.000192659724814317,0.000192659724814317,0.000188847803510138,0.000182587262437751,0.000175192947624706,0.000168079847482765,0.000161192654666932,0
300,0.316028,27.4209,5.64377e-05,5.64377e-05,5.64377e-05,5.64377e-05,5.64377e-05,5.64377e-05,5.63862518193849e-05,5.6376033012431e-05,5.61834705966901e-05,5.60091712170708e-05,5.47488636691761e-05,5.3577512435094e-05,5.23964322218287e-05,5.22906802050265e-05,5.22906802050265e-05,5.22906802050265e-05,5.12560687517209e-05,4.95568659139606e-05,4.75499402236178e-05,4.56193403271059e-05,4.37500549983213e-05,0
464,0.164286,17.3284,0.000116941,0.000116941,0.000116941,0.000116941,0.000116941,0.000116941,0.000116834397468548,0.000116813223722914,0.000116414227281543,0.000116053072525909,0.000113441668713238,0.000111014585670081,0.000108567343822531,0.000108348221735755,0.000108348221735755,0.000108348221735755,0.000106204468571451,0.000102683657499233,9.8525233304867e-05,9.45249589758634e-05,9.06517306970109e-05,0
325,0.0652137,13.0832,2.97728e-05,2.97728e-05,2.97728e-05,2.97728e-05,2.97728e-05,2.97728e-05,2.97456593406213e-05,2.97402685735334e-05,2.96386853713233e-05,2.95467365397882e-05,2.88818815835806e-05,2.8263954098547e-05,2.76408942471798e-05,2.75851064733009e-05,2.75851064733009e-05,2.75851064733009e-05,2.70393138581345e-05,2.61429267578793e-05,2.50842054210169e-05,2.40657485278609e-05,2.3079637147758e-05,0
327,0.221342,10.4084,0.000165357,0.000165357,0.000165357,0.000165357,0.000165357,0.000165357,0.000165206261809004,0.000165176321693417,0.000164612132447936,0.000164101452131132,0.000160408872965127,0.000156976927191042,0.00015351647644934,0.00015320663327284,0.00015320663327284,0.00015320663327284,0.000150175321825275,0.000145196821928158,0.000139316723848718,0.000133660252959799,0.000128183427821428,0
456,0.618903,14.109,0.000182735,0.000182735,0.000182735,0.000182735,0.000182735,0.000182735,0.000182568420155593,0.000182535333518669,0.000181911851466062,0.00018134750180024,0.000177266855357091,0.000173474233266538,0.000169650110512226,0.000169307704730446,0.000169307704730446,0.000169307704730446,0.000165957821161134,0.000160456111655641,0.000153958051564164,0.000147707120500546,0.000141654714846959,0
416,0.242792,10.2848,0.000105174,0.000105174,0.000105174,0.000105174,0.000105174,0.000105174,0.000105078124176782,0.00010505908100524,0.000104700232938909,0.000104375418799565,0.000102026783294534,9.98439215781044e-05,9.76429295045442e-05,9.74458562252441e-05,9.74458562252441e-05,9.74458562252441e-05,9.5517814774406e-05,9.23512796523404e-05,8.86112902028038e-05,8.5013537042846e-05,8.15300461286241e-05,0
387,0.0371376,6.44628,0.000220302,0.000220302,0.000220302,0.000220302,0.000220302,0.000220302,0.000220101174362423,0.000220061285713354,0.000219309627064746,0.000218629257348601,0.000213709704046175,0.000209137387676608,0.000204527094678438,0.00020411429648139,0.00020411429648139,0.00020411429648139,0.000200075737638876,0.000193442976495806,0.000185609033166544,0.000178073024108744,0.000170776353682737,0
