"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
787,0.172927,3.5237,0.000179386,0.000179386,0.000179076048631566,0.000178741287367673,0.000178523544940781,0.000178124461444143,0.000177978027344788,0.000177642983297008,0.000176867037088118,0.000176124745022795,0.000175026957295452,0.000174365825265,0.000173252704404171,0.000169991322108343,0.000166057209237942,0.000162284198356012,0.000124353170753482,9.67194950078466e-05,7.5897246586046e-05,5.81584404886511e-05,4.45760891520706e-05,0
738,0.707647,7.42383,8.2628e-05,8.2628e-05,8.24852315472167e-05,8.23310352681709e-05,8.22307396974504e-05,8.20469155909973e-05,8.1979465752317e-05,8.18251392185857e-05,8.14677262468476e-05,8.11258149005134e-05,8.06201566867457e-05,8.03156289230844e-05,7.98029080279833e-05,7.8300664283546e-05,7.64885503044422e-05,7.47506424233808e-05,5.72790172756998e-05,4.45505136047872e-05,3.49594599963866e-05,2.6788688195825e-05,2.05324445299928e-05,0
1498,0.706959,5.5941,0.000234986,0.000234986,0.000234579980398343,0.000234141461169657,0.000233856230315935,0.000233333452426128,0.000233141631641501,0.000232702741981151,0.000231686294232484,0.000230713931599604,0.000229275888793044,0.000228409841435348,0.000226951713049616,0.000222679477868681,0.000217526001861835,0.000212583560784487,0.000162895957224519,0.00012669733008102,9.94213059339559e-05,7.61844251873957e-05,5.8392276350933e-05,0
1454,0.344576,9.36991,0.000226587,0.000226587,0.000226195492576236,0.000225772647145145,0.000225497611170865,0.000224993518698471,0.000224808554078766,0.000224385351456185,0.000223405234146953,0.000222467626238837,0.000221080982756204,0.000220245890143716,0.000218839878991827,0.000214720344411287,0.000209751066803416,0.000204985281197495,0.000157073639534407,0.000122168843808006,9.58677344508067e-05,7.34613991894684e-05,5.6305187209148e-05,0
718,0.257399,3.86796,0.000211647,0.000211647,0.000211281306594299,0.000210886341450871,0.000210629439956749,0.000210158584790722,0.000209985815801915,0.000209590517018396,0.00020867502368406,0.000207799236896076,0.000206504021666743,0.000205723990834633,0.000204410684942133,0.000200562771622448,0.000195921143030017,0.000191469589206822,0.000146716998709276,0.000114113648556329,8.95467012375374e-05,6.86177263225756e-05,5.25927081308925e-05,0
742,0.137265,11.557,7.48062e-05,7.48062e-05,7.46769464124438e-05,7.45373467889559e-05,7.44465454804112e-05,7.42801226833913e-05,7.42190578370646e-05,7.40793402891679e-05,7.3755761039441e-05,7.34462159874472e-05,7.29884248092661e-05,7.27127245043574e-05,7.22485392182181e-05,7.08885021122113e-05,6.92479279636947e-05,6.76745353542614e-05,5.18568236206789e-05,4.03332360800507e-05,3.16500987120794e-05,2.42527952620725e-05,1.85887853027974e-05,0
694,0.400434,35.8019,1.41975e-05,1.41975e-05,1.41729689075327e-05,1.41464742365767e-05,1.41292410182329e-05,1.40976555659484e-05,1.4086066043212e-05,1.40595489913331e-05,1.39981367501285e-05,1.39393880651842e-05,1.38525036859185e-05,1.38001784096855e-05,1.37120804899948e-05,1.34539584785502e-05,1.31425932244193e-05,1.28439783827026e-05,9.84192825400285e-06,7.65486175272263e-06,6.00688547827249e-06,4.60294816115875e-06,3.52797334093253e-06,0
942,0.346685,32.6032,3.89829e-05,3.89829e-05,3.89155435552355e-05,3.88427955990171e-05,3.87954773509191e-05,3.87087513408565e-05,3.86769293154378e-05,3.86041199066201e-05,3.84354967505959e-05,3.82741870756309e-05,3.80356235913218e-05,3.78919510425728e-05,3.76500554698658e-05,3.69413148775118e-05,3.60863812226248e-05,3.52664571153412e-05,2.70235537899607e-05,2.10183983250721e-05,1.64934541934107e-05,1.26385819948326e-05,9.68696122220381e-06,0
906,0.298394,18.1451,0.000102568,0.000102568,0.000102390778299546,0.000102199370980609,0.000102074871826597,0.00010184668681727,0.000101762959811246,0.00010157139080423,0.000101127726021284,0.000100703303755578,0.000100075618810163,9.96976016287811e-05,9.90611496177348e-05,9.71963805760123e-05,9.49469626231548e-05,9.27896583734488e-05,7.11017360208885e-05,5.53015573342669e-05,4.33959661725975e-05,3.32534028521733e-05,2.54873864858438e-05,0
791,0.470981,27.2767,5.49154e-05,5.49154e-05,5.48205146500947e-05,5.47180342518966e-05,5.46513768066681e-05,5.45292054563326e-05,5.44843776150311e-05,5.43818106482587e-05,5.414427039183e-05,5.39170326715842e-05,5.35809671360231e-05,5.33785749208834e-05,5.30378154562608e-05,5.20394091518207e-05,5.08350599722681e-05,4.96800289119539e-05,3.80682110822235e-05,2.96087194995925e-05,2.32344087898239e-05,1.78040316569324e-05,1.3646069181662e-05,0
779,0.280287,15.7437,0.000164071,0.000164071,0.00016378751059185,0.000163481329422037,0.000163282176658038,0.000162917164737504,0.000162783232384281,0.00016247679257313,0.000161767092426859,0.000161088173216611,0.000160084108628444,0.000159479420451171,0.000158461331788973,0.000155478388556732,0.000151880148823645,0.000148429257068385,0.000113736574084346,8.84621111203349e-05,6.94175529005561e-05,5.31931894875491e-05,4.07704253579955e-05,0
848,0.140657,16.3808,0.000211886,0.000211886,0.000211519893639124,0.000211124482485739,0.000210867290888488,0.000210395904014548,0.000210222939928298,0.000209827194758063,0.000208910667613152,0.000208033891852764,0.000206737214016167,0.000205956302342991,0.000204641513414548,0.000200789254881922,0.000196142384782483,0.000191685804092081,0.000146882677233854,0.000114242510113568,8.9647820845166e-05,6.86952121201115e-05,5.26520978564416e-05,0
838,0.520483,20.6554,0.000129775,0.000129775,0.000129550768795566,0.000129308589121447,0.000129151065549652,0.000128862352602286,0.000128756416323848,0.000128514032072566,0.000127952681581118,0.000127415677841823,0.000126621494336332,0.000126143205009117,0.000125337928902207,0.000122978514636651,0.000120132420193627,0.000117402873366102,8.99620524150886e-05,6.99707472413862e-05,5.49071007531475e-05,4.20741396453162e-05,3.22481239879922e-05,0
657,0.238625,2.81092,0.000193793,0.000193793,0.000193458155555378,0.000193096508662011,0.000192861278721354,0.000192430143693737,0.000192271949055269,0.000191909996666837,0.0001910717320104,0.000190269824357545,0.000189083870174693,0.000188369640750004,0.000187167121986094,0.000183643808799695,0.00017939373613241,0.000175317704012614,0.000134340327672335,0.000104487312811789,8.19927703814658e-05,6.2829310300788e-05,4.81561216875744e-05,0
719,0.966324,13.8734,6.46387e-05,6.46387e-05,6.45270142858484e-05,6.44063887470194e-05,6.43279289596939e-05,6.41841259961732e-05,6.41313609542079e-05,6.40106335190056e-05,6.37310344744167e-05,6.34635621291792e-05,6.30679929567163e-05,6.28297652523428e-05,6.24286710455101e-05,6.12534872975849e-05,5.98358965067986e-05,5.84763560828313e-05,4.48085541702422e-05,3.48512282004376e-05,2.73482844419378e-05,2.09564067832148e-05,1.60622370412069e-05,0
567,0.490453,9.02505,6.34779e-05,6.34779e-05,6.33682199693938e-05,6.32497606580025e-05,6.31727098736601e-05,6.30314893643047e-05,6.29796718918406e-05,6.28611125139596e-05,6.25865345878487e-05,6.23238655864029e-05,6.1935400156673e-05,6.17014506125849e-05,6.13075593686102e-05,6.01534799017827e-05,5.87613466061184e-05,5.74262211924181e-05,4.40038695203217e-05,3.42253600178307e-05,2.68571562388613e-05,2.05800657213748e-05,1.57737868595443e-05,0
