"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2676,0.146616,12.9468,0.00015412,0.00015412,0.00015412,0.00015412,0.00015412,0.00015412,0.00015412,0.000153936093172089,0.000153936093172089,0.000153579380702059,0.000153524753148803,0.00015310958283952,0.000146313249721658,0.000115962427822478,9.34566959825823e-05,7.59876607399809e-05,6.09019479193657e-05,4.80779207682251e-05,3.66286012314426e-05,3.66052146479943e-05,3.62719532282053e-05,0
2712,0.461422,22.1438,0.000192313,0.000192313,0.000192313,0.000192313,0.000192313,0.000192313,0.000192313,0.000192083518597223,0.000192083518597223,0.000191638407999967,0.000191570243007434,0.000191052187935483,0.00018257163245342,0.000144699470424502,0.000116616516834274,9.48184207104071e-05,7.59942662225343e-05,5.99922734018926e-05,4.57056591527538e-05,4.56764770607301e-05,4.52606289980265e-05,0
2855,0.286515,26.1336,0.00010848,0.00010848,0.00010848,0.00010848,0.00010848,0.00010848,0.00010848,0.000108350554031328,0.000108350554031328,0.000108099475853616,0.000108061025315223,0.000107768800586758,0.000102985085192093,8.16221396975241e-05,6.57810951219214e-05,5.34852156571057e-05,4.28668784732209e-05,3.38404674600121e-05,2.57816679313969e-05,2.57652068843396e-05,2.55306351297412e-05,0
2625,0.289108,26.1381,0.000120412,0.000120412,0.000120412,0.000120412,0.000120412,0.000120412,0.000120412,0.00012026831592939,0.00012026831592939,0.000119989621003739,0.000119946941189681,0.000119622573896135,0.000114312685086194,9.05999731310681e-05,7.30165304740118e-05,5.93681949456435e-05,4.75819189778528e-05,3.75626693196439e-05,2.86174612735561e-05,2.85991896327166e-05,2.83388167149926e-05,0
1168,0.426586,13.7,0.000140841,0.000140841,0.000140841,0.000140841,0.000140841,0.000140841,0.000140841,0.000140672938609202,0.000140672938609202,0.000140346960533731,0.000140297039697836,0.000139917640518432,0.000133706880379237,0.00010597108939103,8.54044544438286e-05,6.94405536353468e-05,5.56546278673202e-05,4.39355206262497e-05,3.34726760059538e-05,3.34513044136917e-05,3.31467568428086e-05,0
1125,0.643767,18.7412,0.000193449,0.000193449,0.000193449,0.000193449,0.000193449,0.000193449,0.000193449,0.000193218163042094,0.000193218163042094,0.000192770423160086,0.000192701855514422,0.000192180740272011,0.000183650089835225,0.000145554215545228,0.000117305374910035,9.53785166265803e-05,7.64431671622981e-05,6.03466499785387e-05,4.59756441709145e-05,4.59462896991944e-05,4.55279852066123e-05,0
1195,0.381769,31.1614,9.60741e-05,9.60741e-05,9.60741e-05,9.60741e-05,9.60741e-05,9.60741e-05,9.60741e-05,9.5959457624089e-05,9.5959457624089e-05,9.57370930411864e-05,9.57030397514493e-05,9.54442341855847e-05,9.12075900926778e-05,7.2287736094339e-05,5.82582919510784e-05,4.73685836795938e-05,3.79645719867632e-05,2.9970431921091e-05,2.28332461560455e-05,2.28186676136314e-05,2.26109217599398e-05,0
1245,0.253907,19.6198,0.000227826,0.000227826,0.000227826,0.000227826,0.000227826,0.000227826,0.000227826,0.000227554141986922,0.000227554141986922,0.000227026836152525,0.000226946083641832,0.000226332363223439,0.000216285767136558,0.000171420036861432,0.000138151214760756,0.000112327827639157,9.00275576607671e-05,7.10705967878384e-05,5.41457805875593e-05,5.41112096573705e-05,5.36185700504095e-05,0
1843,0.455514,41.5471,4.45069e-05,4.45069e-05,4.45069e-05,4.45069e-05,4.45069e-05,4.45069e-05,4.45069e-05,4.44537912354065e-05,4.44537912354065e-05,4.43507795157569e-05,4.43350041261254e-05,4.42151109037128e-05,4.22524602519909e-05,3.34877250120182e-05,2.69885013134388e-05,2.19437789890232e-05,1.75873144682872e-05,1.38839813900812e-05,1.05776375042025e-05,1.0570883907454e-05,1.04746444013263e-05,0
1732,0.0114005,18.5427,0.000170722,0.000170722,0.000170722,0.000170722,0.000170722,0.000170722,0.000170722,0.000170518282497569,0.000170518282497569,0.000170123144512178,0.000170062632410264,0.000169602739433743,0.000162074296775116,0.000128454046215346,0.000103523968670766,8.41731470078576e-05,6.74623822520761e-05,5.3256934787133e-05,4.05742801676248e-05,4.05483743520301e-05,4.01792135934705e-05,0
1742,0.557548,31.3041,0.000154066,0.000154066,0.000154066,0.000154066,0.000154066,0.000154066,0.000154066,0.000153882157608689,0.000153882157608689,0.000153525570122264,0.00015347096170921,0.000153055936865776,0.00014626198502217,0.000115921797332584,9.34239509684176e-05,7.59610364622755e-05,6.08806093183559e-05,4.8061075402786e-05,3.66157674365652e-05,3.65923890472222e-05,3.62592443943465e-05,0
1773,0.26854,9.75013,0.000181471,0.000181471,0.000181471,0.000181471,0.000181471,0.000181471,0.000181471,0.000181254456034468,0.000181254456034468,0.000180834439367916,0.000180770117302533,0.000180281268540556,0.000172278820011932,0.000136541770953626,0.000110042045656989,8.94728573977749e-05,7.170994933088e-05,5.66100983631624e-05,4.31289183368227e-05,4.31013814390486e-05,4.27089775777034e-05,0
684,0.18005,16.4855,0.000158491,0.000158491,0.000158491,0.000158491,0.000158491,0.000158491,0.000158491,0.000158301877387345,0.000158301877387345,0.000157935048188749,0.000157878871342505,0.000157451926380861,0.000150462842341262,0.000119251240254427,9.61072229624672e-05,7.81427481075805e-05,6.26291891233338e-05,4.9441459515162e-05,3.7667425627904e-05,3.76433757771558e-05,3.73006627244452e-05,0
662,0.979869,39.0694,0.000107191,0.000107191,0.000107191,0.000107191,0.000107191,0.000107191,0.000107191,0.000107063092156822,0.000107063092156822,0.00010681499738408,0.000106777003729388,0.000106488251324623,0.000101761377828408,8.06522748554324e-05,6.49994595060276e-05,5.28496842874338e-05,4.2357518163929e-05,3.3438362347955e-05,2.54753204944171e-05,2.54590550436877e-05,2.52272705585554e-05,0
641,0.631102,28.2681,0.000238966,0.000238966,0.000238966,0.000238966,0.000238966,0.000238966,0.000238966,0.000238680848955109,0.000238680848955109,0.000238127759465664,0.000238043058402263,0.000237399328917913,0.000226861484771513,0.000179801956443202,0.000144906389905098,0.000117820317521349,9.44296320172538e-05,7.45457332876959e-05,5.67933449381839e-05,5.67570835944238e-05,5.62403554057313e-05,0
361,0.714691,54.3929,5.10163e-05,5.10163e-05,5.10163e-05,5.10163e-05,5.10163e-05,5.10163e-05,5.10163e-05,5.09554237613239e-05,5.09554237613239e-05,5.08373459623049e-05,5.08192633277008e-05,5.06818350052932e-05,4.84321349712886e-05,3.83855048437573e-05,3.09357308542448e-05,2.51531877537574e-05,2.01595642722472e-05,1.59145966084091e-05,1.21246801778072e-05,1.21169388271897e-05,1.20066237183759e-05,0
348,0.670678,68.8748,3.37244e-05,3.37244e-05,3.37244e-05,3.37244e-05,3.37244e-05,3.37244e-05,3.37244e-05,3.36841576730651e-05,3.36841576730651e-05,3.36061021707014e-05,3.35941486185536e-05,3.35033014242999e-05,3.2016133914567e-05,2.53747943216739e-05,2.04501102906501e-05,1.66275516860849e-05,1.33265095536715e-05,1.05203674484553e-05,8.01503762892332e-06,8.00992019773435e-06,7.9369962331254e-06,0
374,0.877687,39.7164,0.000185515,0.000185515,0.000185515,0.000185515,0.000185515,0.000185515,0.000185515,0.000185293630449131,0.000185293630449131,0.000184864253899185,0.000184798498445368,0.000184298755907562,0.000176117976395752,0.000139584543196775,0.000112494283384433,9.14667199726028e-05,7.33079734509547e-05,5.78716290638288e-05,4.40900269754157e-05,4.40618764302015e-05,4.36607280244648e-05,0
389,0.23898,18.3776,0.000208113,0.000208113,0.000208113,0.000208113,0.000208113,0.000208113,0.000208113,0.000207864664925532,0.000207864664925532,0.000207382985050918,0.000207309219777165,0.000206748602475221,0.000197571303784865,0.0001565876508008,0.000126197465423197,0.00010260848715014,8.22377828143198e-05,6.49211025489076e-05,4.94607324687206e-05,4.94291528421881e-05,4.89791396456105e-05,0
369,0.812737,21.9194,0.000142971,0.000142971,0.000142971,0.000142971,0.000142971,0.000142971,0.000142971,0.000142800396943335,0.000142800396943335,0.000142469488958954,0.000142418813148439,0.000142033676149422,0.000135728987970121,0.000107573736492392,8.66960633358796e-05,7.04907334781716e-05,5.64963171293774e-05,4.45999767074612e-05,3.39788979150051e-05,3.39572031108123e-05,3.3648049733907e-05,0
385,0.0440141,8.24405,8.96687e-05,8.96687e-05,8.96687e-05,8.96687e-05,8.96687e-05,8.96687e-05,8.96687e-05,8.95617009980541e-05,8.95617009980541e-05,8.93541617853535e-05,8.93223788779784e-05,8.90808282556582e-05,8.51266473872074e-05,6.74682075764692e-05,5.4374126881997e-05,4.42104513015515e-05,3.54334187477111e-05,2.79722596287941e-05,2.13109204207232e-05,2.12973138509382e-05,2.11034187155072e-05,0
342,0.142811,16.9691,0.000219267,0.000219267,0.000219267,0.000219267,0.000219267,0.000219267,0.000219267,0.000219005355187934,0.000219005355187934,0.000218497859255115,0.00021842014046638,0.000217829476385109,0.000208160312267835,0.000164980104213284,0.000132961130015656,0.000108107879622848,8.6645389400698e-05,6.84006063657308e-05,5.21116240994986e-05,5.20783519349971e-05,5.16042198837847e-05,0
326,0.337991,21.0696,0.000223683,0.000223683,0.000223683,0.000223683,0.000223683,0.000223683,0.000223683,0.000223416085706024,0.000223416085706024,0.000222898368891634,0.000222819084859743,0.00022221652490457,0.000212352625470345,0.000168302775386811,0.000135638944507345,0.000110285153888536,8.83904127721742e-05,6.97781829172003e-05,5.31611433250245e-05,5.31272010648021e-05,5.26435200749069e-05,0
428,0.618962,32.2495,0.000224612,0.000224612,0.000224612,0.000224612,0.000224612,0.000224612,0.000224612,0.000224343977157859,0.000224343977157859,0.000223824110162541,0.000223744496848292,0.000223139434341748,0.000213234568170782,0.000169001770296278,0.000136202280028807,0.000110743190073505,8.87575157414001e-05,7.00679855929963e-05,5.33819321294886e-05,5.33478489003068e-05,5.28621590870338e-05,0
476,0.336674,24.8264,0.000185192,0.000185192,0.000185192,0.000185192,0.000185192,0.000185192,0.000185192,0.000184971015875458,0.000184971015875458,0.000184542386912637,0.000184476745945582,0.00018397787350906,0.000175811337545116,0.000139341512673893,0.000112298419688596,9.13074673485501e-05,7.31803370041733e-05,5.77708688224056e-05,4.40132618690197e-05,4.39851603366945e-05,4.35847103700869e-05,0
439,0.215966,18.4025,0.000177867,0.000177867,0.000177867,0.000177867,0.000177867,0.000177867,0.000177867,0.000177654756580846,0.000177654756580846,0.00017724308141275,0.000177180036778601,0.000176700896515163,0.000168857375994304,0.000133830061961463,0.000107856619156073,8.76959333820282e-05,7.02857952931082e-05,5.5485826195704e-05,4.22723813601933e-05,4.22453913430755e-05,4.1860780592014e-05,0
389,0.730519,20.5156,0.00023937,0.00023937,0.00023937,0.00023937,0.00023937,0.00023937,0.00023937,0.000239084366873884,0.000239084366873884,0.000238530342321903,0.000238445498061438,0.00023780068027703,0.000227245020671381,0.000180105932700925,0.000145151371122182,0.00011801950656196,9.45892763655501e-05,7.46717615772778e-05,5.6889360736896e-05,5.68530380890889e-05,5.63354363108974e-05,0
397,0.277807,17.5469,0.000191476,0.000191476,0.000191476,0.000191476,0.000191476,0.000191476,0.000191476,0.000191247517364514,0.000191247517364514,0.000190804344013154,0.000190736475693746,0.00019022067534246,0.000181777029611368,0.00014406969783115,0.000116108969114722,9.44057444059731e-05,7.56635179068808e-05,5.97311702375855e-05,4.55067353321548e-05,4.5477680248763e-05,4.50636420732146e-05,0
388,0.404568,19.6859,0.00024381,0.00024381,0.00024381,0.00024381,0.00024381,0.00024381,0.00024381,0.000243519068753485,0.000243519068753485,0.000242954767771664,0.000242868349761287,0.000242211571451488,0.000231460118184774,0.000183446661869961,0.0001478437389535,0.000120208613839961,9.63437835596974e-05,7.60568249578314e-05,5.79445838712563e-05,5.79075874859037e-05,5.73803848726235e-05,0
369,0.49894,41.1106,4.24247e-05,4.24247e-05,4.24247e-05,4.24247e-05,4.24247e-05,4.24247e-05,4.24247e-05,4.23740758629505e-05,4.23740758629505e-05,4.2275883418574e-05,4.22608460609395e-05,4.21465618939253e-05,4.02757314136154e-05,3.19210434183771e-05,2.57258778228151e-05,2.09171665623895e-05,1.67645138197166e-05,1.32344365767955e-05,1.00827758802464e-05,1.0076338242128e-05,9.98460118168078e-06,0
