"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
637,0.516938,38.8345,7.97132e-05,7.96935692284241e-05,7.96935692284241e-05,7.95524140140713e-05,7.94951394758246e-05,7.94951394758246e-05,7.93601488634228e-05,7.9248765709175e-05,7.90348241537173e-05,7.85979845515315e-05,7.85827736174646e-05,7.8386741039673e-05,7.8386741039673e-05,7.69121644102399e-05,7.49930344153833e-05,7.33178295982427e-05,5.66280060835023e-05,4.41109875059146e-05,3.48868370925385e-05,2.72891844599314e-05,2.14157649979852e-05,0
591,0.630879,50.8176,9.2901e-06,9.28781215017065e-06,9.28781215017065e-06,9.27136134833533e-06,9.26468634108728e-06,9.26468634108728e-06,9.24895398699443e-06,9.23597294193191e-06,9.21103932435844e-06,9.1601282633514e-06,9.1583555193319e-06,9.13550908673427e-06,9.13550908673427e-06,8.96365593888552e-06,8.73999273674061e-06,8.54475756525436e-06,6.59965776454019e-06,5.1408735946957e-06,4.06585365125715e-06,3.1803923635133e-06,2.49588021065246e-06,0
394,0.586307,20.9109,4.56636e-05,4.56523545387598e-05,4.56523545387598e-05,4.55714939630193e-05,4.55386843203919e-05,4.55386843203919e-05,4.54613551286336e-05,4.53975494377027e-05,4.52749933038153e-05,4.50247503219958e-05,4.50160367587609e-05,4.49037397587754e-05,4.49037397587754e-05,4.40590305089173e-05,4.29596594582866e-05,4.20000206194497e-05,3.24392775424223e-05,2.5268920192328e-05,1.99848779657427e-05,1.56325728173568e-05,1.22679923345443e-05,0
412,0.435043,14.6246,7.10608e-05,7.104330003346e-05,7.104330003346e-05,7.09174663891441e-05,7.08664086658631e-05,7.08664086658631e-05,7.07460704921383e-05,7.06467773255438e-05,7.04560578702458e-05,7.00666346429383e-05,7.00530747664869e-05,6.98783203744423e-05,6.98783203744423e-05,6.85638003834142e-05,6.68529806855661e-05,6.53596095190609e-05,5.04813683894078e-05,3.93229987123876e-05,3.11000756871567e-05,2.43271036549818e-05,1.90912094028194e-05,0
412,0.622147,43.0078,3.67489e-05,3.67398499397645e-05,3.67398499397645e-05,3.66747754118729e-05,3.66483710487489e-05,3.66483710487489e-05,3.65861384885695e-05,3.65347892967526e-05,3.64361592476847e-05,3.62347700818155e-05,3.62277576284837e-05,3.61373838685794e-05,3.61373838685794e-05,3.54575834202549e-05,3.45728376533307e-05,3.38005448046605e-05,2.61063027549016e-05,2.03357821384175e-05,1.60833197968465e-05,1.25806956790039e-05,9.87296716647251e-06,0
577,0.132098,8.22429,3.97388e-05,3.97290136245252e-05,3.97290136245252e-05,3.96586446162289e-05,3.96300919872982e-05,3.96300919872982e-05,3.95627961699416e-05,3.95072691946097e-05,3.94006145792634e-05,3.91828403388197e-05,3.91752573504727e-05,3.90775307581098e-05,3.90775307581098e-05,3.83424215696477e-05,3.73856926585062e-05,3.65505658641059e-05,2.82303182929688e-05,2.19903066280119e-05,1.73918628514847e-05,1.36042643303282e-05,1.06762343263341e-05,0
524,0.440449,34.3095,1.16685e-05,1.1665626427516e-05,1.1665626427516e-05,1.16449639824169e-05,1.16365800767459e-05,1.16365800767459e-05,1.16168200124051e-05,1.16005156320096e-05,1.15691986476224e-05,1.15052536184665e-05,1.15030270263317e-05,1.14743315764695e-05,1.14743315764695e-05,1.12584815365697e-05,1.09775573189371e-05,1.07323391190806e-05,8.28926562959895e-06,6.45701160802433e-06,5.10677100673772e-06,3.99461881935124e-06,3.13486165251163e-06,0
529,0.583566,39.983,3.24364e-05,3.24284119684175e-05,3.24284119684175e-05,3.23709739657425e-05,3.23476681665475e-05,3.23476681665475e-05,3.22927386253911e-05,3.22474152844082e-05,3.21603595161107e-05,3.19826034597444e-05,3.19764139209758e-05,3.18966455625825e-05,3.18966455625825e-05,3.1296620003667e-05,3.05156995517824e-05,2.9834035617444e-05,2.30427163446821e-05,1.79493689268132e-05,1.41959349601875e-05,1.1104345363329e-05,8.7143700137574e-06,0
743,0.661622,21.6063,5.88056e-05,5.87911180910943e-05,5.87911180910943e-05,5.86869858134647e-05,5.86447335442506e-05,5.86447335442506e-05,5.85451489841444e-05,5.84629799931186e-05,5.83051521611708e-05,5.79828891619398e-05,5.7971667832168e-05,5.78270517164359e-05,5.78270517164359e-05,5.67392348499722e-05,5.5323464427689e-05,5.40876411964696e-05,4.17753129286493e-05,3.25413242333492e-05,2.57365328117424e-05,2.01316327242783e-05,1.57987248054967e-05,0
775,0.407409,22.9667,1.3398e-06,1.3394700507851e-06,1.3394700507851e-06,1.33709754841172e-06,1.33613489195905e-06,1.33613489195905e-06,1.33386600270989e-06,1.33199390185255e-06,1.32839802443197e-06,1.32105573107267e-06,1.32080006940731e-06,1.31750520171006e-06,1.31750520171006e-06,1.29272087780743e-06,1.26046460949668e-06,1.23230817600756e-06,9.51789697950608e-07,7.41406706297381e-07,5.8636943864483e-07,4.58669948508102e-07,3.59950948453964e-07,0
485,0.513984,3.02176,5.25694e-05,5.25564538645635e-05,5.25564538645635e-05,5.24633645779033e-05,5.24255930656455e-05,5.24255930656455e-05,5.2336569221419e-05,5.22631140648212e-05,5.21220235151321e-05,5.18339357732882e-05,5.18239044399917e-05,5.16946245340921e-05,5.16946245340921e-05,5.07221681697343e-05,4.9456536977515e-05,4.83517699864246e-05,3.73451361004961e-05,2.9090390883736e-05,2.30072321002355e-05,1.79967189066292e-05,1.41233060081026e-05,0
