"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
3834,0.955974,13.1353,2.39151e-05,2.39151e-05,2.38238537310551e-05,2.38238537310551e-05,2.38061879291391e-05,2.38017347039404e-05,2.38017347039404e-05,2.37543887718888e-05,2.36814031883055e-05,2.36228217902182e-05,2.35602970726635e-05,2.34999442025512e-05,2.34255441164249e-05,2.33128380135493e-05,2.3233360755131e-05,2.3130996869206e-05,2.29958070503492e-05,1.8310276398565e-05,1.49602612756508e-05,1.24478285009894e-05,1.04703332551171e-05,0
4251,0.262113,12.7157,2.1182e-06,2.1182e-06,2.11011816689543e-06,2.11011816689543e-06,2.10855347757285e-06,2.1081590480444e-06,2.1081590480444e-06,2.10396554045833e-06,2.09750108648798e-06,2.09231243507408e-06,2.08677451732653e-06,2.0814289637026e-06,2.07483922490021e-06,2.06485665877626e-06,2.05781722641839e-06,2.04875068757196e-06,2.03677670150029e-06,1.62177149447171e-06,1.32505510886776e-06,1.10252477852051e-06,9.27374750721885e-07,0
3885,0.473153,2.68916,2.37687e-05,2.37687e-05,2.36780123092661e-05,2.36780123092661e-05,2.3660454651301e-05,2.36560286872122e-05,2.36560286872122e-05,2.36089725906392e-05,2.35364337996445e-05,2.34782110166865e-05,2.34160690539038e-05,2.33560856432622e-05,2.32821410088215e-05,2.31701248538643e-05,2.30911341278306e-05,2.29893968783362e-05,2.2855034644958e-05,1.81981871969832e-05,1.48686797120882e-05,1.2371627184978e-05,1.04062374834686e-05,0
3527,0.277254,21.3457,7.489e-06,7.489e-06,7.46042628263613e-06,7.46042628263613e-06,7.45489424678645e-06,7.45349972184142e-06,7.45349972184142e-06,7.43867337007479e-06,7.41581797597417e-06,7.39747324439136e-06,7.37789366455405e-06,7.35899419751144e-06,7.33569585274181e-06,7.3004020005549e-06,7.27551374216188e-06,7.24345854934681e-06,7.20112393425346e-06,5.73385266834984e-06,4.68479733278759e-06,3.89803043449159e-06,3.27877891991134e-06,0
3717,0.62339,0.290916,0.000100475,0.000100475,0.000100091645179312,0.000100091645179312,0.000100017425483492,9.99987160571527e-05,9.99987160571527e-05,9.97998006220142e-05,9.9493164793164e-05,9.92470455641904e-05,9.89843591862823e-05,9.87307974355671e-05,9.84182188281791e-05,9.79447043671724e-05,9.76107949317285e-05,9.71807314388598e-05,9.66127556808808e-05,7.69273396785219e-05,6.28528524518405e-05,5.22973171191805e-05,4.39892257949114e-05,0
3923,0.117282,0.824486,5.8651e-06,5.8651e-06,5.84272215119364e-06,5.84272215119364e-06,5.83838967109456e-06,5.83729753219016e-06,5.83729753219016e-06,5.82568609731949e-06,5.80778662183017e-06,5.79341972568831e-06,5.77808574335371e-06,5.76328439949584e-06,5.74503802188757e-06,5.71739721904855e-06,5.69790568155343e-06,5.6728012735711e-06,5.6396464129777e-06,4.49053535654142e-06,3.66895511236914e-06,3.05278919766813e-06,2.56781496103245e-06,0
3877,0.648732,25.0496,7.1074e-06,7.1074e-06,7.08028224879264e-06,7.08028224879264e-06,7.07503209635599e-06,7.07370862905805e-06,7.07370862905805e-06,7.05963775009608e-06,7.0379469465134e-06,7.02053696584152e-06,7.00195505827901e-06,6.98401860854491e-06,6.96190742472655e-06,6.92841196137588e-06,6.90479187755927e-06,6.87437004855488e-06,6.83419258249607e-06,5.44168573307914e-06,4.44608473268187e-06,3.69940733210116e-06,3.11170961348349e-06,0
3686,0.227489,22.0918,1.18037e-05,1.18037e-05,1.17586638686543e-05,1.17586638686543e-05,1.17499446148742e-05,1.17477466506476e-05,1.17477466506476e-05,1.17243782692418e-05,1.16883550064102e-05,1.16594411716948e-05,1.1628581045306e-05,1.15987928707659e-05,1.15620714564039e-05,1.1506443462939e-05,1.14672161247638e-05,1.14166927064928e-05,1.13499674966948e-05,9.0373450048606e-06,7.38388867365801e-06,6.14383520357971e-06,5.16780915168346e-06,0
3796,0.956975,53.3714,5.681e-07,5.681e-07,5.65932457092481e-07,5.65932457092481e-07,5.65512808332138e-07,5.65407022563508e-07,5.65407022563508e-07,5.64282326283814e-07,5.62548563513277e-07,5.61156970241518e-07,5.59671703943538e-07,5.582380295909e-07,5.56470665501752e-07,5.53793347111129e-07,5.5190537547365e-07,5.49473735062615e-07,5.46262319007797e-07,4.349581654279e-07,3.55379004507495e-07,2.95696500178218e-07,2.48721365255926e-07,0
3761,0.296132,26.4608,2.03849e-05,2.03849e-05,2.03071229441727e-05,2.03071229441727e-05,2.02920648593026e-05,2.02882689918234e-05,2.02882689918234e-05,2.02479119751152e-05,2.01857000745675e-05,2.01357661022291e-05,2.00824708989942e-05,2.00310269484378e-05,1.99676093455143e-05,1.98715402244775e-05,1.98037949102144e-05,1.97165413516597e-05,1.96013074225348e-05,1.56074259926619e-05,1.27519195018216e-05,1.06103566035609e-05,8.9247670456003e-06,0
