"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
325,0.683567,26.1893,7.64914e-05,7.64392742283397e-05,7.64392742283397e-05,7.63995014768379e-05,7.63995014768379e-05,7.63995014768379e-05,7.62079311941651e-05,7.61144072702779e-05,7.45361735272097e-05,7.27377202863581e-05,7.07588850326958e-05,6.89772313194761e-05,6.89772313194761e-05,6.74214093217021e-05,6.56068835745541e-05,6.41171568735836e-05,6.41171568735836e-05,6.41171568735836e-05,6.41171568735836e-05,6.41171568735836e-05,6.41171568735836e-05,0
290,0.32076,24.3537,0.000127826,0.000127738891790603,0.000127738891790603,0.000127672426910454,0.000127672426910454,0.000127672426910454,0.000127352290751971,0.000127196001429318,0.000124558589819105,0.000121553165889551,0.000118246302697942,0.000115268952727279,0.000115268952727279,0.000112668993742511,0.000109636710791029,0.000107147204712199,0.000107147204712199,0.000107147204712199,0.000107147204712199,0.000107147204712199,0.000107147204712199,0
276,0.159484,14.274,2.8117e-06,2.80978394104203e-06,2.80978394104203e-06,2.80832195910161e-06,2.80832195910161e-06,2.80832195910161e-06,2.80128014572401e-06,2.79784235772702e-06,2.73982904099618e-06,2.67372081213251e-06,2.600982032574e-06,2.53549132714228e-06,2.53549132714228e-06,2.47830182987669e-06,2.41160280170808e-06,2.3568428605236e-06,2.3568428605236e-06,2.3568428605236e-06,2.3568428605236e-06,2.3568428605236e-06,2.3568428605236e-06,0
307,0.146854,3.62196,7.80392e-05,7.79860194657209e-05,7.79860194657209e-05,7.79454419144015e-05,7.79454419144015e-05,7.79454419144015e-05,7.77499952157718e-05,7.76545788395384e-05,7.60444096084609e-05,7.42095647480783e-05,7.219068785306e-05,7.0372982457987e-05,7.0372982457987e-05,6.87856784728502e-05,6.69344358797374e-05,6.54145646267289e-05,6.54145646267289e-05,6.54145646267289e-05,6.54145646267289e-05,6.54145646267289e-05,6.54145646267289e-05,0
289,0.542347,10.2735,4.42446e-05,4.42144491083076e-05,4.42144491083076e-05,4.41914435223058e-05,4.41914435223058e-05,4.41914435223058e-05,4.40806343263864e-05,4.40265376749613e-05,4.31136465438204e-05,4.2073374771305e-05,4.09287653869273e-05,3.98982108947894e-05,3.98982108947894e-05,3.89982832955728e-05,3.79487147705849e-05,3.70870183969565e-05,3.70870183969565e-05,3.70870183969565e-05,3.70870183969565e-05,3.70870183969565e-05,3.70870183969565e-05,0
318,0.267458,21.7144,0.000105369,0.000105297195320859,0.000105297195320859,0.000105242407265561,0.000105242407265561,0.000105242407265561,0.000104978513950561,0.000104849682182074,0.000102675621944278,0.000100198203312441,9.74723035139914e-05,9.50180266919142e-05,9.50180266919142e-05,9.28748392475289e-05,9.03752802977484e-05,8.83231409362705e-05,8.83231409362705e-05,8.83231409362705e-05,8.83231409362705e-05,8.83231409362705e-05,8.83231409362705e-05,0
288,0.240543,32.8223,2.43834e-05,2.43667837066559e-05,2.43667837066559e-05,2.43541052237288e-05,2.43541052237288e-05,2.43541052237288e-05,2.42930377726098e-05,2.42632248623256e-05,2.37601264139938e-05,2.31868279156923e-05,2.25560284856367e-05,2.1988085224683e-05,2.1988085224683e-05,2.14921310376695e-05,2.09137090568585e-05,2.04388242718965e-05,2.04388242718965e-05,2.04388242718965e-05,2.04388242718965e-05,2.04388242718965e-05,2.04388242718965e-05,0
310,0.818194,29.8505,1.3802e-05,1.37925944995064e-05,1.37925944995064e-05,1.37854179604938e-05,1.37854179604938e-05,1.37854179604938e-05,1.37508512897119e-05,1.37339759651984e-05,1.34492017014011e-05,1.31246913429786e-05,1.27676331093596e-05,1.2446154033936e-05,1.2446154033936e-05,1.21654237137526e-05,1.18380132550325e-05,1.15692090766962e-05,1.15692090766962e-05,1.15692090766962e-05,1.15692090766962e-05,1.15692090766962e-05,1.15692090766962e-05,0
266,0.940636,9.48119,6.77381e-05,6.76919392455452e-05,6.76919392455452e-05,6.76567178923146e-05,6.76567178923146e-05,6.76567178923146e-05,6.74870699715716e-05,6.74042484660342e-05,6.60066200383767e-05,6.4413972950284e-05,6.26615858806774e-05,6.10838158648137e-05,6.10838158648137e-05,5.97060344924317e-05,5.80991541566961e-05,5.67799044600896e-05,5.67799044600896e-05,5.67799044600896e-05,5.67799044600896e-05,5.67799044600896e-05,5.67799044600896e-05,0
311,0.850567,20.4298,0.00012906,0.000128972050869895,0.000128972050869895,0.000128904944354538,0.000128904944354538,0.000128904944354538,0.000128581717682235,0.000128423919581836,0.000125761047064398,0.000122726609529403,0.000119387822713661,0.000116381730156483,0.000116381730156483,0.0001137566718227,0.000110695115975547,0.000108181576832228,0.000108181576832228,0.000108181576832228,0.000108181576832228,0.000108181576832228,0.000108181576832228,0
314,0.0892586,6.05887,8.80268e-05,8.79668133233698e-05,8.79668133233698e-05,8.7921042582582e-05,8.7921042582582e-05,8.7921042582582e-05,8.77005822568619e-05,8.75929543177311e-05,8.57767126741697e-05,8.37070410020366e-05,8.14297845378187e-05,7.93794458712125e-05,7.93794458712125e-05,7.75889958097199e-05,7.55008277929357e-05,7.37864406283527e-05,7.37864406283527e-05,7.37864406283527e-05,7.37864406283527e-05,7.37864406283527e-05,7.37864406283527e-05,0
292,0.847043,52.1548,1.55429e-05,1.55323081471075e-05,1.55323081471075e-05,1.55242264032864e-05,1.55242264032864e-05,1.55242264032864e-05,1.54852997037286e-05,1.54662958288278e-05,1.51456018783297e-05,1.47801597648734e-05,1.43780643859922e-05,1.40160359030621e-05,1.40160359030621e-05,1.36998959745316e-05,1.33311879598352e-05,1.3028478463859e-05,1.3028478463859e-05,1.3028478463859e-05,1.3028478463859e-05,1.3028478463859e-05,1.3028478463859e-05,0
291,0.126532,11.6177,5.67239e-05,5.66852449739568e-05,5.66852449739568e-05,5.66557506049308e-05,5.66557506049308e-05,5.66557506049308e-05,5.65136873983833e-05,5.64443326512329e-05,5.52739582951821e-05,5.3940275269525e-05,5.24728259478338e-05,5.11516009857688e-05,5.11516009857688e-05,4.99978465582183e-05,4.86522446078206e-05,4.75475046185777e-05,4.75475046185777e-05,4.75475046185777e-05,4.75475046185777e-05,4.75475046185777e-05,4.75475046185777e-05,0
295,0.671483,0.329278,0.000216145,0.000215997705991582,0.000215997705991582,0.000215885318437251,0.000215885318437251,0.000215885318437251,0.000215343990147426,0.000215079715620765,0.000210620033455248,0.000205538067695125,0.000199946388814848,0.000194911894193964,0.000194911894193964,0.000190515541849663,0.000185388159325388,0.000181178575270432,0.000181178575270432,0.000181178575270432,0.000181178575270432,0.000181178575270432,0.000181178575270432,0
308,0.264879,22.2148,1.46854e-05,1.46753924984097e-05,1.46753924984097e-05,1.4667756623463e-05,1.4667756623463e-05,1.4667756623463e-05,1.46309775054293e-05,1.46130220721145e-05,1.43100207698707e-05,1.3964740055657e-05,1.35848282324438e-05,1.3242772819154e-05,1.3242772819154e-05,1.29440742940111e-05,1.25957078579521e-05,1.23096988099489e-05,1.23096988099489e-05,1.23096988099489e-05,1.23096988099489e-05,1.23096988099489e-05,1.23096988099489e-05,0
306,0.221257,16.0802,2.75043e-05,2.74855569404995e-05,2.74855569404995e-05,2.74712557028554e-05,2.74712557028554e-05,2.74712557028554e-05,2.7402372056776e-05,2.73687433081876e-05,2.68012518733405e-05,2.615457528653e-05,2.54430380618576e-05,2.48024021442969e-05,2.48024021442969e-05,2.42429693848837e-05,2.35905135466158e-05,2.30548469213285e-05,2.30548469213285e-05,2.30548469213285e-05,2.30548469213285e-05,2.30548469213285e-05,2.30548469213285e-05,0
322,0.176961,8.00854,4.92142e-05,4.91806625284457e-05,4.91806625284457e-05,4.91550729308314e-05,4.91550729308314e-05,4.91550729308314e-05,4.90318175294985e-05,4.89716446852968e-05,4.7956216662302e-05,4.67991004703389e-05,4.55259273562269e-05,4.43796198997922e-05,4.43796198997922e-05,4.337861148626e-05,4.22111543208102e-05,4.12526713043286e-05,4.12526713043286e-05,4.12526713043286e-05,4.12526713043286e-05,4.12526713043286e-05,4.12526713043286e-05,0
280,0.196935,17.8894,7.5976e-06,7.59242254524343e-06,7.59242254524343e-06,7.58847206902245e-06,7.58847206902245e-06,7.58847206902245e-06,7.56944412104875e-06,7.56015474519571e-06,7.40339478673849e-06,7.22476126267311e-06,7.02821107895017e-06,6.85124618810549e-06,6.85124618810549e-06,6.69671230311596e-06,6.51648235809558e-06,6.36851346769361e-06,6.36851346769361e-06,6.36851346769361e-06,6.36851346769361e-06,6.36851346769361e-06,6.36851346769361e-06,0
312,0.144073,14.25,5.7e-09,5.69611568230593e-09,5.69611568230593e-09,5.69315188920553e-09,5.69315188920553e-09,5.69315188920553e-09,5.67887642018241e-09,5.6719071874823e-09,5.55430007955267e-09,5.42028261519911e-09,5.27282341134253e-09,5.14005781723193e-09,5.14005781723193e-09,5.02412079179753e-09,4.88890563350858e-09,4.77789390937317e-09,4.77789390937317e-09,4.77789390937317e-09,4.77789390937317e-09,4.77789390937317e-09,4.77789390937317e-09,0
319,0.241889,28.6852,4.96245e-05,4.95906829257177e-05,4.95906829257177e-05,4.95648799869965e-05,4.95648799869965e-05,4.95648799869965e-05,4.94405970023407e-05,4.93799224956519e-05,4.83560288241687e-05,4.71892657259558e-05,4.59054781361697e-05,4.47496138861799e-05,4.47496138861799e-05,4.37402600407994e-05,4.25630697561485e-05,4.15965958431033e-05,4.15965958431033e-05,4.15965958431033e-05,4.15965958431033e-05,4.15965958431033e-05,4.15965958431033e-05,0
398,0.0661338,4.79536,9.89695e-05,9.89020563192942e-05,9.89020563192942e-05,9.88505957717065e-05,9.88505957717065e-05,9.88505957717065e-05,9.86027298012707e-05,9.84817225248298e-05,9.64397020567173e-05,9.4112747418412e-05,9.15524029138359e-05,8.92471845864097e-05,8.92471845864097e-05,8.72341618778607e-05,8.48864115957066e-05,8.2958907239247e-05,8.2958907239247e-05,8.2958907239247e-05,8.2958907239247e-05,8.2958907239247e-05,8.2958907239247e-05,0
