"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
6555,0.15091,11.0938,0.000186239,0.000186239,0.000186239,0.000186239,0.000149878335045893,0.000122913541882362,0.000102807402666575,8.56000783990054e-05,8.56000783990054e-05,8.56000783990054e-05,6.61576945647936e-05,5.22226362252608e-05,4.15069943180008e-05,3.1606438706801e-05,3.1606438706801e-05,2.21935606474916e-05,1.57173233194384e-05,1.56891318275551e-05,1.53045957349586e-05,1.4861377985899e-05,1.40738893986077e-05,0
7352,0.969237,31.5366,0.00014005,0.00014005,0.00014005,0.00014005,0.000112707117323317,9.24298430544879e-05,7.73102129170251e-05,6.4370464724256e-05,6.4370464724256e-05,6.4370464724256e-05,4.97499724751494e-05,3.92709378988707e-05,3.12128746086266e-05,2.37677486503229e-05,2.37677486503229e-05,1.66893516861731e-05,1.18192813045997e-05,1.17980815642754e-05,1.15089139905226e-05,1.11756183555816e-05,1.05834342445729e-05,0
7883,0.989245,43.706,9.69347e-05,9.69347e-05,9.69347e-05,9.69347e-05,7.8009500932528e-05,6.39747169406203e-05,5.35097629135876e-05,4.45536000493133e-05,4.45536000493133e-05,4.45536000493133e-05,3.44341210773785e-05,2.71811251977555e-05,2.16037889062823e-05,1.64506932173828e-05,1.64506932173828e-05,1.15514266254458e-05,8.1806389680613e-06,8.16596570516652e-06,7.96582024274985e-06,7.73513182872397e-06,7.32525543354086e-06,0
7458,0.0519276,13.4019,0.000238169,0.000238169,0.000238169,0.000238169,0.00019166969957713,0.000157186171299138,0.000131473731526133,0.000109468398521323,0.000109468398521323,0.000109468398521323,8.46047925343367e-05,6.67841485786229e-05,5.30806078733452e-05,4.04194282634684e-05,4.04194282634684e-05,2.83819079024932e-05,2.00998672548034e-05,2.00638149809491e-05,1.95720566669674e-05,1.90052541815816e-05,1.79981860092515e-05,0
6914,0.0436948,10.3667,0.000170735,0.000170735,0.000170735,0.000170735,0.00013740128294321,0.000112681251366712,9.42489054079848e-05,7.84740542284601e-05,7.84740542284601e-05,7.84740542284601e-05,6.06502074298081e-05,4.78752130108082e-05,3.80516254645045e-05,2.89752700165147e-05,2.89752700165147e-05,2.0345994003133e-05,1.44088896361359e-05,1.43830450258948e-05,1.40305207438192e-05,1.36241999281701e-05,1.29022680881624e-05,0
7542,0.739909,40.5308,0.00010367,0.00010367,0.00010367,0.00010367,8.34298240121976e-05,6.84198631164496e-05,5.72277741742805e-05,4.76493115170555e-05,4.76493115170555e-05,4.76493115170555e-05,3.68267022241966e-05,2.90697474614489e-05,2.31048819041508e-05,1.7593734398993e-05,1.7593734398993e-05,1.23540527619105e-05,8.74905314421889e-06,8.7333603410813e-06,8.51930819991063e-06,8.27259089555973e-06,7.83423511699299e-06,0
7302,0.29605,22.6533,0.000166259,0.000166259,0.000166259,0.000166259,0.00013379916186403,0.000109727192262736,9.17780698991194e-05,7.64167732566231e-05,7.64167732566231e-05,7.64167732566231e-05,5.90601975990422e-05,4.66201132747472e-05,3.70540615462738e-05,2.82156524302323e-05,2.82156524302323e-05,1.98126020849087e-05,1.40311452368543e-05,1.40059781706167e-05,1.36626956883278e-05,1.3267027005931e-05,1.25640213785679e-05,0
7580,0.358137,19.062,0.000194494,0.000194494,0.000194494,0.000194494,0.000156521657098759,0.000128361655801782,0.000107364316680356,8.93942817999246e-05,8.93942817999246e-05,8.93942817999246e-05,6.90901188617044e-05,5.45373923291892e-05,4.33467821073204e-05,3.30073866904384e-05,3.30073866904384e-05,2.31772850185688e-05,1.64139899896953e-05,1.63845489165454e-05,1.59829683518223e-05,1.55201050799749e-05,1.46977112457262e-05,0
7128,0.916746,59.2481,6.58694e-05,6.58694e-05,6.58694e-05,6.58694e-05,5.30092837830525e-05,4.34723192009517e-05,3.63611377273594e-05,3.02752152024841e-05,3.02752152024841e-05,3.02752152024841e-05,2.33987921239172e-05,1.84702114733015e-05,1.4680280776476e-05,1.11786315098006e-05,1.11786315098006e-05,7.84946506217218e-06,5.55893586551376e-06,5.54896503955648e-06,5.4129615080852e-06,5.25620332532055e-06,4.97768271067096e-06,0
7466,0.85621,21.5357,0.00021431,0.00021431,0.00021431,0.00021431,0.000172468849079329,0.000141439769118224,0.000118303118388059,9.85022084616587e-05,9.85022084616587e-05,9.85022084616587e-05,7.61293580946038e-05,6.00939286048338e-05,4.77631642797199e-05,3.63703406872596e-05,3.63703406872596e-05,2.55387001775349e-05,1.80863275715014e-05,1.80538868978213e-05,1.76113913410133e-05,1.71013692951423e-05,1.61951859546905e-05,0
6874,0.183375,15.995,0.000213997,0.000213997,0.000213997,0.000213997,0.000172216958128082,0.000141233196173733,0.000118130336548409,9.83583458735923e-05,9.83583458735923e-05,9.83583458735923e-05,7.60181710800753e-05,6.00061613534068e-05,4.76934061236863e-05,3.63172217631071e-05,3.63172217631071e-05,2.55014008767297e-05,1.80599124694069e-05,1.80275191753677e-05,1.75856698838263e-05,1.70763927257364e-05,1.61715328670893e-05,0
6163,0.102876,11.293,0.000176123,0.000176123,0.000176123,0.000176123,0.000141737348263724,0.000116237209912785,9.72231819320614e-05,8.09505130926821e-05,8.09505130926821e-05,8.09505130926821e-05,6.25641870920438e-05,4.93860435241899e-05,3.92524463741174e-05,2.98896622316374e-05,2.98896622316374e-05,2.09880663122019e-05,1.48636007226706e-05,1.48369405165647e-05,1.44732913870248e-05,1.40541480302755e-05,1.33094336983713e-05,0
6066,0.638927,23.0083,0.00024794,0.00024794,0.00024794,0.00024794,0.000199533042978531,0.000163634811045553,0.000136867505823971,0.000113959393243356,0.000113959393243356,0.000113959393243356,8.80757456300502e-05,6.95240010185362e-05,5.5258265836936e-05,4.20776551257484e-05,4.20776551257484e-05,2.95462895899305e-05,2.0924474163959e-05,2.08869428278933e-05,2.03750098879699e-05,1.97849540527161e-05,1.87365704148475e-05,0
6066,0.638927,23.0083,0.00024794,0.00024794,0.00024794,0.00024794,0.000199533042978531,0.000163634811045553,0.000136867505823971,0.000113959393243356,0.000113959393243356,0.000113959393243356,8.80757456300502e-05,6.95240010185362e-05,5.5258265836936e-05,4.20776551257484e-05,4.20776551257484e-05,2.95462895899305e-05,2.0924474163959e-05,2.08869428278933e-05,2.03750098879699e-05,1.97849540527161e-05,1.87365704148475e-05,0
6723,0.357626,17.2599,0.000238169,0.000238169,0.000238169,0.000238169,0.00019166969957713,0.000157186171299138,0.000131473731526133,0.000109468398521323,0.000109468398521323,0.000109468398521323,8.46047925343367e-05,6.67841485786229e-05,5.30806078733452e-05,4.04194282634684e-05,4.04194282634684e-05,2.83819079024932e-05,2.00998672548034e-05,2.00638149809491e-05,1.95720566669674e-05,1.90052541815816e-05,1.79981860092515e-05,0
6520,0.795869,21.9247,0.00021445,0.00021445,0.00021445,0.00021445,0.000172581515958482,0.000141532165962406,0.000118380401000043,9.85665559451388e-05,9.85665559451388e-05,9.85665559451388e-05,7.6179090305575e-05,6.0133185522405e-05,4.77943660108531e-05,3.63940999504587e-05,3.63940999504587e-05,2.55553835708663e-05,1.80981426331411e-05,1.80656807672893e-05,1.76228961461448e-05,1.71125409236306e-05,1.62057656104866e-05,0
6279,0.174688,14.4185,0.000236732,0.000236732,0.000236732,0.000236732,0.000190513254538975,0.00015623778369136,0.000130680480715981,0.000108807917565888,0.000108807917565888,0.000108807917565888,8.40943269117248e-05,6.63812043604102e-05,5.27603443902134e-05,4.01755563976311e-05,4.01755563976311e-05,2.82106647866558e-05,1.99785940864013e-05,1.99427593350522e-05,1.94539680600101e-05,1.88905853948842e-05,1.78895933994018e-05,0
5934,0.0793302,16.32,2.69322e-05,2.69322e-05,2.69322e-05,2.69322e-05,2.1674049447876e-05,1.77746449061912e-05,1.48670768748583e-05,1.23787092470304e-05,1.23787092470304e-05,1.23787092470304e-05,9.56712751656707e-06,7.55196539578697e-06,6.00236616590113e-06,4.57063734523546e-06,4.57063734523546e-06,3.2094320420018e-06,2.27289716495353e-06,2.26882036633616e-06,2.21321223402752e-06,2.14911809122594e-06,2.0352386130788e-06,0
6372,0.25996,14.4344,0.000181563,0.000181563,0.000181563,0.000181563,0.000146115261282209,0.000119827487286698,0.000100226163426304,8.34508724507682e-05,8.34508724507682e-05,8.34508724507682e-05,6.44966387183545e-05,5.09114551783839e-05,4.04648564981512e-05,3.08128793159484e-05,3.08128793159484e-05,2.16363353102225e-05,1.53227002606715e-05,1.52952165873227e-05,1.49203352435649e-05,1.4488245594391e-05,1.37205288950188e-05,0
6381,0.0184142,9.8668,0.000158734,0.000158734,0.000158734,0.000158734,0.000127743317109599,0.000104760861887976,8.762412950497e-05,7.29580960195648e-05,7.29580960195648e-05,7.29580960195648e-05,5.63870912593385e-05,4.4510053955297e-05,3.53769684978632e-05,2.69385920332764e-05,2.69385920332764e-05,1.89158696933453e-05,1.33960856737189e-05,1.33720576867097e-05,1.30443124125071e-05,1.26665519746868e-05,1.19953648795289e-05,0
6618,0.310259,32.0747,6.54407e-05,6.54407e-05,6.54407e-05,6.54407e-05,5.266428170382e-05,4.31893868645186e-05,3.61244873290908e-05,3.00781740155703e-05,3.00781740155703e-05,3.00781740155703e-05,2.32465049893217e-05,1.83500011835675e-05,1.4584736618356e-05,1.11058772517043e-05,1.11058772517043e-05,7.79837812844949e-06,5.52275645890696e-06,5.51285052640686e-06,5.37773215122882e-06,5.22199420294256e-06,4.94528629324398e-06,0
6904,0.487021,41.2238,6.67646e-05,6.67646e-05,6.67646e-05,6.67646e-05,5.37297079988885e-05,4.4063131021747e-05,3.68553048291325e-05,3.06866713968515e-05,3.06866713968515e-05,3.06866713968515e-05,2.37167940900704e-05,1.87212314205137e-05,1.48797935601222e-05,1.13305550270571e-05,1.13305550270571e-05,7.95614344581703e-06,5.63448474537008e-06,5.6243784106121e-06,5.4865265191835e-06,5.32763790976837e-06,5.04533205258986e-06,0
6867,0.244488,18.1331,0.000140691,0.000140691,0.000140691,0.000140691,0.00011322297067715,9.28528886053478e-05,7.76640568761812e-05,6.46650842736187e-05,6.46650842736187e-05,6.46650842736187e-05,4.99776749553819e-05,3.94506785000358e-05,3.13557339633151e-05,2.38765321339706e-05,2.38765321339706e-05,1.6765737794212e-05,1.18733774082502e-05,1.18520806380541e-05,1.15615895625892e-05,1.12267684545885e-05,1.06318739543249e-05,0
7709,0.199926,13.8018,0.000217757,0.000217757,0.000217757,0.000217757,0.000175242868596741,0.000143714711417466,0.000120205926698841,0.000100086535429917,0.000100086535429917,0.000100086535429917,7.73538361747312e-05,6.10604899967468e-05,4.85313954741214e-05,3.6955327689028e-05,3.6955327689028e-05,2.59494691547733e-05,1.8377231267731e-05,1.83442688125093e-05,1.78946560787879e-05,1.73764307479927e-05,1.64556721941839e-05,0
6929,0.320781,16.5491,0.000158001,0.000158001,0.000158001,0.000158001,0.000127153425520896,0.00010427709841094,8.72194998293672e-05,7.26211909810579e-05,7.26211909810579e-05,7.26211909810579e-05,5.61267076118963e-05,4.43045159511565e-05,3.52136051484299e-05,2.68141953195264e-05,2.68141953195264e-05,1.88285202125458e-05,1.33342253867052e-05,1.33103083558521e-05,1.29840765399255e-05,1.26080605198161e-05,1.19399728245395e-05,0
6591,0.245672,19.3269,0.000183533,0.000183533,0.000183533,0.000183533,0.000147700645224565,0.000121127642879824,0.000101313640180652,8.43563334683104e-05,8.43563334683104e-05,8.43563334683104e-05,6.51964419727354e-05,5.1463856089921e-05,4.09039094290972e-05,3.11472060909655e-05,3.11472060909655e-05,2.18710944878145e-05,1.5488955056602e-05,1.54611731791229e-05,1.50822242872017e-05,1.46454463666901e-05,1.38693997658636e-05,0
7442,0.910801,28.004,0.000236591,0.000236591,0.000236591,0.000236591,0.000190399782896401,0.00015614472686972,0.00013060264608534,0.000108743110457525,0.000108743110457525,0.000108743110457525,8.40442394706752e-05,6.6341667036285e-05,5.27289197895721e-05,4.01516274254091e-05,4.01516274254091e-05,2.81938622262291e-05,1.99666946314642e-05,1.99308812236593e-05,1.9442381077699e-05,1.88793339690496e-05,1.78789381746358e-05,0
7573,0.164088,11.8468,0.0001364,0.0001364,0.0001364,0.0001364,0.000109769730831135,9.00209253311828e-05,7.52953448188663e-05,6.26928339049519e-05,6.26928339049519e-05,6.26928339049519e-05,4.84533826891137e-05,3.82474539764796e-05,3.03994009040819e-05,2.31483107169157e-05,2.31483107169157e-05,1.62543917886042e-05,1.15112457689925e-05,1.14905985388588e-05,1.12089672853073e-05,1.08843580414232e-05,1.03076075041752e-05,0
6268,0.934766,47.9593,9.07774e-05,9.07774e-05,9.07774e-05,9.07774e-05,7.30543311110724e-05,5.99110377357692e-05,5.0110818436658e-05,4.17235517633679e-05,4.17235517633679e-05,4.17235517633679e-05,3.22468629158559e-05,2.54545779223202e-05,2.02315144840924e-05,1.54057438509805e-05,1.54057438509805e-05,1.08176790700208e-05,7.6610041178163e-06,7.64726290176978e-06,7.45983069534646e-06,7.24379562807547e-06,6.85995461473252e-06,0
6189,0.801245,23.5252,0.00015058,0.00015058,0.00015058,0.00015058,0.000121181276162407,9.93794056918586e-05,8.3122969375549e-05,6.92103147317277e-05,6.92103147317277e-05,6.92103147317277e-05,5.34905452003427e-05,4.22236189133306e-05,3.35596905288611e-05,2.5554784660947e-05,2.5554784660947e-05,1.79441811988858e-05,1.27079427265022e-05,1.26851490321214e-05,1.2374239690774e-05,1.20158844125917e-05,1.13791754983776e-05,0
6892,0.0196965,5.92024,0.000232749,0.000232749,0.000232749,0.000232749,0.000187307881827096,0.000153609093474395,0.000128481790405032,0.000106977231660877,0.000106977231660877,0.000106977231660877,8.26794455095933e-05,6.52643450555106e-05,5.18726551394733e-05,3.94996053596145e-05,3.94996053596145e-05,2.77360222463771e-05,1.96424555827511e-05,1.96072237486865e-05,1.91266563540175e-05,1.85727525643931e-05,1.75886021920035e-05,0
2652,0.454467,23.4196,0.000247025,0.000247025,0.000247025,0.000247025,0.000198796684446929,0.000163030931671081,0.000136362408752789,0.000113538836476325,0.000113538836476325,0.000113538836476325,8.77507101083454e-05,6.92674290215532e-05,5.50543402370295e-05,4.19223713698395e-05,4.19223713698395e-05,2.94372516978002e-05,2.08472542968137e-05,2.08098614667272e-05,2.02998177687173e-05,1.97119394808107e-05,1.86674248073232e-05,0
2823,0.812729,9.61025,0.000241223,0.000241223,0.000241223,0.000241223,0.000194127447069493,0.000159201742457213,0.000133159596504702,0.000110872092910955,0.000110872092910955,0.000110872092910955,8.56896651936662e-05,6.76405101947825e-05,5.37612513510656e-05,4.09377196192563e-05,4.09377196192563e-05,2.87458442113084e-05,2.03576043851443e-05,2.03210898192018e-05,1.98230257731942e-05,1.92489552773185e-05,1.82289736435459e-05,0
2693,0.340817,20.8395,0.000205472,0.000205472,0.000205472,0.000205472,0.000165356349951136,0.000135606888340534,0.000113424377497229,9.44400437545328e-05,9.44400437545328e-05,9.44400437545328e-05,7.29898346620057e-05,5.76156954798769e-05,4.57934435671812e-05,3.48704523432999e-05,3.48704523432999e-05,2.44855013899419e-05,1.73404596088448e-05,1.73093567666891e-05,1.68851094284946e-05,1.63961203481475e-05,1.55273073980784e-05,0
2782,0.62457,43.4929,7.45775e-05,7.45775e-05,7.45775e-05,7.45775e-05,6.0017244142661e-05,4.92194689067909e-05,4.11681713946407e-05,3.4277674637438e-05,3.4277674637438e-05,3.4277674637438e-05,2.64921711693356e-05,2.09120197868835e-05,1.66210507399132e-05,1.26564746516919e-05,1.26564746516919e-05,8.88718404409552e-06,6.29384113883461e-06,6.28255214466085e-06,6.12856860498538e-06,5.95108659702523e-06,5.63574485808378e-06,0
