"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
592,0.346552,15.66,2.9197e-06,2.9197e-06,2.9197e-06,2.91782501630291e-06,2.9124561644288e-06,2.9124561644288e-06,2.9124561644288e-06,2.91027368987346e-06,2.90816923138622e-06,2.88838840709157e-06,2.87400218904966e-06,2.87067503446189e-06,2.85799816159673e-06,2.85254226832824e-06,2.83611739201118e-06,2.74620390523841e-06,2.64344647765436e-06,2.56502824268445e-06,1.94897519680392e-06,1.53846371213193e-06,1.24102505343627e-06,0
833,0.255779,4.79039,4.29687e-05,4.29687e-05,4.29687e-05,4.29411062020122e-05,4.28620937741863e-05,4.28620937741863e-05,4.28620937741863e-05,4.28299746885179e-05,4.27990037512981e-05,4.25078929163255e-05,4.22961735317389e-05,4.22472083958224e-05,4.20606451368981e-05,4.19803517365194e-05,4.17386297846049e-05,4.04153891643037e-05,3.89031265761506e-05,3.77490595100303e-05,2.86827175870496e-05,2.26412938683711e-05,1.82639426014958e-05,0
787,0.0524973,9.32427,6.35132e-05,6.35132e-05,6.35132e-05,6.34724128593521e-05,6.3355622448402e-05,6.3355622448402e-05,6.3355622448402e-05,6.33081463573897e-05,6.32623673757164e-05,6.28320685609098e-05,6.25191204005715e-05,6.24467437061291e-05,6.2170979496909e-05,6.2052295645712e-05,6.16949998774822e-05,5.9739082054385e-05,5.75037657377665e-05,5.57979079300155e-05,4.23967022192851e-05,3.34667100871246e-05,2.69964285453673e-05,0
1159,0.29702,24.8177,3.12089e-05,3.12089e-05,3.12089e-05,3.11888581536788e-05,3.11314700791321e-05,3.11314700791321e-05,3.11314700791321e-05,3.11081414391519e-05,3.10856467189812e-05,3.08742079522143e-05,3.07204325505469e-05,3.06848683368215e-05,3.05493642584704e-05,3.0491045791701e-05,3.0315479013439e-05,2.93543867719954e-05,2.82560046499528e-05,2.74177860475784e-05,2.08327472067452e-05,1.6444758072937e-05,1.32654131555253e-05,0
814,0.426685,28.0932,2.25637e-05,2.25637e-05,2.25637e-05,2.25492099600487e-05,2.25077189976101e-05,2.25077189976101e-05,2.25077189976101e-05,2.24908526410925e-05,2.24745891996538e-05,2.23217212388575e-05,2.2210543272617e-05,2.21848307275021e-05,2.20868627320684e-05,2.20446991060307e-05,2.19177662082141e-05,2.12229068248888e-05,2.04287883302564e-05,1.98227652702193e-05,1.50618528095779e-05,1.18893837248454e-05,9.59075144645685e-06,0
881,0.116715,5.1174,4.31009e-05,4.31009e-05,4.31009e-05,4.30732213053294e-05,4.29939657832754e-05,4.29939657832754e-05,4.29939657832754e-05,4.29617478781611e-05,4.29306816539556e-05,4.26386751704672e-05,4.24263043977156e-05,4.23771886128159e-05,4.2190051362525e-05,4.21095109268037e-05,4.18670452790817e-05,4.0539733499774e-05,3.9022818196641e-05,3.78652004607043e-05,2.87709645031771e-05,2.27109533891246e-05,1.83201345089055e-05,0
1238,0.236109,17.7759,9.0752e-06,9.0752e-06,9.0752e-06,9.06937205464678e-06,9.05268424270448e-06,9.05268424270448e-06,9.05268424270448e-06,9.04590053441778e-06,9.03935932070973e-06,8.97787528582986e-06,8.93315911431429e-06,8.92281743766434e-06,8.88341436316149e-06,8.86645600353888e-06,8.81540314278176e-06,8.53592823948337e-06,8.21653097030819e-06,7.97278635065587e-06,6.05793050862587e-06,4.78195221438493e-06,3.85743417643761e-06,0
1028,0.0735821,0.82969,8.31343e-05,8.31343e-05,8.31343e-05,8.30809125091041e-05,8.29280420969529e-05,8.29280420969529e-05,8.29280420969529e-05,8.2865899241719e-05,8.28059777829336e-05,8.22427469780022e-05,8.18331199044802e-05,8.17383839152876e-05,8.13774280116556e-05,8.1222079219742e-05,8.0754404254778e-05,7.81942457510228e-05,7.52683743217662e-05,7.30355267444608e-05,5.54942934903094e-05,4.38055635111448e-05,3.53364212418698e-05,0
641,0.165805,15.7104,2.42843e-05,2.42843e-05,2.42843e-05,2.4268705018805e-05,2.42240501537275e-05,2.42240501537275e-05,2.42240501537275e-05,2.4205897649414e-05,2.41883940356038e-05,2.40238690941994e-05,2.39042132272283e-05,2.38765399662236e-05,2.37711013993436e-05,2.37257225765536e-05,2.35891103821684e-05,2.28412643408505e-05,2.19865901624488e-05,2.13343546781594e-05,1.62103977709167e-05,1.27960113451812e-05,1.03220963472831e-05,0
632,0.21247,0.802433,2.6909e-05,2.6909e-05,2.6909e-05,2.68917194792941e-05,2.68422382192056e-05,2.68422382192056e-05,2.68422382192056e-05,2.6822123752716e-05,2.68027283102277e-05,2.66204211550595e-05,2.64878326215492e-05,2.64571683742628e-05,2.6340333777582e-05,2.62900503128557e-05,2.6138672775158e-05,2.53099979059699e-05,2.43629486821253e-05,2.36402181670706e-05,1.79624528447432e-05,1.41790321025304e-05,1.14377309870592e-05,0
778,0.646597,0.648969,9.439e-06,9.439e-06,9.439e-06,9.43293842822318e-06,9.41558164744441e-06,9.41558164744441e-06,9.41558164744441e-06,9.40852599880658e-06,9.40172256569323e-06,9.33777380365701e-06,9.29126508286458e-06,9.28050883662219e-06,9.23952620040124e-06,9.22188802642404e-06,9.16878859581243e-06,8.87811030638262e-06,8.54590927238397e-06,8.29239359615664e-06,6.30077640943666e-06,4.97364762777453e-06,4.01206818487687e-06,0
1125,0.0903134,7.78447,3.55817e-05,3.55817e-05,3.55817e-05,3.5558850012873e-05,3.54934210726637e-05,3.54934210726637e-05,3.54934210726637e-05,3.54668237664727e-05,3.54411772238295e-05,3.52001129515396e-05,3.50247914820386e-05,3.49842442284182e-05,3.48297541481954e-05,3.47632644549012e-05,3.4563098334529e-05,3.34673437322401e-05,3.22150630318026e-05,3.12593983706289e-05,2.3751704202527e-05,1.87488968955594e-05,1.51240816329943e-05,0
1440,0.176905,0.871486,8.13186e-05,8.13186e-05,8.13186e-05,8.1266378522016e-05,8.11168468858855e-05,8.11168468858855e-05,8.11168468858855e-05,8.10560612656587e-05,8.09974485253291e-05,8.04465189988412e-05,8.00458384116359e-05,7.99531715098787e-05,7.96000990867621e-05,7.94481432000812e-05,7.89906825201221e-05,7.64864393220262e-05,7.3624470574985e-05,7.14403896481008e-05,5.42822668215293e-05,4.28488252975893e-05,3.45646538720975e-05,0
2900,0.230997,16.6977,2.07673e-05,2.07673e-05,2.07673e-05,2.07539635788155e-05,2.0715775902847e-05,2.0715775902847e-05,2.0715775902847e-05,2.07002523545943e-05,2.06852837205764e-05,2.05445862816703e-05,2.04422597049871e-05,2.04185942539235e-05,2.03284259414761e-05,2.02896191557534e-05,2.01727919701044e-05,1.9533253540178e-05,1.88023584736073e-05,1.82445836984282e-05,1.38627093895215e-05,1.09428151690096e-05,8.82718758510366e-06,0
1913,0.885093,76.4398,2.77e-07,2.77e-07,2.77e-07,2.76822115120015e-07,2.76312757319854e-07,2.76312757319854e-07,2.76312757319854e-07,2.76105699933194e-07,2.7590604414631e-07,2.74029382732598e-07,2.7266452250805e-07,2.72348866166368e-07,2.7114617623807e-07,2.70628560580513e-07,2.69070287216871e-07,2.60539946484584e-07,2.50791065626694e-07,2.43351311170186e-07,1.84904657846589e-07,1.45958299914561e-07,1.17739473165684e-07,0
