"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
552,0.571262,15.8682,2.06871e-05,2.06871e-05,2.06871e-05,2.06871e-05,2.06871e-05,2.06871e-05,2.06665301157169e-05,2.06303080448731e-05,2.05938769981191e-05,2.01931973829033e-05,1.96805022441901e-05,1.91640870569371e-05,1.86006512664948e-05,1.78247316530805e-05,1.70137027318344e-05,1.62909327050635e-05,1.54744116707974e-05,1.47772725739021e-05,1.44291845625309e-05,1.38324996116597e-05,1.36110464395992e-05,0
566,0.0500143,2.44741,8.28545e-05,8.28545e-05,8.28545e-05,8.28545e-05,8.28545e-05,8.28545e-05,8.27721149640435e-05,8.26270409049086e-05,8.24811298703375e-05,8.08763564038342e-05,7.88229463381163e-05,7.67546369988543e-05,7.44980040875616e-05,7.13903460973339e-05,6.81420708071585e-05,6.52472837571088e-05,6.19770118469038e-05,5.91848799722714e-05,5.77907426529682e-05,5.54009425716636e-05,5.45139940943764e-05,0
580,0.906825,27.531,7.482e-06,7.482e-06,7.482e-06,7.482e-06,7.482e-06,7.482e-06,7.47456039395534e-06,7.46145978855133e-06,7.44828360185463e-06,7.30336793551934e-06,7.11793909204432e-06,6.93116480125313e-06,6.72738434946968e-06,6.44675388180789e-06,6.15342526693372e-06,5.89201765831293e-06,5.5967026852921e-06,5.34456513469437e-06,5.21867051915717e-06,5.00286468835352e-06,4.922770686132e-06,0
588,0.559447,42.9783,1.45448e-05,1.45448e-05,1.45448e-05,1.45448e-05,1.45448e-05,1.45448e-05,1.45303376126706e-05,1.45048703999628e-05,1.44792562593231e-05,1.41975442326305e-05,1.38370757158469e-05,1.34739916868841e-05,1.30778481537245e-05,1.2532310326132e-05,1.19620876533678e-05,1.14539185293544e-05,1.0879834431574e-05,1.03896860426494e-05,1.01449504099221e-05,9.72542987425345e-06,9.56972936055235e-06,0
587,0.40831,23.8835,2.6053e-05,2.6053e-05,2.6053e-05,2.6053e-05,2.6053e-05,2.6053e-05,2.60270946195828e-05,2.59814771279241e-05,2.59355964553754e-05,2.54309870120403e-05,2.4785307025532e-05,2.41349420699075e-05,2.34253601251983e-05,2.24481794817884e-05,2.14267827425052e-05,2.05165378310648e-05,1.94882244132471e-05,1.86102586813943e-05,1.81718822554934e-05,1.74204268545408e-05,1.71415323022985e-05,0
594,0.347133,0.607555,2.9617e-05,2.9617e-05,2.9617e-05,2.9617e-05,2.9617e-05,2.9617e-05,2.95875508136562e-05,2.95356929373864e-05,2.948353587759e-05,2.89098968385828e-05,2.81758890789998e-05,2.74365554555886e-05,2.66299040735423e-05,2.55190470084876e-05,2.4357925171181e-05,2.33231605167407e-05,2.21541758126565e-05,2.11561060671268e-05,2.06577605942098e-05,1.9803507548111e-05,1.94864607606484e-05,0
586,0.0604244,6.28932,4.37819e-05,4.37819e-05,4.37819e-05,4.37819e-05,4.37819e-05,4.37819e-05,4.37383661737655e-05,4.36617062705661e-05,4.35846040935631e-05,4.27366111489059e-05,4.16515500580026e-05,4.05586159064401e-05,3.93661679831658e-05,3.77240221568999e-05,3.60075714640959e-05,3.44779107076304e-05,3.27498365807525e-05,3.12744207792937e-05,3.05377319971515e-05,2.92749159982659e-05,2.88062354855871e-05,0
601,0.217882,17.3277,1.05677e-05,1.05677e-05,1.05677e-05,1.05677e-05,1.05677e-05,1.05677e-05,1.05571921779206e-05,1.0538688667131e-05,1.0520078404079e-05,1.03153971307388e-05,1.00534943789089e-05,9.78969129513536e-06,9.50186842954968e-06,9.10550133611083e-06,8.69119917045917e-06,8.32198275965698e-06,7.90487502905124e-06,7.54875180084331e-06,7.37093617285448e-06,7.06612846392857e-06,6.95300237634819e-06,0
587,0.889573,17.3101,2.2836e-05,2.2836e-05,2.2836e-05,2.2836e-05,2.2836e-05,2.2836e-05,2.28132933916552e-05,2.27733087050733e-05,2.27330933349308e-05,2.22907925922908e-05,2.17248405648121e-05,2.11547820638087e-05,2.0532818631982e-05,1.96762993377392e-05,1.8781023709663e-05,1.79831749859976e-05,1.70818367443639e-05,1.63122813974713e-05,1.59280352814051e-05,1.5269368888431e-05,1.5024911973872e-05,0
580,0.658372,0.105619,0.000162845,0.000162845,0.000162845,0.000162845,0.000162845,0.000162845,0.000162683077700302,0.000162397944301877,0.000162111165883991,0.000158957090545262,0.000154921249858856,0.000150856125642885,0.000146420863992167,0.00014031296924392,0.000133928700560522,0.000128239189463776,0.00012181168788912,0.000116323938700789,0.000113583854676844,0.000108886861825037,0.000107143623681257,0
580,0.866622,2.8476,7.75514e-05,7.75514e-05,7.75514e-05,7.75514e-05,7.75514e-05,7.75514e-05,7.74742880160102e-05,7.73384994180513e-05,7.72019274152459e-05,7.5699867430451e-05,7.37778858196693e-05,7.1841958562938e-05,6.97297613792386e-05,6.68210089534398e-05,6.37806394341198e-05,6.10711331498114e-05,5.80101749035234e-05,5.53967533529453e-05,5.40918477545263e-05,5.18550067618791e-05,5.10248273975538e-05,0
558,0.609442,10.5573,4.58081e-05,4.58081e-05,4.58081e-05,4.58081e-05,4.58081e-05,4.58081e-05,4.57625514544702e-05,4.56823437770567e-05,4.56016733576741e-05,4.47144358095514e-05,4.35791587439555e-05,4.24356442571884e-05,4.11880105612058e-05,3.94698672137455e-05,3.76739802152134e-05,3.60735276789314e-05,3.42654793207871e-05,3.27217821634046e-05,3.19509998674958e-05,3.06297415036845e-05,3.01393707387601e-05,0
